date,open,high,low,close,volume,adjusted
2007-04-10,74.82,74.949997,74.82,74.949997,7800,42.03714
2007-04-11,74.849998,74.940002,74.809998,74.839996,25900,41.975440999999996
2007-04-12,74.919998,74.93,74.839996,74.93,1900,42.025906
2007-04-13,74.900002,74.900002,74.730003,74.779999,16400,41.941792
2007-04-16,75.029999,75.029999,75.029999,75.029999,300,42.081985
2007-04-17,75.360001,75.43,75.309998,75.410004,17900,42.295147
2007-04-18,75.599998,75.760002,75.599998,75.650002,12000,42.429745
2007-04-19,75.760002,75.760002,75.550003,75.610001,11800,42.40733
2007-04-20,75.699997,75.699997,75.480003,75.559998,6800,42.379253
2007-04-23,75.510002,75.75,75.510002,75.720001,3800,42.469013
2007-04-24,75.809998,75.989998,75.809998,75.970001,25300,42.609203
2007-04-25,75.849998,75.919998,75.730003,75.82,34300,42.52507
2007-04-26,75.669998,75.669998,75.400002,75.440002,37100,42.311966
2007-04-27,75.470001,75.489998,75.300003,75.330002,8000,42.250259
2007-04-30,75.559998,75.919998,75.559998,75.919998,13000,42.581161
2007-05-01,75.739998,75.870003,75.220001,75.599998,28700,42.569897
2007-05-02,75.57,75.68,75.57,75.669998,7800,42.609314
2007-05-03,75.580002,75.580002,75.32,75.389999,10800,42.451653
2007-05-04,75.529999,75.75,75.529999,75.720001,11200,42.637489
2007-05-07,75.800003,75.870003,75.769997,75.830002,15400,42.69944
2007-05-08,75.830002,75.919998,75.800003,75.809998,4600,42.688168
2007-05-09,75.699997,75.739998,75.5,75.540001,5900,42.536106
2007-05-10,75.580002,75.660004,75.519997,75.580002,39800,42.558659
2007-05-11,75.75,75.75,75.419998,75.419998,5700,42.468555
2007-05-14,75.5,75.5,75.32,75.32,7600,42.412251
2007-05-15,75.43,75.43,75.099998,75.239998,5500,42.367195
2007-05-16,75.230003,75.279999,75.230003,75.230003,2200,42.361568
2007-05-17,75.040001,75.080002,74.93,74.940002,3900,42.198292
2007-05-18,74.839996,74.949997,74.550003,74.610001,19800,42.012444
2007-05-21,74.57,74.699997,74.529999,74.699997,6200,42.063148
2007-05-22,74.730003,74.779999,74.449997,74.480003,35200,41.939243
2007-05-23,74.459999,74.480003,74.129997,74.199997,26800,41.781567
2007-05-24,74.199997,74.309998,73.93,74.309998,6700,41.843536
2007-05-25,74.199997,74.260002,74.139999,74.190002,80500,41.775944
2007-05-29,74.32,74.32,74.190002,74.190002,42500,41.775944
2007-05-30,74.480003,74.480003,74.279999,74.279999,21600,41.826649
2007-05-31,74.290001,74.290001,74.029999,74.260002,24000,41.815365
2007-06-01,73.849998,73.849998,73.559998,73.580002,21500,41.575211
2007-06-04,73.769997,73.879997,73.709999,73.879997,11400,41.744728
2007-06-05,73.760002,73.82,73.529999,73.559998,11100,41.563931
2007-06-06,73.459999,73.57,73.459999,73.529999,10400,41.546982
