date,open,high,low,close,volume,adjusted
2017-05-04,24.879999,24.889999,24.844999,24.863001,10100,24.628084
2017-05-05,24.931999,24.950001,24.84,24.950001,254300,24.714262
2017-05-08,25,25,24.82,24.84,13600,24.605301
2017-05-09,24.85,24.900999,24.85,24.9,900,24.664732
2017-05-10,24.93,24.93,24.839001,24.879999,10100,24.644922
2017-05-11,24.879999,24.879999,24.77,24.85,11100,24.615204
2017-05-12,24.9,24.9,24.780001,24.780001,41500,24.545868
2017-05-15,24.879999,24.940001,24.879999,24.92,1600,24.684542
2017-05-16,24.940001,24.940001,24.870001,24.870001,1600,24.635017
2017-05-17,24.719999,24.719999,24.4,24.41,13000,24.179361
2017-05-18,24.389999,24.57,24.374001,24.540001,2800,24.308134
2017-05-19,24.66,24.799999,24.66,24.75,5100,24.51615
2017-05-22,24.84,24.886,24.84,24.886,600,24.650864
2017-05-23,24.879999,24.879999,24.863001,24.879999,900,24.644922
2017-05-24,25.02,25.02,24.950001,24.969999,2300,24.734072
2017-05-25,25.030001,25.120001,25.02,25.02,5000,24.7836
2017-05-26,25.15,25.15,25.059999,25.07,4000,24.833126
2017-05-30,25.079,25.079,25.040001,25.040001,4500,24.803411
2017-05-31,25.059999,25.059999,24.889999,25.059999,8300,24.823221
2017-06-01,25.200001,25.290001,25.193001,25.290001,4100,25.051048
2017-06-02,25.360001,25.440001,25.332001,25.436001,1500,25.195669
2017-06-05,25.48,25.48,25.4,25.43,45900,25.189724
2017-06-06,25.309999,25.382999,25.309999,25.360001,400700,25.120388
2017-06-07,25.399,25.399,25.25,25.309999,5900,25.070858
2017-06-08,25.370001,25.370001,25.209999,25.275,5800,25.036188
2017-06-09,25.261,25.327999,25.129999,25.129999,2200,24.892559
2017-06-12,24.976,25.052999,24.976,25.013,2300,24.776667
2017-06-13,25.209999,25.27,25.190001,25.27,3900,25.031237
2017-06-14,25.200001,25.200001,25.08,25.08,1300,24.843033
2017-06-15,25.040001,25.040001,24.950001,25.004999,8500,24.768742
2017-06-16,25.040001,25.040001,24.950001,25.025999,1200,24.789541
2017-06-19,25.25,25.360001,25.25,25.33,11300,25.09067
2017-06-20,25.24,25.24,25.18,25.18,1800,24.942087
2017-06-21,25.32,25.32,25.32,25.32,7400,25.080763
2017-06-22,25.459999,25.481001,25.400999,25.440001,6500,25.199631
2017-06-23,25.49,25.530001,25.459999,25.51,9300,25.26897
2017-06-26,25.620001,25.620001,25.48,25.48,4800,25.239252
2017-06-27,25.469999,25.469999,25.200001,25.200001,7800,24.961899
2017-06-28,25.290001,25.458,25.290001,25.458,5200,25.217459
2017-06-29,25.23,25.25,24.969999,25.18,5500,24.942087
2017-06-30,25.186001,25.209999,25.186001,25.209999,500,24.971802
2017-07-03,25.200001,25.200001,25.200001,25.200001,100,24.961899
2017-07-05,25.27,25.296,25.27,25.296,300,25.056992
2017-07-06,25.1,25.24,25.025999,25.025999,1500,24.789541
2017-07-07,25.1,25.190001,25.1,25.190001,7200,24.951994
2017-07-10,25.291,25.33,25.290001,25.33,1100,25.09067
2017-07-11,25.24,25.309999,25.201,25.309999,7800,25.070858
2017-07-12,25.496,25.51,25.496,25.5,1700,25.259064
2017-07-13,25.5,25.610001,25.5,25.610001,9700,25.368025
2017-07-14,25.610001,25.610001,25.610001,25.610001,0,25.368025
2017-07-17,25.761999,25.77,25.718,25.76,1300,25.516607
2017-07-18,25.67,25.74,25.67,25.74,1900,25.496796
2017-07-19,25.93,26.030001,25.92,26.02,3400,25.774151
2017-07-20,26.08,26.08,26.07,26.07,1000,25.823675
2017-07-21,26.02,26.049999,26.004999,26.030001,8400,25.784058
2017-07-24,25.98,26.049999,25.98,26.049999,2100,25.803865
2017-07-25,26.1,26.1,26.046,26.059999,1300,25.813772
2017-07-26,26.17,26.17,26.01,26.040001,2600,25.793962
2017-07-27,26,26.011,25.719999,25.82,4500,25.57604
2017-07-28,25.780001,25.83,25.780001,25.799999,2900,25.556229
2017-07-31,25.729,25.733,25.729,25.733,200,25.489862
2017-08-01,25.77,25.77,25.77,25.77,700,25.526512
2017-08-02,25.610001,25.610001,25.531,25.531,1000,25.289772
2017-08-03,25.690001,25.690001,25.586,25.629999,1200,25.387833
2017-08-04,25.618999,25.618999,25.618999,25.618999,200,25.37694
2017-08-07,25.65,25.68,25.65,25.68,800,25.437365
2017-08-08,25.74,25.74,25.51,25.530001,9200,25.288782
2017-08-09,25.483,25.483,25.451,25.454,900,25.213499
2017-08-10,25.389999,25.389999,25.110001,25.110001,4600,24.872749
2017-08-11,25.200001,25.200001,25.200001,25.200001,800,24.961899
2017-08-14,25.200001,25.200001,25.200001,25.200001,0,24.961899
2017-08-15,25.42,25.42,25.344999,25.344999,1200,25.105528
2017-08-16,25.540001,25.540001,25.440001,25.475,3700,25.234301
2017-08-17,25.35,25.35,25.128,25.129999,4200,24.892559
2017-08-18,24.969999,25.086,24.969999,25.086,600,24.848976
2017-08-21,25.086,25.086,25.086,25.086,0,24.848976
2017-08-22,25.200001,25.351999,25.200001,25.351999,1000,25.112461
2017-08-23,25.245001,25.290001,25.245001,25.290001,4300,25.051048
2017-08-24,25.34,25.34,25.243,25.243,300,25.004492
2017-08-25,25.320999,25.34,25.299999,25.309999,80100,25.070858
2017-08-28,25.26,25.299999,25.26,25.299999,600,25.060953
2017-08-29,25.4,25.4,25.15,25.35,1800,25.110481
2017-08-30,25.375,25.57,25.375,25.57,2000,25.328403
2017-08-31,25.459999,25.83,25.459999,25.789,2300,25.545334
2017-09-01,25.93,25.969999,25.830999,25.940001,23500,25.694906
2017-09-05,25.959999,25.959999,25.799999,25.799999,4700,25.556229
2017-09-06,25.806,25.91,25.806,25.889999,1600,25.645378
2017-09-07,25.99,25.99,25.813999,25.836,2300,25.59189
2017-09-08,25.690001,25.783001,25.690001,25.73,4700,25.486889
2017-09-11,25.91,25.92,25.85,25.91,2900,25.66519
2017-09-12,25.93,26.02,25.868,26.02,7900,25.774151
2017-09-13,26.08,26.08,26.049999,26.07,4400,25.823675
2017-09-14,26.129999,26.129999,25.98,26.049999,9000,25.803865
2017-09-15,26.02,26.033001,26.003,26.013,2400,25.767218
2017-09-18,26.16,26.16,26.016001,26.030001,1100,25.784058
2017-09-19,26.013,26.030001,25.964001,26.030001,3400,25.784058
2017-09-20,26.08,26.08,25.950001,26.030001,6600,25.784058
2017-09-21,25.93,26,25.93,25.950001,3100,25.704813
2017-09-22,25.93,25.93,25.893,25.91,1200,25.66519
2017-09-25,25.93,25.93,25.84,25.85,300,25.605757
2017-09-26,25.959999,25.959999,25.903,25.93,1000,25.685001
2017-09-27,25.943001,26.110001,25.943001,26.059999,4000,25.813772
2017-09-28,26.02,26.059999,26.02,26.030001,3400,25.784058
2017-09-29,26.1,26.16,25.959999,26.155001,5500,25.907877
2017-10-02,26.273001,26.290001,26.261999,26.290001,1200,26.041599
2017-10-03,26.379999,26.379999,26.261,26.32,5300,26.071316
2017-10-04,26.375999,26.375999,26.375999,26.375999,100,26.126787
2017-10-05,26.49,26.57,26.41,26.57,3400,26.318953
2017-10-06,26.52,26.52,26.459999,26.485001,2600,26.234758
2017-10-09,26.530001,26.530001,26.48,26.48,700,26.229803
2017-10-10,26.489,26.489,26.43,26.459999,15300,26.209991
2017-10-11,26.549999,26.549999,26.379999,26.455,202300,26.20504
2017-10-12,26.492001,26.517,26.49,26.49,800,26.23971
2017-10-13,26.620001,26.620001,26.530001,26.566999,66100,26.315983
2017-10-16,26.68,26.690001,26.52,26.532,2900,26.281313
2017-10-17,26.66,26.709999,26.653999,26.709999,3000,26.45763
2017-10-18,26.716999,26.719999,26.679001,26.684999,3700,26.432867
2017-10-19,26.700001,26.700001,26.549999,26.684,11300,26.431875
2017-10-20,26.879999,26.879999,26.74,26.809999,2600,26.556686
2017-10-23,26.809999,26.809999,26.66,26.66,2500,26.408104
2017-10-24,26.530001,26.59,26.52,26.549999,7000,26.299141
2017-10-25,26.399,26.450001,26.399,26.409,5900,26.159475
2017-10-26,26.375999,26.42,26.370001,26.370001,7300,26.120844
2017-10-27,26.5,26.649,26.5,26.639999,2500,26.388292
2017-10-30,26.658001,26.66,26.57,26.57,6700,26.318953
2017-10-31,26.561001,26.639999,26.561001,26.6,8700,26.348671
2017-11-01,26.790001,26.790001,26.620001,26.67,1100,26.418007
2017-11-02,26.59,26.59,26.485001,26.52,18100,26.269426
2017-11-03,26.68,26.76,26.674999,26.754999,12000,26.502205
2017-11-06,26.83,26.834999,26.83,26.834999,400,26.581448
2017-11-07,26.899,26.899,26.858999,26.865999,2600,26.612156
2017-11-08,26.879999,26.950001,26.85,26.924999,4100,26.670597
2017-11-09,26.870001,26.899,26.745001,26.84,3300,26.586401
2017-11-10,26.841,26.841,26.841,26.841,300,26.587393
2017-11-13,26.84,26.84,26.799999,26.799999,3200,26.546778
2017-11-14,26.674999,26.690001,26.67,26.68,2500,26.427916
2017-11-15,26.49,26.639999,26.49,26.610001,2000,26.358576
2017-11-16,26.75,26.870001,26.75,26.855,3100,26.601259
2017-11-17,26.92,26.92,26.860001,26.9,2600,26.645836
2017-11-20,26.99,26.99,26.83,26.860001,1400,26.606215
2017-11-21,27.040001,27.108,27.011999,27.108,3000,26.85187
2017-11-22,27.120001,27.129999,27.07,27.129999,3200,26.873661
2017-11-24,27.17,27.18,27.15,27.18,117000,26.923191
2017-11-27,27.110001,27.129999,27.049,27.129999,6000,26.873661
2017-11-28,27.120001,27.299999,27.118,27.299999,10600,27.042055
2017-11-29,27.125,27.15,27.059999,27.125,13800,26.86871
2017-11-30,27.27,27.379999,27.24,27.379999,4100,27.1213
2017-12-01,27.370001,27.379,27.18,27.285,3300,27.027199
2017-12-04,27.43,27.43,27.27,27.27,153800,27.012341
2017-12-05,27.166,27.290001,27.1,27.110001,6500,26.853851
2017-12-06,27.08,27.08,27.035,27.035,1000,26.77956
2017-12-07,27.16,27.229,27.129999,27.188,8400,26.931112
2017-12-08,27.391001,27.43,27.35,27.424999,2600,27.165874
2017-12-11,27.49,27.5,27.445,27.5,3300,27.240168
2017-12-12,27.6,27.620001,27.556,27.575001,121800,27.314459
2017-12-13,27.620001,27.65,27.559999,27.59,2500,27.329315
2017-12-14,27.594999,27.594999,27.52,27.52,5900,27.259979
2017-12-15,27.719999,27.799999,27.620001,27.780001,3400,27.517523
2017-12-18,28.08,28.08,27.950001,28.040001,11400,27.775064
2017-12-19,28.35,28.35,27.959999,28.02,14600,27.755253
2017-12-20,28,28.030001,27.924999,28,8700,27.735443
2017-12-21,28.028,28.200001,27.995001,28.09,8700,27.824593
2017-12-22,27.951,27.985001,27.951,27.965,2200,27.700771
2017-12-26,27.823999,27.934999,27.823999,27.921,1300,27.72361
2017-12-27,27.950001,27.979,27.905001,27.92,8000,27.722618
2017-12-28,28.040001,28.040001,27.93,27.945,13700,27.74744
2017-12-29,27.959999,27.959999,27.860001,27.860001,6300,27.663042
2018-01-02,27.84,28.129999,27.84,28.121,53700,27.922197
2018-01-03,28.32,28.469999,28.32,28.469999,232800,28.268728
2018-01-04,28.610001,28.610001,28.488001,28.58,15300,28.377951
2018-01-05,28.695,28.82,28.695,28.802999,4300,28.599375
2018-01-08,28.799999,28.83,28.764999,28.809999,2700,28.606325
2018-01-09,28.77,28.950001,28.77,28.889999,8100,28.685759
2018-01-10,28.77,28.85,28.715,28.85,69800,28.646042
2018-01-11,28.927,29.18,28.902,29.18,5000,28.973711
2018-01-12,29.1,29.42,29.1,29.42,6900,29.212015
2018-01-16,29.67,29.67,29.309999,29.309999,18100,29.102789
2018-01-17,29.35,29.58,29.35,29.530001,31000,29.321238
2018-01-18,29.493999,29.605,29.48,29.535,27400,29.3262
2018-01-19,29.541,29.66,29.540001,29.635,12800,29.425493
2018-01-22,29.690001,30,29.690001,30,26000,29.787912
2018-01-23,29.98,30.07,29.98,30.065001,5300,29.852453
2018-01-24,30.309999,30.309999,30.01,30.110001,12800,29.897137
2018-01-25,30.190001,30.27,30.120001,30.183001,8600,29.96962
2018-01-26,30.370001,30.57,30.334999,30.57,3300,30.353884
2018-01-29,30.58,30.58,30.305,30.305,15800,30.090757
2018-01-30,29.790001,29.969999,29.790001,29.93,23200,29.718409
2018-01-31,30.190001,30.190001,29.929001,29.929001,17100,29.717417
2018-02-01,29.709999,30.07,29.709999,29.940001,5000,29.728338
2018-02-02,29.66,29.66,29.190001,29.190001,10200,28.983641
2018-02-05,29.32,29.323,28.200001,28.200001,7100,28.000639
2018-02-06,27.610001,28.73,27.610001,28.6,54200,28.39781
2018-02-07,28.67,28.799999,28.440001,28.450001,19200,28.248871
2018-02-08,28.6,28.700001,27.52,27.52,24700,27.325447
2018-02-09,27.610001,27.93,26.75,27.709999,58700,27.514101
2018-02-12,28.051001,28.190001,28.030001,28.15,4400,27.950991
2018-02-13,28.114,28.25,28.023001,28.233,3800,28.033405
2018-02-14,28.32,28.67,28.32,28.67,5700,28.467316
2018-02-15,28.754999,28.940001,28.700001,28.940001,9500,28.735409
2018-02-16,28.975,29.069,28.93,28.940001,9000,28.735409
2018-02-20,28.950001,29.065001,28.76,28.875,6400,28.670868
2018-02-21,29.049,29.08,28.85,28.85,20700,28.646042
2018-02-22,28.870001,29.030001,28.74,28.74,13000,28.536819
2018-02-23,28.879999,29.25,28.879999,29.25,2900,29.043217
2018-02-26,29.540001,29.540001,29.334999,29.459999,11400,29.25173
2018-02-27,29.450001,29.450001,29.194,29.194,29600,28.98761
2018-02-28,29.08,29.245001,28.839001,28.839001,2800,28.63512
2018-03-01,28.584999,28.6,28.296,28.5,7700,28.298517
2018-03-02,28.309999,28.690001,28.309999,28.690001,11500,28.487175
2018-03-05,28.490999,29.028999,28.49,29,74500,28.794983
2018-03-06,29.094999,29.120001,28.919001,29.08,10300,28.874416
2018-03-07,29.122,29.235001,29.101,29.235001,1700,29.028322
2018-03-08,29.379999,29.41,29.290001,29.41,5700,29.202084
2018-03-09,29.59,29.83,29.59,29.781,14400,29.570461
2018-03-12,29.899,29.940001,29.879999,29.889999,1100,29.67869
2018-03-13,30.08,30.08,29.66,29.66,6000,29.450315
2018-03-14,29.799999,29.799999,29.6,29.66,9100,29.450315
2018-03-15,29.82,29.82,29.572001,29.572001,4900,29.36294
2018-03-16,29.77,29.77,29.708,29.74,8100,29.529751
2018-03-19,29.290001,29.290001,29.045,29.249001,6600,29.042223
2018-03-20,29.280001,29.280001,29.15,29.16,5300,28.953852
2018-03-21,29.440001,29.466,29.288,29.299999,4600,29.092861
2018-03-22,28.92,28.93,28.624001,28.624001,4500,28.42164
2018-03-23,28.5,28.5,27.9,27.91,8600,27.712688
2018-03-26,28.41,28.555,28.030001,28.549999,3800,28.348164
2018-03-27,28.6,28.665001,27.799999,27.91,7200,27.712688
2018-03-28,28.030001,28.030001,27.74,27.809999,3200,27.613396
2018-03-29,27.899,28.4,27.899,28.299999,5000,28.09993
2018-04-02,27.709999,27.75,27.41,27.566999,8200,27.372112
2018-04-03,27.629999,27.83,27.629999,27.690001,4300,27.494244
2018-04-04,27.540001,28.299999,27.540001,28.299999,2800,28.09993
2018-04-05,28.559999,28.559999,28.34,28.466,4000,28.264757
2018-04-06,28.26,28.26,27.76,27.85,11400,27.653114
2018-04-09,28.291,28.291,28.264999,28.264999,400,28.065178
2018-04-10,28.6,28.6,28.205,28.5,7700,28.298517
2018-04-11,28.472,28.49,28.35,28.35,2100,28.149578
2018-04-12,28.57,28.68,28.530001,28.605,11300,28.402775
2018-04-13,28.67,28.67,28.450001,28.450001,900,28.248871
2018-04-16,28.77,28.77,28.702,28.76,3500,28.556679
2018-04-17,29.049999,29.25,29.049999,29.23,7200,29.023357
2018-04-18,29.200001,29.414,29.200001,29.414,7500,29.206055
2018-04-19,29.243999,29.26,29.059999,29.200001,3600,28.993568
2018-04-20,29.09,29.09,28.865,28.99,12600,28.785053
2018-04-23,29.040001,29.040001,28.969999,29.02,5700,28.814842
2018-04-24,29.051001,29.051001,28.254,28.450001,66900,28.248871
2018-04-25,28.4,28.48,28.224001,28.459999,6800,28.258801
2018-04-26,28.909,29,28.909,28.99,5300,28.785053
2018-04-27,29.200001,29.200001,28.867001,28.884001,4800,28.679804
2018-04-30,29.07,29.07,28.709999,28.709999,2900,28.507032
