date,open,high,low,close,volume,adjusted
2009-04-16,30.1,30.450001,30.07,30.4,33800,18.933781
2009-04-17,30.5,30.6,30.4,30.49,202800,18.98983
2009-04-20,30.450001,30.450001,30.200001,30.290001,17000,18.865261
2009-04-21,30.200001,30.200001,30.1,30.15,33400,18.778067
2009-04-22,30.1,30.15,30.1,30.120001,36600,18.759392
2009-04-23,30.1,30.15,30.049999,30.129999,12400,18.765614
2009-04-24,30.15,30.200001,30.049999,30.15,22100,18.778067
2009-04-27,30.200001,30.25,30.110001,30.200001,9200,18.80921
2009-04-28,30.200001,30.200001,30.139999,30.16,13800,18.78429
2009-04-29,30.15,30.26,30.139999,30.219999,74700,18.821663
2009-04-30,30.34,30.35,30,30.219999,57800,18.821663
2009-05-01,30.25,30.26,30.17,30.24,27600,18.872211
2009-05-04,30.25,30.5,30.16,30.450001,61600,19.003269
2009-05-05,30.639999,30.73,30.5,30.700001,20300,19.159302
2009-05-06,30.780001,31.200001,30.780001,31.02,28900,19.358994
2009-05-07,31.24,31.41,31.09,31.200001,102600,19.471336
2009-05-08,31.299999,31.43,31.18,31.200001,94100,19.471336
2009-05-11,31.190001,31.25,31.15,31.17,27200,19.452604
2009-05-12,31.209999,31.209999,30.99,31.040001,29900,19.371492
2009-05-13,30.889999,30.9,30.52,30.68,26300,19.146809
2009-05-14,30.780001,30.84,30.540001,30.73,13700,19.178017
2009-05-15,30.73,30.73,30.65,30.690001,15700,19.153048
2009-05-18,30.74,30.92,30.74,30.84,32700,19.246664
2009-05-19,30.84,31.040001,30.799999,30.950001,83600,19.315311
2009-05-20,31.1,31.1,30.99,31,49600,19.346519
2009-05-21,30.84,30.85,30.700001,30.75,36600,19.190496
2009-05-22,30.82,30.959999,30.75,30.950001,27100,19.315311
2009-05-26,30.85,31,30.83,31,39200,19.346519
2009-05-27,31.1,31.110001,31,31.08,36500,19.396448
2009-05-28,31.1,31.200001,31,31.200001,49400,19.471336
2009-05-29,31.219999,31.25,31.190001,31.25,21700,19.502529
2009-06-01,31.26,31.83,31.209999,31.83,42900,19.966734
2009-06-02,31.75,31.85,31.65,31.799999,49400,19.947914
2009-06-03,32,32,31.5,31.700001,29200,19.885185
2009-06-04,31.799999,31.969999,31.73,31.940001,50100,20.035742
2009-06-05,32.099998,32.099998,31.76,31.950001,26700,20.042
2009-06-08,32.049999,32.049999,31.799999,31.870001,10400,19.991829
2009-06-09,32.099998,32.290001,32.060001,32.290001,18600,20.255287
2009-06-10,32.349998,32.419998,32.209999,32.419998,20400,20.33684
2009-06-11,32.299999,32.720001,32.299999,32.669998,49500,20.49365
2009-06-12,32.52,32.540001,31.52,32.400002,155500,20.324287000000002
2009-06-15,32.700001,32.700001,32.080002,32.080002,32700,20.123558
2009-06-16,32.25,32.25,31.85,31.85,28100,19.979282
2009-06-17,31.85,31.85,31.440001,31.67,29800,19.866379
2009-06-18,31.9,31.9,31.4,31.84,10900,19.973001
2009-06-19,32.82,32.82,31.690001,31.93,30900,20.029463
2009-06-22,32.740002,32.740002,31.690001,31.700001,51100,19.885185
2009-06-23,31.209999,31.629999,31.1,31.43,28600,19.715816
2009-06-24,31.540001,31.65,31.530001,31.620001,28700,19.834997
2009-06-25,31.43,31.799999,31.43,31.75,62700,19.916546
2009-06-26,31.75,32.040001,31.620001,32,24400,20.073374
2009-06-29,32.09,32.099998,31.940001,32.099998,17000,20.136103
2009-06-30,32.18,32.18,31.9,32.049999,15100,20.104736
2009-07-01,32.139999,32.200001,31.76,32.099998,46600,20.207348
2009-07-02,32,32.009998,31.76,31.9,25400,20.08144
2009-07-06,31.799999,31.799999,31.25,31.57,10200,19.873697
2009-07-07,31.6,31.75,31.49,31.700001,4400,19.955544
2009-07-08,31.139999,31.58,31.139999,31.459999,44700,19.804466
2009-07-09,31.59,31.6,31.35,31.58,21200,19.880009
2009-07-10,31.25,31.610001,31.25,31.5,23800,19.829641
2009-07-13,31.549999,31.57,31.35,31.559999,14800,19.867416
2009-07-14,31.6,31.809999,31.6,31.799999,34000,20.018496
2009-07-15,31.75,32.5,31.75,32.5,47700,20.45915
2009-07-16,32.540001,32.709999,32.330002,32.709999,16400,20.591356
2009-07-17,32.93,32.970001,32.700001,32.970001,9600,20.755032
2009-07-20,32.950001,33.169998,32.950001,33.150002,23000,20.868338
2009-07-21,33.34,33.349998,33.060001,33.25,21700,20.931286
2009-07-22,33.689999,33.689999,33.200001,33.369999,41900,21.006817
2009-07-23,33.790001,33.810001,33.5,33.810001,33000,21.283813
2009-07-24,33.84,33.84,33.5,33.799999,14600,21.277521
2009-07-27,33.950001,34.049999,33.799999,34.049999,17000,21.434898
2009-07-28,33.990002,33.990002,33.790001,33.900002,7100,21.340471
2009-07-29,33.900002,33.919998,33.75,33.869999,25800,21.321579
2009-07-30,33.959999,34.349998,33.849998,34.150002,97400,21.497852
2009-07-31,34,34.049999,33.799999,34.029999,67300,21.422308
2009-08-03,34.099998,34.349998,34.060001,34.349998,28800,21.709871
2009-08-04,34.509998,34.68,34.310001,34.310001,28500,21.684603
2009-08-05,34.400002,34.650002,34.240002,34.299999,38000,21.67828
2009-08-06,34.599998,34.599998,34.220001,34.23,44200,21.634039
2009-08-07,34.68,34.740002,34.360001,34.57,33300,21.848915
2009-08-10,34.720001,34.740002,34.310001,34.5,70900,21.804684
2009-08-11,34.549999,34.669998,34.310001,34.57,93200,21.848915
2009-08-12,34.5,34.650002,34.349998,34.650002,32900,21.899483
2009-08-13,34.82,34.900002,34.400002,34.900002,40800,22.057489
2009-08-14,35,35,34.5,34.73,92800,21.950035
2009-08-17,34.5,34.509998,34.209999,34.349998,50900,21.709871
2009-08-18,34.369999,34.450001,34.02,34.220001,20000,21.627716
2009-08-19,34.400002,34.470001,34.25,34.470001,70900,21.785711
2009-08-20,34.470001,34.650002,34.470001,34.650002,17000,21.899483
2009-08-21,34.849998,35,34.400002,34.900002,68100,22.057489
2009-08-24,34.990002,35.099998,34.5,34.73,125200,21.950035
2009-08-25,34.82,34.900002,34.700001,34.849998,42100,22.025887
2009-08-26,35,35,34.560001,34.700001,42700,21.931074
2009-08-27,34.959999,34.959999,34.709999,34.830002,23600,22.013245
2009-08-28,34.950001,35.169998,34.77,34.970001,58300,22.101732
2009-08-31,35.080002,35.080002,34.650002,34.900002,41000,22.057489
2009-09-01,34.689999,34.779999,34.279999,34.490002,35900,21.917679
2009-09-02,34.169998,34.549999,34.16,34.549999,85700,21.955807
2009-09-03,34.630001,34.75,34.580002,34.630001,51500,22.006649
2009-09-04,34.73,35.150002,34.650002,35.130001,106700,22.324385
2009-09-08,35.169998,35.349998,34.98,35.130001,77800,22.324385
