date,open,high,low,close,volume,adjusted
2006-06-16,50.200001,50.279999,50.029999,50.200001,9700,27.70175
2006-06-19,50.130001,50.130001,49.740002,49.810001,1100,27.486544
2006-06-20,50.209999,50.209999,50.049999,50.049999,200,27.618975
2006-06-21,50.150002,50.700001,50.150002,50.700001,1000,27.977676
2006-06-22,50.450001,50.5,50.389999,50.41,1500,27.817644
2006-06-23,50.049999,50.240002,50.049999,50.240002,1100,27.723839
2006-06-26,50.34,50.52,50.34,50.52,200,27.878345
2006-06-27,50.5,50.5,50.400002,50.400002,400,27.812128
2006-06-28,50.349998,50.400002,50.200001,50.400002,700,27.812128
2006-06-29,50.75,51,50.75,51,700,28.143215
2006-06-30,52.48,52.549999,52.48,52.549999,2400,28.998547
2006-07-03,52.560001,52.689999,52.490002,52.689999,7800,29.075811
2006-07-05,52.380001,52.400002,52.150002,52.400002,2800,28.915781
2006-07-06,52.529999,52.549999,52.529999,52.549999,2700,28.998547
2006-07-07,52.900002,52.939999,52.849998,52.849998,3100,29.164108
2006-07-10,52.650002,52.650002,52.639999,52.639999,6000,29.048218
2006-07-11,52.5,52.869999,52.299999,52.869999,3900,29.175133
2006-07-12,52.5,52.5,52,52.099998,2800,28.750227
2006-07-13,51.610001,51.610001,51.32,51.32,1400,28.319807
2006-07-14,51.189999,51.189999,50.970001,51.080002,1400,28.187355
2006-07-17,50.200001,50.200001,50.150002,50.150002,1300,27.674168
2006-07-18,50.549999,50.549999,50.349998,50.349998,1800,27.784521
2006-07-19,50.209999,51.68,50.209999,51.68,7300,28.518454
2006-07-20,51.849998,51.849998,51.59,51.59,14900,28.468792
2006-07-21,51.709999,51.709999,51.5,51.540001,2200,28.44121
2006-07-24,51.880001,52.560001,51.880001,52.560001,10200,29.004066
2006-07-25,52.349998,52.389999,52.07,52.389999,3600,28.910257
2006-07-26,52.200001,52.830002,52.150002,52.830002,2100,29.153061
2006-07-27,53.299999,53.41,52.700001,52.700001,4400,29.081329
2006-07-28,53.240002,53.669998,53.240002,53.650002,10400,29.605562
2006-07-31,53.299999,53.439999,53.299999,53.34,2200,29.434492
2006-08-01,53.200001,53.200001,53.049999,53.049999,800,29.274467
2006-08-02,53.48,53.869999,53.48,53.869999,2800,29.726969
2006-08-03,53.349998,53.610001,53.32,53.610001,1300,29.583485
2006-08-04,54.23,54.349998,54.110001,54.209999,5200,29.914576
2006-08-07,53.810001,53.990002,53.77,53.990002,3900,29.793182
2006-08-08,53.700001,53.959999,53.700001,53.959999,5000,29.776619
2006-08-09,54.049999,54.380001,54.040001,54.23,3100,29.92561
2006-08-10,53.849998,54.200001,53.849998,54.200001,14200,29.909065
2006-08-11,53.700001,54,53.700001,54,8900,29.798714
2006-08-14,54.150002,54.299999,53.869999,53.869999,3600,29.726969
2006-08-15,54.799999,55.099998,54.709999,54.900002,25500,30.295343
2006-08-16,55.299999,55.630001,55.009998,55.599998,18500,30.681618
2006-08-17,55.41,55.41,55.290001,55.290001,8900,30.510553
2006-08-18,55.25,55.299999,55.200001,55.290001,1600,30.510553
2006-08-21,55.459999,56.389999,55.439999,56.169998,11900,30.996168
2006-08-22,56,56,55.68,55.68,14800,30.725771
2006-08-23,55.330002,55.330002,54.049999,54.25,104900,29.936651
2006-08-24,54.549999,54.549999,54.060001,54.189999,46300,29.903547
2006-08-25,54.299999,54.299999,54.150002,54.169998,20900,29.892509
2006-08-28,54.220001,54.75,54.220001,54.650002,43300,30.157385
2006-08-29,54.900002,55.040001,54.529999,55.009998,15700,30.35605
2006-08-30,55.41,55.41,55.080002,55.299999,79600,30.516085
2006-08-31,55.310001,55.43,54.950001,55.150002,29800,30.433306
2006-09-01,55.200001,55.450001,55.200001,55.41,16800,30.576778
2006-09-05,55.5,55.650002,55.32,55.650002,14200,30.709215
2006-09-06,54.98,55.029999,54.799999,54.830002,15900,30.256714
2006-09-07,54.400002,54.709999,54.25,54.419998,25500,30.03047
2006-09-08,54.400002,54.529999,54.279999,54.5,25200,30.074623
2006-09-11,54.259998,54.459999,54.080002,54.43,7100,30.035986
2006-09-12,54.650002,55.16,54.639999,55.040001,8100,30.372604
2006-09-13,54.919998,55.119999,54.810001,55.080002,5700,30.394678
2006-09-14,55.099998,55.23,55.060001,55.150002,15500,30.433306
2006-09-15,55.150002,55.16,54.91,55.060001,15000,30.383638
2006-09-18,55.02,55.41,55.02,55.349998,6200,30.543667
2006-09-19,55.220001,55.23,54.59,54.889999,25200,30.289822
2006-09-20,55.279999,55.639999,55.279999,55.48,37500,30.61541
2006-09-21,55.880001,55.880001,55.549999,55.68,7500,30.725771
2006-09-22,55.5,55.5,55.32,55.450001,27700,30.598852
2006-09-25,55.299999,55.75,55,55.75,40100,30.764404
2006-09-26,55.509998,55.919998,55.5,55.900002,13800,30.847181
2006-09-27,56,56.349998,55.970001,56.25,11300,31.040314
2006-09-28,56.099998,56.290001,56.029999,56.279999,21800,31.05687
2006-09-29,56.02,56.209999,56,56.049999,7500,30.929955
2006-10-02,56.119999,56.470001,56.099998,56.139999,9700,30.97962
2006-10-03,56.099998,56.689999,56,56.279999,10400,31.05687
2006-10-04,56.349998,57.07,56.349998,57.049999,23100,31.48177
2006-10-05,56.950001,57.099998,56.790001,57.099998,13500,31.509373
2006-10-06,56.540001,56.720001,56.459999,56.720001,14800,31.299667
2006-10-09,56.59,56.759998,56.43,56.52,72200,31.189308
2006-10-10,56.52,56.619999,56.369999,56.599998,24300,31.233456
2006-10-11,56.639999,56.869999,56.5,56.73,8800,31.305193
2006-10-12,57,57.43,57,57.330002,23000,31.636297
2006-10-13,57.25,57.41,57.150002,57.380001,9000,31.663874
2006-10-16,57.419998,57.66,57.349998,57.639999,13200,31.807346
2006-10-17,57.07,57.07,56.720001,56.970001,15500,31.43763
2006-10-18,57.32,57.400002,57.09,57.23,28900,31.5811
2006-10-19,57.34,57.68,57.34,57.650002,10600,31.812881
2006-10-20,57.700001,57.82,57.490002,57.77,10500,31.879099
2006-10-23,57.240002,57.709999,57.240002,57.700001,24300,31.840458
2006-10-24,57.5,57.740002,57.459999,57.709999,34400,31.845982
2006-10-25,57.799999,58.220001,57.790001,58.16,15900,32.094299
2006-10-26,58.549999,58.779999,58.34,58.709999,29900,32.3978
2006-10-27,58.799999,58.860001,58.470001,58.509998,232900,32.287453
2006-10-30,58.509998,58.740002,58.450001,58.630001,28900,32.353664
2006-10-31,58.779999,59.049999,58.779999,58.98,26600,32.546806
2006-11-01,59.349998,59.450001,58.779999,58.84,32200,32.469551
2006-11-02,58.740002,59.029999,58.740002,59,44200,32.557835
2006-11-03,59.060001,59.099998,58.790001,58.959999,18100,32.535763
2006-11-06,59.349998,59.84,59.349998,59.75,24500,32.971706
2006-11-07,59.990002,60.290001,59.889999,59.939999,39200,33.076565
2006-11-08,59.900002,60.43,59.849998,60.310001,30000,33.280739
2006-11-09,60.080002,60.27,59.849998,59.950001,41700,33.082077
2006-11-10,60.18,60.189999,59.959999,60.189999,28100,33.214508
2006-11-13,60.130001,60.349998,60.099998,60.130001,42900,33.181396
2006-11-14,60.5,60.799999,60.34,60.580002,29600,33.429733
2006-11-15,60.299999,60.689999,60.299999,60.610001,35300,33.446289
2006-11-16,60.599998,60.630001,60.470001,60.470001,21500,33.369026
2006-11-17,60.209999,60.66,60.119999,60.66,62200,33.473881
2006-11-20,60.110001,60.32,60.07,60.240002,27700,33.242111
2006-11-21,60.400002,60.689999,60.400002,60.689999,21000,33.490429
2006-11-22,60.849998,60.98,60.779999,60.970001,28100,33.644932
2006-11-24,60.830002,61.09,60.830002,60.919998,20200,33.617348
2006-11-27,60.75,60.799999,60.16,60.189999,59500,33.214508
2006-11-28,60.220001,60.610001,60.200001,60.59,23000,33.435238
2006-11-29,61.110001,61.25,60.810001,61.220001,23300,33.782902
2006-11-30,61.400002,61.580002,61.200001,61.439999,25100,33.904301
2006-12-01,61.400002,61.450001,60.639999,61.099998,61400,33.716679
2006-12-04,61.099998,61.68,61.099998,61.599998,41400,33.992588
2006-12-05,61.599998,61.98,61.049999,61.98,24800,34.202286
2006-12-06,61.650002,62.209999,61.59,61.700001,46000,34.047791
2006-12-07,62.220001,62.349998,61.959999,62.009998,38700,34.218845
2006-12-08,62.099998,62.349998,61.790001,61.82,36400,34.113991
2006-12-11,62.040001,62.450001,61.959999,62.330002,36100,34.39542
2006-12-12,62.369999,62.75,62.25,62.650002,60400,34.572014
2006-12-13,62.849998,63.220001,62.700001,62.919998,69300,34.721008
2006-12-14,63.049999,63.220001,62.98,63.18,45800,34.864475
2006-12-15,63.349998,63.400002,62.919998,63.049999,44100,34.79274
2006-12-18,63.16,63.16,62.880001,62.970001,39800,34.748592
2006-12-19,62.849998,63.5,62.849998,63.490002,30900,35.035545
2006-12-20,63.630001,63.720001,63.200001,63.240002,47100,34.897587
2006-12-21,63.02,63.189999,62.77,62.970001,23700,34.873764
2006-12-22,63.23,63.419998,62.720001,62.889999,26000,34.829468
2006-12-26,62.759998,63.009998,62.759998,62.860001,22800,34.812855
2006-12-27,63.599998,64.010002,63.5,64.010002,61000,35.449745
2006-12-28,64,64.059998,63.740002,63.82,67500,35.344524
2006-12-29,63.700001,63.860001,63.560001,63.669998,45700,35.261456
2007-01-03,64.599998,64.800003,63.950001,64.18,139400,35.543892
2007-01-04,63.849998,64.029999,63.650002,63.869999,75900,35.372204
2007-01-05,63.360001,63.360001,62.889999,63.040001,47000,34.912552
2007-01-08,63.049999,63.200001,62.77,63.139999,55000,34.967926
2007-01-09,63.400002,63.450001,63,63.32,41200,35.067616
2007-01-10,62.540001,62.810001,62.400002,62.77,43000,34.763004
2007-01-11,62.75,63.490002,62.75,63.349998,65300,35.084225000000004
2007-01-12,63.5,63.939999,63.5,63.93,48600,35.405437
2007-01-16,64.199997,64.330002,63.939999,64.120003,77800,35.51067
2007-01-17,63.860001,64.230003,63.82,63.959999,44100,35.422062
2007-01-18,64.330002,64.389999,63.970001,64.080002,110900,35.48851
2007-01-19,64,64.620003,64,64.610001,53700,35.782043
