date,open,high,low,close,volume,adjusted
2014-08-21,40.82,40.82,40.02,40.035,6600,35.759457
2014-08-22,40.035,40.035,40.035,40.035,0,35.759457
2014-08-25,40.049999,40.16,40.049999,40.110001,2400,35.826443
2014-08-26,40.16,40.16,40.049999,40.049999,26900,35.772865
2014-08-27,40.18,40.189999,40.165001,40.169998,2900,35.880039
2014-08-28,40.040001,40.060001,39.950001,40.056,2500,35.778214
2014-08-29,40,40.099998,39.959999,40.080002,1900,35.799648
2014-09-02,40.189999,40.189999,40.110001,40.133999,1700,35.847889
2014-09-03,40.380001,40.391998,40.220001,40.220001,2400,35.92469
2014-09-04,40.580002,40.580002,39.84,39.91,1400,35.647812
2014-09-05,39.73,39.73,39.73,39.73,700,35.487038
2014-09-08,39.700001,39.700001,39.407001,39.407001,400,35.198532
2014-09-09,39.150002,39.18,39.150002,39.18,1200,34.99577
2014-09-10,39.049999,39.25,39.009998,39.25,5200,35.058289
2014-09-11,39.09,39.09,39.09,39.09,300,34.915375
2014-09-12,39.09,39.09,39.09,39.09,0,34.915375
2014-09-15,39.09,39.09,39.049999,39.049999,500,34.879654
2014-09-16,38.919998,39.241001,38.919998,39.209999,2100,35.02256
2014-09-17,39.16,39.16,39,39.119999,1200,34.942177
2014-09-18,39.369999,39.369999,39.369999,39.369999,2000,35.165478
2014-09-19,39.389999,39.41,39.259998,39.266998,11000,35.073475
2014-09-22,39.200001,39.200001,39.200001,39.200001,200,35.013641
2014-09-23,38.720001,38.729,38.702999,38.702999,1300,34.56971
2014-09-24,38.68,38.68,38.68,38.68,500,34.62521
2014-09-25,38.490002,38.490002,38.48,38.48,300,34.446175
2014-09-26,38.369999,38.450001,38.330002,38.450001,2400,34.419327
2014-09-29,38.18,38.389999,38.18,38.389999,400,34.365616
2014-09-30,38.284,38.284,38.284,38.284,200,34.270721
2014-10-01,38.284,38.284,38.284,38.284,0,34.270721
2014-10-02,37.689999,37.689999,37.549999,37.631001,700,33.686184
2014-10-03,37.619999,37.650002,37.619999,37.650002,400,33.703178
2014-10-06,37.650002,37.650002,37.650002,37.650002,0,33.703178
2014-10-07,37.169998,37.169998,37.169998,37.169998,1000,33.27351
2014-10-08,37.09,37.160999,37.09,37.09,1000,33.201889
2014-10-09,37.169998,37.169998,36.73,36.73,700,32.879627
2014-10-10,36.530998,36.530998,36.330002,36.330002,1100,32.521557
2014-10-13,36.25,36.279999,36.25,36.279999,1000,32.476795
2014-10-14,36.18,36.18,36.18,36.18,600,32.387276
2014-10-15,35.715,35.790001,35.485001,35.790001,5000,32.038166
2014-10-16,35.049999,35.07,35.049999,35.07,400,31.393641
2014-10-17,36.293999,36.298,36.293999,36.298,600,32.49292
2014-10-20,36.290001,36.299999,36.290001,36.299999,400,32.494701
2014-10-21,36.740002,36.900002,36.740002,36.889999,29700,33.022854
2014-10-22,36.889999,36.889999,36.84,36.84,300,32.978092
2014-10-23,36.869999,37.07,36.869999,37.009998,1100,33.13026
2014-10-24,37.009998,37.009998,37.009998,37.009998,300,33.13026
2014-10-27,37,37.119999,37,37.119999,2400,33.228745
2014-10-28,37.390999,37.5,37.390999,37.48,40600,33.551003
2014-10-29,37.549999,37.630001,37.290001,37.299999,23100,33.389874
2014-10-30,37.279999,37.630001,37.279999,37.630001,3400,33.68528
2014-10-31,37.889999,37.970001,37.821999,37.970001,9500,33.989635
2014-11-03,37.630001,37.650002,37.580002,37.59,1300,33.649471
2014-11-04,37.5,37.5,37.470001,37.477001,600,33.548321
2014-11-05,37.68,37.681,37.665001,37.665001,400,33.716614
2014-11-06,37.560001,37.669998,37.459999,37.459999,3000,33.533092
2014-11-07,37.419998,37.532001,37.400002,37.532001,1100,33.597553
2014-11-10,37.779999,37.82,37.759998,37.759998,3500,33.801651
2014-11-11,37.970001,38,37.960999,38,4700,34.016487
2014-11-12,37.73,37.73,37.716,37.716,4100,33.762264
2014-11-13,37.904999,37.904999,37.904999,37.904999,100,33.931454
2014-11-14,37.799999,37.889999,37.77,37.869999,1900,33.900112
2014-11-17,37.900002,37.900002,37.630001,37.790001,2000,33.82851
2014-11-18,38.07,38.080002,38.07,38.07,1600,34.079147
2014-11-19,38.07,38.07,38.07,38.07,0,34.079147
2014-11-20,37.77,37.77,37.77,37.77,200,33.8106
2014-11-21,37.990002,37.990002,37.919998,37.919998,900,33.944881
2014-11-24,37.93,37.93,37.873001,37.873001,3500,33.902805
2014-11-25,37.873001,37.873001,37.873001,37.873001,0,33.902805
2014-11-26,38.09,38.130001,38.080002,38.130001,2300,34.132862
2014-11-28,38.130001,38.130001,38.130001,38.130001,0,34.132862
2014-12-01,37.740002,37.790001,37.709999,37.740002,2400,33.783752
2014-12-02,37.716999,37.73,37.716999,37.73,200,33.774788
2014-12-03,37.759998,37.799999,37.751999,37.799999,1300,33.837456
2014-12-04,37.949001,37.950001,37.900002,37.900002,600,33.926979
2014-12-05,37.900002,37.900002,37.900002,37.900002,0,33.926979
2014-12-08,37.5,37.540001,37.5,37.540001,300,33.604717
2014-12-09,37.088001,37.150002,37.088001,37.125,800,33.233219
2014-12-10,37.029999,37.029999,36.866001,36.866001,1200,33.001366
2014-12-11,36.979,36.979,36.799999,36.799999,500,32.94228
2014-12-12,36.147999,36.147999,36.125999,36.125999,200,32.33894
2014-12-15,36.380001,36.380001,36.009998,36.009998,900,32.2351
2014-12-16,36.009998,36.009998,36.009998,36.009998,0,32.2351
