date,open,high,low,close,volume,adjusted
2010-09-02,26,26.139999,25.93,26.110001,108600,17.400267
2010-09-03,26.6,26.709999,26.360001,26.43,157600,17.61352
2010-09-07,27.219999,27.219999,26.9,26.92,135800,17.940069
2010-09-08,26.99,27.200001,26.98,27.09,223700,18.053358
2010-09-09,27.370001,27.370001,27.02,27.129999,123000,18.080013
2010-09-10,27.24,27.24,27.1,27.200001,119900,18.126667
2010-09-13,27.610001,27.639999,27.4,27.620001,129400,18.406563
2010-09-14,27.5,27.98,27.450001,27.84,73300,18.553177
2010-09-15,27.559999,27.57,27.379999,27.52,118600,18.33992
2010-09-16,27.280001,27.280001,27.08,27.190001,124000,18.120003
2010-09-17,27.290001,27.360001,27.25,27.32,110100,18.206635
2010-09-20,27.67,27.83,27.52,27.77,118600,18.506531
2010-09-21,27.77,28.09,27.66,27.889999,156800,18.586494
2010-09-22,27.870001,28.23,27.84,28,62500,18.659805
2010-09-23,27.52,27.780001,27.5,27.530001,67600,18.346586
2010-09-24,27.799999,27.870001,27.77,27.85,113100,18.559841
2010-09-27,28.18,28.18,27.799999,27.9,8800,18.593161
2010-09-28,27.799999,28.110001,27.700001,28.1,9500,18.726444
2010-09-29,27.799999,27.879999,27.75,27.809999,7800,18.533184
2010-09-30,27.700001,27.700001,27.15,27.280001,26000,18.179977
2010-10-01,27.959999,30.74,27.93,28.219999,33900,18.806417
2010-10-04,28.17,28.209999,27.84,27.93,20200,18.613153
2010-10-05,28.540001,28.6,28.23,28.549999,20600,19.026335
2010-10-06,28.790001,28.790001,27.559999,28.540001,29900,19.019672
2010-10-07,28.73,28.73,28.17,28.32,20200,18.873058
2010-10-08,28.379999,28.629999,28.35,28.610001,23400,19.066324
2010-10-11,28.700001,28.700001,28.43,28.440001,16800,18.953028
2010-10-12,28.43,28.700001,28.42,28.700001,15700,19.126297
2010-10-13,28.85,29.120001,28.799999,28.98,13200,19.312899
2010-10-14,29.049999,29.059999,28.83,28.93,69300,19.279577
2010-10-15,28.950001,28.950001,28.68,28.82,19500,19.206272
2010-10-18,28.92,29.23,28.92,29.17,11900,19.439514
2010-10-19,28.379999,28.41,28.1,28.1,15000,18.726444
2010-10-20,28.15,28.77,28.15,28.67,22600,19.106304
2010-10-21,28.58,28.84,28.290001,28.440001,21100,18.953028
2010-10-22,28.85,28.85,28.6,28.66,2600,19.09964
2010-10-25,29.030001,29.309999,29.030001,29.07,29400,19.372875
2010-10-26,28.6,28.66,28.5,28.620001,22900,19.072987
2010-10-27,28.43,28.43,28.16,28.35,10700,18.893053
2010-10-28,28.9,28.950001,28.82,28.860001,36100,19.232927
2010-10-29,29.360001,29.459999,29.299999,29.41,16600,19.599464
2010-11-01,29.66,29.66,29.219999,29.219999,6000,19.472839
2010-11-02,29.93,30.030001,29.91,29.959999,10300,19.965988
2010-11-03,30.1,30.299999,29.92,30.290001,30000,20.185909
2010-11-04,31.200001,31.200001,31.07,31.15,20900,20.759029
2010-11-05,30.879999,30.969999,30.620001,30.950001,19300,20.625746
2010-11-08,30.43,30.52,30.200001,30.459999,36600,20.299202
2010-11-09,30.82,30.82,29.91,29.91,29300,19.932669
2010-11-10,30.549999,30.629999,30.190001,30.629999,21100,20.412491
2010-11-11,30.370001,30.370001,30.120001,30.23,70200,20.145926
2010-11-12,30.049999,30.139999,29.690001,29.9,20500,19.926003
2010-11-15,30.32,30.379999,30.01,30.059999,24600,20.032633
2010-11-16,29.85,29.85,29.379999,29.530001,38000,19.679428
2010-11-17,29.52,29.68,29.469999,29.540001,23600,19.686094
2010-11-18,29.879999,30,29.84,29.99,8100,19.985983
2010-11-19,29.629999,29.82,29.52,29.82,9800,19.872688
2010-11-22,29.6,29.809999,29.459999,29.809999,12800,19.866024
2010-11-23,29.120001,29.139999,28.68,28.709999,26900,19.132961
2010-11-24,29.01,29.389999,28.940001,29.299999,36500,19.52615
2010-11-26,28.690001,28.709999,28.58,28.58,17400,19.046328
2010-11-29,28.5,28.68,28.280001,28.68,13000,19.112968
2010-11-30,28.290001,28.549999,28.290001,28.43,7300,18.946365
2010-12-01,28.6,28.92,28.6,28.9,8700,19.259581
2010-12-02,28.58,29.16,28.58,29.120001,12900,19.406195
2010-12-03,29.049999,29.5,29.049999,29.42,17300,19.606123
2010-12-06,29.25,29.32,29.18,29.32,9200,19.539478
2010-12-07,29.42,29.540001,29.09,29.1,16100,19.392864
2010-12-08,28.98,28.98,28.719999,28.76,68000,19.166285
2010-12-09,28.66,28.66,28.469999,28.65,50100,19.092978
2010-12-10,28.57,28.57,28.459999,28.48,14300,18.979685
2010-12-13,28.82,29.059999,28.82,28.889999,18400,19.252918
2010-12-14,28.83,28.85,28.66,28.67,13400,19.106304
2010-12-15,28.4,28.549999,28.190001,28.190001,8800,18.786425
2010-12-16,28.18,28.299999,28.040001,28.27,14100,18.839735
2010-12-17,28.4,28.48,28.32,28.450001,8800,18.959694
2010-12-20,28.639999,28.73,28.57,28.709999,26300,19.132961
2010-12-21,28.280001,28.290001,28.200001,28.24,17700,19.248154
2010-12-22,28.24,28.26,28.16,28.24,13600,19.248154
2010-12-23,28.370001,28.5,28.32,28.42,14600,19.370836
2010-12-27,28.469999,28.5,28.32,28.49,9500,19.418552
2010-12-28,28.65,28.809999,28.610001,28.809999,9100,19.636658
2010-12-29,28.879999,29.15,28.879999,29.15,6300,19.868399
2010-12-30,29.219999,29.33,29.120001,29.24,6500,19.929743
2010-12-31,29.209999,29.42,29.17,29.379999,11000,20.025166
2011-01-03,29.450001,29.530001,29.32,29.42,22900,20.052429
2011-01-04,29.049999,29.139999,28.879999,28.99,18800,19.759344
2011-01-05,28.85,29.09,28.85,29,177600,19.766159
2011-01-06,29,29,28.620001,28.690001,24600,19.554867
2011-01-07,28.76,28.83,28.34,28.65,37200,19.527605
2011-01-10,28.5,28.790001,28.459999,28.73,75300,19.58213
2011-01-11,28.66,28.84,28.65,28.83,23300,19.650291
2011-01-12,28.799999,29.049999,28.790001,29.049999,10500,19.800241
2011-01-13,29.51,29.58,29.360001,29.360001,15000,20.011532
2011-01-14,29.42,29.540001,29.32,29.450001,166300,20.07288
2011-01-18,29.379999,29.42,29.26,29.33,14700,19.991091
2011-01-19,29.4,29.450001,28.99,29.030001,26700,19.78661
2011-01-20,28.700001,28.719999,28.4,28.719999,10800,19.575315
2011-01-21,29.040001,29.040001,28.85,28.940001,9300,19.725267
2011-01-24,28.959999,29.219999,28.93,29.129999,18900,19.854765
2011-01-25,29.09,29.27,29.030001,29.27,13200,19.950188
2011-01-26,29.219999,29.549999,29.200001,29.549999,10500,20.141035
2011-01-27,29.41,29.549999,29.370001,29.459999,6800,20.079695
2011-01-28,29.73,29.73,29.219999,29.280001,29200,19.957008
2011-01-31,29.299999,29.5,29.24,29.43,14800,20.059246
2011-02-01,29.5,29.91,29.5,29.9,38100,20.379591
2011-02-02,29.73,29.75,29.57,29.65,15300,20.209198
2011-02-03,29.120001,29.459999,29.120001,29.440001,10000,20.066059
2011-02-04,29.51,29.639999,29.32,29.48,8600,20.093325
2011-02-07,29.709999,29.870001,29.700001,29.76,10100,20.284168
2011-02-08,29.6,29.950001,29.6,29.84,7500,20.338696
2011-02-09,29.639999,29.76,29.549999,29.57,7900,20.154673
2011-02-10,29.129999,29.299999,29.059999,29.110001,10200,19.841133
2011-02-11,28.799999,29.120001,28.75,29.120001,15800,19.847952
2011-02-14,28.940001,29.030001,28.9,28.959999,35800,19.738899
2011-02-15,28.889999,28.969999,28.799999,28.879999,14400,19.68437
2011-02-16,28.75,29.030001,28.75,29.030001,6700,19.78661
2011-02-17,29.129999,29.379999,29.07,29.33,13300,19.991091
2011-02-18,29.43,29.65,29.43,29.49,5700,20.100142
2011-02-22,28.559999,28.700001,28.290001,28.309999,23500,19.295864
2011-02-23,28.389999,28.49,28.24,28.41,41800,19.364017
2011-02-24,28.52,28.549999,28.24,28.469999,19300,19.404919
2011-02-25,28.540001,28.700001,28.530001,28.67,11400,19.541237
2011-02-28,28.66,28.799999,28.66,28.74,32800,19.588947
2011-03-01,28.799999,28.799999,28.5,28.5,44100,19.425364
2011-03-02,28.51,28.76,28.51,28.690001,38500,19.554867
2011-03-03,28.93,28.93,28.76,28.860001,51200,19.67074
2011-03-04,28.74,28.74,28.4,28.58,82000,19.479893
2011-03-07,28.860001,28.879999,28.450001,28.58,21100,19.479893
2011-03-08,28.5,28.799999,28.450001,28.719999,34800,19.575315
2011-03-09,28.629999,28.66,28.48,28.540001,26400,19.452629
2011-03-10,28.139999,28.32,28.07,28.18,57000,19.207254
2011-03-11,28.16,28.66,28.16,28.559999,185000,19.466261
2011-03-14,27.92,28.18,27.860001,28.139999,51300,19.179991
2011-03-15,27.209999,27.73,27.040001,27.690001,85600,18.873272
2011-03-16,27.51,27.530001,26.879999,27.08,84100,18.457502
2011-03-17,27.32,27.35,27.059999,27.16,40000,18.512032
2011-03-18,27.41,27.610001,27.41,27.549999,16800,18.777851
2011-03-21,27.950001,28.040001,27.879999,27.950001,26100,19.050489
2011-03-22,28.25,28.25,28.040001,28.15,9500,19.18681
2011-03-23,28.030001,28.5,28.030001,28.49,17000,19.418552
2011-03-24,28.77,29.040001,28.709999,28.98,64100,19.752529
2011-03-25,28.969999,29.08,28.83,28.879999,61400,19.68437
2011-03-28,29,29.27,29,29.07,24400,19.813873
2011-03-29,29.09,29.549999,29.09,29.549999,14900,20.141035
2011-03-30,29.549999,29.76,29.52,29.73,12700,20.263725
2011-03-31,29.74,29.959999,29.73,29.809999,50800,20.318249
2011-04-01,29.98,30.23,29.92,30.120001,61200,20.529547
2011-04-04,30.040001,30.219999,29.959999,30.15,191800,20.549992
2011-04-05,30.1,30.389999,30.1,30.24,15100,20.611334
2011-04-06,30.370001,30.59,30.35,30.49,18000,20.781731
2011-04-07,30.4,30.530001,30.15,30.360001,39000,20.693129
