date,open,high,low,close,volume,adjusted
2014-12-24,25.16,25.16,25.16,25.16,0,23.501781
2014-12-26,25.290001,25.290001,25.290001,25.290001,0,23.623213
2014-12-29,25.27,25.4,25.27,25.4,4000,23.725964
2014-12-30,25.35,25.35,25.26,25.26,4000,23.595186000000002
2014-12-31,25.26,25.26,25.26,25.26,6000,23.595186000000002
2015-01-02,25.108999,25.108999,24.9,24.959999,4200,23.314962
2015-01-05,24.469999,24.5,24.42,24.5,1300,22.885279
2015-01-06,24.499001,24.549999,24.27,24.27,6600,22.670439
2015-01-07,24.379,24.440001,24.379,24.440001,3100,22.829235
2015-01-08,24.809,24.809,24.809,24.809,200,23.173916
2015-01-09,24.629,24.73,24.629,24.73,500,23.100121
2015-01-12,24.549999,24.549999,24.549999,24.549999,100,22.93198
2015-01-13,24.549999,24.549999,24.549999,24.549999,0,22.93198
2015-01-14,24.32,24.32,24.120001,24.120001,500,22.530325
2015-01-15,24.33,24.34,24.18,24.209999,30400,22.614395
2015-01-16,24.23,24.389999,24.23,24.360001,32700,22.754509
2015-01-20,24.43,24.483,24.26,24.483,83800,22.869402
2015-01-21,24.57,24.700001,24.549999,24.610001,90100,22.988031
2015-01-22,24.767,24.969999,24.75,24.950001,75500,23.30562
2015-01-23,24.93,25,24.858999,24.860001,68200,23.221552
2015-01-26,24.84,25.02,24.75,25.02,10600,23.371008
2015-01-27,24.82,24.969999,24.75,24.92,14200,23.277601
2015-01-28,24.92,24.92,24.5,24.51,14600,22.894619
2015-01-29,24.530001,24.700001,24.280001,24.68,297200,23.053417
2015-01-30,24.49,24.75,24.43,24.440001,290600,22.829235
2015-02-02,24.530001,24.77,24.41,24.738001,294200,23.107595
2015-02-03,24.99,25.190001,24.92,25.190001,279000,23.529806
2015-02-04,25.110001,25.200001,25.01,25.09,285500,23.436394
2015-02-05,25.15,25.41,25.15,25.4,533900,23.725964
2015-02-06,25.440001,25.440001,25.26,25.27,4400,23.604532
2015-02-09,25.23,25.27,25.202,25.202,1600,23.541006
2015-02-10,25.190001,25.245001,25.190001,25.245001,900,23.581179
2015-02-11,25.290001,25.379999,25.200001,25.309999,443600,23.641893
2015-02-12,25.51,25.6,25.51,25.57,486500,23.884756
2015-02-13,25.66,25.74,25.620001,25.74,409800,24.043554
2015-02-17,25.73,25.83,25.690001,25.790001,548900,24.09026
2015-02-18,25.67,26.24,25.66,25.860001,438300,24.155643
2015-02-19,25.860001,25.940001,25.84,25.870001,509300,24.164989
2015-02-20,25.84,26,25.83,25.983999,395200,24.271473
2015-02-23,25.969999,25.969999,25.868,25.941,5100,24.23131
2015-02-24,25.959999,26.040001,25.940001,26.030001,485400,24.314444
2015-02-25,26,26.110001,25.983999,26.040001,702900,24.323782
2015-02-26,26.023001,26.023001,25.860001,25.898001,13800,24.191139
2015-02-27,25.91,25.950001,25.860001,25.860001,30100,24.155643
2015-03-02,25.860001,25.93,25.834999,25.912001,13500,24.20422
2015-03-03,25.889999,25.889999,25.83,25.868999,20000,24.164051
2015-03-04,25.719999,25.74,25.681999,25.74,3100,24.043554
2015-03-05,25.790001,25.82,25.73,25.77,3600,24.071575
2015-03-06,25.68,25.68,25.389999,25.41,15800,23.735306
2015-03-09,25.4,25.43,25.4,25.43,300,23.753986
2015-03-10,25.219999,25.219999,25.120001,25.132999,3200,23.476561
2015-03-11,25.120001,25.17,25.09,25.17,7400,23.511124
