date,open,high,low,close,volume,adjusted
2009-07-07,25,25.08,24.58,24.58,0,19.922527
2009-07-08,24.73,24.73,24.25,24.6,0,19.938738
2009-07-09,24.75,24.75,24.6,24.639999,0,19.971161
2009-07-10,24.469999,24.57,24.459999,24.540001,0,19.890112
2009-07-13,24.82,26.200001,24.790001,24.98,0,20.24674
2009-07-14,25.219999,25.24,25.09,25.24,0,20.457472
2009-07-15,25.790001,25.99,25.790001,25.98,0,21.057259
2009-07-16,25.91,26.26,25.85,26.25,0,21.2761
2009-07-17,26.27,26.27,26.129999,26.25,0,21.2761
2009-07-20,26.5,26.559999,26.280001,26.559999,0,21.527361
2009-07-21,26.85,26.85,26.360001,26.690001,0,21.632723
2009-07-22,26.48,26.76,26.48,26.690001,0,21.632723
2009-07-23,26.690001,27.4,26.690001,27.360001,0,22.175772
2009-07-24,27.290001,27.51,27.18,27.51,0,22.29735
2009-07-27,27.530001,27.549999,27.4,27.549999,0,22.329765
2009-07-28,27.450001,27.469999,27.280001,27.32,0,22.143351
2009-07-29,27.129999,27.299999,27.110001,27.299999,0,22.12714
2009-07-30,27.690001,27.879999,27.6,27.67,0,22.427031
2009-07-31,27.620001,27.76,27.6,27.700001,0,22.451347
2009-08-03,28,28.110001,27.879999,28.09,0,22.767448
2009-08-04,28.1,28.209999,28.08,28.209999,0,22.864714
2009-08-05,28.280001,28.280001,27.91,28.139999,0,22.807978
2009-08-06,28.25,28.25,27.950001,28.049999,0,22.735027
2009-08-07,28.450001,28.6,28.450001,28.52,0,23.115973
2009-08-10,28.200001,28.200001,28.16,28.17,0,22.832293
2009-08-11,28.299999,28.299999,27.93,28.040001,0,22.726921
2009-08-12,28.26,28.440001,28.24,28.280001,0,22.921444
2009-08-13,28.389999,28.43,28.360001,28.42,0,23.034927
2009-08-14,28.530001,28.530001,27.98,28.17,0,22.832293
2009-08-17,27.49,27.559999,27.49,27.5,0,22.289246
2009-08-18,27.690001,27.83,27.59,27.809999,0,22.540499
2009-08-19,27.49,28,27.49,27.99,0,22.686399
2009-08-20,27.91,28.09,27.75,28.09,0,22.767448
2009-08-21,28.469999,28.82,28.469999,28.82,0,23.359125
2009-08-24,29.049999,29.049999,28.860001,28.860001,0,23.391548
2009-08-25,28.85,29.09,28.799999,28.799999,0,23.342915
2009-08-26,28.790001,28.82,28.690001,28.76,5800,23.31049
2009-08-27,28.559999,28.91,28.49,28.9,11300,23.423977
2009-08-28,28.83,28.9,28.709999,28.84,1800,23.375332
2009-08-31,28.5,28.6,28.440001,28.6,2100,23.180817
2009-09-01,28.57,28.75,28.02,28.049999,11900,22.735027
2009-09-02,28.01,28.01,27.93,27.969999,3000,22.670189
2009-09-03,28.02,28.02,27.91,27.99,5700,22.686399
2009-09-04,28.34,28.440001,28.34,28.440001,400,23.051134
2009-09-08,28.85,28.85,28.68,28.799999,600,23.342915
2009-09-09,28.889999,29.08,28.82,28.950001,24700,23.464495
2009-09-10,29,29.059999,28.99,29.059999,700,23.553652
2009-09-11,29.290001,29.34,29.200001,29.25,3600,23.707649
2009-09-14,28.99,29.48,28.99,29.48,2300,23.894066
2009-09-15,29.49,29.65,29.459999,29.629999,16000,24.015648
2009-09-16,29.860001,30.09,29.82,30.01,9600,24.323645
2009-09-17,30.16,30.290001,29.93,30.01,16100,24.323645
2009-09-18,30.120001,30.120001,30,30.08,36600,24.380375
2009-09-21,29.84,29.93,29.25,29.93,2900,24.258802
2009-09-22,30.200001,30.200001,30.059999,30.129999,4200,24.420912
2009-09-23,30.1,30.16,29.690001,29.690001,8000,24.175005
2009-09-24,29.809999,29.809999,29.26,29.389999,6800,23.930729
2009-09-25,29.389999,29.389999,29.08,29.219999,10500,23.792303
2009-09-28,29.459999,29.690001,29.440001,29.690001,1700,24.175005
2009-09-29,29.74,29.82,29.639999,29.74,4600,24.215719
2009-09-30,29.629999,29.629999,29.27,29.450001,19700,23.979588
2009-10-01,29.290001,29.309999,28.76,28.76,7200,23.417749
2009-10-02,28.42,28.59,28.42,28.59,3200,23.279331
2009-10-05,28.73,29.040001,28.73,29.040001,12700,23.645742
2009-10-06,29.450001,29.549999,29.32,29.32,6800,23.873734
2009-10-07,29.450001,29.450001,29.4,29.42,1900,23.955154
2009-10-08,29.719999,29.790001,29.559999,29.719999,26700,24.199429
2009-10-09,29.780001,29.91,29.719999,29.91,2000,24.354137
2009-10-12,30,30.139999,29.92,30,24100,24.427414
2009-10-13,30.02,30.02,29.82,30.01,15400,24.435564
2009-10-14,30.379999,30.530001,30.25,30.440001,17800,24.78569
2009-10-15,30.389999,30.629999,30.389999,30.629999,3200,24.940382
2009-10-16,30.43,30.43,30.34,30.4,900,24.75312
2009-10-19,30.43,30.790001,30.43,30.690001,7900,24.989248
2009-10-20,30.82,30.82,30.459999,30.469999,1900,24.810114
2009-10-21,30.73,30.73,30.26,30.26,2000,24.639124
2009-10-22,30.219999,30.6,30.219999,30.6,2100,24.915964
2009-10-23,30.469999,30.559999,30.17,30.17,1500,24.56584
2009-10-26,30.129999,30.450001,29.68,29.690001,2700,24.175005
2009-10-27,29.75,29.870001,29.610001,29.639999,10600,24.134289
2009-10-28,29.440001,29.48,29.059999,29.059999,2100,23.662027
2009-10-29,29.450001,29.620001,29.450001,29.620001,700,24.118008
2009-10-30,29.459999,29.48,28.799999,28.860001,3300,23.499186
2009-11-02,29.030001,29.24,28.950001,28.99,8600,23.605026
2009-11-03,28.969999,29.120001,28.9,29.120001,2200,23.71088
2009-11-04,29.35,29.51,29.35,29.48,1800,24.004017
2009-11-05,29.59,29.76,29.59,29.76,9000,24.232002
2009-11-06,29.790001,29.85,29.790001,29.799999,6800,24.264565
2009-11-09,30.059999,30.059999,30.059999,30.059999,100,24.476278
2009-11-10,30.379999,30.530001,30.379999,30.530001,1400,24.858971
2009-11-11,30.76,30.860001,30.559999,30.57,22100,24.891544
2009-11-12,30.43,30.5,30.33,30.370001,20200,24.728693
2009-11-13,30.389999,30.549999,30.389999,30.549999,5700,24.875252
2009-11-16,30.780001,31.139999,30.780001,31.08,10600,25.306807
2009-11-17,30.959999,30.99,30.809999,30.99,3500,25.233524
2009-11-18,30.950001,30.959999,30.950001,30.950001,10000,25.200953
2009-11-19,30.530001,30.530001,30.51,30.51,2200,24.842688
