date,open,high,low,close,volume,adjusted
2000-01-03,18.5,18.625,18.0625,18.25,42800,12.377427
2000-01-04,17.75,17.75,16.625,16.625,37400,11.275328
2000-01-05,16.5625,17.0625,16.25,17,22400,11.529658
2000-01-06,16.8125,17.125,16.8125,17,21300,11.529658
2000-01-07,17.1875,17.6875,16.9375,17.5,57600,11.86877
2000-01-10,18.25,18.375,18,18.375,36700,12.46221
2000-01-11,18.5625,18.5625,17.875,17.875,29300,12.123098
2000-01-12,18,18,17.625,17.75,5700,12.038321
2000-01-13,18.5,18.5625,18.25,18.375,27000,12.46221
2000-01-14,18.25,18.625,18.25,18.625,23700,12.631763
2000-01-18,18.625,18.75,18.375,18.5625,26800,12.589372
2000-01-19,18.625,18.625,18,18.25,11900,12.377427
2000-01-20,18.0625,18.3125,17.5,17.5,94400,11.86877
2000-01-21,17.625,17.625,17.4375,17.5,7900,11.86877
2000-01-24,17.5,17.625,16.875,16.875,21400,11.444883
2000-01-25,16.875,17.125,16.6875,16.875,21500,11.444883
2000-01-26,17.125,17.125,16.875,17.125,10200,11.61444
2000-01-27,17.0625,17.375,17,17.1875,29600,11.656825
2000-01-28,16.6875,16.9375,16.5,16.5625,12900,11.232941
2000-01-31,16.375,16.375,15.8125,16.25,12400,11.020998
2000-02-01,16.1875,16.4375,15.9375,16.3125,21900,11.063389
2000-02-02,16.3125,16.75,16.3125,16.75,27300,11.360104
2000-02-03,16.875,17.6875,16.875,17.6875,16800,11.995934
2000-02-04,17.625,18.3125,17.625,18.125,73300,12.292652
2000-02-07,18.25,18.5625,18.125,18.5625,23300,12.589372
2000-02-08,19.375,19.375,18.4375,18.875,26400,12.801314
2000-02-09,18.6875,19.0625,18.5625,18.5625,16800,12.589372
2000-02-10,18.5,19.375,18.5,19.0625,35300,12.928479
2000-02-11,19.375,19.4375,18.625,18.6875,17900,12.674145
2000-02-14,19.0625,19.0625,18.75,18.75,11800,12.716537
2000-02-15,18.75,18.875,18.25,18.75,31300,12.716537
2000-02-16,18.8125,18.9375,18.6875,18.9375,8900,12.8437
2000-02-17,19,19,18.5625,18.75,13700,12.716537
2000-02-18,18.8125,18.8125,18,18,11500,12.207878
2000-02-22,18.125,18.125,17.375,17.375,27500,11.783992
2000-02-23,17.8125,18.125,17.75,18.125,20400,12.292652
2000-02-24,18.125,18.4375,17.875,17.9375,15100,12.165488
2000-02-25,17.9375,18.1875,17.8125,17.8125,17900,12.080713
2000-02-28,17.6875,17.8125,17.375,17.75,14700,12.038321
2000-02-29,17.875,18.125,17.75,17.75,7400,12.038321
2000-03-01,18,18.375,17.75,18.1875,16400,12.33504
2000-03-02,18.5,19.375,18.5,19.375,16800,13.140426
2000-03-03,20,20.25,19.5625,19.9375,70100,13.521915
2000-03-06,19.9375,19.9375,19.375,19.625,16400,13.309973
2000-03-07,19.3125,20.4375,19.125,19.75,75700,13.394755
2000-03-08,20,20.5625,20,20.25,32700,13.733859
2000-03-09,20.75,20.8125,20.375,20.5625,16700,13.945804
2000-03-10,20.75,20.75,20.125,20.125,28900,13.64908
2000-03-13,19.875,19.875,19.1875,19.375,19400,13.140426
2000-03-14,19.625,19.625,19,19,12900,12.886093
2000-03-15,18.9375,19.3125,18.6875,19.25,31500,13.055645
2000-03-16,19.8125,19.8125,19.3125,19.4375,12400,13.182813
2000-03-17,19.5,19.75,19.3125,19.625,35500,13.309973
2000-03-20,19.75,19.75,19.4375,19.6875,55000,13.352364
2000-03-21,19.625,19.75,19.4375,19.75,9200,13.394755
2000-03-22,19.5625,19.75,19.1875,19.4375,14500,13.182813
2000-03-23,19,19.625,19,19.625,17000,13.309973
2000-03-24,19.6875,20.0625,19.6875,20,15300,13.564306
2000-03-27,20.3125,20.3125,20,20.1875,11200,13.691469
2000-03-28,19.875,19.9375,19.6875,19.6875,4600,13.352364
2000-03-29,19.3125,19.625,19.25,19.3125,60300,13.098035
2000-03-30,18.9375,19,18.25,18.5625,91800,12.589372
2000-03-31,18.875,18.875,18.4375,18.4375,7300,12.504593
2000-04-03,18.4375,18.4375,17.875,17.875,20300,12.123098
2000-04-04,18.0625,18.375,16.875,17.5625,57700,11.911157
2000-04-05,17.5625,18.0625,17.4375,17.9375,16600,12.165488
2000-04-06,18.0625,18.375,18.0625,18.3125,13900,12.41982
2000-04-07,18.8125,19,18.6875,19,27700,12.886093
2000-04-10,18.75,19.0625,18.75,18.8125,19400,12.758927
2000-04-11,18.4375,18.4375,18.25,18.3125,7400,12.41982
2000-04-12,18.25,18.25,17.75,17.75,11200,12.038321
2000-04-13,17.625,17.625,17.1875,17.1875,17100,11.656825
2000-04-14,16.3125,16.5625,15.3125,15.4375,56300,10.46995
2000-04-17,15.4375,15.5,15.1875,15.5,19200,10.512338
2000-04-18,15.75,16.375,15.5,16.375,16200,11.105775
2000-04-19,16.1875,16.3125,16,16.0625,23100,10.893834
2000-04-20,16,16,15.8125,16,5100,10.851443
2000-04-24,15.5,15.9375,15.5,15.875,8700,10.766668
2000-04-25,16.3125,16.625,16.3125,16.625,3800,11.275328
2000-04-26,16.75,17.0625,16.4375,16.5,7700,11.190554
2000-04-27,15.875,16.6875,15.875,16.4375,19600,11.148167
2000-04-28,16.6875,16.75,16.5625,16.6875,6900,11.317719
2000-05-01,16.3125,16.5625,16.3125,16.375,5100,11.105775
2000-05-02,16.5625,16.8125,16.375,16.375,5900,11.105775
2000-05-03,16,16,15.5,15.5625,43800,10.554725
