date,open,high,low,close,volume,adjusted
2016-06-21,25.35,25.35,25.35,25.35,1000,20.701853
2016-06-22,25.459999,25.459999,25.447001,25.447001,900,20.781073
2016-06-23,25.66,25.66,25.599001,25.603001,1900,20.908468
2016-06-24,25.17,25.57,25.17,25.209999,13800,20.587528
2016-06-27,24.940001,24.940001,24.790001,24.790001,900,20.244539
2016-06-28,25.1,25.181,25.1,25.181,700,20.563848
2016-06-29,25.573999,25.573999,25.573999,25.573999,1100,20.884783
2016-06-30,25.73,25.73,25.73,25.73,500,21.012184
2016-07-01,25.787001,25.899,25.787001,25.899,300,21.150192
2016-07-05,25.75,25.75,25.75,25.75,100,21.028515
2016-07-06,25.75,25.75,25.75,25.75,0,21.028515
2016-07-07,25.84,25.84,25.707001,25.75,1600,21.028515
2016-07-08,26.09,26.09,26.09,26.09,500,21.306171
2016-07-11,26.129999,26.160999,26.129999,26.160999,1700,21.364157
2016-07-12,26.32,26.32,26.280001,26.280001,2400,21.461338
2016-07-13,26.110001,26.231001,26.066,26.231001,1100,21.421318
2016-07-14,26.280001,26.280001,26.277,26.277,3600,21.458881
2016-07-15,26.167999,26.167999,26.167999,26.167999,300,21.369869
2016-07-18,26.167999,26.167999,26.167999,26.167999,0,21.369869
2016-07-19,26.224001,26.224001,26.224001,26.224001,200,21.415604
2016-07-20,26.309999,26.4,26.309999,26.4,1100,21.559336
2016-07-21,26.459999,26.459999,26.33,26.35,1400,21.518496
2016-07-22,26.33,26.379999,26.33,26.379999,2100,21.54299
2016-07-25,26.379999,26.379999,26.379999,26.379999,0,21.54299
2016-07-26,26.379999,26.379999,26.379999,26.379999,0,21.54299
2016-07-27,26.190001,26.267,26.190001,26.267,5500,21.450722
2016-07-28,26.24,26.24,26.24,26.24,10400,21.428671
2016-07-29,26.17,26.233999,26.17,26.233999,400,21.423771
2016-08-01,26.030001,26.030001,25.955,25.955,600,21.351377
2016-08-02,25.809999,25.809999,25.799999,25.799999,300,21.223873
2016-08-03,25.99,26.110001,25.99,26.110001,1400,21.478889
2016-08-04,26.25,26.25,26.23,26.25,1500,21.594048
2016-08-05,26.375999,26.375999,26.309999,26.309999,400,21.64341
2016-08-08,26.299999,26.43,26.299999,26.43,500,21.742126
2016-08-09,26.489,26.489,26.445999,26.445999,1000,21.755283
2016-08-10,26.469999,26.469999,26.450001,26.450001,6000,21.758583
2016-08-11,26.57,26.620001,26.563999,26.620001,31000,21.898426
2016-08-12,26.6,26.610001,26.6,26.610001,300,21.890205
2016-08-15,26.549999,26.73,26.549999,26.694,2300,21.959299
2016-08-16,26.584,26.67,26.575001,26.67,3200,21.939558
2016-08-17,26.67,26.67,26.67,26.67,0,21.939558
2016-08-18,26.67,26.67,26.67,26.67,0,21.939558
2016-08-19,26.746,26.790001,26.746,26.790001,2100,22.038273
2016-08-22,26.700001,26.708,26.700001,26.708,800,21.970821
2016-08-23,26.83,26.83,26.83,26.83,1100,22.071178
2016-08-24,26.83,26.83,26.83,26.83,0,22.071178
2016-08-25,26.837999,26.837999,26.837999,26.837999,600,22.077765
