date,open,high,low,close,volume,adjusted
2006-03-15,20.35,20.440001,20.32,20.43,84600,12.366004
2006-03-16,20.49,20.530001,20.459999,20.5,41500,12.408378
2006-03-17,20.5,20.530001,20.440001,20.440001,29300,12.372065
2006-03-20,20.52,20.52,20.4,20.440001,21800,12.372065
2006-03-21,20.440001,20.450001,20.290001,20.290001,26800,12.281271
2006-03-22,20.41,20.549999,20.4,20.549999,14600,12.438638
2006-03-23,20.540001,20.559999,20.5,20.530001,8900,12.426534
2006-03-24,20.530001,20.59,20.52,20.530001,27700,12.426534
2006-03-27,20.559999,20.559999,20.5,20.52,5200,12.420485
2006-03-28,20.5,20.549999,20.4,20.4,16200,12.347856
2006-03-29,20.4,20.49,20.360001,20.49,15300,12.402323
2006-03-30,20.43,20.49,20.299999,20.309999,6200,12.293372
2006-03-31,20.379999,20.379999,20.25,20.25,8100,12.257055
2006-04-03,20.290001,20.450001,20.290001,20.34,16700,12.311532
2006-04-04,20.34,20.49,20.34,20.469999,13500,12.390216
2006-04-05,20.48,20.5,20.440001,20.5,6500,12.408378
2006-04-06,20.450001,20.450001,20.33,20.370001,33700,12.329688
2006-04-07,20.440001,20.450001,20.190001,20.209999,23800,12.232845
2006-04-10,20.25,20.25,20.15,20.200001,5500,12.226797
2006-04-11,20.25,20.25,20.049999,20.049999,42700,12.135998
2006-04-12,20,20.040001,19.99,20.030001,50400,12.123893
2006-04-13,20.030001,20.07,19.969999,20.01,81900,12.111789
2006-04-17,20.049999,20.08,19.969999,19.969999,9700,12.087576
2006-04-18,20.059999,20.32,20.030001,20.32,17500,12.299427
2006-04-19,20.32,20.32,20.16,20.219999,8300,12.238898
2006-04-20,20.25,20.33,20.25,20.280001,4600,12.275221
2006-04-21,20.299999,20.35,20.27,20.299999,5000,12.287319
2006-04-24,20.25,20.309999,20.200001,20.309999,4600,12.293372
2006-04-25,20.299999,20.299999,20.27,20.280001,4000,12.275221
2006-04-26,20.43,20.43,20.360001,20.389999,1800,12.341797
2006-04-27,20.35,20.75,20.35,20.719999,4600,12.541539
2006-04-28,20.700001,20.9,20.700001,20.9,5600,12.650495
2006-05-01,20.9,20.9,20.75,20.75,8700,12.559701
2006-05-02,20.780001,20.799999,20.75,20.799999,3500,12.589963
2006-05-03,20.77,20.780001,20.73,20.73,3900,12.547592
2006-05-04,20.85,20.85,20.82,20.84,11800,12.614178
2006-05-05,20.9,21.040001,20.870001,21.040001,3500,12.735235
2006-05-08,21.09,21.09,21,21,5100,12.71102
2006-05-09,20.99,21.030001,20.99,21.02,5800,12.723125
2006-05-10,21.01,21.01,20.92,20.93,24300,12.668653
2006-05-11,21,21,20.67,20.75,15000,12.559701
2006-05-12,20.709999,20.709999,20.530001,20.530001,7200,12.426534
2006-05-15,20.6,20.65,20.559999,20.559999,13200,12.444697
2006-05-16,20.68,20.68,20.610001,20.65,1200,12.499169
2006-05-17,20.5,20.5,20.309999,20.469999,5800,12.390216
2006-05-18,20.389999,20.389999,20.209999,20.209999,17500,12.232845
2006-05-19,20.23,20.360001,20.23,20.26,13000,12.263105
2006-05-22,20.299999,20.4,20.23,20.33,8000,12.305478
2006-05-23,20.35,20.4,20.35,20.360001,3200,12.323636
2006-05-24,20.16,20.33,20.16,20.299999,13900,12.287319
2006-05-25,20.33,20.4,20.33,20.4,1400,12.347856
2006-05-26,20.549999,20.629999,20.51,20.629999,9000,12.487063
2006-05-30,20.6,20.6,20.370001,20.370001,3000,12.329688
2006-05-31,20.42,20.530001,20.42,20.43,4100,12.366004
2006-06-01,20.58,20.74,20.58,20.690001,1200,12.523382
2006-06-02,20.85,20.889999,20.790001,20.889999,2700,12.644439
2006-06-05,20.889999,20.889999,20.75,20.75,4800,12.559701
2006-06-06,20.73,20.73,20.5,20.52,7500,12.420485
2006-06-07,20.67,20.77,20.66,20.66,2500,12.505226
2006-06-08,20.65,20.709999,20.49,20.66,24000,12.505226
2006-06-09,20.66,20.74,20.66,20.74,3300,12.55365
2006-06-12,20.73,20.76,20.709999,20.73,3300,12.547592
2006-06-13,20.58,20.629999,20.51,20.51,6000,12.414428
2006-06-14,20.4,20.4,20.129999,20.25,20200,12.257055
2006-06-15,20.389999,20.65,20.389999,20.610001,7700,12.474957
2006-06-16,20.610001,20.610001,20.58,20.6,6600,12.468913
2006-06-19,20.700001,20.700001,20.49,20.49,36700,12.402323
2006-06-20,20.540001,20.59,20.540001,20.540001,6800,12.43259
2006-06-21,20.559999,20.629999,20.540001,20.559999,8600,12.444697
2006-06-22,20.6,20.6,20.48,20.540001,12000,12.43259
2006-06-23,20.42,20.42,20.24,20.27,33000,12.389802
2006-06-26,20.290001,20.370001,20.290001,20.370001,1800,12.450926
2006-06-27,20.389999,20.389999,20.290001,20.290001,1900,12.402031
2006-06-28,20.33,20.370001,20.290001,20.35,5600,12.4387
2006-06-29,20.42,20.66,20.42,20.66,5300,12.628189
2006-06-30,20.74,20.74,20.68,20.719999,2300,12.664859
2006-07-03,20.67,20.75,20.67,20.73,3200,12.670969
2006-07-05,20.73,20.76,20.690001,20.719999,3200,12.664859
2006-07-06,20.75,20.879999,20.74,20.82,17400,12.725981
2006-07-07,20.799999,20.93,20.799999,20.84,14100,12.738214
2006-07-10,20.950001,20.99,20.91,20.91,10400,12.780999
2006-07-11,20.91,20.91,20.76,20.91,11500,12.780999
2006-07-12,20.889999,20.889999,20.719999,20.719999,4300,12.664859
2006-07-13,20.700001,20.700001,20.4,20.41,7500,12.475376
2006-07-14,20.4,20.440001,20.360001,20.440001,4300,12.493716
2006-07-17,20.41,20.440001,20.389999,20.43,2700,12.487599
2006-07-18,20.459999,20.469999,20.34,20.440001,13400,12.493716
2006-07-19,20.620001,20.91,20.620001,20.889999,12800,12.768768
2006-07-20,20.959999,20.98,20.9,20.93,5000,12.79322
2006-07-21,20.9,21.02,20.9,20.91,5800,12.780999
2006-07-24,21.1,21.209999,21.1,21.17,5800,12.939918
2006-07-25,21.24,21.4,21.24,21.4,7100,13.080496
2006-07-26,21.370001,21.540001,21.360001,21.48,10300,13.129398
2006-07-27,21.620001,21.620001,21.360001,21.4,26100,13.080496
2006-07-28,21.5,21.719999,21.5,21.66,5800,13.239423
2006-07-31,21.68,21.68,21.52,21.52,9000,13.153848
2006-08-01,21.58,21.58,21.469999,21.530001,5900,13.159965
2006-08-02,21.68,21.700001,21.57,21.6,19100,13.20275
2006-08-03,21.610001,21.75,21.610001,21.709999,11100,13.269984
2006-08-04,21.889999,21.889999,21.76,21.77,7500,13.30666
2006-08-07,21.82,21.82,21.67,21.67,29600,13.245539
2006-08-08,21.75,21.809999,21.66,21.66,7900,13.239423
2006-08-09,21.889999,21.889999,21.530001,21.6,23700,13.20275
2006-08-10,21.620001,21.620001,21.41,21.58,9400,13.190521
2006-08-11,21.459999,21.48,21.389999,21.48,7300,13.129398
2006-08-14,21.68,21.700001,21.49,21.49,11300,13.135513
2006-08-15,21.74,21.76,21.67,21.76,18500,13.30055
2006-08-16,21.799999,21.85,21.76,21.809999,3200,13.331109
2006-08-17,21.77,21.83,21.74,21.790001,17600,13.318887
2006-08-18,21.889999,21.9,21.860001,21.9,5600,13.386122
2006-08-21,21.9,21.92,21.879999,21.879999,10900,13.3739
2006-08-22,21.9,21.98,21.9,21.940001,28500,13.410569
2006-08-23,21.950001,21.950001,21.870001,21.889999,24300,13.380006
2006-08-24,21.91,21.969999,21.91,21.969999,6100,13.428909
2006-08-25,22,22,21.91,21.98,15800,13.435019
2006-08-28,22.040001,22.1,21.99,22.059999,28600,13.483919
2006-08-29,22.1,22.110001,21.99,22.1,21800,13.50837
2006-08-30,22.200001,22.200001,22.110001,22.16,33800,13.545042
2006-08-31,22.18,22.18,22.040001,22.040001,34500,13.471695
2006-09-01,22.17,22.24,22.09,22.17,54700,13.551157
2006-09-05,22.209999,22.209999,22.16,22.190001,21100,13.563382
2006-09-06,22.190001,22.190001,22.139999,22.15,7700,13.538935
2006-09-07,22.129999,22.129999,21.950001,21.950001,17100,13.41668
2006-09-08,22.15,22.24,21.98,22.09,12500,13.502254
2006-09-11,22.030001,22.129999,22.030001,22.110001,11300,13.514483
2006-09-12,22.139999,22.299999,22.139999,22.280001,22600,13.618396
2006-09-13,22.280001,22.34,22.219999,22.33,16900,13.648953
2006-09-14,22.379999,22.4,22.299999,22.4,22700,13.691739
2006-09-15,22.530001,22.530001,22.35,22.389999,32400,13.685626
2006-09-18,22.4,22.4,22.26,22.35,24900,13.661178
2006-09-19,22.540001,22.540001,22.25,22.370001,131600,13.673405
2006-09-20,22.52,22.549999,22.43,22.540001,150200,13.777313
