date,open,high,low,close,volume,adjusted
2013-10-23,29.91,29.91,29.889999,29.889999,600,29.659611
2013-10-24,29.719999,29.77,29.719999,29.77,1800,29.540537
2013-10-25,29.870001,29.940001,29.870001,29.92,5200,29.689381
2013-10-28,29.76,29.76,29.73,29.73,300,29.500845
2013-10-29,29.68,29.68,29.66,29.66,700,29.431385
2013-10-30,29.73,29.73,29.610001,29.610001,4900,29.381769
2013-10-31,29.610001,29.610001,29.610001,29.610001,0,29.381769
2013-11-01,29.129999,29.129999,29.07,29.08,700,28.855856
2013-11-04,28.93,28.940001,28.9,28.9,15400,28.677242
2013-11-05,28.889999,28.940001,28.889999,28.940001,1200,28.716934
2013-11-06,29.040001,29.040001,29,29,3600,28.776472
2013-11-07,29.040001,29.040001,28.959999,28.959999,1600,28.73678
2013-11-08,28.959999,28.959999,28.959999,28.959999,0,28.73678
2013-11-11,29.09,29.120001,29.09,29.120001,700,28.895546
2013-11-12,29.120001,29.120001,29.120001,29.120001,0,28.895546
2013-11-13,29.059999,29.059999,29.059999,29.059999,1100,28.83601
2013-11-14,28.879999,29.01,28.85,29.01,700,28.786394
2013-11-15,29.1,29.1,29.040001,29.040001,800,28.816164
2013-11-18,29.139999,29.139999,29.139999,29.139999,200,28.91539
2013-11-19,29.139999,29.139999,29.139999,29.139999,0,28.91539
2013-11-20,29.139999,29.139999,29.139999,29.139999,0,28.91539
2013-11-21,29.139999,29.139999,29.139999,29.139999,200,28.91539
2013-11-22,29.280001,29.280001,29.280001,29.280001,700,29.054314
2013-11-25,29.24,29.33,29.24,29.33,4200,29.103928
2013-11-26,29.370001,29.379999,29.370001,29.379999,2400,29.153542
2013-11-27,29.26,29.299999,29.26,29.299999,2800,29.074158
2013-11-29,29.379999,29.459999,29.379999,29.459999,2500,29.232925
2013-12-02,29.51,29.51,29.51,29.51,300,29.282539
2013-12-03,29.33,29.33,29.33,29.33,100,29.103928
2013-12-04,29.389999,29.58,29.389999,29.52,500,29.292463
2013-12-05,29.4,29.469999,29.370001,29.469999,2200,29.242847
2013-12-06,29.559999,29.559999,29.549999,29.549999,200,29.322231
2013-12-09,29.68,29.75,29.68,29.75,1100,29.520691
2013-12-10,29.75,29.75,29.75,29.75,0,29.520691
2013-12-11,30,30,29.92,30,2300,29.768763
2013-12-12,29.98,29.98,29.98,29.98,600,29.748917
2013-12-13,29.98,29.98,29.98,29.98,0,29.748917
2013-12-16,29.98,29.98,29.98,29.98,0,29.748917
2013-12-17,30.129999,30.129999,30.129999,30.129999,900,29.89776
2013-12-18,30.25,30.25,30.190001,30.190001,3800,29.957298
2013-12-19,30.190001,30.190001,30.129999,30.129999,15000,29.89776
2013-12-20,30.129999,30.129999,30.129999,30.129999,0,29.89776
2013-12-23,30.59,30.59,30.35,30.4,2200,30.165682
2013-12-24,30.52,30.59,30.52,30.59,200,30.354218
2013-12-26,30.59,30.59,30.59,30.59,0,30.354218
2013-12-27,30.4,30.4,30.4,30.4,100,30.165682
2013-12-30,30.35,30.360001,30.309999,30.309999,900,30.076374
2013-12-31,30.049999,30.049999,30.049999,30.049999,1000,29.818378
2014-01-02,29.799999,29.799999,29.65,29.65,5100,29.421461
2014-01-03,29.67,29.780001,29.530001,29.780001,52300,29.550459
2014-01-06,29.9,29.91,29.9,29.91,1800,29.679457
2014-01-07,29.9,29.9,29.76,29.76,3800,29.530613
2014-01-08,29.76,29.76,29.76,29.76,0,29.530613
2014-01-09,29.52,29.52,29.360001,29.360001,1000,29.133698
2014-01-10,29.809999,29.809999,29.549999,29.549999,43600,29.322231
2014-01-13,29.639999,29.84,29.639999,29.799999,12300,29.570303
2014-01-14,29.91,29.959999,29.91,29.950001,5600,29.719151
2014-01-15,30.02,30.02,30.02,30.02,100,29.78861
2014-01-16,30.25,30.25,30.110001,30.120001,1300,29.88784
2014-01-17,29.93,29.99,29.9,29.93,5800,29.699305
2014-01-21,30.059999,30.059999,29.74,29.83,55700,29.600075
2014-01-22,30.08,30.139999,30.08,30.139999,1300,29.907684
2014-01-23,30.35,30.35,30.34,30.34,800,30.106144
2014-01-24,30.700001,30.700001,30.700001,30.700001,700,30.463369
2014-01-27,30.690001,30.690001,30.42,30.42,5000,30.185526
2014-01-28,30.629999,30.68,30.58,30.68,1200,30.443521
2014-01-29,30.82,30.85,30.82,30.85,1000,30.612211
2014-01-30,31.139999,31.139999,31.139999,31.139999,400,30.899975
2014-01-31,31.01,31.059999,30.92,30.99,17500,30.751133
2014-02-03,31.43,31.440001,31.43,31.440001,7700,31.197664
2014-02-04,31.5,31.66,31.450001,31.639999,9200,31.396122
2014-02-05,31.66,31.85,31.66,31.85,2000,31.604506
2014-02-06,32.029999,32.029999,31.709999,31.75,3900,31.505276
2014-02-07,31.959999,32.130001,31.889999,32.040001,1998700,31.793041
2014-02-10,32.150002,32.290001,31.84,31.9,36400,31.654118
2014-02-11,31.959999,32.189999,31.959999,32.110001,13100,31.862499
2014-02-12,32.32,32.389999,32.189999,32.299999,11100,32.051033
2014-02-13,32.200001,32.419998,32.200001,32.41,17600,32.160187
2014-02-14,32.630001,32.810001,32.52,32.709999,13600,32.457874
2014-02-18,33.02,33.419998,33.02,33.419998,9900,33.162399
2014-02-19,33.450001,33.740002,33.400002,33.57,30200,33.311249
2014-02-20,36.240002,36.240002,33.119999,33.669998,17800,33.410473
2014-02-21,33.689999,33.84,33.580002,33.68,7500,33.420399
2014-02-24,33.82,33.959999,33.82,33.959999,10200,33.698238
2014-02-25,33.810001,33.98,33.66,33.810001,13200,33.549397
2014-02-26,33.689999,33.740002,33.57,33.73,7700,33.470013
2014-02-27,33.860001,33.900002,33.720001,33.720001,4600,33.460094
