date,open,high,low,close,volume,adjusted
2016-10-07,20.610001,20.610001,20.610001,20.610001,200,19.332405
2016-10-10,20.610001,20.610001,20.610001,20.610001,0,19.332405
2016-10-11,20.5,20.5,20.4,20.4,3300,19.135418
2016-10-12,20.4,20.4,20.4,20.4,0,19.135418
2016-10-13,19.99,19.99,19.99,19.99,2500,18.750835
2016-10-14,20.1,20.1,20.1,20.1,2500,18.854017
2016-10-17,19.950001,19.959999,19.950001,19.959999,5000,18.722694
2016-10-18,20.129999,20.139999,20.129999,20.139999,5000,18.891537
2016-10-19,20.652,20.652,20.642,20.642,500,19.362421
2016-10-20,20.780001,20.780001,20.74,20.74,200,19.454342
2016-10-21,20.74,20.74,20.74,20.74,0,19.454342
2016-10-24,20.74,20.74,20.74,20.74,0,19.454342
2016-10-25,20.84,20.899,20.823999,20.899,900,19.603489
2016-10-26,20.92,21.07,20.92,21.07,400,19.763885
2016-10-27,22,22,21.040001,21.254,1600,19.936483
2016-10-28,21.129999,21.129999,20.98,20.98,600,19.679464
2016-10-31,20.98,20.98,20.98,20.98,0,19.679464
2016-11-01,20.98,20.98,20.98,20.98,0,19.679464
2016-11-02,20.77,20.77,20.690001,20.690001,500,19.407444
2016-11-03,20.851,20.851,20.851,20.851,500,19.558464
2016-11-04,20.851,20.851,20.851,20.851,0,19.558464
2016-11-07,20.851,20.851,20.851,20.851,0,19.558464
2016-11-08,21.245001,21.25,21.245001,21.25,1600,19.932728
2016-11-09,22.389999,22.389999,22.360001,22.360001,1100,20.973919
2016-11-10,22.941,23.25,22.780001,23.233999,11600,21.793741
2016-11-11,24.209999,24.209999,23.084,23.52,2800,22.062014
2016-11-14,24.26,25.01,23.903,24.106001,38700,22.611689
2016-11-15,26.17,26.17,23.67,24.17,18900,22.671722
2016-11-16,23.92,23.92,23.709999,23.77,23500,22.296516
2016-11-17,23.99,24.18,23.971001,24.111,155200,22.616379
2016-11-18,24.17,24.424999,23.969999,24.41,49000,22.896841
2016-11-21,24.85,24.85,24.120001,24.33,36400,22.821804
2016-11-22,24.5,24.940001,24.25,24.406,64900,22.893091
2016-11-23,24.48,24.6,24.48,24.566999,7600,23.044111
2016-11-25,24.76,24.76,24.530001,24.620001,15400,23.093828
2016-11-28,24.34,24.34,24.190001,24.190001,1600,22.690483
2016-11-29,24.290001,24.4,24.24,24.245001,5600,22.742069
2016-11-30,24.629999,24.989,24.629999,24.75,4200,23.215769
2016-12-01,25.52,25.52,24.915001,25.139999,22100,23.581587
2016-12-02,24.83,25.040001,24.83,24.93,2900,23.384609
2016-12-05,25.215,25.256001,25.128,25.128,3600,23.570335
2016-12-06,25.9,25.9,25.23,25.583,6800,23.997131
2016-12-07,26.08,26.08,25.48,25.860001,5800,24.256962
2016-12-08,25.959999,26.34,25.945999,26.26,8200,24.632164
2016-12-09,26.058001,26.24,26.011,26.209999,11900,24.585262
2016-12-12,26.136999,26.219999,25.781,25.84,6000,24.238199
2016-12-13,26.67,26.67,25.65,25.9,11200,24.294483
2016-12-14,26.48,26.48,25.629999,25.908001,4400,24.301985
2016-12-15,26.165001,26.27,26.103001,26.18,13100,24.557123
2016-12-16,26.120001,26.280001,25.860001,25.860001,6600,24.256962
2016-12-19,25.809999,26,25.745001,25.940001,7100,24.331997
2016-12-20,26.280001,26.440001,26.280001,26.424,6500,24.785997
2016-12-21,26.280001,26.370001,26.24,26.316,6500,24.724928
2016-12-22,26.610001,26.610001,26.233999,26.32,5300,24.728685
2016-12-23,26.280001,26.4,26.280001,26.389999,12900,24.794451
2016-12-27,26.450001,26.51,26.43,26.5,33500,24.897802
2016-12-28,26.440001,26.440001,26.190001,26.200001,18300,24.615942
2016-12-29,26.780001,26.780001,25.878,25.879999,5500,24.315287
2016-12-30,25.940001,26.1,25.940001,26,9500,24.42803
2017-01-03,26.5,26.559999,26.040001,26.089001,33000,24.511652
2017-01-04,26.4,26.549999,26.309999,26.51,10200,24.907204
2017-01-05,26.610001,26.860001,25.91,26.08,17000,24.503197
2017-01-06,26.92,26.92,26.17,26.27,12000,24.681711
2017-01-09,26.209999,26.209999,25.950001,26.1,8400,24.521988
2017-01-10,26.209999,26.35,26.09,26.299999,20500,24.709894
2017-01-11,26.690001,26.690001,26.07,26.379999,45800,24.785057
2017-01-12,26.34,26.34,25.85,26.129999,15400,24.550175
2017-01-13,26.1,26.757999,26.1,26.4,19700,24.803846
2017-01-17,25.85,25.85,25.309999,25.33,19700,23.798538
2017-01-18,25.559999,25.67,25.360001,25.67,14200,24.117989
2017-01-19,25.92,25.93,25.43,25.500999,10900,23.9592
2017-01-20,26,26,25.620001,25.74,19800,24.183752
2017-01-23,25.74,25.759001,25.5,25.709999,15500,24.155565
2017-01-24,25.959999,26.139999,25.709999,26.09,87700,24.512592
2017-01-25,26.469999,26.639999,26.309999,26.620001,20700,25.010548
2017-01-26,26.639999,26.82,26.584999,26.73,17600,25.113895
2017-01-27,26.604,26.695999,26.575001,26.58,22500,24.972967
2017-01-30,26.34,26.34,26.07,26.309999,4900,24.71929
2017-01-31,26.434999,26.434999,26.08,26.15,15100,24.568966
2017-02-01,26.709999,26.709999,26.18,26.219999,16500,24.634731
2017-02-02,25.889999,26.07,25.860001,25.959999,10800,24.390451
2017-02-03,26.25,26.639999,26.205,26.629999,21200,25.019939
2017-02-06,26.48,26.690001,26.48,26.48,43600,24.879009
2017-02-07,26.879999,26.879999,26.309999,26.379999,16500,24.785057
2017-02-08,26.6,26.6,25.91,26.08,34600,24.503197
2017-02-09,26.27,26.610001,26.166,26.540001,26100,24.935385
2017-02-10,26.83,26.903999,26.49,26.6,24900,24.991756
2017-02-13,27.038,27.106001,26.91,26.91,24600,25.283012
2017-02-14,26.92,27.450001,26.92,27.41,19300,25.752783
2017-02-15,27.73,27.73,27.382999,27.620001,30800,25.950094
2017-02-16,27.77,27.77,27.346001,27.559999,88100,25.893715
2017-02-17,27.219999,27.43,27.190001,27.389999,12000,25.733992
2017-02-21,27.5,27.629999,27.424999,27.57,24700,25.903109
2017-02-22,27.49,27.620001,27.440001,27.530001,22200,25.86553
2017-02-23,27.540001,27.549999,27.25,27.51,11600,25.846737
2017-02-24,27.285,27.299999,27.129999,27.200001,11600,25.555481
2017-02-27,27.370001,27.549999,27.360001,27.51,30500,25.846737
2017-02-28,27.4,27.43,27.24,27.389999,8100,25.733992
2017-03-01,27.85,28.488001,27.85,28.35,21700,26.635948
2017-03-02,28.35,28.35,27.639999,27.639999,71200,25.96888
2017-03-03,27.809999,27.879999,27.67,27.827,12500,26.144573
2017-03-06,27.6,27.716,27.395,27.653999,17200,25.982031
2017-03-07,27.83,27.83,27.471001,27.524,25000,25.859892
2017-03-08,27.959999,27.959999,27.459999,27.459999,149700,25.799759
2017-03-09,27.51,27.749001,27.475,27.49,53800,25.827948
2017-03-10,27.719999,27.719999,27.110001,27.360001,335400,25.705807
2017-03-13,27.280001,27.51,27.280001,27.33,56500,25.677622
2017-03-14,27.26,27.32,26.93,27.290001,233900,25.640039
2017-03-15,27.43,27.559999,27,27.07,460100,25.433338
2017-03-16,27.25,27.4,27.139999,27.209999,22600,25.564875
2017-03-17,27.49,27.49,26.879999,27.030001,28400,25.395761
2017-03-20,27.059999,27.059999,26.68,26.68,143100,25.066919
2017-03-21,26.790001,26.790001,25.43,25.450001,375500,23.911285
2017-03-22,25.200001,25.68,24.75,25.469999,6153400,23.930075
2017-03-23,25.49,25.940001,25.32,25.540001,2926200,24.003384
2017-03-24,25.709999,25.780001,25.346001,25.6,31659300,24.059772
2017-03-27,25.110001,25.459999,24.74,25.43,1167100,23.900003
2017-03-28,25.440001,25.99,25.423,25.870001,414700,24.31353
2017-03-29,25.940001,25.940001,25.610001,25.700001,698200,24.153759
2017-03-30,26.139999,26.35,25.74,26.280001,790300,24.698864
2017-03-31,26.469999,26.469999,25.940001,25.969999,782400,24.407515
2017-04-03,26.040001,26.040001,25.52,25.860001,389500,24.304134
2017-04-04,25.82,25.92,25.68,25.82,439100,24.266541
2017-04-05,26,26.208,25.49,25.49,175500,23.956392
2017-04-06,25.77,25.84,25.309999,25.74,153700,24.191349
2017-04-07,25.41,25.77,25.41,25.610001,143600,24.069174
2017-04-10,25.559999,25.790001,25.33,25.469999,428000,23.937593
2017-04-11,25.32,25.469999,25.07,25.469999,223300,23.937593
2017-04-12,25.59,25.59,25.07,25.129999,171500,23.618053
2017-04-13,25.26,25.32,24.709999,24.709999,185300,23.22332
2017-04-17,25.059999,25.195,24.629999,25.190001,202700,23.674442
2017-04-18,24.85,25.122,24.639999,24.889999,343800,23.392488
2017-04-19,24.889999,25.224001,24.83,24.93,181000,23.430086
2017-04-20,24.99,25.450001,24.99,25.389999,129600,23.862408
2017-04-21,25.35,25.5,25.120001,25.24,178500,23.721436
2017-04-24,25.799999,26.105,25.780001,25.879999,123600,24.322927
2017-04-25,26.200001,26.200001,25.959999,26,495200,24.435707
2017-04-26,26.059999,26.334,25.85,26.129999,304700,24.557888
2017-04-27,26.09,26.134001,25.690001,25.91,225500,24.351122
2017-04-28,26.08,26.08,25.58,25.610001,122400,24.069174
2017-05-01,25.49,26,25.49,25.879999,281700,24.322927
2017-05-02,26.01,26.01,25.559999,25.719999,124500,24.172556
2017-05-03,25.690001,26.030001,25.521,26.030001,81500,24.463903
2017-05-04,26.360001,26.360001,26,26.110001,184000,24.539091
2017-05-05,26.450001,26.450001,25.874001,26.040001,159400,24.473303
2017-05-08,25.959999,26.16,25.959999,26.129999,92900,24.557888
2017-05-09,26.1,26.299,25.82,25.950001,64900,24.388718
