date,open,high,low,close,volume,adjusted
2004-10-08,17.9,18.01667,17.866671,17.886669,1733700,13.122702
2004-10-11,18.1,18.133329,18.02667,18.110001,1034700,13.286546
2004-10-12,17.866671,17.950001,17.793329,17.9,744600,13.132479
2004-10-13,17.66667,17.77,17.4,17.440001,1107300,12.794995
2004-10-14,17.32,17.366671,17.15,17.206671,359400,12.623811
2004-10-15,17.35,17.546671,17.34333,17.466669,703500,12.814563
2004-10-18,17.296671,17.316669,17.206671,17.25,560400,12.655601
2004-10-19,17.463329,17.48667,17.33667,17.353331,475200,12.73141
2004-10-20,17.116671,17.15667,16.959999,17.133329,687000,12.570004
2004-10-21,17.06333,17.26667,17.02,17.23,556500,12.640928
2004-10-22,17.25,17.26,17.01667,17.033331,363300,12.49664
2004-10-25,16.933331,16.953329,16.84,16.91667,417900,12.411047
2004-10-26,16.933331,17.16667,16.91667,17.133329,696600,12.570004
2004-10-27,17.1,17.146669,16.966669,17.116671,1058400,12.557781
2004-10-28,17.26667,17.26667,16.73333,16.866671,1715400,12.374369
2004-10-29,17.08333,17.16667,17.08,17.16333,435900,12.592017
2004-11-01,17.18,17.183331,17.1,17.133329,363600,12.570004
2004-11-02,17.433331,17.58,17.363331,17.41333,464100,12.775431
2004-11-03,17.58667,17.706671,17.566669,17.690001,703200,12.978414
2004-11-04,17.566669,17.75,17.49333,17.709999,562200,12.993082
2004-11-05,17.726669,17.799999,17.68667,17.77,719100,13.037105
2004-11-08,17.77,17.796671,17.616671,17.66667,755700,12.961293
2004-11-09,17.803329,17.816669,17.75333,17.786671,655200,13.049332
2004-11-10,18.08333,18.226669,18.01,18.15,1566600,13.315891
2004-11-11,18.08333,18.190001,18.036671,18.16,1172100,13.323231
2004-11-12,18.16,18.379999,18.16,18.360001,1610100,13.469961
2004-11-15,18.49667,18.6,18.466669,18.556669,2206200,13.61425
2004-11-16,18.26333,18.26667,18.14333,18.183331,1273200,13.340346
2004-11-17,18.35,18.530001,18.33,18.440001,1118100,13.528658
2004-11-18,18.383329,18.40333,18.32667,18.376671,649500,13.48219
2004-11-19,18.303329,18.316669,18.10667,18.136669,1370700,13.306116
2004-11-22,18.17667,18.293329,18.16667,18.290001,687900,13.418603
2004-11-23,18.466669,18.553329,18.443331,18.51667,1278000,13.584907
2004-11-24,18.57333,18.73333,18.559999,18.719999,1508700,13.734079
2004-11-26,18.700001,18.700001,18.58333,18.626671,832500,13.665606
2004-11-29,18.74333,18.74333,18.59,18.616671,1497600,13.658271
2004-11-30,18.683331,18.683331,18.58333,18.6,1043100,13.646038
2004-12-01,18.66,18.84,18.66,18.82,1261800,13.807441
2004-12-02,18.953329,18.953329,18.83333,18.83333,1429800,13.817222
2004-12-03,18.816669,18.816669,18.716669,18.799999,1558800,13.792768
2004-12-06,18.82667,18.83333,18.76667,18.796671,1088100,13.790328
2004-12-07,18.693331,18.74333,18.456671,18.546671,1111500,13.606915
2004-12-08,18.33333,18.33333,18.17667,18.33,668700,13.447949
2004-12-09,18.316669,18.33333,18.033331,18.309999,1083000,13.433281
2004-12-10,18.066669,18.066669,17.933331,18.01,640200,13.213182
2004-12-13,18,18.040001,17.91667,18.01333,603300,13.215623
2004-12-14,18.193331,18.193331,18.02667,18.126671,697800,13.29878
2004-12-15,18.43667,18.443331,18.296671,18.443331,947400,13.531096
2004-12-16,18.366671,18.370001,18.25,18.31333,696900,13.435719
2004-12-17,18.33333,18.34,18.219999,18.27,502800,13.403933
2004-12-20,18.633329,18.639999,18.549999,18.59,3759000,13.638706000000001
2004-12-21,18.59333,18.6,18.523331,18.6,841800,13.646038
2004-12-22,18.58333,18.58333,18.466669,18.48333,712200,13.560443
2004-12-23,18.549999,18.59333,18.533331,18.58667,700200,13.636259
2004-12-27,18.58333,18.6,18.48333,18.49,647400,13.565337
2004-12-28,18.5,18.566669,18.450001,18.553329,550200,13.611798
2004-12-29,18.546671,18.556669,18.5,18.51667,439800,13.584907
2004-12-30,18.366671,18.373329,18.299999,18.32667,704400,13.445509
2004-12-31,18.466669,18.49333,18.41667,18.49,532500,13.565337
2005-01-03,18.49,18.51667,18.373329,18.383329,997500,13.487077
2005-01-04,18.26667,18.280001,17.860001,17.876671,1670400,13.115362
2005-01-05,17.66667,17.66667,17.443331,17.469999,1034400,12.817005
2005-01-06,17.48,17.5,17.366671,17.49,712800,12.831678
2005-01-07,17.476669,17.476669,17.26667,17.33333,678000,12.716739
2005-01-10,17.466669,17.523331,17.396669,17.47333,1213500,12.819449
2005-01-11,17.389999,17.396669,17.316669,17.33333,1011600,12.716739
2005-01-12,17.51667,17.549999,17.40667,17.549999,757500,12.875701
2005-01-13,17.633329,17.633329,17.440001,17.450001,662100,12.802334
2005-01-14,17.379999,17.41667,17.309999,17.4,345300,12.765649
2005-01-18,17.719999,17.76667,17.58667,17.76333,911400,13.032208
2005-01-19,17.866671,17.866671,17.700001,17.700001,608100,12.985746
2005-01-20,17.693331,17.709999,17.58667,17.636669,544500,12.939286
2005-01-21,17.57667,17.603331,17.476669,17.476669,914400,12.821898
2005-01-24,17.466669,17.469999,17.34667,17.376671,486600,12.748533
2005-01-25,17.66,17.700001,17.59667,17.59667,453000,12.90994
2005-01-26,17.9,17.9,17.77667,17.84333,632100,13.090902
2005-01-27,17.90333,17.90333,17.806669,17.84333,455700,13.090902
2005-01-28,17.92333,17.92333,17.73333,17.76667,456300,13.03466
2005-01-31,18.046671,18.216669,17.956671,18.059999,510600,13.249863
2005-02-01,17.966669,17.966669,17.83333,17.896669,705600,13.130037
2005-02-02,17.966669,17.966669,17.860001,17.91,513000,13.139817
2005-02-03,17.84333,17.853331,17.799999,17.84667,418500,13.093352
2005-02-04,18,18.129999,18,18.116671,808200,13.291443
2005-02-07,18.379999,18.459999,18.35,18.42,690600,13.513979
2005-02-08,18.530001,18.58,18.51667,18.549999,585600,13.609359
2005-02-09,18.610001,18.610001,18.39333,18.40667,399600,13.504203
2005-02-10,18.5,18.566669,18.440001,18.56333,752400,13.619135
2005-02-11,18.556669,18.799999,18.533331,18.700001,615900,13.719404
2005-02-14,18.716669,18.76,18.709999,18.74,712800,13.748753
2005-02-15,18.65,18.693331,18.623329,18.64333,437100,13.677829
2005-02-16,18.59333,18.60667,18.536671,18.60667,349200,13.650932
2005-02-17,18.60667,18.60667,18.433331,18.433331,685200,13.523762
2005-02-18,18.616671,18.67667,18.59,18.67333,359700,13.69984
2005-02-22,18.76667,18.806669,18.65,18.65667,798900,13.687616
2005-02-23,18.726669,18.726669,18.626671,18.703329,387900,13.721848
2005-02-24,18.74,18.85,18.726669,18.83333,329100,13.817222
2005-02-25,19.14333,19.280001,19.033331,19.23333,924300,14.110685
2005-02-28,19.4,19.4,19.23,19.26667,901800,14.135147
2005-03-01,19.32667,19.32667,19.15,19.183331,903900,14.074005
2005-03-02,18.969999,18.98667,18.77,18.816669,721200,13.805004
2005-03-03,18.959999,18.966669,18.9,18.943331,495300,13.897925
2005-03-04,18.700001,18.940001,18.700001,18.809999,700500,13.800108
2005-03-07,18.83333,18.93,18.796671,18.886669,636600,13.856357
2005-03-08,19.033331,19.040001,18.98333,19,666300,13.939503
2005-03-09,19.049999,19.066669,18.91667,18.91667,998100,13.878368
2005-03-10,18.91667,18.91667,18.75,18.81333,783300,13.802551
2005-03-11,18.933331,18.93667,18.84333,18.886669,494700,13.856357
2005-03-14,18.933331,18.943331,18.860001,18.886669,431700,13.856357
2005-03-15,18.83333,18.83333,18.549999,18.566669,603600,13.621586
2005-03-16,18.713329,18.713329,18.566669,18.566669,1294500,13.621586
2005-03-17,18.696671,18.90667,18.690001,18.9,833400,13.866133
2005-03-18,18.866671,18.879999,18.816669,18.82667,489000,13.81234
2005-03-21,18.966669,18.966669,18.799999,18.83,361200,13.814776
2005-03-22,18.76667,18.76667,18.4,18.4,579900,13.499308
2005-03-23,18.383329,18.383329,18.183331,18.23,887400,13.374588
2005-03-24,18.33333,18.376671,18.27667,18.303329,542400,13.428385
2005-03-28,18.366671,18.366671,18.25,18.283331,386100,13.413709
2005-03-29,18.16667,18.200001,18,18,629100,13.205847
2005-03-30,18.049999,18.18,18.043329,18.16667,476100,13.328124
2005-03-31,18.200001,18.24,18.16667,18.200001,430500,13.352574
2005-04-01,18.386669,18.41667,18.24,18.27,480000,13.403933
2005-04-04,18.33333,18.35667,18.23667,18.353331,507900,13.465065
2005-04-05,18.42667,18.42667,18.286671,18.306669,285300,13.430837
2005-04-06,18.4,18.47333,18.376671,18.42,292500,13.513979
2005-04-07,18.456671,18.536671,18.43667,18.50667,286800,13.577566
2005-04-08,18.66667,18.66667,18.533331,18.546671,610500,13.606915
2005-04-11,18.566669,18.59667,18.466669,18.533331,321600,13.597123
2005-04-12,18.453329,18.536671,18.33333,18.51667,677700,13.584907
2005-04-13,18.633329,18.633329,18.443331,18.48333,397200,13.560443
2005-04-14,18.533331,18.533331,18.27667,18.293329,667800,13.421046
2005-04-15,18.23,18.23,17.74,17.75667,798900,13.027324
2005-04-18,17.5,17.72333,17.48333,17.716669,785400,12.997978
2005-04-19,17.83333,17.93,17.799999,17.93,373200,13.154489
2005-04-20,17.91667,17.92667,17.58,17.58,438000,12.897709
2005-04-21,17.74333,18.183331,17.74333,18.16333,489900,13.325676
2005-04-22,18.25,18.25,17.99667,18.1,260100,13.279209
2005-04-25,18.17333,18.33333,18.17333,18.273331,292800,13.406376
2005-04-26,18.286671,18.466669,18.286671,18.34667,428400,13.460177
2005-04-27,18.286671,18.286671,18.09667,18.116671,1234500,13.291443
2005-04-28,18.200001,18.200001,18.023331,18.059999,587100,13.249863
2005-04-29,18.200001,18.440001,18.136669,18.440001,847800,13.528658
2005-05-02,18.35,18.466669,18.303329,18.466669,519900,13.548219
2005-05-03,18.366671,18.366671,18.25,18.26667,251700,13.401487
2005-05-04,18.33333,18.543329,18.283331,18.523331,473100,13.58979
2005-05-05,18.629999,18.633329,18.450001,18.549999,342000,13.609359
2005-05-06,18.626671,18.633329,18.57333,18.6,164100,13.646038
2005-05-09,18.66,18.67667,18.616671,18.66667,441900,13.694953
2005-05-10,18.626671,18.626671,18.41333,18.440001,239400,13.528658
2005-05-11,18.41667,18.52,18.41667,18.50333,331500,13.575119
2005-05-12,18.50333,18.50333,18.116671,18.133329,952200,13.303664
2005-05-13,18.15333,18.203329,18.116671,18.15333,483900,13.318336
2005-05-16,18.15333,18.25333,18.136669,18.25333,318000,13.391701
2005-05-17,17.966669,17.99,17.85667,17.976669,297000,13.188727
2005-05-18,17.963329,18.09333,17.90667,18.06333,375600,13.252308
2005-05-19,18.09667,18.190001,18.08,18.16667,279300,13.328124
2005-05-20,18.15,18.183331,18.113331,18.17333,299400,13.333013
2005-05-23,18.16,18.16,18.040001,18.133329,354900,13.303664
2005-05-24,18.110001,18.126671,18.040001,18.066669,273600,13.254753
2005-05-25,17.9,17.92667,17.83333,17.92,157200,13.14715
2005-05-26,17.91,17.99,17.870001,17.959999,375000,13.176498
2005-05-27,18.08,18.16,18.08,18.139999,365400,13.308556
2005-05-31,18.16667,18.23333,18.16667,18.213329,432600,13.362354
2005-06-01,18.16667,18.24667,18.116671,18.17333,554700,13.333013
2005-06-02,18.183331,18.190001,18.01667,18.049999,429300,13.242528
2005-06-03,18.066669,18.08333,17.959999,17.99,216000,13.198508
2005-06-06,18.07333,18.23333,18.07333,18.23333,664200,13.377029
2005-06-07,18.306669,18.379999,18.26667,18.26667,367200,13.401487
2005-06-08,18.49333,18.51,18.41667,18.443331,613500,13.531096
2005-06-09,18.47333,18.476669,18.373329,18.42,221700,13.513979
2005-06-10,18.450001,18.5,18.433331,18.48333,628800,13.560443
2005-06-13,18.5,18.51333,18.42,18.469999,437400,13.550662
2005-06-14,18.4,18.49333,18.389999,18.47333,411600,13.553104
2005-06-15,18.453329,18.463329,18.4,18.463329,279900,13.545768
2005-06-16,18.450001,18.5,18.41333,18.450001,408300,13.535995
2005-06-17,18.466669,18.629999,18.466669,18.6,217800,13.646038
2005-06-20,18.66667,18.66667,18.546671,18.59333,285600,13.641149
2005-06-21,18.719999,18.719999,18.59333,18.59667,120900,13.643595
2005-06-22,18.9,18.91,18.806669,18.853331,273900,13.831897
2005-06-23,18.879999,18.950001,18.709999,18.709999,570000,13.726739
2005-06-24,18.866671,18.93,18.82,18.82,319500,13.807441
2005-06-27,18.966669,18.98333,18.886669,18.959999,324300,13.910157
2005-06-28,19.1,19.193331,19.1,19.17,317400,14.064225
2005-06-29,19.16667,19.17,19.07,19.07333,246000,13.993302
2005-06-30,19.133329,19.16667,19.036671,19.036671,421800,13.966409
2005-07-01,19.036671,19.116671,19.01667,19.1,205200,14.012871
2005-07-05,19.066669,19.25667,19.049999,19.25333,486900,14.125357
2005-07-06,19.206671,19.23333,19.133329,19.16667,383400,14.061784
2005-07-07,18.883329,18.969999,18.806669,18.940001,599700,13.895484
