date,open,high,low,close,volume,adjusted
2009-10-27,25.02,25.030001,24.91,24.91,8300,22.447489
2009-10-28,24.379999,24.75,24.25,24.25,2000,21.852732
2009-10-29,24.459999,24.559999,24.459999,24.559999,1100,22.132088
2009-10-30,24.6,24.6,23.07,24.129999,9500,21.744596
2009-11-02,24.620001,26.4,24.41,24.51,13300,22.08703
2009-11-03,24.5,24.77,23.65,24.690001,6800,22.249241
2009-11-04,25.1,25.24,24.9,24.959999,6800,22.492544
2009-11-05,25,25.280001,25,25.24,2500,22.744865
2009-11-06,24.9,25.200001,23.809999,25.049999,1300,22.573647
2009-11-09,25.66,25.68,25.360001,25.68,1700,23.141371
2009-11-10,25.68,25.76,25.59,25.65,2800,23.114334
2009-11-11,25.879999,25.879999,25.6,25.83,5400,23.276541
2009-11-12,25.610001,25.610001,25.610001,25.610001,700,23.078291
2009-11-13,25.639999,25.799999,25.030001,25.790001,3600,23.240496
2009-11-16,26.16,26.309999,25.08,26.26,2200,23.664034
2009-11-17,26.15,26.15,26.120001,26.120001,1800,23.53787
2009-11-18,26.18,27.110001,26.040001,26.049999,10800,23.474792
2009-11-19,26,26,25.65,25.99,17100,23.420721
2009-11-20,25.690001,25.700001,25.66,25.700001,3600,23.159391
2009-11-23,26.25,26.27,26.040001,26.1,3400,23.519852
2009-11-24,26,26,25.200001,25.799999,11300,23.249508
2009-11-25,25.959999,26.129999,25.950001,26.110001,3800,23.528864
2009-11-27,25.299999,25.559999,25.299999,25.559999,1500,23.03323
2009-11-30,25.530001,25.58,25.139999,25.299999,2000,22.798937
2009-12-01,25.85,26.07,25.85,26.07,3300,23.492815
2009-12-02,26.08,26.139999,26.07,26.139999,1400,23.555891
2009-12-03,26.040001,26.799999,25.879999,25.91,8700,23.348631
2009-12-04,26.15,28.6,25.700001,25.76,9700,23.213461
2009-12-07,25.75,25.77,25.24,25.77,5100,23.222473
2009-12-08,25.469999,25.469999,25.4,25.42,600,22.90707
2009-12-09,25.4,25.5,25.4,25.5,900,22.979162
2009-12-10,25.540001,25.540001,25.4,25.5,1800,22.979162
2009-12-11,25.700001,25.700001,25.5,25.540001,1500,23.015211
2009-12-14,25.65,25.74,25.6,25.74,3500,23.195436
2009-12-15,25.6,25.6,25.08,25.120001,1600,22.636732
2009-12-16,25.700001,25.700001,25.23,25.5,1100,22.979162
2009-12-17,25.35,25.379999,25.190001,25.35,1600,22.843994
2009-12-18,25.360001,25.4,25,25.4,1700,22.889051
2009-12-21,25.57,25.6,25.559999,25.559999,4200,23.03323
2009-12-22,25.549999,25.84,25.549999,25.719999,1800,23.177416
2009-12-23,26.860001,26.860001,25.91,26.059999,4200,23.523127
2009-12-24,25.74,25.91,25.74,25.91,200,23.387732
2009-12-28,26.1,26.1,26.049999,26.059999,1800,23.523127
2009-12-29,25.98,25.98,25.83,25.83,1100,23.315521
2009-12-30,25.969999,26,25.969999,26,2000,23.468969
2009-12-31,26.200001,26.200001,25.5,25.9,2000,23.378706
2010-01-04,26.27,26.459999,26.15,26.280001,1300,23.721714
2010-01-05,26.77,26.77,26.41,26.41,1600,23.83906
2010-01-06,26.41,27.02,26.41,26.780001,2500,24.173042
2010-01-07,27.280001,27.280001,26.73,26.83,5600,24.218172
2010-01-08,26.83,26.83,26.83,26.83,0,24.218172
2010-01-11,27.469999,27.469999,27,27.1,3800,24.461887
2010-01-12,27,27,26.610001,26.780001,600,24.173042
2010-01-13,26.33,26.83,26.33,26.83,800,24.218172
2010-01-14,26.66,26.98,26.66,26.98,4300,24.353569
2010-01-15,26.610001,26.610001,26.549999,26.610001,1400,24.019592
2010-01-19,27.129999,27.129999,26.799999,26.9,3600,24.281357
2010-01-20,26.01,26.25,26.01,26.25,1600,23.694633
2010-01-21,26,26,25.02,25.33,12400,22.864193
2010-01-22,25.4,25.49,25.389999,25.450001,800,22.972511
2010-01-25,25.73,25.73,25.360001,25.639999,1700,23.144014
2010-01-26,25.43,25.59,25.01,25.01,2200,22.575344
2010-01-27,25.25,25.25,25.17,25.17,2400,22.719769
2010-01-28,25.58,25.58,24.950001,25.15,4600,22.701715
2010-01-29,24.959999,25.07,24.5,24.52,2800,22.133045
2010-02-01,25.049999,25.049999,24.93,24.93,800,22.503132
2010-02-02,25.309999,25.35,25.309999,25.35,500,22.88225
2010-02-03,25.610001,25.610001,25.389999,25.440001,1200,22.963484
2010-02-04,24.549999,24.549999,24.18,24.49,1800,22.105968
2010-02-05,23.950001,24.450001,23.24,24.110001,2100,21.762959
2010-02-08,24.360001,24.59,24.360001,24.42,900,22.04278
2010-02-09,25,25,25,25,800,22.566319
2010-02-10,24.52,24.52,24.52,24.52,100,22.133045
2010-02-11,25,25,25,25,100,22.566319
2010-02-12,24.940001,24.940001,24.940001,24.940001,200,22.512161
2010-02-16,25.84,25.870001,25.440001,25.49,1800,23.008619
2010-02-17,25.459999,25.459999,25.459999,25.459999,200,22.981537
2010-02-18,25.77,25.959999,25.719999,25.959999,1400,23.432865
2010-02-19,25.6,25.6,25.6,25.6,2700,23.107912
2010-02-22,25.6,25.6,25.6,25.6,0,23.107912
2010-02-23,25.440001,25.440001,24.620001,24.950001,5100,22.521185
2010-02-24,24.91,25.290001,24.91,25.23,2900,22.773928
2010-02-25,25.209999,25.34,25.120001,25.34,1300,22.873222
2010-02-26,25.49,25.549999,25.35,25.35,1000,22.88225
2010-03-01,25.51,25.639999,24.57,25.530001,5600,23.044725
2010-03-02,25.530001,25.530001,25.530001,25.530001,0,23.044725
2010-03-03,26.059999,26.459999,26.059999,26.459999,300,23.88419
2010-03-04,26.459999,26.459999,26.459999,26.459999,0,23.88419
2010-03-05,26.41,26.43,26.23,26.42,1600,23.848085
2010-03-08,26.65,26.65,26.65,26.65,4100,24.055693
2010-03-09,26.5,26.629999,25.83,26.42,4900,23.848085
2010-03-10,26.610001,26.610001,26.610001,26.610001,200,24.019592
2010-03-11,26.52,26.6,26.42,26.6,2300,24.010563
2010-03-12,26.690001,26.690001,26.690001,26.690001,200,24.091801
2010-03-15,26.5,26.5,26.459999,26.49,1300,23.911272
2010-03-16,26.629999,26.77,26.629999,26.77,400,24.164013
2010-03-17,26.389999,27,26.389999,26.940001,2800,24.317465
2010-03-18,26.52,26.65,26.52,26.639999,600,24.046669
2010-03-19,26.5,26.67,26.469999,26.5,3300,23.920298
2010-03-22,26.5,26.5,26.5,26.5,0,23.920298
2010-03-23,26.610001,26.67,26.35,26.540001,1300,23.956404
2010-03-24,26.450001,26.450001,26.440001,26.450001,600,23.875168
2010-03-25,26.33,26.33,26,26,2500,23.468969
2010-03-26,26.09,26.23,26.02,26.059999,900,23.523127
2010-03-29,26.290001,26.290001,26.290001,26.290001,200,23.730742
2010-03-30,26.5,27.110001,26.25,26.610001,3700,24.019592
2010-03-31,26.450001,26.58,26.450001,26.540001,1100,23.956404
2010-04-01,26.959999,26.959999,26.639999,26.889999,4100,24.272331
2010-04-05,27.4,27.42,27.18,27.34,1400,24.67853
2010-04-06,27.33,27.33,27.33,27.33,41200,24.669498
2010-04-07,27.280001,27.440001,27.280001,27.389999,3400,24.723658
2010-04-08,27.219999,27.219999,27.1,27.110001,1100,24.470917
2010-04-09,27.719999,27.780001,27.65,27.65,3000,24.958351
2010-04-12,27.52,27.52,27.52,27.52,100,24.841005
2010-04-13,27.690001,27.690001,27.35,27.5,4200,24.82295
2010-04-14,27.809999,27.809999,27.809999,27.809999,100,25.102772
2010-04-15,27.74,27.879999,27.700001,27.77,3000,25.066668
2010-04-16,27.35,27.35,27.23,27.25,1500,24.597286
2010-04-19,27.299999,27.299999,27.030001,27.23,12800,24.579235
2010-04-20,27.450001,27.610001,27.450001,27.610001,1400,24.922243
2010-04-21,27.639999,27.639999,27.610001,27.610001,1500,24.922243
2010-04-22,27.6,27.629999,27.6,27.629999,400,24.940294
2010-04-23,27.629999,27.9,27.559999,27.9,1200,25.184013
2010-04-26,27.76,27.76,27.709999,27.709999,300,25.012505
2010-04-27,27.559999,27.559999,27.24,27.24,4000,24.588259
2010-04-28,27.209999,27.4,27.209999,27.4,500,24.732685
2010-04-29,27.700001,27.77,27.700001,27.76,300,25.057638
2010-04-30,27.5,27.530001,27.48,27.48,2300,24.804895
2010-05-03,27.32,27.52,27.32,27.52,1700,24.841005
2010-05-04,27.219999,27.219999,26.59,26.59,5800,24.001537
2010-05-05,26.59,26.59,26.59,26.59,0,24.001537
2010-05-06,26.33,26.33,25.5,25.51,4000,23.02667
2010-05-07,25.9,25.959999,25.709999,25.959999,2200,23.432865
2010-05-10,26.76,27.459999,26.469999,26.9,2000,24.281357
2010-05-11,26.76,26.93,26.709999,26.709999,1600,24.109856
2010-05-12,27.040001,27.040001,26.860001,26.860001,500,24.245255
2010-05-13,27.17,27.23,27.17,27.23,2200,24.579235
2010-05-14,26.559999,26.639999,26.559999,26.639999,1300,24.046669
2010-05-17,26.200001,26.24,26.200001,26.200001,5500,23.649502
2010-05-18,26.309999,26.34,25.93,26.01,1600,23.477999
2010-05-19,25.42,25.43,25.379999,25.379999,500,22.909325
2010-05-20,24.99,24.99,24.18,24.309999,2900,21.943489
2010-05-21,24.620001,25.09,24.27,25.09,2300,22.64756
2010-05-24,24.9,24.969999,24.9,24.969999,1000,22.539242
2010-05-25,24.360001,24.77,23.6,24.74,6900,22.331631
2010-05-26,25.530001,25.530001,25,25.139999,1500,22.69269
