date,open,high,low,close,volume,adjusted
2007-04-26,35.799999,35.959999,35.799999,35.900002,59600,23.895918000000002
2007-04-27,35.860001,36.040001,35.84,35.990002,51700,23.955822
2007-04-30,35.919998,36.139999,35.860001,35.860001,24900,23.869289
2007-05-01,35.880001,35.880001,35.700001,35.830002,6600,23.849325
2007-05-02,35.860001,36.110001,35.860001,36.060001,7100,24.002419
2007-05-03,35.98,36.119999,35.98,36.029999,19300,23.982443
2007-05-04,36.279999,36.389999,36.279999,36.369999,36700,24.208759
2007-05-07,36.419998,36.52,36.41,36.48,79800,24.281977
2007-05-08,36.130001,36.139999,36,36.139999,16400,24.055668
2007-05-09,36.200001,36.400002,36.200001,36.400002,7300,24.228729
2007-05-10,36.209999,36.299999,35.830002,35.830002,11300,23.849325
2007-05-11,36.209999,36.34,36.139999,36.34,13300,24.188789
2007-05-14,36.25,36.25,36.060001,36.16,40900,24.068983
2007-05-15,36,36.259998,35.950001,35.950001,10500,23.929197
2007-05-16,36,36.09,35.889999,36.09,13100,24.022385
2007-05-17,35.830002,35.950001,35.709999,35.93,11300,23.915884
2007-05-18,35.93,36.09,35.93,36.07,6700,24.009073
2007-05-21,35.970001,36.110001,35.880001,36.029999,11000,23.982443
2007-05-22,36.25,36.27,36.18,36.200001,6900,24.095606
2007-05-23,36.5,36.540001,36.400002,36.400002,3200,24.228729
2007-05-24,36.23,36.27,35.830002,35.830002,9800,23.849325
2007-05-25,35.939999,36.07,35.93,36.07,29900,24.009073
2007-05-29,36.360001,36.389999,36.080002,36.139999,13900,24.055668
2007-05-30,36,36.330002,36,36.25,18500,24.128887
2007-05-31,36.66,36.77,36.599998,36.75,7300,24.461699
2007-06-01,36.93,37.040001,36.900002,36.939999,82000,24.588165
2007-06-04,37.029999,37.209999,37.029999,37.209999,48700,24.767885
2007-06-05,37.119999,37.130001,36.900002,37.049999,89300,24.661385
2007-06-06,36.779999,36.779999,36.540001,36.599998,48300,24.361851
2007-06-07,36.400002,36.5,35.900002,36,34200,23.962477
2007-06-08,35.900002,36.330002,35.900002,36.330002,12500,24.182133
2007-06-11,36.099998,36.32,35.970001,36.209999,10200,24.102257
2007-06-12,35.939999,36.169998,35.849998,35.990002,291100,23.955822
2007-06-13,35.830002,38.540001,35.82,36.080002,160800,24.015732
2007-06-14,36.299999,36.43,36.23,36.41,86200,24.23538
2007-06-15,36.68,38.23,36.599998,36.720001,20100,24.441732
2007-06-18,36.82,36.84,36.669998,36.84,26000,24.521601
