date,open,high,low,close,volume,adjusted
2015-08-18,24.620001,24.620001,24.559999,24.559999,600,19.812529
2015-08-19,24.559999,24.559999,24.559999,24.559999,0,19.812529
2015-08-20,24.559999,24.559999,24.559999,24.559999,0,19.812529
2015-08-21,23.59,23.59,23,23,3100,18.554081
2015-08-24,22.24,22.24,22.24,22.24,500,17.940989
2015-08-25,23.34,24.1,23,24.1,1100,19.441446
2015-08-26,24.1,24.1,24.1,24.1,0,19.441446
2015-08-27,23.530001,23.530001,23.219999,23.219999,500,18.731552
2015-08-28,23.5,23.5,23.5,23.5,100,18.957428
2015-08-31,23.35,23.360001,23.34,23.34,300,18.828358
2015-09-01,NA,NA,NA,NA,NA,NA
2015-09-02,NA,NA,NA,NA,NA,NA
2015-09-03,NA,NA,NA,NA,NA,NA
2015-09-04,22.76,22.76,22.76,22.76,0,18.360472
2015-09-08,23.35,23.43,23.35,23.35,68000,18.836426
2015-09-09,23.639,23.639,23.639,23.639,500,19.069557
2015-09-10,NA,NA,NA,NA,NA,NA
2015-09-11,NA,NA,NA,NA,NA,NA
2015-09-14,NA,NA,NA,NA,NA,NA
2015-09-15,23.139999,23.139999,23.139999,23.139999,0,18.667017
2015-09-16,NA,NA,NA,NA,NA,NA
2015-09-17,23.360001,23.370001,23.360001,23.365,500,18.84852
2015-09-18,22.98,22.98,22.98,22.98,600,18.537945
2015-09-21,NA,NA,NA,NA,NA,NA
2015-09-22,22.98,22.98,22.98,22.98,0,18.537945
2015-09-23,22.98,22.98,22.98,22.98,0,18.537945
2015-09-24,22.57,22.57,22.57,22.57,1000,18.207197
2015-09-25,22.57,22.57,22.57,22.57,0,18.207197
2015-09-28,22.57,22.57,22.57,22.57,0,18.207197
2015-09-29,22.232,22.232,22.232,22.232,300,17.934536
2015-09-30,22.702,22.702,22.702,22.702,300,18.313681
2015-10-01,NA,NA,NA,NA,NA,NA
2015-10-02,NA,NA,NA,NA,NA,NA
2015-10-05,NA,NA,NA,NA,NA,NA
2015-10-06,NA,NA,NA,NA,NA,NA
2015-10-07,NA,NA,NA,NA,NA,NA
2015-10-08,NA,NA,NA,NA,NA,NA
2015-10-09,NA,NA,NA,NA,NA,NA
2015-10-12,NA,NA,NA,NA,NA,NA
2015-10-13,NA,NA,NA,NA,NA,NA
2015-10-14,NA,NA,NA,NA,NA,NA
2015-10-15,NA,NA,NA,NA,NA,NA
2015-10-16,NA,NA,NA,NA,NA,NA
2015-10-19,NA,NA,NA,NA,NA,NA
2015-10-20,NA,NA,NA,NA,NA,NA
2015-10-21,NA,NA,NA,NA,NA,NA
2015-10-22,NA,NA,NA,NA,NA,NA
2015-10-23,NA,NA,NA,NA,NA,NA
2015-10-26,24.33,24.33,24.266001,24.266001,1700,19.575361
2015-10-27,24.110001,24.17,24.110001,24.139999,1000,19.473715
2015-10-28,24.299999,24.299999,24.299999,24.299999,500,19.602785
2015-10-29,24.209999,24.209999,24.059999,24.059999,300,19.40918
2015-10-30,24.059999,24.059999,24.059999,24.059999,0,19.40918
2015-11-02,24.059999,24.059999,24.059999,24.059999,0,19.40918
2015-11-03,24.059999,24.059999,24.059999,24.059999,0,19.40918
2015-11-04,24.059999,24.059999,24.059999,24.059999,0,19.40918
2015-11-05,24.15,24.15,24.15,24.15,1200,19.481781
2015-11-06,24.15,24.15,24.15,24.15,700,19.481781
2015-11-09,24.049999,24.049999,23.75,23.790001,5200,19.191374
2015-11-10,23.790001,23.790001,23.790001,23.790001,0,19.191374
2015-11-11,23.790001,23.790001,23.790001,23.790001,0,19.191374
2015-11-12,23.75,23.75,23.5,23.5,3800,18.957428
2015-11-13,23.459999,23.459999,23.309999,23.360001,6200,18.844486
2015-11-16,23.360001,23.360001,23.360001,23.360001,0,18.844486
2015-11-17,23.92,23.92,23.92,23.92,900,19.296244
2015-11-18,24.047001,24.047001,24.047001,24.047001,100,19.398695
2015-11-19,24.047001,24.047001,24.047001,24.047001,0,19.398695
2015-11-20,24.047001,24.047001,24.047001,24.047001,0,19.398695
2015-11-23,24.139999,24.18,24.110001,24.110001,800,19.449516
2015-11-24,23.9,23.9,23.9,23.9,100,19.280107
2015-11-25,23.9,23.9,23.9,23.9,0,19.280107
2015-11-27,24.209999,24.209999,24.209999,24.209999,100,19.530186
2015-11-30,23.780001,24.17,23.780001,24.129999,9200,19.465647
2015-12-01,24.040001,24.15,24.040001,24.139999,2400,19.473715
2015-12-02,24.17,24.190001,23.950001,23.959999,1300,19.328506
2015-12-03,23.9,23.9,23.75,23.75,2100,19.159103000000002
2015-12-04,23.42,23.426001,23.42,23.426001,600,18.897734
2015-12-07,23.426001,23.426001,23.426001,23.426001,0,18.897734
2015-12-08,23.110001,23.18,23.059999,23.129999,900,18.658949
2015-12-09,23,23.01,22.940001,22.959999,2600,18.521807
2015-12-10,22.959999,22.959999,22.959999,22.959999,0,18.521807
2015-12-11,22.959999,22.959999,22.959999,22.959999,0,18.521807
2015-12-14,22.24,22.24,22,22.200001,6200,17.908722
2015-12-15,22.299999,22.620001,22.299999,22.620001,25000,18.24753
2015-12-16,22.5,22.700001,22.49,22.700001,3100,18.626625
2015-12-17,22.719,22.719,22.620001,22.620001,1100,18.560986
2015-12-18,22.620001,22.620001,22.620001,22.620001,0,18.560986
2015-12-21,22.620001,22.620001,22.620001,22.620001,0,18.560986
2015-12-22,22.379999,22.389999,22.379999,22.389999,500,18.372261
2015-12-23,22.389999,22.389999,22.389999,22.389999,0,18.372261
2015-12-24,22.389999,22.389999,22.389999,22.389999,0,18.372261
2015-12-28,22.799999,22.82,22.790001,22.809999,1100,18.716888
2015-12-29,23.139999,23.200001,23.139999,23.200001,200,19.036913
2015-12-30,23.02,23.02,23.011999,23.02,1100,18.889208
2015-12-31,22.879999,22.98,22.870001,22.98,300,18.856388
2016-01-04,22.75,22.75,22.459999,22.549999,5800,18.503546
2016-01-05,22.549999,22.549999,22.549999,22.549999,0,18.503546
2016-01-06,22.299999,22.299999,22.299,22.299999,1800,18.298409
2016-01-07,22.299999,22.299999,22.299999,22.299999,0,18.298409
2016-01-08,22.07,22.07,21.4,21.4,7600,17.559902
2016-01-11,21.4,21.4,21.4,21.4,0,17.559902
2016-01-12,21.4,21.4,21.4,21.4,0,17.559902
2016-01-13,21.4,21.4,21.4,21.4,0,17.559902
2016-01-14,21.4,21.4,21.4,21.4,0,17.559902
2016-01-15,21.190001,21.190001,20.780001,21.007,6300,17.237425000000002
2016-01-19,21.007,21.007,21.007,21.007,0,17.237425000000002
2016-01-20,20.822001,20.822001,20.709999,20.709999,2500,16.993721
2016-01-21,20.709999,20.709999,20.709999,20.709999,0,16.993721
