date,open,high,low,close,volume,adjusted
2016-08-29,29.719999,29.841,29.719999,29.841,11900,27.363781
2016-08-30,29.799999,29.799999,29.704,29.704,1700,27.238155
2016-08-31,29.629999,29.649,29.605,29.639999,28200,27.179464
2016-09-01,29.809,29.83,29.735001,29.83,1800,27.353693
2016-09-02,29.83,29.83,29.83,29.83,100,27.353693
2016-09-06,30.268999,30.268999,30.268999,30.268999,300,27.756247
2016-09-07,30.440001,30.49,30.371,30.43,900,27.903881
2016-09-08,30.32,30.35,30.299999,30.35,1000,27.830523
2016-09-09,29.950001,29.950001,29.747,29.75,1500,27.280333
2016-09-12,29.870001,29.983,29.870001,29.983,1700,27.493992
2016-09-13,29.325001,29.325001,29.290001,29.290001,700,26.858521
2016-09-14,29.457001,29.457001,29.457001,29.457001,400,27.011658
2016-09-15,29.73,29.73,29.73,29.73,500,27.261995
2016-09-16,29.450001,29.450001,29.450001,29.450001,400,27.005239
2016-09-19,29.575001,29.610001,29.575001,29.610001,500,27.151955
2016-09-20,29.83,29.83,29.778,29.778,500,27.306009
2016-09-21,29.882999,29.882999,29.882999,29.882999,500,27.40229
2016-09-22,30.309999,30.309999,30.299999,30.299999,600,27.784676
2016-09-23,30.1,30.1,30.040001,30.040001,4500,27.546261
2016-09-26,29.867001,29.867001,29.867001,29.867001,500,27.387625
2016-09-27,29.916,29.98,29.916,29.98,500,27.49124
2016-09-28,29.98,29.98,29.98,29.98,0,27.49124
2016-09-29,29.98,29.98,29.98,29.98,0,27.49124
2016-09-30,29.91,30.110001,29.889999,30.106001,2200,27.606779
2016-10-03,29.950001,29.950001,29.950001,29.950001,700,27.463732
2016-10-04,29.719999,29.74,29.697001,29.74,1200,27.271164
2016-10-05,29.74,29.74,29.74,29.74,0,27.271164
2016-10-06,29.5,29.559999,29.5,29.559999,800,27.106106
2016-10-07,29.34,29.379999,29.181999,29.370001,63100,26.931881
2016-10-10,29.42,29.469999,29.42,29.459999,4100,27.01441
2016-10-11,29.190001,29.190001,29.02,29.02,1100,26.610935
2016-10-12,28.915001,28.915001,28.915001,28.915001,300,26.514652
2016-10-13,28.76,29.02,28.76,29.02,800,26.610935
2016-10-14,29.049999,29.129999,29.031,29.094,19600,26.678791
2016-10-17,28.879999,28.9,28.879,28.879,2400,26.48164
2016-10-18,28.860001,29.18,28.860001,29.15,6300,26.730141
2016-10-19,29.190001,29.190001,29.190001,29.190001,800,26.766821
2016-10-20,29.08,29.08,29.028999,29.059999,1000,26.647615
2016-10-21,28.84,28.84,28.84,28.84,500,26.445877
2016-10-24,28.99,28.99,28.91,28.92,1300,26.519232
2016-10-25,28.92,28.92,28.92,28.92,0,26.519232
2016-10-26,28.700001,28.700001,28.700001,28.700001,300,26.317497
2016-10-27,28.700001,28.700001,28.620001,28.620001,600,26.244141
2016-10-28,28.539,28.539,28.539,28.539,400,26.169865
2016-10-31,28.653999,28.653999,28.653999,28.653999,600,26.275314
2016-11-01,28.537001,28.537001,28.537001,28.537001,200,26.168032
2016-11-02,28.576,28.576,28.576,28.576,300,26.203794
2016-11-03,28.518999,28.540001,28.518999,28.535,1100,26.166193
2016-11-04,28.353001,28.379,28.353001,28.379,800,26.023148
2016-11-07,28.379,28.379,28.379,28.379,0,26.023148
2016-11-08,28.624001,28.700001,28.624001,28.700001,1000,26.317497
2016-11-09,28.379999,28.49,28.379999,28.450001,668100,26.088251
2016-11-10,28.43,28.43,27.83,27.83,2500,25.519722
2016-11-11,27.695999,27.809999,27.691999,27.809999,2600,25.501383
2016-11-14,27.441,27.499001,27.441,27.48,1300,25.198774
2016-11-15,27.479,27.648001,27.479,27.648001,7400,25.352829
2016-11-16,27.450001,27.471001,27.440001,27.452,2500,25.173101
