date,open,high,low,close,volume,adjusted
2014-08-22,24.42,24.42,24.42,24.42,800,21.303923
2014-08-25,24.42,24.42,24.42,24.42,0,21.303923
2014-08-26,24.42,24.42,24.42,24.42,0,21.303923
2014-08-27,24.42,24.42,24.42,24.42,0,21.303923
2014-08-28,24.42,24.42,24.42,24.42,0,21.303923
2014-08-29,24.42,24.42,24.42,24.42,0,21.303923
2014-09-02,24.42,24.42,24.42,24.42,0,21.303923
2014-09-03,24.42,24.42,24.42,24.42,0,21.303923
2014-09-04,25.51,25.629999,25.507,25.559999,1000,22.298454
2014-09-05,25.57,25.66,25.559999,25.66,600,22.385696
2014-09-08,NA,NA,NA,NA,NA,NA
2014-09-09,25.43,25.43,25.389999,25.389999,4500,22.150146
2014-09-10,25.34,25.450001,25.34,25.450001,25900,22.202492
2014-09-11,25.32,25.35,25.25,25.299999,17400,22.071634
2014-09-12,25.299999,25.299999,25.299999,25.299999,0,22.071634
2014-09-15,25.200001,25.200001,25.200001,25.200001,1600,21.984392
2014-09-16,25.1,25.219999,25.1,25.18,2500,21.966944
2014-09-17,25.18,25.18,25.18,25.18,0,21.966944
2014-09-18,25.530001,25.530001,25.459999,25.459999,5000,22.211216
2014-09-19,25.559999,25.559999,25.459999,25.459999,7100,22.211216
2014-09-22,25.559999,25.559999,25.360001,25.370001,5600,22.1327
2014-09-23,25.129999,25.129999,25.014999,25.02,5300,21.827362
2014-09-24,25.1,25.247,25.1,25.209999,23800,21.993118
2014-09-25,25.1,25.1,24.85,24.85,18700,21.67905
2014-09-26,25.09,25.18,25.09,25.18,1900,21.966944
2014-09-29,24.75,24.92,24.75,24.879999,33200,21.705225
2014-09-30,25.07,25.07,25.059999,25.059999,3400,21.862253
2014-10-01,24.870001,24.870001,24.75,24.75,1300,21.591812
2014-10-02,24.139999,24.235001,24.129999,24.23,21800,21.138166
2014-10-03,24.469999,24.469999,24.450001,24.469999,15000,21.347542
2014-10-06,24.469999,24.469999,24.469999,24.469999,0,21.347542
2014-10-07,24.18,24.18,24.02,24.02,12800,20.954964
2014-10-08,24.02,24.02,24.02,24.02,0,20.954964
2014-10-09,23.582001,23.582001,23.52,23.52,40300,20.518766
2014-10-10,23.440001,23.530001,23.440001,23.52,6000,20.518766
2014-10-13,23.309999,23.309999,23.290001,23.290001,2100,20.318113
2014-10-14,23.389999,23.41,23.370001,23.370001,415200,20.387907
2014-10-15,22.879999,22.879999,22.82,22.82,500,19.908087
2014-10-16,22.450001,22.450001,22.445,22.450001,3400,19.585302
2014-10-17,23.110001,23.110001,23.110001,23.110001,100,20.161083
2014-10-20,23.110001,23.110001,23.110001,23.110001,0,20.161083
2014-10-21,23.110001,23.110001,23.110001,23.110001,0,20.161083
2014-10-22,23.629999,23.629999,23.629999,23.629999,800,20.614729
2014-10-23,23.76,23.92,23.74,23.792,7700,20.756054
