date,open,high,low,close,volume,adjusted
2012-01-17,25.139999,25.139999,25.139999,25.139999,500,19.718479
2012-01-18,25.200001,25.34,25.200001,25.34,1000,19.875347
2012-01-19,25.43,25.43,25.360001,25.379999,24800,19.906721
2012-01-20,25.290001,25.290001,25.290001,25.290001,600,19.836134
2012-01-23,25.67,25.690001,25.52,25.59,15500,20.071432
2012-01-24,25.360001,25.459999,25.299999,25.299999,4700,19.843973
2012-01-25,25.49,25.709999,25.309999,25.709999,1800,20.165554
2012-01-26,25.84,25.84,25.549999,25.549999,3200,20.040058
2012-01-27,25.6,25.77,25.6,25.690001,8200,20.149872
2012-01-30,25.469999,25.66,25.469999,25.66,400,20.126337
2012-01-31,25.860001,25.860001,25.65,25.74,2300,20.189089
2012-02-01,26.07,26.139999,26.01,26.1,18900,20.471453
2012-02-02,25.969999,25.98,25.9,25.950001,3400,20.353802
2012-02-03,26.18,26.24,26.18,26.24,1900,20.581261
2012-02-06,26.24,26.24,26.24,26.24,0,20.581261
2012-02-07,26.209999,26.209999,26.209999,26.209999,2800,20.55773
2012-02-08,26.15,26.15,26.129999,26.129999,800,20.494986
2012-02-09,26.16,26.299999,26.15,26.200001,11500,20.549887
2012-02-10,25.780001,26.02,25.780001,25.85,9100,20.275368
2012-02-13,26.120001,26.120001,26.120001,26.120001,700,20.487141
2012-02-14,25.93,25.93,25.860001,25.860001,2800,20.283211
2012-02-15,26.08,26.08,26.01,26.01,1000,20.400858
2012-02-16,26.129999,26.309999,26.129999,26.309999,500,20.636164
2012-02-17,26.219999,26.219999,26.120001,26.120001,600,20.487141
2012-02-21,26.219999,26.26,26.219999,26.26,700,20.596945
2012-02-22,26.15,26.17,26.120001,26.120001,1100,20.487141
2012-02-23,26.120001,26.120001,26.120001,26.120001,0,20.487141
2012-02-24,26.120001,26.120001,26.120001,26.120001,0,20.487141
2012-02-27,26.34,26.34,26.34,26.34,400,20.659697
2012-02-28,26.41,26.440001,26.41,26.440001,400,20.738131
2012-02-29,26.6,26.6,26.469999,26.469999,2300,20.761656
2012-03-01,26.74,26.74,26.709999,26.709999,900,20.949903
2012-03-02,26.59,26.59,26.59,26.59,200,20.855785
2012-03-05,26.530001,26.530001,26.530001,26.530001,1000,20.808723
2012-03-06,26.15,26.15,25.93,25.93,800,20.338116
2012-03-07,25.93,25.93,25.93,25.93,0,20.338116
2012-03-08,26.700001,26.700001,26.700001,26.700001,500,20.942064
