date,open,high,low,close,volume,adjusted
2007-01-11,100,100,99.919998,99.919998,1100,78.08297
2007-01-12,99.879997,99.93,99.849998,99.93,1500,78.090775
2007-01-16,99.830002,99.830002,99.830002,99.830002,600,78.012596
2007-01-17,99.940002,99.940002,99.809998,99.82,700,78.004837
2007-01-18,99.839996,99.910004,99.839996,99.910004,6200,78.075142
2007-01-19,99.860001,99.860001,99.779999,99.800003,2000,77.989182
2007-01-22,99.900002,99.900002,99.849998,99.849998,1200,78.028267
2007-01-23,99.75,99.75,99.709999,99.709999,1200,77.918839
2007-01-24,99.75,99.75,99.75,99.75,1300,77.950111
2007-01-25,99.660004,99.660004,99.550003,99.550003,2100,77.7938
2007-01-26,99.529999,99.559998,99.480003,99.559998,1200,77.801643
2007-01-29,99.599998,99.610001,99.5,99.529999,3100,77.778229
2007-01-30,99.610001,99.610001,99.580002,99.580002,400,77.817284
2007-01-31,99.669998,99.839996,99.669998,99.839996,3600,78.020454
2007-02-01,99.739998,99.739998,99.519997,99.529999,1600,77.971077
2007-02-02,99.550003,99.660004,99.550003,99.580002,6800,78.010269
2007-02-05,99.709999,99.709999,99.709999,99.709999,7100,78.112114
2007-02-06,99.669998,99.879997,99.669998,99.879997,6600,78.245308
2007-02-07,99.949997,99.989998,99.940002,99.989998,2200,78.331451
2007-02-08,99.970001,100.029999,99.949997,100.029999,7500,78.362823
2007-02-09,99.809998,99.809998,99.809998,99.809998,2000,78.190407
2007-02-12,99.800003,99.860001,99.709999,99.730003,5000,78.127747
2007-02-13,99.800003,99.800003,99.690002,99.690002,1900,78.09642
2007-02-14,99.889999,100.129997,99.889999,100.120003,16600,78.433296
2007-02-15,100.239998,100.300003,100.220001,100.269997,9900,78.550735
2007-02-16,100.290001,100.290001,100.260002,100.279999,16300,78.558624
2007-02-20,100.239998,100.32,100.239998,100.269997,5400,78.550735
2007-02-21,100.300003,100.360001,100.300003,100.360001,1900,78.621284
2007-02-22,100.209999,100.209999,100.209999,100.209999,200,78.503761
2007-02-23,100.230003,100.470001,100.230003,100.419998,13300,78.668259
2007-02-26,100.550003,100.620003,100.540001,100.589996,1400,78.801483
2007-02-27,100.830002,101.269997,100.830002,101.199997,12300,79.279335
2007-02-28,101.199997,101.199997,100.970001,101.019997,126000,79.138321
2007-03-01,100.82,100.949997,100.68,100.68,48700,79.153259
2007-03-02,100.919998,100.959999,100.839996,100.959999,13600,79.373428
2007-03-05,101.099998,101.110001,100.959999,100.989998,8500,79.397011
2007-03-06,100.849998,101.010002,100.800003,100.889999,10200,79.318352
2007-03-07,100.900002,101.029999,100.900002,101.029999,4600,79.428444
2007-03-08,100.980003,101.050003,100.970001,101.050003,3500,79.444168
2007-03-09,100.620003,100.730003,100.620003,100.690002,8400,79.161133
2007-03-12,100.769997,100.900002,100.769997,100.870003,8300,79.302612
2007-03-13,101.089996,101.269997,101.050003,101.18,25200,79.546379
2007-03-14,101.199997,101.300003,101.139999,101.160004,5000,79.530678
2007-03-15,101.129997,101.129997,101.050003,101.059998,20500,79.452057
2007-03-16,101,101.099998,101,101.080002,9500,79.467728
2007-03-19,100.900002,100.970001,100.889999,100.910004,2000,79.334084
2007-03-20,101.099998,101.110001,101.059998,101.07,10100,79.45993
2007-03-21,101.07,101.360001,100.989998,101.269997,28000,79.617126
2007-03-22,101.199997,101.199997,101.050003,101.080002,4300,79.467728
2007-03-23,101.18,101.18,100.980003,100.980003,17400,79.38916
2007-03-26,100.959999,101.25,100.959999,101.110001,8200,79.491356
2007-03-27,101.059998,101.099998,101.029999,101.089996,31500,79.475609
2007-03-28,101.230003,101.300003,101.120003,101.120003,2100,79.499214
2007-03-29,101,101.07,101,101.010002,7100,79.412773
2007-03-30,101.050003,101.150002,100.839996,101,27600,79.404831
2007-04-02,100.730003,100.730003,100.540001,100.639999,25100,79.407967
2007-04-03,100.510002,100.660004,100.510002,100.550003,8200,79.337006
2007-04-04,100.779999,100.830002,100.589996,100.790001,19400,79.526352
2007-04-05,100.739998,100.739998,100.550003,100.620003,3300,79.392265
2007-04-09,100.099998,100.239998,100.099998,100.220001,6900,79.076622
2007-04-10,100.389999,100.389999,100.330002,100.349998,5500,79.179192
2007-04-11,100.459999,100.489998,100.279999,100.339996,4800,79.17131
2007-04-12,100.330002,100.370003,100.300003,100.32,3500,79.155533
2007-04-13,100.339996,100.339996,100.129997,100.209999,15200,79.068748
2007-04-16,100.25,100.330002,100.230003,100.279999,3100,79.123962
2007-04-17,100.449997,100.599998,100.449997,100.599998,2200,79.376465
2007-04-18,100.699997,100.769997,100.699997,100.75,6300,79.494766
2007-04-19,100.849998,100.849998,100.650002,100.75,2800,79.494766
2007-04-20,100.650002,100.75,100.650002,100.720001,3500,79.471161
2007-04-23,100.709999,100.879997,100.709999,100.860001,1900,79.581604
2007-04-24,101.050003,101.050003,101.019997,101.029999,1300,79.71579
2007-04-25,100.940002,101.029999,100.910004,100.919998,7100,79.628906
2007-04-26,100.889999,100.889999,100.760002,100.760002,6900,79.502693
2007-04-27,100.769997,100.769997,100.699997,100.760002,1700,79.502693
2007-04-30,100.93,101.059998,100.919998,101.059998,8800,79.739395
2007-05-01,100.779999,100.779999,100.550003,100.629997,7600,79.693459
2007-05-02,100.620003,100.620003,100.529999,100.589996,28400,79.661774
2007-05-03,100.489998,100.5,100.389999,100.5,12900,79.590523
2007-05-04,100.650002,100.669998,100.599998,100.650002,64900,79.709335
2007-05-07,100.519997,100.690002,100.519997,100.690002,1500,79.74099
2007-05-08,100.699997,100.760002,100.68,100.709999,8800,79.756844
2007-05-09,100.699997,100.739998,100.470001,100.550003,10300,79.630127
2007-05-10,100.57,100.650002,100.57,100.650002,12200,79.709335
2007-05-11,100.830002,100.830002,100.580002,100.580002,1400,79.653885
2007-05-14,100.559998,100.559998,100.43,100.43,8400,79.535095
2007-05-15,100.5,100.550003,100.360001,100.440002,8300,79.543015
2007-05-16,100.449997,100.519997,100.449997,100.510002,4700,79.598442
2007-05-17,100.349998,100.410004,100.260002,100.279999,8800,79.416267
2007-05-18,100.239998,100.260002,100.050003,100.099998,3300,79.273743
2007-05-21,100.050003,100.239998,100.050003,100.239998,5300,79.384605
2007-05-22,100.059998,100.150002,99.989998,99.989998,9900,79.186646
2007-05-23,100.129997,100.129997,99.970001,99.989998,4000,79.186646
2007-05-24,100.019997,100.040001,99.849998,100.029999,11400,79.218269
2007-05-25,99.959999,100.040001,99.919998,99.93,10600,79.13913
2007-05-29,99.949997,99.949997,99.790001,99.839996,10800,79.067856
2007-05-30,100.050003,100.050003,99.839996,99.900002,18600,79.115379
2007-05-31,99.889999,99.910004,99.68,99.809998,9600,79.044052
2007-06-01,99.050003,99.290001,99.019997,99.120003,49100,78.800003
2007-06-04,99.120003,99.25,99.059998,99.25,6800,78.903358
2007-06-05,99.089996,99.110001,98.93,99.040001,16600,78.736382
2007-06-06,99,99.199997,99,99.199997,27900,78.863617
2007-06-07,98.82,98.860001,98.739998,98.75,3000,78.505867
2007-06-08,98.669998,98.790001,98.57,98.75,6000,78.505867
2007-06-11,98.660004,98.82,98.660004,98.769997,6200,78.521759
2007-06-12,98.5,98.550003,98.330002,98.349998,8000,78.187843
2007-06-13,98.400002,98.550003,98.330002,98.510002,13200,78.315079
2007-06-14,98.510002,98.580002,98.379997,98.470001,3800,78.283272
2007-06-15,98.550003,98.769997,98.550003,98.760002,14800,78.513817
2007-06-18,98.730003,98.849998,98.669998,98.830002,9200,78.569496
2007-06-19,98.980003,99.099998,98.940002,99.099998,5200,78.784111
2007-06-20,99.059998,99.059998,98.870003,98.959999,74400,78.672806
2007-06-21,98.980003,99.019997,98.839996,98.889999,8900,78.617195
2007-06-22,98.889999,99.129997,98.800003,99.099998,8900,78.784111
2007-06-25,99.330002,99.330002,99.199997,99.230003,4200,78.887451
2007-06-26,99.389999,99.389999,99.150002,99.279999,6800,78.9272
2007-06-27,99.519997,99.550003,99.379997,99.400002,5000,79.022575
2007-06-28,99.360001,99.379997,99.239998,99.260002,3200,78.911339
2007-06-29,99.32,99.589996,99.300003,99.580002,4000,79.165665
2007-07-02,99.290001,99.360001,99.209999,99.330002,11300,79.282265
2007-07-03,99.32,99.389999,99.18,99.190002,3700,79.170464
2007-07-05,99,99.019997,98.760002,98.779999,4100,78.843246
2007-07-06,98.699997,98.709999,98.529999,98.629997,6200,78.723526
2007-07-09,98.75,98.779999,98.699997,98.730003,5300,78.803352
2007-07-10,99.120003,99.309998,99.080002,99.309998,36200,79.266251
2007-07-11,99.300003,99.379997,99.07,99.07,6200,79.074707
2007-07-12,99.150002,99.169998,98.919998,98.959999,11200,78.986923
2007-07-13,99.089996,99.089996,98.940002,99.040001,3200,79.050735
2007-07-16,99.080002,99.290001,99.040001,99.269997,26400,79.234329
2007-07-17,99.050003,99.269997,99.050003,99.190002,6700,79.170464
2007-07-18,99.25,99.529999,99.25,99.440002,17900,79.369995
2007-07-19,99.349998,99.410004,99.220001,99.400002,13000,79.338066
2007-07-20,99.57,99.830002,99.57,99.760002,53700,79.625427
2007-07-23,99.739998,99.809998,99.650002,99.760002,123700,79.625427
2007-07-24,99.839996,99.940002,99.82,99.940002,8800,79.769173
2007-07-25,99.989998,100.099998,99.989998,100.029999,26400,79.840996
2007-07-26,100.449997,100.800003,100.449997,100.699997,53700,80.375748
2007-07-27,100.769997,100.900002,100.650002,100.790001,14400,80.447556
2007-07-30,100.830002,100.870003,100.580002,100.580002,9700,80.279968
2007-07-31,100.510002,100.809998,100.5,100.809998,37300,80.463623
2007-08-01,100.029999,100.599998,100.029999,100.25,5500,80.311325
2007-08-02,100.330002,100.470001,100.290001,100.440002,4700,80.463631
2007-08-03,100.519997,100.849998,100.519997,100.849998,13400,80.792
2007-08-06,100.75,100.919998,100.529999,100.529999,7500,80.53566
2007-08-07,100.629997,100.669998,100.389999,100.389999,12800,80.423508
2007-08-08,100.349998,100.349998,99.949997,100.230003,13100,80.295311
2007-08-09,100.650002,100.669998,100.480003,100.660004,116100,80.639763
2007-08-10,100.800003,100.800003,100.5,100.519997,28900,80.527664
2007-08-13,100.5,100.720001,100.480003,100.699997,4900,80.671829
2007-08-14,100.550003,101.919998,100.550003,101.919998,6100,81.649155
2007-08-15,101.099998,101.269997,100.959999,101.139999,18400,81.02433
2007-08-16,101.400002,102.07,101.400002,101.870003,30100,81.609146
2007-08-17,101.379997,101.720001,101.379997,101.550003,82300,81.352776
2007-08-20,101.68,101.889999,101.68,101.760002,8400,81.521004
2007-08-21,102.150002,102.150002,101.82,102.050003,30900,81.753326
2007-08-22,101.760002,101.879997,101.589996,101.730003,16300,81.497002
2007-08-23,101.650002,101.790001,101.540001,101.599998,25600,81.392845
2007-08-24,101.650002,101.699997,101.379997,101.529999,7600,81.336716
2007-08-27,101.629997,101.709999,101.459999,101.709999,11500,81.480934
