date,open,high,low,close,volume,adjusted
2007-12-27,48.799999,49,46.82,46.990002,14400,24.418858
2007-12-28,47.029999,47.029999,46.27,46.860001,24100,24.351303
2007-12-31,48.5,48.5,47,47.299999,11400,24.579958
2008-01-02,47.799999,47.799999,47.060001,47.099998,20200,24.476023
2008-01-03,48.240002,48.240002,46.52,46.830002,15000,24.335707
2008-01-04,47.169998,47.459999,46.5,47.130001,6400,24.491615
2008-01-07,46,46.099998,45.200001,45.389999,19700,23.587399
2008-01-08,45.41,45.5,44.91,44.91,5300,23.337969
2008-01-09,45.889999,46,44.939999,44.950001,4700,23.358749
2008-01-10,45.919998,45.919998,44.349998,44.360001,3300,23.052155
2008-01-11,43.41,43.68,43.41,43.52,3900,22.615637
2008-01-14,41.5,44.200001,41.5,44.130001,4100,22.932632
2008-01-15,43.799999,43.799999,42.18,42.299999,5300,21.98164
2008-01-16,42.889999,43.970001,42,42.049999,5200,21.851732
2008-01-17,43.490002,43.790001,41.150002,41.16,12200,21.389236
2008-01-18,45.27,45.27,41.529999,42.509998,12000,22.090769
2008-01-22,40.709999,42.09,40.689999,41.970001,7400,21.810162
2008-01-23,40.630001,41.049999,40.240002,40.889999,16400,21.248924
2008-01-24,42.849998,43.23,42.830002,43.220001,8000,22.459742
2008-01-25,47.470001,50,43.610001,44,15100,22.865076
2008-01-28,40.799999,44.110001,40.799999,44.080002,2800,22.906639
2008-01-29,48.580002,48.580002,43.950001,44.029999,9500,22.880659
2008-01-30,43.759998,45.59,43.459999,43.759998,4600,22.740347
2008-01-31,44.990002,44.990002,44.349998,44.82,3100,23.291191
2008-02-01,48.799999,48.799999,44.599998,45.169998,3900,23.473072
2008-02-04,46.880001,50.439999,45.98,46.169998,95300,23.992739
2008-02-05,46.68,46.990002,43.799999,43.970001,31500,22.849472
2008-02-06,46.43,46.43,44.240002,44.77,9600,23.265205
2008-02-07,44.040001,44.060001,43.43,44.049999,9100,22.891052
2008-02-08,47.130001,47.130001,42.540001,43.060001,13700,22.376593
2008-02-11,40.98,44.599998,40.98,43.630001,4300,22.672802
2008-02-12,45.93,45.93,41.099998,42.459999,8500,22.064798
2008-02-13,44.040001,44.040001,42.970001,43.439999,12300,22.57406
2008-02-14,46.310001,46.310001,43,43.07,17300,22.381788
2008-02-15,43.119999,43.369999,43.119999,43.369999,300,22.537682
2008-02-19,45.139999,45.889999,43.43,43.639999,14500,22.677994
2008-02-20,44.34,44.34,43.099998,43.669998,10400,22.693586
2008-02-21,44.759998,44.759998,42.52,42.52,3300,22.095968
2008-02-22,42.349998,43.23,41.240002,42.439999,9400,22.054394
2008-02-25,42.349998,43.5,41.169998,43.080002,9700,22.386986
2008-02-26,44.049999,45.900002,43.290001,44.029999,28300,22.880659
2008-02-27,44.389999,45.860001,44.23,44.639999,7700,23.197653
2008-02-28,43.029999,44.68,42.07,44.669998,4000,23.213236
2008-02-29,43.66,43.66,42.369999,43.189999,5700,22.444151
2008-03-03,45.040001,45.040001,41.880001,42.849998,13900,22.267458
2008-03-04,43.279999,43.279999,40.73,42.110001,10000,21.882914
2008-03-05,41.77,44.099998,41.299999,42.32,67800,21.992043
2008-03-06,42.790001,46.5,42.220001,42.720001,12200,22.199909
2008-03-07,42.970001,43.540001,41.34,42.299999,5600,21.98164
2008-03-10,42.41,42.799999,40.400002,40.560001,22200,21.077442
2008-03-11,41,43.490002,40.959999,41.849998,15300,21.747797
2008-03-12,41.889999,42.900002,41.400002,41.400002,13900,21.513952
2008-03-13,42.84,42.860001,40.669998,40.900002,40600,21.254118
2008-03-14,40.330002,41.5,40.150002,40.709999,3600,21.155392
2008-03-17,41.299999,41.299999,40.880001,41.299999,1400,21.461981
2008-03-18,41.900002,42.290001,41.900002,42,1000,21.825752
2008-03-19,43.509998,44,40.040001,40.040001,6800,20.807215
2008-03-20,40.810001,43.080002,40.200001,43.080002,7900,22.386986
2008-03-24,43.099998,44.990002,41.549999,41.639999,20500,21.63867
2008-03-25,43.790001,43.790001,42.25,42.84,6000,22.26226
2008-03-26,43.459999,43.459999,41.580002,41.849998,10900,21.830862
2008-03-27,41.369999,42.220001,41.369999,41.5,3000,21.648279
2008-03-28,43.529999,43.529999,40.66,42.540001,7100,22.190796
2008-03-31,42.849998,43.700001,42.799999,43.369999,3800,22.623768
2008-04-01,45.27,45.27,43.130001,43.91,5900,22.905453
2008-04-02,45.98,45.98,44.23,44.59,4100,23.26017
2008-04-03,44.09,45.900002,44.09,44.810001,6100,23.374937
2008-04-04,45.98,45.98,44.610001,44.610001,2800,23.270603
2008-04-07,45.91,45.91,44.75,44.779999,2300,23.359289
2008-04-08,45.580002,45.580002,44.5,44.700001,18300,23.31756
2008-04-09,45.5,47.299999,42.91,43.48,9400,22.681141
2008-04-10,44.919998,45,43.009998,43.290001,7800,22.582037
2008-04-11,43,43.02,42.720001,42.779999,4200,22.315989
2008-04-14,42.02,42.650002,42.02,42.650002,1600,22.248184
2008-04-15,42.98,42.98,42.700001,42.810001,2400,22.331646
2008-04-16,43.18,45.57,43.18,43.75,6600,22.821987
2008-04-17,43.799999,43.93,41.700001,43.93,14200,22.915886
2008-04-18,44.200001,44.400002,44.200001,44.400002,3000,23.161055
2008-04-21,45,45,43.220001,44.5,13400,23.213226
2008-04-22,44.439999,44.439999,43.23,44.060001,9700,22.9837
2008-04-23,44.669998,44.669998,44.259998,44.52,900,23.223654
2008-04-24,44.52,44.540001,44.049999,44.540001,105200,23.234093
