date,open,high,low,close,volume,adjusted
2000-12-08,36.117188,36.273438,36.117188,36.273438,3200,23.594387
2000-12-11,36.734375,36.851563,36.578125,36.578125,2200,23.792574
2000-12-12,36.273438,36.46875,36.03125,36.351563,3200,23.645205
2000-12-13,36.351563,36.351563,36.351563,36.351563,0,23.645205
2000-12-14,35.90625,35.90625,35.757813,35.757813,2200,23.258991
2000-12-15,35.195313,35.273438,34.8125,35.273438,18000,22.943932
2000-12-18,35.179688,35.265625,34.890625,34.890625,7000,22.694929
2000-12-19,34.671875,34.671875,34.671875,34.671875,400,22.552637
2000-12-20,34.296875,34.296875,34,34,600,22.123272
2000-12-21,33.671875,33.671875,33.5625,33.648438,2400,21.894518
2000-12-22,34.507813,34.578125,34.507813,34.578125,9000,22.499443
2000-12-26,34.6875,34.6875,34.53125,34.53125,2200,22.468945
2000-12-27,35.148438,35.148438,35,35.117188,600,22.850201
2000-12-28,35.070313,35.070313,34.898438,34.976563,1000,22.758703
2000-12-29,35.054688,35.070313,34.828125,34.84375,5400,22.672285
2001-01-02,34.984375,34.984375,34.5625,34.609375,2600,22.519785
2001-01-03,34.65625,36.023438,34.273438,36.023438,3000,23.439892
2001-01-04,35.523438,35.617188,35.21875,35.21875,3800,22.916292
2001-01-05,34.882813,35.09375,34.8125,34.8125,2800,22.651949
2001-01-08,34.632813,34.796875,34.5,34.796875,1000,22.641781
2001-01-09,34.796875,34.796875,34.796875,34.796875,0,22.641781
2001-01-10,34.25,34.476563,34.25,34.46875,2800,22.428272
2001-01-11,35,35.382813,35,35.382813,2800,23.023045
2001-01-12,35.15625,35.15625,34.90625,34.90625,2200,22.71295
2001-01-16,34.890625,34.976563,34.828125,34.882813,2600,22.697704
2001-01-17,35.445313,35.617188,35.046875,35.046875,1600,22.804459
2001-01-18,35.453125,36.03125,35.453125,36.03125,8000,23.444971
2001-01-19,36.03125,36.03125,35.71875,35.890625,21600,23.353468
2001-01-22,35.890625,35.914063,35.453125,35.5625,2200,23.139961
2001-01-23,35.726563,36.132813,35.648438,36.132813,13000,23.511059
2001-01-24,35.875,36.015625,35.867188,35.867188,2800,23.338217
2001-01-25,35.921875,36.164063,35.914063,35.992188,6000,23.419556
2001-01-26,35.75,36.078125,35.75,36,20200,23.424635
2001-01-29,35.773438,36.09375,35.75,36.09375,10000,23.485638
2001-01-30,35.96875,36.367188,35.890625,36.367188,14400,23.663557
2001-01-31,36.367188,36.4375,36.09375,36.09375,11400,23.485638
2001-02-01,36.226563,36.351563,36.078125,36.351563,6400,23.653395
2001-02-02,36.1875,36.1875,35.6875,35.6875,4600,23.221294
2001-02-05,35.703125,35.9375,35.703125,35.921875,5000,23.373804
2001-02-06,35.921875,36.078125,35.75,35.75,3800,23.261969
2001-02-07,35.5,35.5,35.359375,35.46875,1200,23.078962
2001-02-08,35.398438,35.5,35,35,4400,22.773951
2001-02-09,34.890625,34.890625,34.5,34.507813,4600,22.453697
2001-02-12,34.773438,35.226563,34.773438,35.226563,6800,22.921373
2001-02-13,35.078125,35.109375,34.703125,34.703125,7600,22.580778
2001-02-14,34.523438,34.65625,34.25,34.65625,3800,22.55028
2001-02-15,34.679688,34.78125,34.59375,34.59375,4200,22.509613
2001-02-16,34,34.195313,33.84375,34.140625,5000,22.214773
2001-02-20,34.023438,34.023438,33.320313,33.320313,4200,21.681005
2001-02-21,33.296875,33.398438,32.71875,32.71875,17400,21.289583
2001-02-22,32.75,32.882813,32.625,32.671875,4800,21.259077
2001-02-23,32.273438,32.476563,32,32.476563,4400,21.131996
2001-02-26,32.703125,33.171875,32.492188,33.148438,1800,21.569166
2001-02-27,32.9375,33.171875,32.765625,32.796875,90600,21.34041
2001-02-28,33.023438,33.078125,32.367188,32.476563,5200,21.131996
2001-03-01,32.273438,32.273438,32.09375,32.101563,1000,20.887983
2001-03-02,32.328125,33.023438,32.328125,32.703125,2600,21.279413
2001-03-05,32.773438,32.867188,32.726563,32.75,2200,21.309916
2001-03-06,33.375,33.601563,33.367188,33.5,10200,21.797928
2001-03-07,33.539063,33.539063,33.375,33.5,6800,21.797928
2001-03-08,33.3125,33.53125,33.296875,33.5,4400,21.797928
2001-03-09,33,33,32.5,32.6875,5600,21.269243
