date,open,high,low,close,volume,adjusted
2015-09-17,25.370001,25.73,25.370001,25.73,1400,23.530928
2015-09-18,25.219999,25.24,25.18,25.18,5600,23.027935
2015-09-21,25.25,25.26,25.23,25.25,5500,23.091953
2015-09-22,25,25,25,25,1000,22.863319
2015-09-23,25.1,25.1,24.85,24.870001,2400,22.744431
2015-09-24,24.870001,24.870001,24.870001,24.870001,0,22.744431
2015-09-25,24.885,24.91,24.879999,24.879999,900,22.753572
2015-09-28,24.450001,24.450001,24.41,24.41,600,22.323742
2015-09-29,24.950001,25,24.85,25,800,22.863319
2015-09-30,25.16,25.24,25.16,25.219999,900,23.064516
2015-10-01,25.15,25.16,24.92,25,5600,22.863319
2015-10-02,24.889999,25.34,24.889999,25.34,1800,23.174261
2015-10-05,25.459999,25.549999,25.452,25.540001,1500,23.357168
2015-10-06,25.450001,25.700001,25.450001,25.59,4900,23.402895
2015-10-07,25.940001,25.940001,25.940001,25.940001,300,23.72298
2015-10-08,26.35,26.67,26.290001,26.67,6200,24.390591
2015-10-09,26.584999,26.6,26.51,26.51,1300,24.244263
2015-10-12,26.73,26.73,26.42,26.42,400,24.161957
2015-10-13,26.77,26.77,26.77,26.77,200,24.482044
2015-10-14,26.58,26.66,26.58,26.66,4100,24.381443
2015-10-15,26.370001,26.49,26.32,26.49,800,24.225973
2015-10-16,26.43,26.493999,26.43,26.493999,400,24.229631
2015-10-19,26.690001,26.690001,26.690001,26.690001,200,24.408882
2015-10-20,26.610001,26.67,26.610001,26.639999,1000,24.363153
2015-10-21,25.639999,25.653,25.629999,25.629999,1200,23.439478
2015-10-22,25.52,25.629999,25.459999,25.476,1000,23.298637
2015-10-23,25.639999,25.709999,25.57,25.67,700,23.476055
2015-10-26,25.27,25.27,25.27,25.27,200,23.110241
2015-10-27,24.799999,24.799999,24.620001,24.620001,800,22.515799
2015-10-28,25,25,24.999001,24.999001,600,22.862406
2015-10-29,25.1,25.1,25.1,25.1,100,22.954771
2015-10-30,24.959999,24.959999,24.959999,24.959999,100,22.826736
2015-11-02,24.959999,24.959999,24.959999,24.959999,100,22.826736
