date,open,high,low,close,volume,adjusted
2014-01-23,100.07,100.110001,100.07,100.110001,5700,87.292862
2014-01-24,100.18,100.18,100.110001,100.110001,3400,87.292862
2014-01-27,100.099998,100.099998,100.099998,100.099998,5200,87.284103
2014-01-28,100.099998,100.099998,100.099998,100.099998,200,87.284103
2014-01-29,100.099998,100.099998,100.07,100.07,1200,87.25795
2014-01-30,100.07,100.07,100.07,100.07,0,87.25795
2014-01-31,100.260002,100.260002,100.260002,100.260002,500,87.423615
2014-02-03,100.260002,100.260002,100.260002,100.260002,0,87.423615
2014-02-04,100.239998,100.239998,100.239998,100.239998,100,87.406158
2014-02-05,100.239998,100.239998,100.239998,100.239998,0,87.406158
2014-02-06,100.279999,100.279999,100.279999,100.279999,200,87.441086
2014-02-07,100.599998,100.599998,100.349998,100.360001,1600,87.510834
2014-02-10,100.32,100.349998,100.32,100.349998,5900,87.502121
2014-02-11,100.349998,100.349998,100.349998,100.349998,0,87.502121
2014-02-12,100.25,100.360001,100.25,100.360001,5300,87.510834
2014-02-13,100.360001,100.360001,100.360001,100.360001,0,87.510834
2014-02-14,100.360001,100.360001,100.360001,100.360001,0,87.510834
2014-02-18,100.360001,100.360001,100.360001,100.360001,0,87.510834
2014-02-19,100.510002,100.510002,100.510002,100.510002,100,87.64164
2014-02-20,100.529999,100.620003,100.529999,100.620003,1300,87.737534
2014-02-21,100.669998,100.68,100.519997,100.540001,2200,87.667786
2014-02-24,100.470001,100.470001,100.470001,100.470001,12000,87.60675
2014-02-25,100.470001,100.470001,100.470001,100.470001,0,87.60675
2014-02-26,100.550003,100.550003,100.550003,100.550003,100,87.676529
2014-02-27,100.550003,100.610001,100.550003,100.610001,2100,87.728821
2014-02-28,100.510002,100.510002,100.5,100.510002,300,87.676491
2014-03-03,100.550003,100.550003,100.379997,100.379997,700,87.563065
2014-03-04,100.519997,100.519997,100.519997,100.519997,100,87.685196
2014-03-05,100.5,100.5,100.5,100.5,800,87.667732
2014-03-06,100.5,100.5,100.5,100.5,0,87.667732
2014-03-07,100.410004,100.419998,100.410004,100.419998,700,87.597969
2014-03-10,100.410004,100.410004,100.410004,100.410004,200,87.589233
2014-03-11,100.849998,100.849998,100.360001,100.360001,500,87.545639
2014-03-12,100.309998,100.309998,100.309998,100.309998,300,87.502014
2014-03-13,100.5,100.519997,100.5,100.519997,2200,87.685196
2014-03-14,100.5,100.5,100.5,100.5,200,87.667732
2014-03-17,100.470001,100.470001,100.470001,100.470001,100,87.641594
2014-03-18,100.470001,100.470001,100.470001,100.470001,0,87.641594
2014-03-19,100.440002,100.480003,100.440002,100.480003,4900,87.650307
2014-03-20,100.279999,100.309998,100.269997,100.309998,3300,87.502014
2014-03-21,100.279999,100.339996,100.279999,100.330002,1500,87.519463
2014-03-24,100.260002,100.260002,100.239998,100.239998,1000,87.440933
2014-03-25,100.459999,100.459999,100.349998,100.419998,3200,87.597969
2014-03-26,100.480003,100.480003,100.480003,100.480003,1700,87.650307
2014-03-27,100.480003,100.5,100.419998,100.419998,1100,87.597969
2014-03-28,100.489998,100.489998,100.489998,100.489998,300,87.659012
2014-03-31,100.400002,100.400002,100.400002,100.400002,200,87.637207
2014-04-01,100.529999,100.529999,100.300003,100.470001,3600,87.698318
2014-04-02,100.300003,100.300003,100.300003,100.300003,100,87.549927
2014-04-03,100.300003,100.300003,100.300003,100.300003,0,87.549927
2014-04-04,100.489998,100.489998,100.489998,100.489998,300,87.715759
2014-04-07,100.540001,100.540001,100.489998,100.489998,800,87.715759
2014-04-08,100.699997,100.699997,100.699997,100.699997,2400,87.899048
2014-04-09,100.769997,100.849998,100.709999,100.709999,7900,87.907791
2014-04-10,100.849998,100.849998,100.849998,100.849998,1100,88.029999
2014-04-11,100.849998,100.849998,100.849998,100.849998,0,88.029999
2014-04-14,100.849998,100.849998,100.849998,100.849998,0,88.029999
2014-04-15,100.800003,101,100.800003,101,1500,88.160934
2014-04-16,101,101,101,101,0,88.160934
2014-04-17,101,101,101,101,0,88.160934
2014-04-21,101,101,101,101,0,88.160934
2014-04-22,100.730003,100.860001,100.730003,100.849998,900,88.029999
2014-04-23,101.129997,101.18,101.129997,101.18,700,88.318069
2014-04-24,101.120003,101.129997,101.080002,101.110001,3400,88.256973
2014-04-25,101.110001,101.110001,101.099998,101.099998,600,88.248207
2014-04-28,101.110001,101.110001,101.050003,101.050003,800,88.204605
2014-04-29,100.830002,100.879997,100.830002,100.839996,1000,88.021294
2014-04-30,101.139999,101.190002,100.940002,100.940002,700,88.171516
2014-05-01,101.120003,101.120003,101.120003,101.120003,800,88.328751
2014-05-02,101.120003,101.120003,101.120003,101.120003,0,88.328751
2014-05-05,100.989998,101.010002,100.970001,101.010002,500,88.232674
2014-05-06,101.169998,101.209999,101.169998,101.209999,600,88.407372
2014-05-07,101.209999,101.209999,101.209999,101.209999,0,88.407372
2014-05-08,101.209999,101.209999,101.209999,101.209999,0,88.407372
2014-05-09,101.580002,101.580002,101.580002,101.580002,100,88.730568
2014-05-12,101.209999,101.209999,101.209999,101.209999,400,88.407372
