date,open,high,low,close,volume,adjusted
2005-11-15,25.610001,25.67,25.535,25.67,22000,17.880075
2005-11-16,25.459999,25.459999,25.42,25.42,2400,17.705946
2005-11-17,25.754999,25.754999,25.735001,25.735001,2000,17.925356
2005-11-18,25.860001,25.860001,25.860001,25.860001,1200,18.012419
2005-11-21,25.98,25.98,25.98,25.98,1200,18.096008
2005-11-22,25.98,25.98,25.98,25.98,388200,18.096008
2005-11-23,25.98,25.98,25.98,25.98,0,18.096008
2005-11-25,25.98,25.98,25.98,25.98,0,18.096008
2005-11-28,26.23,26.23,26.16,26.16,2000,18.221375
2005-11-29,26.325001,26.325001,26.325001,26.325001,400,18.336311
2005-11-30,26.24,26.24,26.24,26.24,400,18.277102
2005-12-01,26.24,26.24,26.24,26.24,0,18.277102
2005-12-02,26.469999,26.469999,26.469999,26.469999,400,18.437309
2005-12-05,26.375,26.375,26.370001,26.370001,2000,18.367651
2005-12-06,26.370001,26.370001,26.370001,26.370001,0,18.367651
2005-12-07,26.370001,26.370001,26.370001,26.370001,0,18.367651
2005-12-08,26.370001,26.370001,26.370001,26.370001,0,18.367651
2005-12-09,26.309999,26.43,26.295,26.43,4000,18.409447
2005-12-12,26.43,26.43,26.43,26.43,0,18.409447
2005-12-13,26.43,26.434999,26.43,26.434999,1600,18.412922
2005-12-14,26.434999,26.434999,26.434999,26.434999,0,18.412922
2005-12-15,26.434999,26.434999,26.434999,26.434999,0,18.412922
2005-12-16,26.434999,26.434999,26.434999,26.434999,0,18.469868
2005-12-19,26.360001,26.360001,26.295,26.295,3200,18.372057
2005-12-20,26.295,26.295,26.295,26.295,0,18.372057
2005-12-21,26.295,26.295,26.295,26.295,0,18.372057
2005-12-22,26.295,26.295,26.295,26.295,0,18.372057
2005-12-23,26.5,26.5,26.5,26.5,600,18.515293
2005-12-27,26.5,26.5,26.5,26.5,0,18.515293
2005-12-28,26.5,26.5,26.5,26.5,0,18.515293
2005-12-29,26.5,26.5,26.5,26.5,0,18.515293
2005-12-30,26.184999,26.184999,26.184999,26.184999,4600,18.295193
2006-01-03,26.25,26.594999,26.25,26.594999,43200,18.581667
2006-01-04,26.584999,26.809999,26.584999,26.809999,1000,18.731886
2006-01-05,26.809999,26.809999,26.809999,26.809999,0,18.731886
2006-01-06,26.809999,26.809999,26.809999,26.809999,0,18.731886
2006-01-09,26.809999,26.809999,26.809999,26.809999,0,18.731886
2006-01-10,27.395,27.395,27.395,27.395,200,19.140615
2006-01-11,27.385,27.385,27.385,27.385,1000,19.133621
2006-01-12,27.385,27.385,27.385,27.385,0,19.133621
2006-01-13,27.26,27.26,27.24,27.24,1600,19.032314
2006-01-17,27.065001,27.065001,27.065001,27.065001,200,18.910048
2006-01-18,27.065001,27.065001,27.065001,27.065001,0,18.910048
2006-01-19,27.065001,27.065001,27.065001,27.065001,0,18.910048
2006-01-20,26.950001,26.950001,26.950001,26.950001,200,18.829699
2006-01-23,27.01,27.01,26.985001,26.985001,1400,18.854153
2006-01-24,26.985001,26.985001,26.985001,26.985001,0,18.854153
2006-01-25,27.280001,27.280001,27.139999,27.139999,800,18.962446
2006-01-26,27.35,27.35,27.35,27.35,200,19.109175
2006-01-27,27.35,27.35,27.35,27.35,0,19.109175
2006-01-30,27.565001,27.565001,27.565001,27.565001,200,19.25939
2006-01-31,27.475,27.495001,27.43,27.495001,6800,19.210485
2006-02-01,27.49,27.540001,27.49,27.540001,600,19.241919
2006-02-02,27.540001,27.540001,27.540001,27.540001,0,19.241919
2006-02-03,27.540001,27.540001,27.540001,27.540001,0,19.241919
2006-02-06,27.540001,27.540001,27.540001,27.540001,0,19.241919
2006-02-07,27.540001,27.540001,27.540001,27.540001,0,19.241919
2006-02-08,27.540001,27.540001,27.540001,27.540001,0,19.241919
2006-02-09,27.540001,27.540001,27.540001,27.540001,0,19.241919
2006-02-10,27,27,26.940001,26.940001,800,18.82271
2006-02-13,26.975,26.975,26.975,26.975,400,18.84716
2006-02-14,27.18,27.18,27.18,27.18,400,18.990395
2006-02-15,27.18,27.18,27.18,27.18,0,18.990395
2006-02-16,27.305,27.305,27.305,27.305,200,19.077734
2006-02-17,27.305,27.305,27.305,27.305,0,19.077734
2006-02-21,27.305,27.305,27.305,27.305,0,19.077734
2006-02-22,27.780001,27.780001,27.775,27.775,1200,19.406118
2006-02-23,27.775,27.84,27.775,27.84,600,19.451534
2006-02-24,27.84,27.84,27.84,27.84,0,19.451534
2006-02-27,27.799999,27.799999,27.799999,27.799999,200,19.42358
2006-02-28,27.615,27.615,27.615,27.615,200,19.294331
2006-03-01,27.764999,27.764999,27.764999,27.764999,200,19.399124
2006-03-02,27.764999,27.764999,27.764999,27.764999,0,19.399124
2006-03-03,27.719999,27.73,27.719999,27.73,62000,19.374678
2006-03-06,27.639999,27.639999,27.469999,27.469999,3400,19.193024
2006-03-07,27.33,27.34,27.33,27.34,120000,19.10219
2006-03-08,27.155001,27.26,27.08,27.254999,420200,19.042793
2006-03-09,27.254999,27.254999,27.254999,27.254999,0,19.042793
2006-03-10,27.514999,27.514999,27.514999,27.514999,1000,19.224449
2006-03-13,27.65,27.65,27.58,27.58,800,19.269869
2006-03-14,27.6,27.82,27.6,27.82,3200,19.437555
2006-03-15,27.860001,27.895,27.860001,27.895,74000,19.489962
2006-03-16,28.184999,28.24,28.184999,28.24,61800,19.731016
2006-03-17,28.049999,28.049999,28.049999,28.049999,60000,19.675936
2006-03-20,28.014999,28.014999,28.014999,28.014999,200,19.651396
2006-03-21,28.08,28.115,27.885,27.885,9200,19.5602
2006-03-22,27.924999,27.985001,27.924999,27.985001,2400,19.630348
2006-03-23,27.98,27.98,27.98,27.98,400,19.626835
2006-03-24,27.959999,27.985001,27.959999,27.985001,2200,19.630348
2006-03-27,27.940001,27.975,27.940001,27.975,400,19.623335
2006-03-28,28.08,28.08,28.08,28.08,200,19.696981
2006-03-29,28.174999,28.174999,28.16,28.16,17000,19.753111
2006-03-30,28.174999,28.174999,28.105,28.105,1000,19.714523
2006-03-31,28.105,28.105,28.105,28.105,0,19.714523
2006-04-03,28.295,28.295,28.295,28.295,600,19.847799
2006-04-04,28.295,28.295,28.295,28.295,0,19.847799
2006-04-05,28.389999,28.389999,28.389999,28.389999,1400,19.91444
2006-04-06,28.389999,28.389999,28.389999,28.389999,0,19.91444
2006-04-07,28.110001,28.110001,28.110001,28.110001,600,19.718031
2006-04-10,28.01,28.01,27.969999,27.969999,1400,19.619827
2006-04-11,27.969999,27.969999,27.969999,27.969999,0,19.619827
2006-04-12,27.764999,27.780001,27.764999,27.780001,800,19.486546
2006-04-13,27.780001,27.780001,27.780001,27.780001,0,19.486546
2006-04-17,27.84,27.84,27.674999,27.715,4800,19.440952
2006-04-18,27.715,27.715,27.715,27.715,0,19.440952
2006-04-19,28.24,28.355,28.24,28.355,4800,19.889879
2006-04-20,28.305,28.360001,28.305,28.360001,400,19.893398
2006-04-21,28.290001,28.290001,28.290001,28.290001,200,19.844294
2006-04-24,28.264999,28.305,28.245001,28.305,1400,19.854818
2006-04-25,28.23,28.23,28.23,28.23,200,19.8022
2006-04-26,28.35,28.35,28.245001,28.245001,1200,19.812721
2006-04-27,28.004999,28.355,28.004999,28.26,1600,19.823246
2006-04-28,28.26,28.26,28.26,28.26,0,19.823246
2006-05-01,28.26,28.26,28.26,28.26,0,19.823246
2006-05-02,28.16,28.16,28.16,28.16,200,19.753111
2006-05-03,28.16,28.16,28.16,28.16,0,19.753111
2006-05-04,28.370001,28.445,28.370001,28.4,1200,19.921453
2006-05-05,28.58,28.700001,28.58,28.700001,2000,20.131891
2006-05-08,28.805,28.805,28.805,28.805,600,20.205545
2006-05-09,28.809999,28.809999,28.809999,28.809999,200,20.209055
2006-05-10,28.745001,28.745001,28.745001,28.745001,200,20.163458
2006-05-11,28.5,28.5,28.5,28.5,4200,19.991598
2006-05-12,28.040001,28.040001,27.99,27.99,30400,19.63386
2006-05-15,27.91,27.92,27.91,27.92,2800,19.584749
2006-05-16,27.92,27.92,27.92,27.92,0,19.584749
2006-05-17,27.68,27.68,27.360001,27.360001,800,19.191935
2006-05-18,27.424999,27.424999,27.200001,27.200001,1200,19.0797
2006-05-19,27.205,27.245001,27.205,27.245001,4000,19.111263
2006-05-22,27.035,27.120001,26.99,27.110001,2200,19.016569
2006-05-23,27.334999,27.334999,27.01,27.01,1000,18.946423
2006-05-24,26.834999,27,26.754999,26.969999,3000,18.918371
2006-05-25,27.084999,27.254999,27.084999,27.254999,2200,19.11828
2006-05-26,27.465,27.540001,27.465,27.540001,3600,19.318197
2006-05-30,27.254999,27.254999,27.115,27.115,2600,19.020082
2006-05-31,27.35,27.41,27.34,27.41,1600,19.227005
2006-06-01,27.559999,27.75,27.559999,27.75,1800,19.465508
2006-06-02,27.75,27.75,27.75,27.75,0,19.465508
2006-06-05,27.75,27.75,27.75,27.75,0,19.465508
2006-06-06,27.450001,27.450001,27.195,27.254999,6200,19.11828
2006-06-07,27.299999,27.299999,27.139999,27.139999,1200,19.037611
2006-06-08,26.815001,27.065001,26.73,27.065001,2800,18.985001
2006-06-09,27.115,27.115,27.059999,27.059999,600,18.981493
2006-06-12,27.059999,27.059999,27.059999,27.059999,0,18.981493
2006-06-13,26.555,26.555,26.27,26.27,800,18.427341
2006-06-14,26.215,26.215,26.215,26.215,200,18.388762
2006-06-15,26.77,26.855,26.77,26.855,600,18.837698
2006-06-16,26.700001,26.700001,26.59,26.620001,5000,18.783373
