date,open,high,low,close,volume,adjusted
2007-09-28,25.719999,25.719999,25.65,25.67,2500,19.628794
2007-10-01,25.74,25.9,25.74,25.9,1800,19.804663
2007-10-02,25.889999,25.9,25.809999,25.9,1700,19.804663
2007-10-03,25.92,25.98,25.879999,25.879999,700,19.789373
2007-10-04,25.700001,25.77,25.65,25.76,10500,19.697611
2007-10-05,26.07,26.07,26.059999,26.07,600,19.934649
2007-10-08,26.16,26.18,26.16,26.18,1100,20.018764
2007-10-09,26.09,26.299999,26.09,26.299999,24800,20.110525
2007-10-10,26.25,26.299999,26.219999,26.280001,3300,20.095238
2007-10-11,26.68,26.68,26.41,26.41,4800,20.194639
2007-10-12,26.4,26.450001,26.4,26.450001,2200,20.225227
2007-10-15,26.450001,26.450001,26.17,26.190001,2600,20.026413
2007-10-16,25.940001,25.950001,25.9,25.9,800,19.804663
2007-10-17,26.190001,26.190001,25.950001,25.98,2600,19.865841
2007-10-18,26.110001,26.110001,26.110001,26.110001,200,19.965244
2007-10-19,26.200001,26.200001,25.9,25.9,1300,19.804663
2007-10-22,25.540001,25.6,25.469999,25.469999,1400,19.475861
2007-10-23,26.02,26.02,25.940001,25.98,3400,19.865841
2007-10-24,26.07,26.07,25.9,26.030001,1300,19.904068
2007-10-25,26.030001,26.030001,26.030001,26.030001,100,19.904068
2007-10-26,26.299999,26.299999,26.219999,26.25,2500,20.072294
2007-10-29,26.549999,26.549999,26.51,26.51,2500,20.271107
2007-10-30,26.52,26.549999,26.389999,26.389999,2600,20.179344
2007-10-31,26.860001,26.9,26.549999,26.549999,26600,20.301693
2007-11-01,26.92,26.92,26.629999,26.629999,3200,20.362862
2007-11-02,26.6,26.610001,26.450001,26.450001,1500,20.225227
2007-11-05,25.879999,25.879999,25.74,25.870001,1800,19.781719
2007-11-06,26.01,26.049999,26,26.049999,800,19.919357
2007-11-07,26.26,26.34,25.93,25.93,2500,19.827604
2007-11-08,25.93,25.93,25.6,25.6,3400,19.575262
2007-11-09,25.5,25.5,25.5,25.5,800,19.4988
2007-11-12,24.950001,24.99,24.809999,24.809999,1700,18.971188
2007-11-13,25.049999,25.049999,25.049999,25.049999,200,19.154701
2007-11-14,25.700001,25.700001,25.299999,25.299999,1400,19.345867
2007-11-15,25.18,25.200001,24.9,24.9,8900,19.040009
2007-11-16,24.780001,24.959999,24.780001,24.959999,3800,19.085886
2007-11-19,24.92,24.92,24.02,24.02,2900,18.3671
2007-11-20,24.469999,24.469999,24.26,24.26,500,18.550623
2007-11-21,23.799999,23.799999,23.799999,23.799999,1000,18.198874
2007-11-23,24.52,24.549999,24.440001,24.549999,9600,18.772373
2007-11-26,24.6,24.6,24.110001,24.110001,1400,18.435925
2007-11-27,24.58,24.58,24.4,24.469999,3400,18.711193
2007-11-28,24.9,25.030001,24.27,24.99,16300,19.10882
2007-11-29,24.83,24.950001,24.809999,24.93,3600,19.062946
2007-11-30,24.93,24.93,24.93,24.93,0,19.062946
2007-12-03,25.07,25.120001,25.07,25.09,32400,19.185289
2007-12-04,24.879999,24.879999,24.799999,24.85,22200,19.001768
2007-12-05,25.08,25.1,25.040001,25.040001,1300,19.14706
2007-12-06,25.120001,25.16,25.120001,25.16,4500,19.238819
2007-12-07,25.34,25.34,25.25,25.27,1800,19.322927
