date,open,high,low,close,volume,adjusted
2018-03-27,25.09,25.280001,25.09,25.280001,800,24.356388
2018-03-28,25.280001,25.280001,25.280001,25.280001,0,24.356388
2018-03-29,25.280001,25.280001,25.280001,25.280001,0,24.356388
2018-04-02,25.42,25.504999,25.32,25.41,30600,24.481636
2018-04-03,25.57,25.719999,25.517,25.67,64800,24.73214
2018-04-04,25.620001,25.9,25.620001,25.9,22200,24.953735000000002
2018-04-05,25.73,25.76,25.73,25.76,41600,24.818853
2018-04-06,25.629999,25.82,25.6,25.6,79000,24.6647
2018-04-09,25.639999,25.690001,25.57,25.58,87600,24.645428
2018-04-10,25.66,25.68,25.549999,25.59,35600,24.65506
2018-04-11,25.719999,25.719999,25.639999,25.639999,61300,24.703234
2018-04-12,25.360001,25.360001,25.309999,25.33,44000,24.404562
2018-04-13,25.34,25.450001,25.34,25.42,51600,24.491274
2018-04-16,25.629999,25.719999,25.459999,25.68,76200,24.741772
2018-04-17,26.049999,26.049999,25.870001,26.02,21000,25.069353
2018-04-18,25.98,25.99,25.91,25.93,31500,24.982639
2018-04-19,25.52,25.58,25.389999,25.57,38000,24.635796
2018-04-20,25.459999,25.459999,25.33,25.35,94900,24.423832
2018-04-23,25.360001,25.360001,25.211,25.290001,13000,24.366026
2018-04-24,25.42,25.440001,25.360001,25.41,27700,24.481636
2018-04-25,25.24,25.43,25.24,25.42,190400,24.491274
2018-04-26,25.673,25.799999,25.673,25.77,52500,24.828484
2018-04-27,26.129999,26.209999,26.125,26.209999,57300,25.252409
2018-04-30,26.209999,26.219999,26.120001,26.120001,28700,25.165703
2018-05-01,26.07,26.379999,26.07,26.379999,40500,25.416201
2018-05-02,26,26.309999,26,26.219999,34900,25.262047
2018-05-03,26.219999,26.27,26.209999,26.209999,18800,25.252409
2018-05-04,26.5,26.51,26.48,26.49,47500,25.522181
2018-05-07,26.51,26.68,26.51,26.68,18800,25.70524
2018-05-08,26.68,26.68,26.68,26.68,0,25.70524
2018-05-09,26.554001,26.690001,26.537001,26.690001,17100,25.714874
2018-05-10,26.83,26.879999,26.790001,26.879999,39100,25.897932
2018-05-11,26.959999,26.959999,26.82,26.83,25500,25.849758
2018-05-14,26.732,26.732,26.527,26.59,26200,25.61853
2018-05-15,26.24,26.24,26.07,26.07,98000,25.117527
2018-05-16,26.15,26.15,26.02,26.02,58200,25.069353
2018-05-17,25.940001,25.950001,25.799999,25.84,35300,24.895929
2018-05-18,25.809999,25.860001,25.809999,25.860001,64200,24.915197
2018-05-21,26.110001,26.190001,25.84,26.129999,29600,25.175335
2018-05-22,26.1,26.24,26.1,26.209999,88100,25.252409
2018-05-23,26.27,26.6,26.27,26.49,18500,25.522181
2018-05-24,26.43,26.450001,26.33,26.43,26000,25.464375
2018-05-25,26.51,26.6,26.49,26.5,14300,25.531816
2018-05-29,26.84,26.84,26.5,26.639999,17500,25.6667
2018-05-30,26.950001,27.110001,26.950001,27.09,14100,26.10026
2018-05-31,27.049,27.07,26.93,27.040001,16100,26.052088
2018-06-01,27.01,27.219999,26.98,27.16,32200,26.167702
2018-06-04,27.139999,27.360001,27.110001,27.360001,7100,26.360395
2018-06-05,27.42,27.42,27.27,27.35,27600,26.35076
2018-06-06,27.360001,27.360001,27.190001,27.35,12900,26.35076
2018-06-07,27.360001,27.379999,27.299999,27.370001,8800,26.370031
2018-06-08,27.4,27.43,27.4,27.43,1700,26.427839
2018-06-11,27.4,27.41,27.370001,27.370001,10500,26.370031
2018-06-12,27.445,27.610001,27.440001,27.540001,16700,26.533817
2018-06-13,27.389999,27.4,27.049999,27.059999,11100,26.071358
2018-06-14,27.219999,27.389999,27.219999,27.32,6300,26.321856
2018-06-15,27.440001,27.450001,27.309999,27.309999,5200,26.312222
2018-06-18,27.27,27.309999,27.139999,27.25,20700,26.254414
2018-06-19,27.5,27.5,27.139999,27.15,9200,26.230263
2018-06-20,27.4,27.459999,27.4,27.41,15000,26.481451
2018-06-21,27.42,27.559999,27.42,27.51,12500,26.578066
2018-06-22,27.719999,27.73,27.559999,27.73,29800,26.790615
2018-06-25,27.629999,27.74,27.629999,27.74,5100,26.800272
2018-06-26,27.73,27.83,27.719999,27.780001,10000,26.838921
2018-06-27,27.82,27.82,27.629999,27.639999,19800,26.703661
2018-06-28,27.66,27.84,27.558001,27.83,16800,26.887226
2018-06-29,27.73,28.040001,27.73,27.92,10000,26.974176
2018-07-02,27.92,27.92,27.5,27.709999,9100,26.77129
2018-07-03,27.950001,28.120001,27.92,27.98,19100,27.032143
2018-07-05,27.952999,28.129999,27.952999,28.120001,50300,27.167402
2018-07-06,28.333,28.389999,28.32,28.32,8700,27.360626
2018-07-09,28.360001,28.360001,28.09,28.129999,18500,27.177061
2018-07-10,28.23,28.299999,28.200001,28.200001,19900,27.244694
2018-07-11,28.280001,28.290001,28.17,28.209999,27200,27.254351
2018-07-12,28.195999,28.290001,28.169001,28.24,34800,27.283335
2018-07-13,28.280001,28.280001,28.23,28.23,35500,27.273674
2018-07-16,28.02,28.07,28.02,28.059999,22600,27.109432
2018-07-17,27.98,27.98,27.74,27.85,55500,26.906548
2018-07-18,27.620001,27.74,27.620001,27.74,49100,26.800272
2018-07-19,28.1,28.110001,27.690001,28.02,32600,27.070791
2018-07-20,27.75,27.83,27.709999,27.799999,6300,26.85824
2018-07-23,27.860001,27.860001,27.624001,27.74,47800,26.800272
2018-07-24,27.620001,27.65,27.52,27.58,15200,26.645695
2018-07-25,27.688999,27.690001,27.620001,27.66,15200,26.722984
2018-07-26,27.761999,27.870001,27.761999,27.870001,15400,26.925871
2018-07-27,27.620001,27.639999,27.559999,27.6,14100,26.665016
2018-07-30,27.59,27.59,27.549999,27.559999,20900,26.626369
2018-07-31,27.809999,28.17,27.809999,28.059999,38600,27.109432
2018-08-01,27.879999,28.24,27.85,28.24,8900,27.283335
2018-08-02,28.48,28.48,28.135,28.209999,17600,27.254351
2018-08-03,28.33,28.51,28.33,28.51,11200,27.544191
2018-08-06,28.780001,28.780001,28.440001,28.440001,18300,27.476563
2018-08-07,28.299999,28.4,28.299999,28.379999,16000,27.418594
2018-08-08,28.25,28.379999,28.25,28.33,22100,27.370287
2018-08-09,28.34,28.385,28.32,28.334999,5700,27.375116
2018-08-10,28.200001,28.209999,28.120001,28.120001,25900,27.167402
2018-08-13,27.860001,28.049999,27.860001,28.02,13700,27.070791
2018-08-14,28.16,28.26,28.15,28.209999,18200,27.254351
2018-08-15,28.294001,28.42,28.294001,28.41,10200,27.447578
2018-08-16,28.49,28.639999,28.49,28.59,34900,27.621479
2018-08-17,28.799999,28.870001,28.799999,28.870001,16500,27.891996
2018-08-20,28.950001,29.028999,28.85,28.9,18800,27.920979
2018-08-21,29.120001,29.120001,28.66,28.705,8500,27.732584
2018-08-22,28.541,28.583,28.438,28.57,3500,27.602156
2018-08-23,28.559999,28.57,28.51,28.51,10100,27.544191
2018-08-24,28.52,28.690001,28.51,28.690001,34200,27.718094
2018-08-27,28.780001,28.780001,28.487,28.59,12000,27.621479
2018-08-28,28.603001,28.93,28.603001,28.93,5700,27.949961
2018-08-29,28.926001,29,28.900999,29,3500,28.017593
2018-08-30,28.879,28.91,28.82,28.83,8600,27.853348
2018-08-31,28.82,28.889999,28.75,28.889999,10700,27.911316
2018-09-04,29.120001,29.120001,28.459999,28.459999,9300,27.495884
2018-09-05,28.636999,28.790001,28.636999,28.719999,4400,27.747074
2018-09-06,28.780001,28.83,28.77,28.790001,18400,27.814705
2018-09-07,28.596001,28.596001,28.48,28.52,4900,27.55385
2018-09-10,28.655001,28.73,28.629,28.690001,7800,27.718094
2018-09-11,28.629999,28.73,28.584,28.67,8000,27.698771
2018-09-12,29.16,29.16,28.610001,28.610001,7600,27.640804
2018-09-13,28.735001,28.797001,28.712,28.780001,5100,27.805044
2018-09-14,28.516001,28.57,28.51,28.554001,7400,27.5867
2018-09-17,28.73,28.73,28.620001,28.73,3100,27.756737
2018-09-18,28.870001,28.870001,28.4,28.43,11000,27.639103
2018-09-19,28.239,28.239,28,28,4900,27.221066
2018-09-20,28.072001,28.34,28,28.34,5300,27.551607
2018-09-21,28.370001,28.49,28.299999,28.370001,4300,27.58077
2018-09-24,27.98,27.98,27.681999,27.790001,7000,27.016909
2018-09-25,27.809,27.879999,27.780001,27.855,14400,27.080099
2018-09-26,27.719999,27.75,27.655001,27.655001,1400,26.885662
2018-09-27,27.618999,27.690001,27.539,27.629999,9800,26.861359
2018-09-28,27.610001,27.940001,27.610001,27.896,11200,27.119959
2018-10-01,27.879999,28,27.74,27.790001,7500,27.016909
2018-10-02,27.440001,27.83,27.440001,27.709999,24200,26.939131
2018-10-03,27.77,27.77,27.382,27.438,4500,26.6747
2018-10-04,27.209999,27.219999,27.1,27.142,22700,26.386936
2018-10-05,27.27,27.280001,27.1,27.17,15800,26.414154
2018-10-08,27.450001,27.639999,27.431,27.610001,16200,26.841915
2018-10-09,27.620001,27.719999,27.549999,27.67,22200,26.900246
2018-10-10,27.68,27.68,27.379999,27.379999,11300,26.618311
2018-10-11,27.110001,27.110001,26.57,26.59,29800,25.850288
2018-10-12,26.66,26.66,26.27,26.370001,9200,25.63641
2018-10-15,26.67,26.77,26.57,26.57,16000,25.830847
2018-10-16,26.77,27.139999,26.77,27.110001,73400,26.355824
2018-10-17,26.93,27.18,26.860001,27.040001,15500,26.287773
2018-10-18,27.16,27.16,26.905001,27.02,4000,26.268328
2018-10-19,27.139999,27.16,27.08,27.136,7900,26.3811
