date,open,high,low,close,volume,adjusted
2012-10-11,75.07,75.07,75.07,75.07,1500,69.17395
2012-10-12,75.059998,75.059998,75.059998,75.059998,100,69.164764
2012-10-15,75.050003,75.050003,75.050003,75.050003,1000,69.155586
2012-10-16,75.050003,75.050003,75.050003,75.050003,0,69.155586
2012-10-17,75.040001,75.040001,75.040001,75.040001,400,69.146324
2012-10-18,75.040001,75.040001,75.040001,75.040001,0,69.146324
2012-10-19,75.07,75.07,75.07,75.07,1700,69.17395
2012-10-22,75.050003,75.050003,75.040001,75.040001,500,69.146324
2012-10-23,75.059998,75.059998,75.040001,75.040001,10000,69.146324
2012-10-24,75.040001,75.040001,75.040001,75.040001,0,69.146324
2012-10-25,75.040001,75.040001,75.040001,75.040001,0,69.146324
2012-10-26,75.040001,75.040001,75.040001,75.040001,0,69.146324
2012-10-31,75.050003,75.050003,75.050003,75.050003,200,69.155586
2012-11-01,75.050003,75.050003,75.050003,75.050003,0,69.155586
2012-11-02,75.050003,75.050003,75.050003,75.050003,0,69.155586
2012-11-05,75.050003,75.050003,75.050003,75.050003,0,69.155586
2012-11-06,75.040001,75.040001,75.040001,75.040001,100,69.146324
2012-11-07,75.040001,75.040001,75.040001,75.040001,0,69.146324
2012-11-08,75.050003,75.050003,75.050003,75.050003,1200,69.155586
2012-11-09,75.050003,75.050003,75.040001,75.040001,1200,69.146324
2012-11-12,75.010002,75.010002,75,75,800,69.109444
2012-11-13,75,75,75,75,0,69.109444
2012-11-14,75,75,75,75,0,69.109444
2012-11-15,75,75,75,75,0,69.109444
2012-11-16,75,75,75,75,0,69.109444
2012-11-19,75,75,75,75,0,69.109444
2012-11-20,75,75,75,75,0,69.109444
2012-11-21,75.010002,75.010002,75.010002,75.010002,1500,69.118668
2012-11-23,75.010002,75.010002,75.010002,75.010002,0,69.118668
2012-11-26,75.010002,75.010002,75.010002,75.010002,0,69.118668
2012-11-27,75.010002,75.010002,75.010002,75.010002,0,69.118668
2012-11-28,75.010002,75.010002,75.010002,75.010002,0,69.118668
2012-11-29,75.010002,75.019997,75.010002,75.019997,3900,69.127892
2012-11-30,75.019997,75.019997,75.019997,75.019997,0,69.127892
2012-12-03,75.019997,75.019997,75.019997,75.019997,500,69.138977
2012-12-04,75.029999,75.029999,75.029999,75.029999,1800,69.148155
2012-12-05,75.029999,75.029999,75.029999,75.029999,2600,69.148155
2012-12-06,75.029999,75.029999,75.029999,75.029999,200,69.148155
2012-12-07,75.029999,75.029999,75.029999,75.029999,0,69.148155
2012-12-10,75.029999,75.029999,75.029999,75.029999,0,69.148155
2012-12-11,75,75,75,75,1400,69.120522
2012-12-12,75,75,75,75,0,69.120522
2012-12-13,75,75,75,75,0,69.120522
2012-12-14,75.019997,75.019997,75.019997,75.019997,1900,69.138977
2012-12-17,75.019997,75.019997,75.019997,75.019997,1700,69.138977
2012-12-18,75.019997,75.019997,75.019997,75.019997,3200,69.138977
2012-12-19,75.010002,75.010002,75.010002,75.010002,3200,69.129753
2012-12-20,75.019997,75.019997,75.019997,75.019997,1700,69.138977
2012-12-21,75.029999,75.029999,75.029999,75.029999,700,69.148155
2012-12-24,75.029999,75.029999,75.029999,75.029999,3300,69.148155
2012-12-26,75.029999,75.029999,75.029999,75.029999,0,69.148155
2012-12-27,75,75.010002,75,75.010002,700,69.169395
2012-12-28,75.019997,75.019997,75.010002,75.010002,4000,69.169395
2012-12-31,75.019997,75.019997,74.970001,74.989998,2900,69.150932
2013-01-02,75,75,75,75,100,69.160141
2013-01-03,74.980003,75,74.980003,74.980003,300,69.141747
2013-01-04,74.980003,74.980003,74.980003,74.980003,400,69.141747
2013-01-07,75,75,74.989998,74.989998,3000,69.150932
2013-01-08,75.010002,75.010002,75.010002,75.010002,600,69.169395
2013-01-09,75.010002,75.010002,75.010002,75.010002,0,69.169395
2013-01-10,75.040001,75.040001,75.040001,75.040001,3200,69.197075
2013-01-11,75.029999,75.029999,75.029999,75.029999,100,69.18782
2013-01-14,75.029999,75.029999,75.029999,75.029999,0,69.18782
2013-01-15,75.029999,75.040001,75.029999,75.040001,25500,69.197075
2013-01-16,75.040001,75.040001,75.040001,75.040001,0,69.197075
2013-01-17,75.040001,75.040001,75.040001,75.040001,0,69.197075
2013-01-18,75.040001,75.040001,75.040001,75.040001,0,69.197075
2013-01-22,75.059998,75.059998,75.059998,75.059998,200,69.215492
2013-01-23,75.059998,75.059998,75.059998,75.059998,0,69.215492
2013-01-24,75.059998,75.059998,75.059998,75.059998,1200,69.215492
2013-01-25,75.050003,75.050003,75.050003,75.050003,100,69.206299
2013-01-28,75.050003,75.050003,75.050003,75.050003,2500,69.206299
2013-01-29,75.050003,75.050003,75.050003,75.050003,0,69.206299
2013-01-30,75.050003,75.050003,75.050003,75.050003,0,69.206299
2013-01-31,75.050003,75.050003,75.050003,75.050003,0,69.206299
2013-02-01,75.050003,75.050003,75.050003,75.050003,0,69.2229
2013-02-04,75.059998,75.059998,75.059998,75.059998,300,69.232101
2013-02-05,75.050003,75.050003,75.050003,75.050003,1300,69.2229
2013-02-06,75.050003,75.050003,75.050003,75.050003,0,69.2229
2013-02-07,75.050003,75.050003,75.050003,75.050003,0,69.2229
2013-02-08,75.059998,75.059998,75.059998,75.059998,2000,69.232101
2013-02-11,75.029999,75.029999,75.029999,75.029999,200,69.204437
2013-02-12,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-13,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-14,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-15,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-19,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-20,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-21,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-22,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-25,75.029999,75.029999,75.029999,75.029999,0,69.204437
2013-02-26,75.120003,75.120003,75.120003,75.120003,900,69.287483
2013-02-27,75.120003,75.120003,75.110001,75.110001,200,69.278221
2013-02-28,75.110001,75.110001,75.110001,75.110001,0,69.278221
2013-03-01,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-04,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-05,75.099998,75.099998,75.099998,75.099998,1400,69.291115
2013-03-06,75.099998,75.099998,75.099998,75.099998,0,69.291115
2013-03-07,75.110001,75.110001,75.110001,75.110001,3100,69.300362
2013-03-08,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-11,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-12,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-13,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-14,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-15,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-18,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-19,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-20,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-21,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-22,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-25,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-26,75.110001,75.110001,75.110001,75.110001,0,69.300362
2013-03-27,75.209999,75.209999,75.209999,75.209999,300,69.392616
2013-03-28,75.199997,75.199997,75.190002,75.190002,800,69.374168
2013-04-01,75.190002,75.190002,75.190002,75.190002,0,69.400009
2013-04-02,75.190002,75.190002,75.190002,75.190002,0,69.400009
2013-04-03,75.230003,75.230003,75.230003,75.230003,700,69.436951
2013-04-04,75.199997,75.220001,75.199997,75.220001,900,69.427742
2013-04-05,75.220001,75.220001,75.220001,75.220001,0,69.427742
2013-04-08,75.220001,75.230003,75.220001,75.230003,500,69.436951
2013-04-09,75.230003,75.230003,75.230003,75.230003,500,69.436951
2013-04-10,75.239998,75.239998,75.239998,75.239998,800,69.446167
2013-04-11,75.25,75.260002,75.25,75.260002,300,69.46463
2013-04-12,75.239998,75.239998,75.239998,75.239998,300,69.446167
2013-04-15,75.269997,75.269997,75.269997,75.269997,2200,69.473839
2013-04-16,75.279999,75.279999,75.279999,75.279999,200,69.483147
2013-04-17,75.279999,75.279999,75.279999,75.279999,0,69.483147
2013-04-18,75.279999,75.279999,75.279999,75.279999,0,69.483147
2013-04-19,75.269997,75.279999,75.269997,75.279999,1600,69.483147
2013-04-22,75.279999,75.279999,75.260002,75.260002,1500,69.46463
2013-04-23,75.260002,75.260002,75.260002,75.260002,0,69.46463
2013-04-24,75.300003,75.300003,75.300003,75.300003,2700,69.501572
2013-04-25,75.300003,75.300003,75.300003,75.300003,0,69.501572
2013-04-26,75.300003,75.300003,75.300003,75.300003,0,69.501572
2013-04-29,75.300003,75.300003,75.300003,75.300003,0,69.501572
2013-04-30,75.300003,75.300003,75.300003,75.300003,0,69.501572
2013-05-01,75.32,75.32,75.32,75.32,6500,69.549568
2013-05-02,75.300003,75.300003,75.279999,75.300003,8200,69.531113
2013-05-03,75.300003,75.300003,75.300003,75.300003,200,69.531113
2013-05-06,75.300003,75.309998,75.279999,75.309998,7700,69.540329
2013-05-07,75.309998,75.309998,75.290001,75.309998,1900,69.540329
2013-05-08,75.32,75.32,75.32,75.32,2400,69.549568
2013-05-09,75.32,75.32,75.32,75.32,2000,69.549568
2013-05-10,75.330002,75.330002,75.330002,75.330002,700,69.558807
2013-05-13,75.309998,75.309998,75.309998,75.309998,1200,69.540329
2013-05-14,75.309998,75.309998,75.300003,75.300003,1200,69.531113
2013-05-15,75.309998,75.339996,75.309998,75.32,20500,69.549568
2013-05-16,75.300003,75.309998,75.300003,75.309998,900,69.540329
2013-05-17,75.309998,75.309998,75.309998,75.309998,800,69.540329
2013-05-20,75.309998,75.32,75.300003,75.32,10000,69.549568
2013-05-21,75.309998,75.309998,75.309998,75.309998,5200,69.540329
2013-05-22,75.309998,75.32,75.309998,75.32,133900,69.549568
2013-05-23,75.32,75.32,75.32,75.32,4200,69.549568
2013-05-24,75.330002,75.330002,75.330002,75.330002,2400,69.558807
2013-05-28,75.330002,75.330002,75.300003,75.300003,19600,69.531113
2013-05-29,75.309998,75.309998,75.290001,75.290001,3500,69.521843
2013-05-30,75.300003,75.300003,75.279999,75.300003,5700,69.531113
2013-05-31,75.300003,75.300003,75.300003,75.300003,3000,69.531113
2013-06-03,75.300003,75.300003,75.300003,75.300003,0,69.542175
2013-06-04,75.269997,75.290001,75.269997,75.290001,2500,69.532974
2013-06-05,75.279999,75.300003,75.279999,75.300003,14400,69.542175
2013-06-06,75.300003,75.300003,75.300003,75.300003,1100,69.542175
2013-06-07,75.269997,75.269997,75.260002,75.260002,3600,69.505272
2013-06-10,75.260002,75.260002,75.260002,75.260002,200,69.505272
2013-06-11,75.260002,75.260002,75.260002,75.260002,1100,69.505272
2013-06-12,75.260002,75.260002,75.260002,75.260002,0,69.505272
2013-06-13,75.260002,75.260002,75.260002,75.260002,0,69.505272
2013-06-14,75.269997,75.269997,75.260002,75.269997,900,69.514481
2013-06-17,75.300003,75.300003,75.279999,75.300003,1200,69.542175
2013-06-18,75.300003,75.300003,75.279999,75.279999,600,69.523712
2013-06-19,75.309998,75.309998,75.290001,75.309998,10400,69.551414
2013-06-20,75.25,75.260002,75.25,75.260002,3500,69.505272
2013-06-21,75.269997,75.269997,75.269997,75.269997,300,69.514481
2013-06-24,75.25,75.260002,75.239998,75.260002,6100,69.505272
2013-06-25,75.279999,75.339996,75.199997,75.300003,5900,69.542175
2013-06-26,75.18,75.18,75.160004,75.169998,3000,69.422134
2013-06-27,75.139999,75.139999,74.989998,75.129997,6700,69.385162
2013-06-28,75.139999,75.150002,75.139999,75.150002,2200,69.403694
2013-07-01,75.120003,75.120003,75.099998,75.120003,1500,69.400909
2013-07-02,75.089996,75.110001,75.089996,75.099998,1500,69.382416
2013-07-03,75.099998,75.099998,75.099998,75.099998,0,69.382416
2013-07-05,75.129997,75.129997,75.050003,75.050003,1000,69.336205
2013-07-08,75.050003,75.050003,75.050003,75.050003,0,69.336205
2013-07-09,75.099998,75.129997,75.099998,75.129997,1300,69.41011
2013-07-10,75.139999,75.139999,75.120003,75.139999,3500,69.419357
2013-07-11,75.120003,75.139999,75,75.139999,5900,69.419357
2013-07-12,75.139999,75.139999,75.139999,75.139999,0,69.419357
2013-07-15,75.18,75.190002,75.18,75.190002,1200,69.465546
2013-07-16,75.099998,75.099998,75.099998,75.099998,100,69.382416
2013-07-17,75.099998,75.099998,75.099998,75.099998,0,69.382416
2013-07-18,75.129997,75.129997,75.040001,75.129997,2300,69.41011
2013-07-19,75.110001,75.129997,75.110001,75.129997,46500,69.41011
2013-07-22,75.129997,75.150002,75.129997,75.129997,3500,69.41011
2013-07-23,75.150002,75.150002,75.150002,75.150002,2000,69.428574
2013-07-24,75.129997,75.150002,75.120003,75.150002,6000,69.428574
2013-07-25,75.129997,75.139999,75.099998,75.139999,2300,69.419357
2013-07-26,75.139999,75.150002,75.139999,75.150002,5300,69.428574
2013-07-29,75.150002,75.169998,75.150002,75.150002,5000,69.428574
2013-07-30,75.150002,75.150002,75.150002,75.150002,100,69.428574
2013-07-31,75.150002,75.150002,75.129997,75.150002,3700,69.428574
2013-08-01,75.120003,75.129997,75.120003,75.129997,6400,69.438736
2013-08-02,75.129997,75.139999,75.129997,75.139999,1600,69.448006
2013-08-05,75.139999,75.150002,75.139999,75.150002,800,69.457222
2013-08-06,75.150002,75.150002,75.139999,75.139999,3100,69.448006
2013-08-07,75.150002,75.150002,75.150002,75.150002,4700,69.457222
2013-08-08,75.160004,75.160004,75.150002,75.160004,19800,69.466499
2013-08-09,75.150002,75.150002,75.150002,75.150002,300,69.457222
2013-08-12,75.160004,75.18,75.160004,75.18,14100,69.484993
2013-08-13,75.160004,75.160004,75.160004,75.160004,20700,69.466499
2013-08-14,75.160004,75.160004,75.160004,75.160004,6400,69.466499
2013-08-15,75.129997,75.150002,75.110001,75.150002,6300,69.457222
2013-08-16,75.129997,75.139999,75.120003,75.139999,3600,69.448006
2013-08-19,75.150002,75.150002,75.129997,75.129997,14300,69.438736
2013-08-20,75.150002,75.150002,75.150002,75.150002,900,69.457222
2013-08-21,75.129997,75.129997,75.129997,75.129997,100,69.438736
2013-08-22,75.150002,75.150002,75.150002,75.150002,2200,69.457222
2013-08-23,75.150002,75.150002,75.150002,75.150002,0,69.457222
2013-08-26,75.150002,75.150002,75.150002,75.150002,0,69.457222
2013-08-27,75.150002,75.150002,75.150002,75.150002,0,69.457222
2013-08-28,75.150002,75.150002,75.150002,75.150002,0,69.457222
2013-08-29,75.150002,75.150002,75.150002,75.150002,2200,69.457222
2013-08-30,75.160004,75.160004,75.160004,75.160004,100,69.466499
2013-09-03,75.139999,75.139999,75.139999,75.139999,2000,69.474808
2013-09-04,75.129997,75.129997,75.129997,75.129997,100,69.465576
2013-09-05,75.139999,75.139999,75.110001,75.110001,6500,69.44709
2013-09-06,75.110001,75.110001,75.110001,75.110001,800,69.44709
2013-09-09,75.150002,75.199997,75.110001,75.139999,6300,69.474808
2013-09-10,75.150002,75.150002,75.129997,75.150002,1300,69.48407
2013-09-11,75.129997,75.139999,75.120003,75.139999,1900,69.474808
2013-09-12,75.160004,75.169998,75.160004,75.169998,62200,69.50251
2013-09-13,75.169998,75.18,75.150002,75.160004,73800,69.493317
2013-09-16,75.150002,75.18,75.150002,75.18,1100,69.511826
2013-09-17,75.18,75.199997,75.18,75.190002,5500,69.521011
2013-09-18,75.209999,75.209999,75.199997,75.199997,2100,69.530327
2013-09-19,75.230003,75.230003,75.220001,75.230003,1600,69.558006
2013-09-20,75.209999,75.230003,75.209999,75.209999,700,69.539536
2013-09-23,75.209999,75.209999,75.209999,75.209999,3600,69.539536
2013-09-24,75.220001,75.220001,75.220001,75.220001,100,69.54879
2013-09-25,75.230003,75.230003,75.230003,75.230003,200,69.558006
2013-09-26,75.239998,75.239998,75.230003,75.230003,5300,69.558006
2013-09-27,75.230003,75.239998,75.230003,75.230003,2400,69.558006
2013-09-30,75.230003,75.230003,75.220001,75.220001,5600,69.54879
2013-10-01,75.230003,75.230003,75.120003,75.199997,7700,69.549736
2013-10-02,75.230003,75.230003,75.220001,75.220001,3500,69.568222
2013-10-03,75.199997,75.199997,75.129997,75.190002,13900,69.540421
2013-10-04,75.199997,75.220001,75.190002,75.209999,5400,69.558968
2013-10-07,75.220001,75.220001,75.199997,75.199997,700,69.549736
2013-10-08,75.230003,75.230003,75.220001,75.220001,500,69.568222
2013-10-09,75.199997,75.220001,75.199997,75.199997,2600,69.549736
2013-10-10,75.209999,75.209999,75.190002,75.190002,700,69.540421
2013-10-11,75.230003,75.230003,75.220001,75.230003,27800,69.577446
2013-10-14,75.230003,75.230003,75.230003,75.230003,0,69.577446
2013-10-15,75.209999,75.220001,75.18,75.190002,132400,69.540421
2013-10-16,75.209999,75.220001,75.209999,75.209999,1000,69.558968
2013-10-17,75.230003,75.230003,75.220001,75.220001,3600,69.568222
2013-10-18,75.230003,75.239998,75.209999,75.220001,2000,69.568222
2013-10-21,75.230003,75.230003,75.230003,75.230003,2300,69.577446
2013-10-22,75.279999,75.309998,75.239998,75.239998,23300,69.586739
2013-10-23,75.260002,75.260002,75.25,75.25,2700,69.595947
2013-10-24,75.260002,75.269997,75.25,75.260002,4500,69.605232
2013-10-25,75.260002,75.269997,75.260002,75.260002,2200,69.605232
2013-10-28,75.300003,75.300003,75.279999,75.300003,8000,69.642235
2013-10-29,75.309998,75.309998,75.309998,75.309998,200,69.651451
2013-10-30,75.32,75.32,75.300003,75.309998,6800,69.651451
2013-10-31,75.339996,75.339996,75.339996,75.339996,12500,69.679169
2013-11-01,75.989998,75.989998,75.260002,75.32,5300,69.688461
2013-11-04,75.330002,75.339996,75.290001,75.309998,2400,69.679169
2013-11-05,75.330002,75.330002,75.330002,75.330002,500,69.69767
2013-11-06,75.32,75.32,75.300003,75.309998,4100,69.679169
2013-11-07,75.339996,75.339996,75.339996,75.339996,1700,69.706955
2013-11-08,75.339996,75.339996,75.339996,75.339996,0,69.706955
2013-11-11,75.330002,75.349998,75.330002,75.349998,300,69.716187
2013-11-12,75.330002,75.349998,75.269997,75.330002,1900,69.69767
2013-11-13,75.339996,75.349998,75.32,75.349998,25000,69.716187
2013-11-14,75.349998,75.349998,75.349998,75.349998,100,69.716187
2013-11-15,75.370003,75.370003,75.370003,75.370003,800,69.734673
2013-11-18,75.260002,75.349998,75.260002,75.339996,2900,69.706955
2013-11-19,75.269997,75.379997,75.269997,75.360001,2500,69.725449
2013-11-20,75.379997,75.379997,75.360001,75.360001,4100,69.725449
2013-11-21,75.349998,75.349998,75.349998,75.349998,1100,69.716187
2013-11-22,75.360001,75.360001,75.360001,75.360001,900,69.725449
2013-11-25,75.379997,75.389999,75.370003,75.370003,8800,69.734673
2013-11-26,75.32,75.379997,75.32,75.379997,1200,69.743965
2013-11-27,75.389999,75.389999,75.379997,75.379997,1600,69.743965
2013-11-29,75.389999,75.389999,75.370003,75.389999,9400,69.753189
2013-12-02,75.32,75.339996,75.32,75.32,4000,69.739349
2013-12-03,75.339996,75.339996,75.32,75.339996,2300,69.757828
2013-12-04,75.349998,75.349998,75.330002,75.349998,1600,69.767113
2013-12-05,75.339996,75.339996,75.32,75.32,2700,69.739349
2013-12-06,75.330002,75.330002,75.32,75.32,1500,69.739349
2013-12-09,75.349998,75.349998,75.330002,75.339996,13300,69.757828
2013-12-10,75.339996,75.339996,75.330002,75.330002,2100,69.748596
2013-12-11,75.349998,75.349998,75.349998,75.349998,1800,69.767113
2013-12-12,75.300003,75.360001,75.300003,75.360001,4100,69.776382
2013-12-13,75.330002,75.349998,75.330002,75.349998,14500,69.767113
2013-12-16,75.349998,75.349998,75.349998,75.349998,1300,69.767113
2013-12-17,75.269997,75.349998,75.269997,75.349998,1300,69.767113
2013-12-18,75.360001,75.360001,75.349998,75.349998,44900,69.767113
2013-12-19,75.360001,75.370003,75.349998,75.370003,25700,69.785614
2013-12-20,75.370003,75.370003,75.349998,75.370003,7200,69.785614
2013-12-23,75.379997,75.379997,75.349998,75.379997,66200,69.794884
2013-12-24,75.360001,75.370003,75.360001,75.360001,1400,69.776382
2013-12-26,75.370003,75.379997,75.360001,75.370003,50000,69.785614
2013-12-27,75.379997,75.379997,75.360001,75.360001,16200,69.781883
2013-12-30,75.379997,75.379997,75.339996,75.370003,12700,69.791191
2013-12-31,75.379997,75.379997,75.370003,75.379997,24600,69.800423
2014-01-02,75.389999,75.389999,75.389999,75.389999,1200,69.8097
2014-01-03,75.389999,75.389999,75.370003,75.389999,10800,69.8097
2014-01-06,75.370003,75.389999,75.370003,75.389999,5400,69.8097
2014-01-07,75.239998,75.400002,75.239998,75.400002,3300,69.818947
2014-01-08,75.400002,75.410004,75.339996,75.379997,15000,69.800423
2014-01-09,75.309998,75.389999,75.309998,75.389999,1700,69.8097
2014-01-10,75.389999,75.389999,75.389999,75.389999,1700,69.8097
2014-01-13,75.400002,75.419998,75.400002,75.400002,900,69.818947
2014-01-14,75.43,75.43,75.410004,75.410004,1200,69.828209
2014-01-15,75.43,75.449997,75.419998,75.419998,5500,69.837471
2014-01-16,75.440002,75.440002,75.440002,75.440002,3600,69.855995
2014-01-17,75.43,75.449997,75.43,75.449997,600,69.86528
2014-01-21,75.440002,75.459999,75.440002,75.459999,5500,69.874519
2014-01-22,75.470001,75.470001,75.440002,75.459999,4800,69.874519
2014-01-23,75.449997,75.449997,75.449997,75.449997,2400,69.86528
2014-01-24,75.459999,75.470001,75.449997,75.470001,2700,69.883804
2014-01-27,75.449997,75.449997,75.410004,75.449997,3900,69.86528
2014-01-28,75.379997,75.459999,75.379997,75.449997,7100,69.86528
2014-01-29,75.470001,75.470001,75.459999,75.459999,3500,69.874519
2014-01-30,75.470001,75.470001,75.449997,75.449997,25800,69.86528
2014-01-31,75.440002,75.459999,75.440002,75.459999,500,69.874519
2014-02-03,75.449997,75.449997,75.43,75.43,2500,69.872673
2014-02-04,75.419998,75.449997,75.150002,75.43,37800,69.872673
2014-02-05,75.459999,75.459999,75.349998,75.419998,14700,69.863403
2014-02-06,75.440002,75.459999,75.43,75.449997,19500,69.891197
2014-02-07,75.459999,75.459999,75.459999,75.459999,600,69.900482
