date,open,high,low,close,volume,adjusted
2008-05-22,49.900002,49.900002,49.790001,49.790001,400,31.414127
2008-05-23,49.700001,49.700001,49.700001,49.700001,100,31.357344
2008-05-27,49.400002,49.400002,49.400002,49.400002,400,31.168062
2008-05-28,49.650002,49.650002,49.650002,49.650002,500,31.325792
2008-05-29,49.650002,49.650002,49.650002,49.650002,0,31.325792
2008-05-30,51.740002,51.740002,49.84,49.900002,500,31.483522
2008-06-02,49.25,49.25,49.200001,49.200001,200,31.041866
2008-06-03,51.32,51.32,49.189999,49.189999,4800,31.035563
2008-06-04,51.209999,51.209999,48.389999,48.799999,25200,30.789494
2008-06-05,49.549999,49.700001,49.27,49.689999,6100,31.351028
2008-06-06,49.52,49.52,48.700001,48.700001,1800,30.7264
2008-06-09,48.75,48.75,48,48,3000,30.284754
2008-06-10,46.849998,47,46.849998,46.990002,1300,29.647514
2008-06-11,44.740002,46.799999,44.34,46.799999,2300,29.527634
2008-06-12,46.549999,46.650002,46.549999,46.650002,2700,29.432997
2008-06-13,46.700001,46.700001,46.650002,46.650002,15500,29.432997
2008-06-16,47,47.169998,47,47.169998,6100,29.761078
2008-06-17,47.73,47.73,47.32,47.32,500,29.855717
2008-06-18,46.450001,46.450001,46.07,46.07,1200,29.067049
2008-06-19,47.779999,47.779999,46.150002,46.200001,1300,29.149075
2008-06-20,45.240002,46.049999,45.240002,45.599998,3600,28.873005
2008-06-23,45.349998,45.790001,45,45,46200,28.493092
2008-06-24,44.82,45.549999,43.799999,44.5,66000,28.176512
2008-06-25,45.299999,45.299999,42.650002,44.900002,8200,28.429781
2008-06-26,43.560001,44.849998,43.560001,44.32,2500,28.062527
2008-06-27,44.119999,44.119999,43.73,43.82,10800,27.745945
2008-06-30,43.900002,44,43.75,43.75,1500,27.701622
2008-07-01,43.490002,43.490002,42.849998,43.099998,1500,27.290052
2008-07-02,43.299999,43.299999,42.93,42.93,800,27.182417
2008-07-03,42.93,42.93,42.93,42.93,0,27.182417
2008-07-07,41.700001,43.169998,41.700001,42.73,6500,27.055788
2008-07-08,42.029999,43.5,42.02,43.5,11400,27.543327
2008-07-09,43.57,46.759998,42.25,42.25,21100,26.751854
2008-07-10,42.330002,42.5,42.330002,42.450001,1400,26.878498
2008-07-11,42.310001,42.310001,41.23,41.990002,4100,26.587231
2008-07-14,42.490002,42.490002,41.130001,41.130001,3800,26.042694
2008-07-15,40.900002,41.25,39.799999,40.200001,7300,25.453833
2008-07-16,40.419998,42.02,40.099998,42.02,14200,26.606213
2008-07-17,42.509998,42.650002,42.330002,42.650002,1200,27.005127
2008-07-18,43.150002,43.150002,43,43.150002,1300,27.321724
2008-07-21,43.799999,43.799999,43.349998,43.599998,1400,27.60664
2008-07-22,43.400002,43.900002,43,43.889999,4100,27.790266
2008-07-23,44.610001,45.490002,44.610001,45.099998,4900,28.556419000000002
2008-07-24,45.419998,45.419998,43.689999,43.689999,12600,27.663628
2008-07-25,43.5,43.799999,43.25,43.799999,6000,27.733284
2008-07-28,43.950001,43.950001,42.91,42.950001,12800,27.195072
2008-07-29,43.5,44.02,43.5,44.02,900,27.872576
