date,open,high,low,close,volume,adjusted
2010-01-14,25.41,25.51,25.299999,25.48,72300,19.966787
2010-01-15,25.42,25.42,25.059999,25.16,71700,19.716028
2010-01-19,25.1,25.41,25.1,25.379999,155400,19.888426
2010-01-20,24.98,24.98,24.629999,24.85,125000,19.473104
2010-01-21,24.76,24.780001,24.139999,24.26,63800,19.010765
2010-01-22,24.17,24.27,23.700001,23.700001,51000,18.571938
2010-01-25,24.24,24.26,24,24.120001,54900,18.901062
2010-01-26,23.870001,24.049999,23.75,23.780001,18100,18.634628
2010-01-27,23.83,23.879999,23.59,23.879999,15100,18.71299
2010-01-28,23.799999,23.799999,23.5,23.59,24400,18.485739
2010-01-29,23.67,23.700001,23.209999,23.26,27600,18.22714
2010-02-01,23.59,23.76,23.530001,23.76,33900,18.618952
2010-02-02,24,24.209999,23.860001,24.200001,55500,18.963749
2010-02-03,24.07,24.690001,23.9,23.98,12200,18.791351
2010-02-04,23.639999,23.639999,23.040001,23.07,55500,18.078251
2010-02-05,22.9,22.9,22.25,22.719999,40900,17.803982
2010-02-08,22.74,22.83,22.379999,22.379999,53800,17.53755
2010-02-09,22.950001,23.190001,22.719999,23.1,19600,18.101761
2010-02-10,23.07,23.110001,22.790001,23.02,43000,18.039068
2010-02-11,23.08,23.43,22.92,23.34,135300,18.289831
2010-02-12,22.98,23.110001,22.809999,23.1,21700,18.101761
2010-02-16,23.26,23.85,23.16,23.52,127000,18.430882
2010-02-17,23.690001,23.690001,23.49,23.57,47300,18.470062
2010-02-18,23.559999,23.74,23.5,23.73,14100,18.595442
2010-02-19,23.459999,23.58,23.26,23.559999,28200,18.462231
2010-02-22,23.77,23.77,23.540001,23.620001,9800,18.509247
2010-02-23,23.57,23.57,23.209999,23.23,19400,18.20363
2010-02-24,23.35,23.440001,23.25,23.299999,6900,18.258484
2010-02-25,23,23.23,22.85,23.200001,28000,18.180122
2010-02-26,23.26,23.43,23.25,23.43,6600,18.360355
2010-03-01,23.49,23.629999,23.43,23.620001,34000,18.509247
2010-03-02,23.860001,23.959999,23.719999,23.82,29800,18.66597
2010-03-03,24.1,24.25,24.02,24.1,31200,18.885387
2010-03-04,24.209999,24.209999,23.959999,24.08,53100,18.869713
2010-03-05,24.33,24.51,24.25,24.48,32500,19.183165
2010-03-08,24.59,24.6,24.41,24.48,41800,19.183165
2010-03-09,24.32,24.52,24.190001,24.41,29600,19.128307
2010-03-10,24.49,24.67,24.469999,24.57,19300,19.253691
2010-03-11,24.610001,24.690001,24.42,24.66,84500,19.324217
2010-03-12,24.92,24.92,24.75,24.85,24000,19.473104
2010-03-15,24.82,24.82,24.549999,24.75,36300,19.394741
2010-03-16,24.809999,25.09,24.809999,25.08,18100,19.653337
2010-03-17,25.24,25.35,25.15,25.25,32600,19.786556
2010-03-18,25.280001,25.280001,24.950001,25.08,21700,19.653337
2010-03-19,24.76,25.08,24.709999,24.76,27500,19.402578
2010-03-22,24.639999,24.85,24.459999,24.83,32500,19.457434
2010-03-23,24.83,25.030001,24.83,25.02,30000,19.606321
2010-03-24,24.709999,24.74,24.59,24.6,35200,19.277201
2010-03-25,24.799999,24.870001,24.610001,24.610001,16300,19.285036
2010-03-26,24.629999,24.879999,24.629999,24.85,25600,19.473104
2010-03-29,25.049999,25.120001,24.969999,25.1,32500,19.669014
2010-03-30,25.110001,25.200001,25.01,25.120001,25800,19.684687
2010-03-31,25.18,25.24,25.1,25.16,29500,19.716028
2010-04-01,25.43,25.6,25.379999,25.6,37700,20.060825
2010-04-05,25.75,25.75,25.629999,25.75,342900,20.17837
2010-04-06,25.74,25.85,25.65,25.809999,31500,20.225388
2010-04-07,25.799999,25.799999,25.58,25.68,34000,20.123514
2010-04-08,25.530001,25.77,25.469999,25.76,24300,20.186203
2010-04-09,25.879999,25.99,25.799999,25.99,27100,20.36644
2010-04-12,26.16,26.16,26.01,26.049999,35700,20.413456
2010-04-13,26.059999,26.059999,25.77,25.940001,32700,20.327259
2010-04-14,26.15,26.290001,26.049999,26.290001,34900,20.601528
2010-04-15,26.219999,26.290001,26.129999,26.209999,33800,20.538834
2010-04-16,26.110001,26.110001,25.57,25.75,61400,20.17837
2010-04-19,25.370001,25.65,25.280001,25.620001,31500,20.076496
2010-04-20,25.889999,25.93,25.84,25.9,56000,20.295914
2010-04-21,25.889999,25.92,25.75,25.879999,23500,20.280237
2010-04-22,25.629999,25.85,25.459999,25.85,30000,20.256731
2010-04-23,25.83,26.129999,25.76,26.110001,36600,20.460474
2010-04-26,26.219999,26.219999,26.1,26.129999,130000,20.476149
2010-04-27,25.860001,25.91,25.139999,25.200001,86100,19.747375
2010-04-28,25.24,25.290001,24.799999,25.1,96800,19.669014
2010-04-29,25.309999,25.559999,25.309999,25.52,29600,19.998137
2010-04-30,25.6,25.610001,25.209999,25.23,56100,19.77088
2010-05-03,25.43,25.5,25.32,25.440001,13800,19.935446
2010-05-04,24.84,24.84,24.280001,24.4,94000,19.120474
2010-05-05,23.860001,24.07,23.67,23.879999,40800,18.71299
2010-05-06,23.68,23.950001,21.9,22.950001,530400,17.984217
2010-05-07,23.129999,23.16,22.469999,22.74,192400,17.819653
2010-05-10,23.74,24.299999,23.74,24.08,116400,18.869713
2010-05-11,23.65,24.209999,23.65,23.940001,60200,18.760008
2010-05-12,24.200001,24.360001,24.120001,24.33,19900,19.065622
2010-05-13,24.219999,24.309999,24.030001,24.049999,35100,18.846201
2010-05-14,23.9,23.9,23.32,23.530001,32000,18.438721
2010-05-17,23.48,23.48,22.799999,23.290001,58700,18.250648
2010-05-18,23.4,23.459999,22.6,22.700001,31700,17.788311
2010-05-19,22.540001,22.639999,22.17,22.6,49400,17.709948
2010-05-20,21.860001,21.959999,21.43,21.59,103900,16.918488
2010-05-21,21.370001,22.190001,21.370001,22.08,84300,17.302462
2010-05-24,21.879999,22.08,21.75,21.75,22900,17.043865
2010-05-25,21.049999,21.58,20.870001,21.58,41300,16.910648
2010-05-26,21.74,21.91,21.34,21.42,46200,16.785267
2010-05-27,22.17,22.610001,22.120001,22.610001,49300,17.717785
2010-05-28,22.48,22.549999,22.139999,22.200001,42600,17.396496
2010-06-01,22.15,22.639999,22.02,22.02,18300,17.255445
2010-06-02,22.25,22.74,22.209999,22.74,24700,17.819653
2010-06-03,22.889999,22.889999,22.49,22.65,17900,17.749128
2010-06-04,22.200001,22.299999,21.719999,21.74,43500,17.03603
2010-06-07,21.98,21.98,21.52,21.530001,32900,16.871469
2010-06-08,21.58,21.83,21.469999,21.83,43200,17.106556
2010-06-09,22.049999,22.219999,21.73,21.799999,20400,17.083044
2010-06-10,22.469999,22.66,22.34,22.66,16700,17.756966
2010-06-11,22.370001,22.67,22.370001,22.67,9900,17.764799
2010-06-14,22.99,23.16,22.780001,22.780001,16000,17.850998
2010-06-15,23.17,23.5,23.120001,23.5,15700,18.415213
2010-06-16,23.190001,23.459999,23.15,23.35,34300,18.297668
2010-06-17,23.48,23.48,23.219999,23.42,22200,18.35252
2010-06-18,23.49,23.540001,23.42,23.540001,11700,18.446556
2010-06-21,23.870001,23.870001,23.389999,23.4,24200,18.336845
2010-06-22,23.59,23.620001,23.1,23.16,29700,18.148781
2010-06-23,23.200001,23.469999,23.030001,23.35,17200,18.297668
2010-06-24,23.030001,23.190001,22.92,22.950001,8900,17.984217
2010-06-25,22.969999,23.190001,22.84,23.139999,15900,18.133102
2010-06-28,23.129999,23.200001,22.879999,22.959999,17000,17.992048
2010-06-29,22.5,22.52,22.040001,22.1,19600,17.31813
2010-06-30,22.17,22.35,22,22.040001,14200,17.271116
2010-07-01,22.120001,22.17,21.76,22.110001,26600,17.32597
2010-07-02,22.32,22.32,22.02,22.120001,13400,17.333805
2010-07-06,22.77,22.77,22.35,22.450001,48500,17.592403
2010-07-07,22.719999,23.08,22.719999,23.08,11900,18.086086
2010-07-08,23.24,23.280001,23.02,23.280001,19000,18.242811
2010-07-09,23.24,23.440001,23.200001,23.440001,10200,18.368195
2010-07-12,23.32,23.370001,23.16,23.32,11900,18.27416
2010-07-13,23.6,23.73,23.530001,23.67,11300,18.548424
2010-07-14,23.690001,23.809999,23.5,23.67,18400,18.548424
2010-07-15,23.709999,23.84,23.52,23.83,23500,18.673807
2010-07-16,23.52,23.52,23.110001,23.190001,12100,18.172285
2010-07-19,23.299999,23.32,23.110001,23.219999,24600,18.195791
2010-07-20,22.99,23.51,22.99,23.51,11000,18.423048
2010-07-21,23.57,23.57,23.1,23.200001,7800,18.180122
2010-07-22,23.77,23.959999,23.77,23.940001,4400,18.760008
2010-07-23,23.940001,24.200001,23.870001,24.190001,16400,18.955914
2010-07-26,24.309999,24.450001,24.24,24.41,55100,19.128307
2010-07-27,24.59,24.59,24.280001,24.360001,15600,19.08913
2010-07-28,24.299999,24.34,24.17,24.23,22100,18.987255
2010-07-29,24.469999,24.51,24.190001,24.34,12700,19.073456
2010-07-30,24.120001,24.389999,24.120001,24.389999,8900,19.112635
2010-08-02,24.85,25.08,24.76,25,31900,19.590649
2010-08-03,24.9,25,24.790001,24.92,15000,19.52796
2010-08-04,24.959999,24.99,24.799999,24.969999,11000,19.567139
2010-08-05,24.99,25.049999,24.82,25.02,64100,19.606321
2010-08-06,24.950001,25.08,24.85,25.07,21900,19.645504
2010-08-09,25.18,25.18,25.08,25.139999,49300,19.700354
2010-08-10,24.719999,24.98,24.58,24.879999,17600,19.496614
2010-08-11,24.07,24.09,23.82,23.860001,36700,18.697317
2010-08-12,23.559999,24.049999,23.450001,23.75,29000,18.611118
2010-08-13,23.780001,23.83,23.709999,23.74,20400,18.603281
2010-08-16,23.76,23.950001,23.75,23.83,16000,18.673807
2010-08-17,24.26,24.360001,24.08,24.23,28700,18.987255
2010-08-18,24.35,24.4,24.15,24.34,15900,19.073456
2010-08-19,24.33,24.35,23.9,23.99,8300,18.799185
2010-08-20,23.65,23.76,23.58,23.75,11500,18.611118
2010-08-23,23.85,23.85,23.639999,23.639999,7200,18.524914
2010-08-24,23.309999,23.43,23.1,23.299999,10100,18.258484
2010-08-25,23.110001,23.35,22.98,23.35,31000,18.297668
2010-08-26,23.35,23.58,23.24,23.26,9000,18.22714
2010-08-27,23.639999,23.889999,23.379999,23.84,9100,18.681643
2010-08-30,23.74,23.799999,23.6,23.6,12200,18.493572
2010-08-31,23.51,23.790001,23.51,23.629999,14300,18.517082
2010-09-01,24.16,24.360001,24.059999,24.25,6200,19.002928
2010-09-02,24.25,24.43,24.25,24.43,14600,19.143984
2010-09-03,24.68,24.82,24.58,24.76,16400,19.402578
2010-09-07,24.65,24.65,24.48,24.5,14200,19.198837
2010-09-08,24.67,24.84,24.65,24.65,12900,19.316381
2010-09-09,24.950001,25,24.77,24.83,8800,19.457434
2010-09-10,24.93,25.02,24.91,24.91,43700,19.520119
2010-09-13,25.35,25.389999,25.280001,25.379999,20600,19.888426
2010-09-14,25.42,25.700001,25.280001,25.620001,19400,20.076496
2010-09-15,25.459999,25.940001,25.35,25.610001,37400,20.068661
2010-09-16,25.459999,25.59,25.41,25.59,12500,20.052988
2010-09-17,25.559999,25.629999,25.459999,25.530001,17400,20.00597
2010-09-20,25.65,25.85,25.620001,25.85,14500,20.256731
2010-09-21,25.9,26.049999,25.66,25.889999,86400,20.288078
2010-09-22,26,26.07,25.799999,25.93,20300,20.319422
2010-09-23,25.6,25.879999,25.52,25.6,9500,20.060825
2010-09-24,26.02,26.280001,25.99,26.209999,11300,20.538834
2010-09-27,26.35,26.370001,26.23,26.27,22900,20.585854
2010-09-28,26.309999,26.49,26.049999,26.4,20600,20.687727
2010-09-29,26.57,26.75,26.49,26.58,17000,20.828779
2010-09-30,26.780001,26.780001,26.309999,26.51,17700,20.773924
2010-10-01,26.82,26.84,26.65,26.809999,17200,21.009012
2010-10-04,26.73,26.73,26.4,26.549999,22400,20.805269
2010-10-05,26.92,27.190001,26.76,27.15,28500,21.275444
2010-10-06,27.02,27.33,27.02,27.27,15800,21.369478
2010-10-07,27.48,27.48,27.01,27.23,22300,21.338137
2010-10-08,27.24,27.440001,27.18,27.42,15100,21.487022
2010-10-11,27.5,27.5,27.27,27.43,18200,21.494862
2010-10-12,27.280001,27.48,27.120001,27.450001,19200,21.510534
2010-10-13,27.68,27.93,27.67,27.799999,30000,21.784801
2010-10-14,27.940001,28,27.790001,27.91,25600,21.871
2010-10-15,28.049999,28.049999,27.690001,27.83,27100,21.80831
2010-10-18,27.790001,27.889999,27.66,27.879999,25100,21.847492
2010-10-19,27.379999,27.469999,26.98,27.08,42000,21.220591
2010-10-20,27.24,27.690001,27.24,27.65,15900,21.667257
2010-10-21,27.73,27.799999,27.33,27.58,25900,21.612402
2010-10-22,27.690001,27.690001,27.5,27.629999,22100,21.651585
2010-10-25,27.969999,28.030001,27.84,27.870001,36700,21.839657
2010-10-26,27.74,27.809999,27.6,27.780001,20000,21.769131
2010-10-27,27.549999,27.559999,27.219999,27.440001,22000,21.502697
2010-10-28,27.67,27.700001,27.549999,27.690001,33600,21.698605
2010-10-29,27.690001,27.809999,27.639999,27.76,16500,21.753456
2010-11-01,28,28.01,27.58,27.74,24400,21.737783
2010-11-02,28.18,28.190001,28,28.16,32800,22.066908
2010-11-03,28.200001,28.370001,27.85,28.34,26800,22.20796
2010-11-04,28.860001,28.879999,28.59,28.879999,33200,22.631119
2010-11-05,28.82,28.92,28.73,28.82,32300,22.584103
2010-11-08,28.639999,28.75,28.530001,28.73,33400,22.513578
2010-11-09,28.950001,28.959999,28.299999,28.34,30800,22.20796
2010-11-10,28.52,28.530001,28.059999,28.48,26500,22.317669
2010-11-11,28.209999,28.209999,28.030001,28.15,15900,22.059069
2010-11-12,28.02,28.040001,27.67,27.780001,30700,21.769131
2010-11-15,28.040001,28.040001,27.690001,27.690001,35500,21.698605
2010-11-16,27.559999,27.559999,26.860001,27.040001,82900,21.189247
2010-11-17,27.09,27.32,27.09,27.24,21500,21.345972
2010-11-18,27.809999,27.879999,27.75,27.82,50000,21.800474
2010-11-19,27.82,28.01,27.629999,28.01,232900,21.949364
2010-11-22,27.9,27.98,27.629999,27.959999,70200,21.910183
2010-11-23,27.42,27.42,27.120001,27.17,26900,21.291119
2010-11-24,27.59,27.66,27.469999,27.66,11500,21.675097
2010-11-26,27.4,27.42,27.299999,27.389999,14100,21.463514
2010-11-29,27.139999,27.24,26.879999,27.200001,29100,21.314625
2010-11-30,26.82,27.139999,26.51,26.969999,25400,21.13439
2010-12-01,27.530001,27.700001,27.42,27.700001,85600,21.70644
2010-12-02,27.860001,28.379999,27.860001,28.360001,30300,22.223631
2010-12-03,28.440001,28.709999,28.16,28.68,56800,22.474394
2010-12-06,28.65,28.75,28.57,28.719999,43700,22.505737
2010-12-07,28.99,29.07,28.719999,28.73,41400,22.513578
2010-12-08,28.76,28.76,28.530001,28.66,25200,22.458721
2010-12-09,28.700001,28.700001,28.5,28.65,92000,22.450884
2010-12-10,28.690001,28.76,28.559999,28.74,25400,22.52141
2010-12-13,28.809999,29.219999,28.790001,29.09,90200,22.795679
2010-12-14,29.17,29.290001,29.040001,29.129999,80000,22.827024
2010-12-15,29.049999,29.07,28.799999,28.860001,49800,22.615442
2010-12-16,28.92,28.92,28.690001,28.9,41600,22.646791
2010-12-17,28.76,28.870001,28.66,28.85,41300,22.607609
2010-12-20,28.290001,28.309999,28.08,28.219999,43500,22.635681
2010-12-21,28.25,28.389999,28.24,28.379999,120000,22.764023
2010-12-22,28.43,28.43,28.299999,28.379999,73100,22.764023
2010-12-23,28.370001,28.469999,28.35,28.440001,30700,22.812147
2010-12-27,28.32,28.370001,28.209999,28.370001,21600,22.756001
2010-12-28,28.559999,28.559999,28.33,28.43,50100,22.804127
2010-12-29,28.73,28.85,28.639999,28.82,38100,23.116953
2010-12-30,28.85,28.879999,28.75,28.84,28100,23.132996
2010-12-31,29.049999,29.27,28.92,29.16,56500,23.389669
2011-01-03,29.379999,29.48,29.23,29.33,57800,23.526031
2011-01-04,29.5,29.5,29,29.190001,189700,23.413734
2011-01-05,28.92,29.059999,28.83,29.040001,51800,23.293417
2011-01-06,29.059999,29.07,28.700001,28.76,31200,23.068823
2011-01-07,28.860001,28.860001,28.5,28.690001,41100,23.012676
2011-01-10,28.530001,28.65,28.360001,28.639999,40900,22.972572
2011-01-11,28.73,28.93,28.73,28.93,128900,23.205185
2011-01-12,29.25,29.4,29.17,29.4,42000,23.58218
2011-01-13,29.52,29.57,29.370001,29.41,74600,23.5902
2011-01-14,29.389999,29.6,29.33,29.6,91100,23.742601
2011-01-18,29.68,29.74,29.58,29.68,57200,23.806772
2011-01-19,29.66,29.84,29.42,29.5,61800,23.662392
2011-01-20,29.17,29.200001,28.84,29.129999,78300,23.365606
2011-01-21,29.27,29.27,29.08,29.129999,23100,23.365606
2011-01-24,29.059999,29.290001,29.049999,29.27,28400,23.477903
2011-01-25,29.120001,29.209999,28.99,29.209999,55600,23.429773
2011-01-26,29.370001,29.5,29.290001,29.459999,113400,23.630304
2011-01-27,29.58,29.58,29.34,29.549999,116000,23.702494
2011-01-28,29.48,29.48,28.950001,29.049999,37800,23.301437
2011-01-31,29.23,29.360001,29.139999,29.280001,36900,23.485926
2011-02-01,29.51,29.950001,29.51,29.92,24000,23.999279
2011-02-02,29.82,29.860001,29.73,29.82,32600,23.919069
2011-02-03,29.790001,29.870001,29.530001,29.860001,39800,23.951151
2011-02-04,29.93,29.93,29.68,29.889999,35600,23.975214
2011-02-07,32.220001,32.220001,29.940001,30.030001,60100,24.087511
2011-02-08,30.1,30.190001,29.93,30.17,40300,24.19981
2011-02-09,30.139999,30.139999,29.91,30.040001,58300,24.095531
2011-02-10,29.790001,29.879999,29.48,29.75,122200,23.862923
2011-02-11,29.559999,29.83,29.530001,29.790001,54600,23.895004
2011-02-14,29.790001,29.92,29.75,29.92,46000,23.999279
2011-02-15,29.860001,29.879999,29.690001,29.75,45500,23.862923
2011-02-16,29.82,29.959999,29.73,29.92,65300,23.999279
2011-02-17,29.92,30.049999,29.860001,30.030001,54700,24.087511
2011-02-18,30.040001,30.139999,30,30.1,27100,24.143661
2011-02-22,29.6,29.68,29.24,29.280001,91000,23.485926
2011-02-23,29.290001,29.42,29,29.26,96800,23.469885
2011-02-24,29.209999,29.23,28.93,29.15,37100,23.381651
2011-02-25,29.379999,29.59,29.370001,29.59,26700,23.734581
2011-02-28,29.959999,29.98,29.83,29.950001,41100,24.023342
2011-03-01,30.08,30.09,29.700001,29.73,44400,23.846874
2011-03-02,29.84,29.98,29.690001,29.83,192100,23.927088
