date,open,high,low,close,volume,adjusted
2009-11-03,24.209999,24.65,24.190001,24.629999,191500,19.405071
2009-11-04,24.99,25.129999,24.84,24.91,115000,19.625669
2009-11-05,25.299999,25.389999,25.09,25.23,93300,19.877787
2009-11-06,25.200001,25.889999,25,25.35,164000,19.972332
2009-11-09,25.879999,26.139999,25.77,26.1,233500,20.563229
2009-11-10,25.93,25.98,25.709999,25.889999,163400,20.397778
2009-11-11,26.190001,26.26,25.9,25.969999,277500,20.460806
2009-11-12,26.02,26.030001,25.5,25.59,132100,20.161419
2009-11-13,25.85,26.01,25.6,25.91,115700,20.413532
2009-11-16,26.17,26.49,26.129999,26.34,184200,20.752312
2009-11-17,26.190001,26.200001,25.92,26.17,195800,20.61838
2009-11-18,26.27,26.27,25.98,26.129999,123600,20.586864
2009-11-19,25.860001,25.860001,25.4,25.67,157300,20.224449
2009-11-20,25.389999,25.51,25.190001,25.49,113400,20.082632
2009-11-23,26.08,26.219999,25.860001,25.950001,106800,20.445047
2009-11-24,25.98,25.98,25.639999,25.799999,141700,20.326866
2009-11-25,26.049999,26.209999,25.889999,26.190001,92800,20.634138
2009-11-27,25.24,25.559999,25,25.42,157100,20.027479
2009-11-30,25.5,25.639999,25.26,25.5,123700,20.090511
2009-12-01,26.02,26.280001,25.940001,26.23,101300,20.665651
2009-12-02,26.27,26.389999,26.15,26.24,84800,20.673529
2009-12-03,26.459999,26.49,26.08,26.1,70200,20.563229
2009-12-04,26.450001,26.5,25.85,26.129999,169500,20.586864
2009-12-07,26.09,26.15,25.889999,25.93,116300,20.429295
2009-12-08,25.77,25.780001,25.379999,25.459999,227100,20.058992
2009-12-09,25.5,25.530001,25.190001,25.49,127300,20.082632
2009-12-10,25.700001,25.73,25.469999,25.59,72300,20.161419
2009-12-11,25.73,25.73,25.5,25.6,98800,20.169296
2009-12-14,25.860001,25.879999,25.67,25.84,228100,20.358385
2009-12-15,25.68,25.709999,25.51,25.57,150800,20.14566
2009-12-16,25.860001,25.99,25.77,25.84,154300,20.358385
2009-12-17,25.52,25.52,25.139999,25.18,162200,19.838394
2009-12-18,25.34,25.4,25,25.24,133800,19.885668
2009-12-21,25.440001,25.49,25.32,25.360001,118200,19.980211
2009-12-22,25.559999,25.610001,25.42,25.58,150000,20.153542
2009-12-23,25.709999,25.73,25.51,25.709999,88600,20.287687
2009-12-24,25.9,25.9,25.75,25.870001,59200,20.413942
2009-12-28,26.049999,26.440001,25.860001,25.959999,121100,20.484962
2009-12-29,26.200001,26.200001,25.9,25.969999,186200,20.492851
2009-12-30,25.870001,25.879999,25.709999,25.879999,180700,20.421831
2009-12-31,26.139999,26.17,25.75,25.780001,143500,20.342926
2010-01-04,26.379999,26.5,26.290001,26.459999,218100,20.879507
2010-01-05,26.58,26.6,26.4,26.559999,205900,20.958418000000002
