date,open,high,low,close,volume,adjusted
2013-10-17,49.849998,49.93,49.849998,49.93,12700,36.897842
2013-10-18,50.049999,50.150002,50.049999,50.119999,178300,37.038242
2013-10-21,50.060001,50.110001,50.049999,50.049999,2100,36.986538
2013-10-22,50.139999,50.16,50.139999,50.16,22800,37.067806
2013-10-23,50.099998,50.16,50.09,50.09,5500,37.01609
2013-10-24,50.130001,50.169998,50.099998,50.099998,5900,37.023468
2013-10-25,50.150002,50.169998,50.139999,50.139999,7300,37.053032
2013-10-28,50.169998,50.169998,50.139999,50.150002,11200,37.060413
2013-10-29,50.16,50.209999,50.150002,50.200001,9000,37.097359
2013-10-30,50.220001,50.220001,50.189999,50.189999,2700,37.089973
2013-10-31,50.130001,50.279999,50.130001,50.23,216000,37.119541
2013-11-01,50.209999,50.25,50.150002,50.240002,37600,37.126926
2013-11-04,50.290001,50.299999,50.200001,50.279999,25000,37.156479
2013-11-05,50.27,50.27,50.259998,50.259998,10500,37.141712
2013-11-06,50.32,50.330002,50.299999,50.330002,11800,37.193451
2013-11-07,50.330002,50.330002,50.290001,50.330002,4200,37.193451
2013-11-08,50.240002,50.25,50.200001,50.240002,3000,37.126926
2013-11-11,50.27,50.279999,50.259998,50.27,2900,37.149094
2013-11-12,50.220001,50.220001,50.169998,50.189999,6900,37.089973
2013-11-13,50.189999,50.189999,50.189999,50.189999,1000,37.089973
2013-11-14,50.259998,50.290001,50.240002,50.290001,44800,37.163891
2013-11-15,50.259998,50.299999,50.220001,50.299999,9100,37.171265
2013-11-18,50.349998,50.349998,50.330002,50.34,3400,37.200848
2013-11-19,50.32,50.330002,50.290001,50.290001,4400,37.163891
2013-11-20,50.32,50.34,50.240002,50.240002,24300,37.126926
2013-11-21,50.290001,50.34,50.279999,50.299999,17400,37.171265
2013-11-22,50.310001,50.360001,50.310001,50.360001,300,37.215599
2013-11-25,50.400002,50.400002,50.369999,50.380001,9500,37.230385
2013-11-26,50.43,50.43,50.41,50.41,8200,37.252556
2013-11-27,50.48,50.48,50.450001,50.48,3300,37.304279
2013-11-29,50.48,50.48,50.470001,50.470001,1200,37.296909
2013-12-02,50.470001,50.470001,50.470001,50.470001,0,37.483307
2013-12-03,50.200001,50.240002,50.200001,50.220001,3900,37.297646
2013-12-04,50.240002,50.279999,50.209999,50.259998,17400,37.327343
2013-12-05,50.299999,50.299999,50.259998,50.259998,2400,37.327343
2013-12-06,50.32,50.470001,50.259998,50.470001,72000,37.483307
2013-12-09,50.5,50.5,50.400002,50.48,1200,37.490726
2013-12-10,50.490002,50.540001,50.470001,50.509998,45100,37.513016
