date,open,high,low,close,volume,adjusted
2007-05-30,26.245001,26.245001,26.245001,26.245001,6000,17.517038
2007-05-31,26.245001,26.245001,26.245001,26.245001,0,17.517038
2007-06-01,26.245001,26.245001,26.245001,26.245001,0,17.517038
2007-06-04,26.245001,26.245001,26.245001,26.245001,0,17.517038
2007-06-05,26.115,26.115,26.115,26.115,2000,17.430283
2007-06-06,26.125,26.135,26.125,26.135,2400,17.443628
2007-06-07,26.135,26.135,26.135,26.135,0,17.443628
2007-06-08,25.940001,25.940001,25.940001,25.940001,200,17.313469
2007-06-11,25.934999,25.934999,25.93,25.934999,11600,17.31012
2007-06-12,25.785,25.815001,25.77,25.77,7400,17.199995
2007-06-13,25.83,25.83,25.825001,25.825001,2400,17.236715
2007-06-14,25.825001,25.825001,25.825001,25.825001,0,17.236715
2007-06-15,25.895,25.93,25.895,25.924999,7200,17.303459
2007-06-18,25.9,25.9,25.9,25.9,200,17.286776
2007-06-19,25.9,25.9,25.9,25.9,0,17.286776
2007-06-20,25.950001,25.950001,25.950001,25.950001,1400,17.320148
2007-06-21,25.950001,25.950001,25.950001,25.950001,800,17.320148
2007-06-22,25.950001,25.950001,25.950001,25.950001,0,17.320148
2007-06-25,25.950001,25.950001,25.950001,25.950001,0,17.320148
2007-06-26,26.01,26.01,26.01,26.01,200,17.360193
2007-06-27,26.01,26.01,26.01,26.01,0,17.360193
2007-06-28,26.040001,26.040001,26.040001,26.040001,2600,17.380213
2007-06-29,26.030001,26.065001,26.030001,26.065001,116000,17.39691
2007-07-02,26.065001,26.065001,26.065001,26.065001,0,17.477024
2007-07-03,25.965,25.99,25.959999,25.99,7200,17.426727
2007-07-05,25.895,25.895,25.885,25.885,600,17.356327
2007-07-06,25.84,25.84,25.84,25.84,1200,17.326157
2007-07-09,25.84,25.84,25.84,25.84,0,17.326157
2007-07-10,25.940001,25.940001,25.940001,25.940001,400,17.393209
2007-07-11,25.995001,25.995001,25.945,25.945,800,17.396572
2007-07-12,25.945,25.945,25.945,25.945,0,17.396572
2007-07-13,25.924999,25.945,25.924999,25.934999,23600,17.389862
2007-07-16,25.965,25.975,25.959999,25.975,3600,17.416677
2007-07-17,25.950001,25.950001,25.950001,25.950001,200,17.39992
2007-07-18,26,26.030001,26,26.030001,2800,17.453556
2007-07-19,25.995001,26.01,25.995001,26.01,1000,17.440149
2007-07-20,26.01,26.01,26.01,26.01,0,17.440149
2007-07-23,26.025,26.040001,26.025,26.040001,21400,17.46026
2007-07-24,26.055,26.055,26.045,26.045,1400,17.463612
2007-07-25,26.065001,26.065001,26.065001,26.065001,34400,17.477024
2007-07-26,26.110001,26.139999,26.110001,26.129999,1800,17.520599
2007-07-27,26.195,26.195,26.195,26.195,1600,17.564184
2007-07-30,26.18,26.18,26.105,26.105,23000,17.503832
2007-07-31,26.105,26.105,26.105,26.105,0,17.503832
2007-08-01,26.030001,26.030001,26.030001,26.030001,200,17.531115
2007-08-02,26.045,26.084999,26.045,26.075001,3800,17.561432
2007-08-03,26.165001,26.165001,26.165001,26.165001,200,17.622047
2007-08-06,26.190001,26.190001,26.18,26.18,1000,17.632139
2007-08-07,26.155001,26.155001,26.129999,26.129999,1000,17.598465
2007-08-08,26.059999,26.059999,26.059999,26.059999,1000,17.551338
2007-08-09,26.059999,26.059999,26.059999,26.059999,0,17.551338
2007-08-10,26.110001,26.110001,26.110001,26.110001,800,17.584999
2007-08-13,26.014999,26.045,26.014999,26.040001,2600,17.537863
2007-08-14,26.200001,26.200001,26.200001,26.200001,400,17.645613
2007-08-15,26.165001,26.174999,26.125,26.174999,6600,17.628777
2007-08-16,26.174999,26.174999,26.174999,26.174999,0,17.628777
2007-08-17,26.209999,26.235001,26.190001,26.190001,3400,17.638882
2007-08-20,26.190001,26.190001,26.190001,26.190001,0,17.638882
2007-08-21,26.299999,26.299999,26.299999,26.299999,800,17.712969
2007-08-22,26.280001,26.32,26.280001,26.32,43600,17.726435
2007-08-23,26.275,26.275,26.275,26.275,200,17.696127
