date,open,high,low,close,volume,adjusted
2007-03-23,28.65,28.684999,28.645,28.684999,8600,21.904839
2007-03-26,28.870001,29.1,28.674999,29.1,8800,22.221745
2007-03-27,28.700001,28.705,28.6,28.6,12400,21.839933
2007-03-28,28.545,28.545,28.200001,28.200001,34400,21.534479
2007-03-29,28.6,28.629999,28.5,28.5,15400,21.763565
2007-03-30,28.84,28.934999,28.66,28.66,30600,21.885746
2007-04-02,28.674999,28.690001,28.594999,28.690001,12200,21.908655
2007-04-03,29.08,29.195,29.055,29.055,25800,22.187384
2007-04-04,29.174999,29.26,29.174999,29.26,400,22.343927
2007-04-05,29.35,29.379999,29.299999,29.360001,13400,22.42029
2007-04-09,29.584999,29.709999,29.514999,29.514999,3200,22.538656
2007-04-10,29.645,29.75,29.629999,29.695,7000,22.676107
2007-04-11,29.825001,29.825001,29.440001,29.469999,4000,22.504292
2007-04-12,29.42,29.9,29.365,29.9,16200,22.832655
2007-04-13,29.950001,29.98,29.834999,29.959999,19600,22.878471
2007-04-16,30.395,30.459999,30.305,30.395,32200,23.210653
2007-04-17,30.25,30.305,30.07,30.15,19400,23.023558
2007-04-18,30.075001,30.18,30.075001,30.174999,1000,23.042654
2007-04-19,29.77,29.85,29.57,29.85,22800,22.794476
2007-04-20,30.325001,30.389999,30.225,30.26,16000,23.107561
2007-04-23,30.35,30.35,30.26,30.26,2800,23.107561
2007-04-24,30.315001,30.315001,30.139999,30.200001,1800,23.061743
2007-04-25,30.575001,30.709999,30.475,30.700001,162000,23.443563
2007-04-26,30.575001,30.625,30.445,30.469999,19000,23.267927
2007-04-27,30.25,30.315001,30.215,30.309999,36000,23.145744
2007-04-30,30.200001,30.200001,29.815001,29.815001,24600,22.767748
2007-05-01,29.75,29.93,29.719999,29.905001,34800,22.83647
2007-05-02,30.1,30.325001,29.780001,30.325001,29600,23.157196
2007-05-03,30.5,30.719999,30.5,30.66,15400,23.413017
2007-05-04,30.844999,30.950001,30.764999,30.780001,36400,23.504652
2007-05-07,30.905001,31,30.905001,30.959999,13400,23.642103
2007-05-08,30.934999,30.934999,30.58,30.65,13200,23.405382
