date,open,high,low,close,volume,adjusted
2012-02-15,1.13,1.2,1.1,1.13,1466103,1.015143
2012-02-16,1.15,1.2,1.1,1.125,3414086,1.010651
2012-02-17,1.2,1.2,1.2,1.125,16634,1.010651
2012-02-21,1.175,1.175,1.15,1.125,31962,1.010651
2012-02-22,1.15,1.15,1.15,1.125,25000,1.010651
2012-02-23,1.145,1.145,1.05,1.125,715708,1.010651
2012-02-24,1.05,1.12,1.05,1.15,3015550,1.03311
2012-02-27,1.05,1.12,1.05,1.15,1503687,1.03311
2012-02-28,1.12,1.12,1.05,1.15,6202862,1.03311
2012-02-29,1.12,1.12,1.12,1.175,7820000,1.055569
2012-03-01,1.15,1.15,1.15,1.175,42703,1.055569
2012-03-02,1.15,1.15,1.15,1.175,7787,1.055569
2012-03-05,1.15,1.15,1.15,1.175,11723,1.055569
2012-03-06,1.175,1.175,1.175,1.175,0,1.055569
2012-03-07,1.1,1.2,1.1,1.175,610029,1.055569
2012-03-08,1.1,1.1,1.1,1.175,1490000,1.055569
2012-03-09,1.175,1.175,1.175,1.175,0,1.055569
2012-03-12,1.1,1.1,1.1,1.175,650000,1.055569
2012-03-13,1.15,1.15,1.15,1.175,20000,1.055569
2012-03-14,1.175,1.175,1.175,1.175,0,1.055569
2012-03-15,1.175,1.175,1.175,1.175,0,1.055569
2012-03-16,1.175,1.175,1.175,1.175,0,1.055569
2012-03-19,1.1,1.107,1.1,1.175,3200000,1.055569
2012-03-20,1.175,1.175,1.175,1.175,0,1.055569
2012-03-21,1.175,1.175,1.175,1.175,0,1.055569
2012-03-22,1.175,1.175,1.175,1.175,0,1.055569
2012-03-23,1.175,1.175,1.175,1.175,0,1.055569
2012-03-26,1.175,1.175,1.175,1.175,0,1.055569
2012-03-27,1.175,1.175,1.175,1.175,0,1.055569
2012-03-28,1.15,1.15,1.1,1.175,907787,1.055569
2012-03-29,1.1,1.1,1.1,1.175,250000,1.055569
2012-03-30,1.175,1.175,1.175,1.175,0,1.055569
2012-04-02,1.15,1.15,1.15,1.175,21739,1.055569
2012-04-03,1.175,1.175,1.175,1.175,0,1.055569
2012-04-04,1.1,1.1,1.1,1.175,450000,1.055569
2012-04-05,1.175,1.175,1.175,1.175,0,1.055569
2012-04-09,1.175,1.175,1.175,1.175,0,1.055569
2012-04-10,1,1,1,1.175,4300000,1.055569
2012-04-11,1.175,1.175,1.175,1.175,0,1.055569
2012-04-12,1.175,1.175,1.175,1.175,0,1.055569
2012-04-13,1.175,1.175,1.175,1.175,0,1.055569
2012-04-16,1.175,1.175,1.175,1.175,0,1.055569
2012-04-17,1.1,1.1,1.1,1.175,92273,1.055569
2012-04-18,1.175,1.175,1.175,1.175,0,1.055569
2012-04-19,1.1,1.1,1.1,1.175,64801,1.055569
2012-04-20,1.175,1.175,1.175,1.175,0,1.055569
2012-04-23,1.175,1.175,1.175,1.175,0,1.055569
2012-04-24,1.175,1.175,1.175,1.175,0,1.055569
2012-04-25,1.175,1.175,1.175,1.175,0,1.055569
2012-04-26,1.175,1.175,1.175,1.175,0,1.055569
2012-04-27,1.175,1.175,1.175,1.175,0,1.055569
2012-04-30,1.1,1.1,1.1,1.175,350000,1.055569
2012-05-01,1.1,1.1,1.1,1.175,950000,1.055569
2012-05-02,1.175,1.175,1.175,1.175,0,1.055569
2012-05-03,1.175,1.175,1.175,1.175,0,1.055569
2012-05-04,1.175,1.175,1.175,1.175,0,1.055569
2012-05-07,1.175,1.175,1.175,1.175,0,1.055569
2012-05-08,1.1,1.1,1.1,1.175,97724,1.055569
2012-05-09,1.1,1.1,1.1,1.175,15550,1.055569
2012-05-10,1.175,1.175,1.175,1.175,0,1.055569
2012-05-11,1.175,1.175,1.175,1.175,0,1.055569
2012-05-14,1.175,1.175,1.175,1.175,0,1.055569
2012-05-15,1.175,1.175,1.175,1.175,0,1.055569
2012-05-16,1.15,1.15,1.15,1.175,4800000,1.055569
2012-05-17,1.175,1.175,1.175,1.175,0,1.055569
2012-05-18,1.175,1.175,1.175,1.175,0,1.055569
2012-05-21,1.175,1.175,1.175,1.175,0,1.055569
2012-05-22,1.175,1.175,1.175,1.175,0,1.055569
2012-05-23,1.175,1.175,1.175,1.175,0,1.055569
