date,open,high,low,close,volume,adjusted
2013-05-14,25.049999,25.299999,25.049999,25.24,55100,20.978872
2013-05-15,25.52,25.6,25.34,25.57,22000,21.253159
2013-05-16,26.6,26.6,25.313999,25.313999,50400,21.04038
2013-05-17,25.75,25.75,25.360001,25.58,18400,21.26148
2013-05-20,25.959999,25.959999,25.599001,25.671,1706100,21.337111
2013-05-21,25.85,25.85,25.499001,25.629,446100,21.302202
2013-05-22,25.870001,25.870001,25.18,25.290001,370700,21.02043
2013-05-23,25.049999,25.34,25,25.32,165000,21.045368
2013-05-24,25.190001,25.24,25.01,25.23,74900,20.970562
2013-05-28,25.459999,25.67,25.35,25.450001,133900,21.153423
2013-05-29,25.33,25.379999,25.15,25.299999,126400,21.028746
2013-05-30,25.299999,25.52,25.299999,25.469999,755600,21.170046
2013-05-31,25.4,25.530001,25.15,25.15,211200,20.904068
2013-06-03,25.18,25.200001,24.860001,25.139999,214700,20.895748
2013-06-04,25.200001,25.290001,24.93,25.129999,153400,20.887444
2013-06-05,25.110001,25.110001,24.690001,24.709999,140400,20.538349
2013-06-06,24.719999,25.120001,24.67,25.120001,310700,20.879135
2013-06-07,25.34,25.42,25.120001,25.4,137700,21.111858
2013-06-10,25.459999,25.5,25.299999,25.402,177200,21.113525
2013-06-11,25.299999,25.360001,25.08,25.18,77300,20.929005
2013-06-12,25.33,25.450001,24.938,24.969999,71300,20.754452
2013-06-13,25.09,25.450001,25,25.440001,104000,21.145111
2013-06-14,25.42,25.5,25.24,25.33,70700,21.053682
2013-06-17,25.459999,25.58,25.280001,25.440001,112400,21.145111
2013-06-18,25.459999,25.629999,25.433001,25.608999,283600,21.285576
2013-06-19,25.719999,25.719999,25.25,25.290001,177400,21.02043
2013-06-20,25.110001,25.110001,24.587999,24.690001,218700,20.521721
2013-06-21,24.68,24.799999,24.4,24.6,87400,20.446924
2013-06-24,24.5,24.5,24.049999,24.299999,79200,20.197571
2013-06-25,24.4,24.618,24.290001,24.57,48400,20.421984
2013-06-26,25,25,24.636999,24.790001,50500,20.604851
2013-06-27,25.049999,25.120001,24.790001,25.110001,76000,20.870821
2013-06-28,25.08,25.179001,24.92,25.07,22400,20.837574
2013-07-01,25.040001,25.35,25.040001,25.290001,72200,21.02043
2013-07-02,25.27,25.379999,25.101999,25.190001,97700,20.937317
2013-07-03,25.1,25.243999,25.040001,25.200001,28900,20.945627000000002
2013-07-05,25.379999,25.51,25.25,25.51,55400,21.203293
2013-07-08,25.610001,25.690001,25.57,25.690001,59300,21.352903
2013-07-09,25.719999,25.93,25.690001,25.93,70800,21.55238
2013-07-10,25.959999,25.99,25.83,25.99,35500,21.602257
2013-07-11,26.4,26.4,26.16,26.290001,158800,21.85161
2013-07-12,26.290001,26.450001,26.27,26.450001,67700,21.984598
2013-07-15,26.459999,26.52,26.393999,26.51,156800,22.034473
2013-07-16,26.549999,26.549999,26.268999,26.360001,96500,21.909788
2013-07-17,26.450001,26.49,26.379999,26.469999,262500,22.001221
2013-07-18,26.530001,26.690001,26.530001,26.6,346700,22.10927
2013-07-19,26.610001,26.68,26.530001,26.645,30600,22.146677
2013-07-22,26.700001,26.799999,26.610001,26.77,135900,22.250572
2013-07-23,26.92,26.93,26.74,26.77,85900,22.250572
2013-07-24,26.889999,26.889999,26.610001,26.690001,63200,22.18408
2013-07-25,26.700001,26.860001,26.629999,26.85,60000,22.317066
2013-07-26,26.780001,26.870001,26.629999,26.870001,23500,22.333693
2013-07-29,27.02,27.02,26.708,26.780001,43600,22.258886
2013-07-30,27.02,27.02,26.705,26.82,30700,22.292131
