date,open,high,low,close,volume,adjusted
2017-10-27,49.93,50.290001,49.93,50.279999,12800,48.727364
2017-10-30,50.209999,50.279999,50.066002,50.16,63500,48.611065
2017-10-31,50.169998,50.240002,50.16,50.189999,433500,48.640133
2017-11-01,50.48,50.48,50.18,50.18,100400,48.630447
2017-11-02,50.330002,50.349998,50.108002,50.240002,55600,48.688591
2017-11-03,50.34,50.34,50.145,50.27,37700,48.71767
2017-11-06,50.740002,50.740002,50.400002,50.549999,52700,48.989021
2017-11-07,50.689999,50.689999,50.400002,50.459999,103400,48.901806
2017-11-08,50.540001,50.599998,50.390999,50.560001,6400,48.998711
2017-11-09,50.299999,50.395,50.199001,50.369999,3100,48.814579
2017-11-10,50.34,50.369999,50.32,50.369999,401600,48.814579
2017-11-13,50.290001,50.560001,50.290001,50.529999,2700,48.969635
2017-11-14,50.389999,50.509998,50.389999,50.509998,5600,48.950256
2017-11-15,50.34,50.41,50.060001,50.310001,7400,48.756432
2017-11-16,50.459999,50.779999,50.459999,50.619999,8700,49.056858
2017-11-17,50.650002,50.75,50.650002,50.709999,53000,49.144085
2017-11-20,50.779999,50.889999,50.73,50.869999,3900,49.299137
2017-11-21,51.080002,51.18,51.080002,51.130001,3700,49.551113
2017-11-22,51.200001,51.200001,50.959999,50.959999,8700,49.38636
2017-11-24,51.16,51.16,51.080002,51.080002,5400,49.502659
2017-11-27,51.150002,51.150002,51.07,51.07,57000,49.492966
2017-11-28,51.16,51.619999,51.130001,51.599998,3000,50.006607
2017-11-29,51.830002,51.830002,51.59,51.619999,5900,50.025978
2017-11-30,51.860001,52.080002,51.860001,51.869999,333300,50.268261
2017-12-01,52.099998,52.099998,51.130001,51.759998,5000,50.243988
2017-12-04,52.09,52.09,51.564999,51.57,97600,50.059559
2017-12-05,51.57,51.57,51.27,51.290001,4300,49.787754
2017-12-06,51.209999,51.27,51.200001,51.209999,13900,49.710098
2017-12-07,51.200001,51.630001,51.200001,51.48,57300,49.972195
2017-12-08,51.720001,51.813,51.619999,51.790001,3300,50.273113
2017-12-11,51.93,51.950001,51.830002,51.950001,7400,50.428425
2017-12-12,52.029999,52.029999,51.84,51.84,6300,50.321648
2017-12-13,51.93,51.970001,51.73,51.73,2800,50.214867
2017-12-14,51.84,51.84,51.43,51.450001,6000,49.943081
2017-12-15,51.580002,51.959999,51.580002,51.830002,5000,50.311939
2017-12-18,52.07,52.18,52.07,52.16,10100,50.709564
2017-12-19,52.299999,52.299999,51.959999,51.959999,12700,50.515129
2017-12-20,52.220001,52.220001,52.009998,52.009998,9700,50.56374
