date,open,high,low,close,volume,adjusted
2010-01-04,57.360001,57.360001,57.360001,57.360001,0,42.998249
2010-01-05,57.790001,57.84,57.790001,57.84,900,43.358047
2010-01-06,57.389999,57.389999,57.389999,57.389999,600,43.020702
2010-01-07,57.25,57.25,57.25,57.25,400,42.915771
2010-01-08,57.150002,57.150002,57.150002,57.150002,200,42.84082
2010-01-11,57.27,57.27,57.119999,57.139999,700,42.833305
2010-01-12,57.73,57.73,57.709999,57.709999,800,43.26059
2010-01-13,57.689999,57.689999,57.369999,57.369999,1500,43.00573
2010-01-14,57.560001,57.560001,57.560001,57.560001,200,43.148151
2010-01-15,58.389999,58.389999,58.290001,58.290001,2400,43.695385
2010-01-19,58.189999,58.240002,58.169998,58.169998,6000,43.605408
2010-01-20,58.41,58.540001,58.41,58.540001,2100,43.882793
2010-01-21,58.48,58.810001,58.48,58.790001,1100,44.070171
2010-01-22,58.759998,58.91,58.759998,58.84,3100,44.107662
2010-01-25,58.540001,58.669998,58.540001,58.57,1400,43.90527
2010-01-26,58.84,58.84,58.549999,58.57,4800,43.90527
2010-01-27,58.759998,58.759998,58.630001,58.630001,25200,43.950233
2010-01-28,58.209999,58.450001,58.209999,58.389999,3700,43.770321
2010-01-29,58.259998,58.709999,58.23,58.709999,9700,44.158436
2010-02-01,58.549999,58.549999,58.419998,58.419998,1600,43.940319
2010-02-02,58.290001,58.400002,58.290001,58.400002,1600,43.925274
2010-02-03,58.18,58.18,57.900002,57.93,5700,43.57177
2010-02-04,57.93,58.540001,57.93,58.529999,106000,44.02306
2010-02-05,58.529999,58.889999,58.529999,58.77,3100,44.203575
2010-02-08,58.740002,58.860001,58.709999,58.860001,4100,44.271259
2010-02-09,58.639999,58.720001,58.349998,58.349998,900,43.887684
2010-02-10,58.349998,58.549999,57.799999,57.900002,15100,43.549191
2010-02-11,57.779999,57.84,57.599998,57.650002,3000,43.361191
2010-02-12,57.919998,57.919998,57.84,57.84,5700,43.504082
2010-02-16,57.66,58.029999,57.66,58.029999,2900,43.646976
2010-02-17,57.799999,57.799999,57.41,57.41,2000,43.180656
2010-02-18,57.599998,57.599998,57.080002,57.259998,13600,43.067833
2010-02-19,57.349998,57.439999,57.200001,57.439999,15200,43.203209
2010-02-22,57.369999,57.369999,57.32,57.32,1200,43.112942
2010-02-23,57.450001,58.049999,57.450001,58.049999,4900,43.662033
2010-02-24,57.939999,58.16,57.939999,58.099998,6100,43.699635
2010-02-25,58.41,58.41,58.240002,58.32,5100,43.865124
2010-02-26,58.330002,58.560001,58.290001,58.419998,7600,44.061962
2010-03-01,58.470001,58.470001,58.470001,58.470001,700,44.099674
2010-03-02,58.150002,58.360001,58.07,58.299999,4500,43.971455
2010-03-03,58.25,58.41,58.189999,58.41,2700,44.054413
2010-03-04,58.490002,58.490002,58.400002,58.400002,2200,44.04686
2010-03-05,57.950001,57.950001,57.689999,57.849998,16200,43.632057
2010-03-08,57.59,57.73,57.59,57.650002,4500,43.481209
2010-03-09,57.650002,57.650002,57.650002,57.650002,0,43.481209
2010-03-10,57.41,57.630001,57.330002,57.619999,4500,43.458588
2010-03-11,57.549999,57.860001,57.459999,57.860001,17000,43.639595
2010-03-12,57.470001,57.98,57.470001,57.919998,6300,43.684853
2010-03-15,57.75,57.75,57.75,57.75,100,43.556625
2010-03-16,58.119999,58.240002,58.07,58.220001,2200,43.911121
2010-03-17,58.540001,58.619999,58.380001,58.619999,1700,44.212814
2010-03-18,58.619999,58.619999,58.619999,58.619999,0,44.212814
2010-03-19,58.599998,58.599998,58.599998,58.599998,400,44.197716
2010-03-22,58.580002,58.599998,58.400002,58.41,10700,44.054413
2010-03-23,58.400002,58.439999,58.25,58.369999,4800,44.02425
2010-03-24,57.779999,57.970001,57.52,57.57,7300,43.420879
2010-03-25,57.169998,57.439999,57,57.07,14400,43.043766
2010-03-26,57.029999,57.25,57.029999,57.240002,3000,43.17197
2010-03-29,57.139999,57.139999,57.009998,57.09,5600,43.058861
2010-03-30,57.18,57.18,57.18,57.18,200,43.126728
2010-03-31,57.290001,57.290001,57.189999,57.23,4100,43.318989
2010-04-01,57.23,57.310001,57.040001,57.279999,7600,43.356815
2010-04-05,56.759998,56.759998,56.419998,56.509998,11900,42.773983
2010-04-06,56.700001,56.700001,56.389999,56.610001,4500,42.849689
2010-04-07,56.369999,57.209999,56.369999,57.209999,4700,43.303825
2010-04-08,57.18,57.220001,57.009998,57.009998,4300,43.152466
2010-04-09,56.860001,57.16,56.860001,57.130001,4700,43.243301
2010-04-12,57.240002,57.459999,57.200001,57.41,11000,43.455223
2010-04-13,57.610001,57.619999,57.5,57.5,2400,43.523365
2010-04-14,57.450001,57.450001,57.450001,57.450001,200,43.485489
2010-04-15,57.200001,57.330002,57.200001,57.330002,300,43.394661
2010-04-16,57.630001,57.77,57.59,57.77,1700,43.727715
2010-04-19,57.639999,57.639999,57.630001,57.630001,600,43.621754
2010-04-20,57.68,57.68,57.68,57.68,200,43.659607
2010-04-21,57.84,58.080002,57.84,58.080002,4100,43.962379
2010-04-22,58.139999,58.360001,58.029999,58.029999,7800,43.924519
2010-04-23,58.029999,58.029999,58.029999,58.029999,0,43.924519
2010-04-26,58.110001,58.110001,57.830002,57.830002,5200,43.773151
2010-04-27,58.740002,58.75,58.52,58.52,3500,44.295418
2010-04-28,58.009998,58.009998,58.009998,58.009998,100,43.909382
2010-04-29,58.009998,58.009998,58.009998,58.009998,0,43.909382
2010-04-30,58.540001,58.639999,58.400002,58.639999,1700,44.539024
2010-05-03,58.639999,58.639999,58.639999,58.639999,0,44.539024
2010-05-04,59.119999,59.419998,59.009998,59.419998,1500,45.131466
2010-05-05,60.119999,60.119999,59.599998,59.599998,900,45.268192
2010-05-06,59.759998,60.349998,59.759998,60.349998,1800,45.83783
2010-05-07,61.57,61.650002,60.639999,60.740002,7000,46.134075
2010-05-10,59.209999,59.619999,59.200001,59.619999,9600,45.283382
2010-05-11,59.84,59.84,59.580002,59.580002,2000,45.252998
2010-05-12,59.470001,59.470001,59.25,59.25,1400,45.002342
2010-05-13,59.509998,59.509998,59.23,59.23,900,44.987164
2010-05-14,59.830002,60.450001,59.830002,60.450001,1800,45.913792
2010-05-17,60.279999,60.630001,60.09,60.110001,4900,45.655552
2010-05-18,60.32,60.900002,60.310001,60.900002,1900,46.255581
2010-05-19,60.889999,61.130001,60.889999,61.080002,3900,46.392296
2010-05-20,61.619999,62.080002,61.619999,62.060001,24000,47.136654
2010-05-21,62.740002,62.740002,61.810001,62.110001,58500,47.174622
2010-05-24,62.049999,62.119999,61.619999,61.619999,11700,46.802452
2010-05-25,62.77,62.860001,62.189999,62.32,26800,47.334126
2010-05-26,61.959999,62.119999,61.650002,61.810001,13500,46.946747
2010-05-27,61.080002,61.290001,60.790001,60.900002,11200,46.255581
2010-05-28,60.900002,60.900002,60.900002,60.900002,0,46.410282
2010-06-01,61.459999,61.459999,60.860001,61.200001,4200,46.638897
2010-06-02,61.34,61.34,60.849998,60.849998,4700,46.372196
2010-06-03,60.470001,60.720001,60.349998,60.720001,6300,46.273098
2010-06-04,61.5,61.77,61.5,61.689999,1800,47.012314
2010-06-07,61.700001,61.849998,61.5,61.849998,2000,47.134243
2010-06-08,61.900002,62.02,61.459999,61.950001,23100,47.210457
2010-06-09,61.720001,61.91,61.5,61.91,1600,47.179962
2010-06-10,61.5,61.509998,61.200001,61.200001,2300,46.638897
2010-06-11,61.220001,61.619999,61.220001,61.619999,2100,46.958988
2010-06-14,61.07,61.34,61.02,61.299999,3000,46.715099
2010-06-15,61.490002,61.5,60.700001,60.880001,5500,46.395031
2010-06-16,61.43,61.43,61.23,61.23,1500,46.661762
2010-06-17,61.5,61.990002,61.5,61.889999,11100,47.164745
2010-06-18,61.91,61.91,61.439999,61.509998,4700,46.875153
2010-06-21,61.16,61.68,61.009998,61.630001,7400,46.966595
2010-06-22,61.790001,62.16,61.790001,62.16,2100,47.370495
2010-06-23,62.299999,62.59,62.299999,62.59,2600,47.698193
2010-06-24,62.689999,62.689999,62.18,62.310001,2100,47.484791
2010-06-25,62.16,62.419998,62.150002,62.150002,5000,47.362873
2010-06-28,62.84,62.93,62.610001,62.93,3800,47.957302
