date,open,high,low,close,volume,adjusted
2011-01-04,7914,8135,7914,7923,1100,7923
2011-01-05,8005,8010,7718,7755,700,7755
2011-01-06,7744,7868,7687,7788,800,7788
2011-01-07,7724,8001,7618,7804,400,7804
2011-01-10,7964,8087,7776,7788,700,7788
2011-01-11,7672,7726,7551,7573,600,7573
2011-01-12,7411,7427,7216,7235,400,7235
2011-01-13,7228,7304,7149,7150,100,7150
2011-01-14,7200,7200,6780,6855,400,6855
2011-01-18,6802,6838,6642,6646,200,6646
2011-01-19,6681,7125,6664,6992,500,6992
2011-01-20,7039,7204,6893,6931,900,6931
2011-01-21,6739,7062,6737,6997,300,6997
2011-01-24,7010,7045,6831,6846,300,6846
2011-01-25,6919,7017,6759,6759,200,6759
2011-01-26,6694,6737,6516,6548,300,6548
2011-01-27,6557,6585,6410,6425,100,6425
2011-01-28,6401,7061,6363,6963,600,6963
2011-01-31,6871,6981,6838,6935,200,6935
2011-02-01,6778,6778,6538,6605,300,6605
2011-02-02,6656,6670,6491,6578,100,6578
2011-02-03,6603,6768,6480,6500,100,6500
2011-02-04,6479,6495,6335,6347,300,6347
2011-02-07,6274,6274,6161,6230,200,6230
2011-02-08,6219,6300,6126,6145,200,6145
2011-02-09,6211,6300,6161,6175,500,6175
2011-02-10,6337,6337,6151,6170,300,6170
2011-02-11,6240,6240,6065,6070,400,6070
2011-02-14,6073,6102,6015,6016,300,6016
2011-02-15,6049,6103,6028,6097,300,6097
2011-02-16,6012,6169,5955,6169,400,6169
2011-02-17,6204,6275,6198,6229,400,6229
2011-02-18,6211,6350,6210,6294,300,6294
2011-02-22,6677,7115,6456,7080,1100,7080
2011-02-23,7087,7583,7011,7393,1100,7393
2011-02-24,7383,7530,7247,7295,200,7295
2011-02-25,7096,7096,6840,6849,400,6849
2011-02-28,6681,6681,6508,6554,600,6554
2011-03-01,6491,7046,6475,7033,900,7033
2011-03-02,7057,7127,6859,7060,700,7060
2011-03-03,6733,6793,6685,6695,200,6695
2011-03-04,6656,7012,6644,6886,400,6886
2011-03-07,7050,7251,6716,7061,400,7061
2011-03-08,7014,7202,6854,6907,100,6907
2011-03-09,6998,7190,6968,6999,200,6999
2011-03-10,7262,7406,7182,7354,300,7354
2011-03-11,7501,7501,7115,7152,300,7152
2011-03-14,7395,7448,7218,7246,200,7246
2011-03-15,8028,8043,7411,7538,1900,7538
2011-03-16,7602,8499,7558,8216,2600,8216
2011-03-17,7750,7965,7682,7909,1000,7909
2011-03-18,7548,7770,7548,7671,400,7671
2011-03-21,7332,7337,7069,7071,800,7071
