date,open,high,low,close,volume,adjusted
2009-11-23,50.110001,50.150002,50.099998,50.150002,2000,40.058304
2009-11-24,50.189999,50.23,50.18,50.220001,11400,40.114231
2009-11-25,50.25,50.25,50.220001,50.23,15600,40.122231
2009-11-27,50.290001,50.310001,50.290001,50.310001,600,40.186131
2009-11-30,50.32,50.389999,50.32,50.389999,2400,40.250031
2009-12-01,50.380001,50.380001,50.299999,50.299999,4400,40.178146
2009-12-02,50.27,50.299999,50.25,50.25,4900,40.138199
2009-12-03,50.200001,50.310001,50.189999,50.200001,57400,40.098228
2009-12-04,50.110001,50.150002,50.060001,50.150002,2500,40.058304
2009-12-07,50.189999,50.25,50.189999,50.25,3700,40.138199
2009-12-08,50.27,50.290001,50.259998,50.290001,24900,40.170155
2009-12-09,50.259998,50.299999,50.259998,50.259998,27200,40.146187
2009-12-10,50.200001,50.240002,50.200001,50.220001,2000,40.114231
2009-12-11,50.150002,50.189999,50.150002,50.189999,700,40.090275
2009-12-14,50.18,50.209999,50.169998,50.169998,2300,40.074291
2009-12-15,50.09,50.110001,50.009998,50.09,6100,40.010418
2009-12-16,50.130001,50.130001,50.060001,50.119999,5000,40.034367
2009-12-17,50.209999,50.279999,50.209999,50.279999,2900,40.162167
2009-12-18,50.139999,50.150002,50.139999,50.150002,16200,40.058304
2009-12-21,50.220001,50.220001,49.950001,49.950001,7900,39.898582
2009-12-22,49.869999,49.889999,49.810001,49.810001,5500,39.786739
2009-12-23,49.810001,49.880001,49.810001,49.880001,1400,39.842667
2009-12-24,49.709999,49.720001,49.650002,49.689999,3300,39.769012
2009-12-28,49.689999,49.689999,49.560001,49.57,400,39.673
2009-12-29,49.650002,49.66,49.650002,49.66,900,39.745029
2009-12-30,49.669998,49.68,49.669998,49.68,400,39.761036
2009-12-31,49.57,49.59,49.549999,49.549999,3000,39.65699
2010-01-04,49.689999,49.700001,49.689999,49.700001,800,39.777031
2010-01-05,49.790001,49.810001,49.77,49.810001,800,39.865074
2010-01-06,49.880001,49.880001,49.790001,49.810001,32500,39.865074
2010-01-07,49.849998,49.869999,49.82,49.830002,92400,39.881073
2010-01-08,49.830002,49.830002,49.830002,49.830002,0,39.881073
2010-01-11,49.830002,49.91,49.830002,49.869999,4400,39.913078
2010-01-12,49.98,50.029999,49.970001,50.02,54400,40.03315
2010-01-13,49.900002,49.990002,49.900002,49.970001,54400,39.993118
2010-01-14,49.93,49.959999,49.93,49.950001,1000,39.977119
2010-01-15,50.040001,50.16,50.040001,50.139999,4100,40.129177
2010-01-19,50.150002,50.150002,50.080002,50.130001,7700,40.121181
2010-01-20,50.16,50.189999,50.119999,50.169998,7300,40.153175
2010-01-21,50.169998,50.23,50.169998,50.220001,6300,40.193207
2010-01-22,50.200001,50.200001,50.16,50.169998,4900,40.153175
2010-01-25,50.16,50.169998,50.16,50.169998,1100,40.153175
2010-01-26,50.23,50.25,50.189999,50.189999,1000,40.169189
2010-01-27,50.23,50.23,50.23,50.23,300,40.201195
2010-01-28,50.16,50.240002,50.16,50.240002,4700,40.209217
2010-01-29,50.169998,50.169998,50.169998,50.169998,300,40.23888
2010-02-01,50.189999,50.189999,50.099998,50.169998,9200,40.23888
2010-02-02,50.16,50.18,50.130001,50.130001,2100,40.206818
2010-02-03,50.150002,50.150002,50.119999,50.139999,3000,40.214828
2010-02-04,50.130001,50.259998,50.130001,50.259998,400,40.31105
2010-02-05,50.299999,50.34,50.279999,50.32,2100,40.35918
2010-02-08,50.279999,50.279999,50.279999,50.279999,500,40.327118
2010-02-09,50.279999,50.279999,50.259998,50.259998,2200,40.31105
2010-02-10,50.240002,50.25,50.18,50.189999,1700,40.254936
2010-02-11,50.110001,50.119999,50.060001,50.080002,1200,40.166695
2010-02-12,50.130001,50.130001,50.119999,50.130001,1800,40.206818
2010-02-16,50.07,50.16,50.07,50.139999,6000,40.214828
2010-02-17,50.290001,50.290001,50.07,50.080002,1600,40.166695
2010-02-18,50.09,50.09,49.990002,50.009998,5000,40.110565
2010-02-19,49.959999,49.990002,49.950001,49.990002,5900,40.094532
2010-02-22,50,50.060001,50,50.060001,2800,40.150677
2010-02-23,50.130001,50.189999,50.130001,50.189999,5300,40.254936
2010-02-24,50.169998,50.169998,50.110001,50.130001,1300,40.206818
2010-02-25,50.119999,50.169998,50.119999,50.130001,5600,40.206818
2010-02-26,49.970001,50.040001,49.970001,50.02,4100,40.20842
2010-03-01,49.959999,50.060001,49.959999,50.029999,1900,40.216446
2010-03-02,50.02,50.029999,50.02,50.029999,600,40.216446
2010-03-03,50.169998,50.23,50.169998,50.23,2300,40.377216
2010-03-04,50.279999,50.279999,50.259998,50.279999,1100,40.417427000000004
2010-03-05,50.25,50.25,50.189999,50.240002,3900,40.385254
2010-03-08,50.220001,50.25,50.220001,50.240002,2900,40.385254
2010-03-09,50.290001,50.310001,50.27,50.290001,4400,40.425446
2010-03-10,50.189999,50.279999,50.18,50.27,5200,40.409386
2010-03-11,50.220001,50.25,50.189999,50.240002,30200,40.385254
2010-03-12,50.25,50.299999,50.240002,50.299999,9100,40.433517
2010-03-15,50.279999,50.299999,50.279999,50.299999,2400,40.433517
2010-03-16,50.290001,50.48,50.279999,50.48,23600,40.578171
2010-03-17,50.34,50.369999,50.299999,50.369999,6400,40.489765
2010-03-18,50.32,50.330002,50.32,50.330002,600,40.4576
2010-03-19,50.400002,50.400002,50.34,50.400002,2100,40.513882
2010-03-22,50.43,50.459999,50.419998,50.459999,21400,40.562099
2010-03-23,50.439999,50.560001,50.439999,50.560001,10300,40.642483
2010-03-24,50.5,50.5,50.290001,50.290001,3400,40.425446
2010-03-25,50.150002,50.23,50.150002,50.23,1500,40.377216
2010-03-26,50.27,50.32,50.110001,50.130001,33600,40.296848
2010-03-29,50.18,50.220001,50.130001,50.16,2500,40.320961
2010-03-30,50.18,50.200001,50.049999,50.18,3600,40.337032
2010-03-31,50,50.09,49.959999,50.060001,1700,40.300819
2010-04-01,50.040001,50.060001,49.970001,50.060001,1400,40.300819
2010-04-05,49.98,49.98,49.91,49.91,1700,40.180038
2010-04-06,49.869999,49.919998,49.82,49.91,1800,40.180038
2010-04-07,50.040001,50.150002,49.950001,50.049999,3100,40.292759
