date,open,high,low,close,volume,adjusted
2006-02-06,45.810001,45.810001,45.02,45.02,71000,39.115746
2006-02-07,44.470001,44.75,43.869999,43.869999,203500,38.116558
2006-02-08,43.799999,44.619999,43.450001,44.610001,553500,38.759514
2006-02-09,44.509998,44.880001,44.279999,44.279999,70700,38.472786
2006-02-10,43.950001,44.099998,43.439999,43.799999,264100,38.055752
2006-02-13,43.66,43.73,43.32,43.5,364700,37.79509
2006-02-14,43.299999,44.349998,42.889999,44.25,639200,38.446735
2006-02-15,44.5,45.02,44.169998,44.68,571100,38.820328
2006-02-16,45.110001,45.220001,44.599998,45.200001,253200,39.272148
2006-02-17,45.400002,45.400002,44.790001,44.810001,57000,38.933296
2006-02-21,45.130001,45.25,44.59,45.080002,243800,39.167873
2006-02-22,45.400002,46.080002,45.040001,45.91,333600,39.88903
2006-02-23,45.18,45.98,45.18,45.610001,307200,39.62838
2006-02-24,45.450001,45.450001,45.130001,45.349998,144500,39.402466
2006-02-27,45.23,45.599998,44.900002,45.279999,300400,39.341652
2006-02-28,45.209999,45.290001,44.66,44.700001,237200,38.837723
2006-03-01,44.52,44.799999,44.450001,44.799999,166400,38.924599
2006-03-02,44.540001,45.099998,44.509998,44.799999,339300,38.924599
2006-03-03,44.459999,44.459999,44.07,44.09,452400,38.30772
2006-03-06,43.950001,43.950001,43.529999,43.610001,391200,37.890659
2006-03-07,43.16,43.16,42.540001,42.82,468800,37.204273
2006-03-08,42.279999,42.790001,42.150002,42.75,463500,37.14344
2006-03-09,42.82,42.830002,41.889999,41.98,562000,36.474426
2006-03-10,42.040001,42.790001,42.040001,42.540001,509800,36.960979
2006-03-13,42.93,43.240002,42.73,42.830002,451800,37.212963
2006-03-14,42.950001,44.630001,42.919998,44.560001,261700,38.71608
2006-03-15,44.439999,44.709999,44.099998,44.259998,314700,38.455402
2006-03-16,44.650002,45.639999,44.650002,45.32,718000,39.376396
2006-03-17,45.560001,46.389999,45.560001,46.139999,437800,40.120728
2006-03-20,46.049999,46.09,45.299999,45.299999,592900,39.390324
2006-03-21,44.799999,45.18,44.369999,44.419998,111600,38.625107
2006-03-22,44.799999,44.82,44.5,44.580002,120100,38.764248
