date,open,high,low,close,volume,adjusted
2011-07-13,25,25,24.969999,24.969999,4400,16.352419
2011-07-14,24.969999,24.98,24.950001,24.950001,3800,16.339317
2011-07-15,24.950001,24.950001,24.83,24.83,300,16.260725
2011-07-18,25.389999,25.389999,24.67,24.67,2500,16.155937
2011-07-19,24.620001,24.690001,24.620001,24.68,1200,16.162493
2011-07-20,24.75,24.75,24.74,24.75,1400,16.208336
2011-07-21,24.870001,24.92,24.860001,24.889999,7200,16.300018
2011-07-22,24.860001,25.02,24.85,25.01,20900,16.378597
2011-07-25,25,25,24.870001,24.92,8600,16.31966
2011-07-26,24.84,24.84,24.700001,24.700001,2500,16.175587
2011-07-27,24.85,24.85,24.26,24.26,4200,15.887446
2011-07-28,24.120001,24.309999,24.120001,24.309999,6500,15.920187
2011-07-29,24.139999,24.15,24.08,24.110001,1100,15.789212
2011-08-01,24.5,24.58,24.5,24.58,9700,16.097002
2011-08-02,24.58,24.58,24.58,24.58,500,16.097002
2011-08-03,24.75,24.76,24.74,24.76,700,16.214891
2011-08-04,24.950001,24.950001,24.73,24.73,3900,16.19524
2011-08-05,24.620001,24.629999,24.200001,24.4,2800,15.979129
2011-08-08,23.6,23.809999,23.559999,23.559999,1000,15.429021
2011-08-09,23.5,23.93,23.5,23.889999,1900,15.645145
2011-08-10,24.139999,24.139999,24.139999,24.139999,100,15.808865
2011-08-11,24.5,24.5,24.33,24.4,2800,15.979129
2011-08-12,24.66,24.719999,24.66,24.719999,200,16.188692
2011-08-15,24.879999,24.93,24.879999,24.93,3400,16.32622
2011-08-16,25.030001,25.030001,24.93,24.969999,1900,16.352419
2011-08-17,25.1,25.1,25.1,25.1,1000,16.437544
2011-08-18,25.049999,25.049999,24.799999,24.879999,700,16.293467
2011-08-19,24.879999,24.879999,24.879999,24.879999,0,16.293467
2011-08-22,25,25,25,25,200,16.372065
2011-08-23,26.200001,26.200001,25.129999,25.129999,1000,16.457184
2011-08-24,25.139999,25.17,25.129999,25.17,2900,16.483389
2011-08-25,25.16,25.16,25.09,25.09,3500,16.430984
2011-08-26,25.09,25.09,25.09,25.09,0,16.430984
2011-08-29,25.219999,25.389999,25.219999,25.25,2100,16.535778
2011-08-30,25.34,25.34,25.34,25.34,1400,16.594711
2011-08-31,25.450001,25.610001,25.450001,25.48,5800,16.686396
2011-09-01,25.51,25.549999,25.35,25.35,800,16.719378
2011-09-02,25.299999,25.299999,25.26,25.26,2000,16.660019
2011-09-06,25.209999,25.24,25.200001,25.200001,1600,16.620449
