date,open,high,low,close,volume,adjusted
2010-08-25,15.15,15.31,14.91,14.98,928500,8.051301
2010-08-26,15.1,15.1,15,15.07,1264100,8.09967
2010-08-27,15.12,15.12,15,15.1,1363700,8.115795
2010-08-30,15.1,15.1,14.96,14.96,1022400,8.040548
2010-08-31,15,15.03,14.88,14.95,344700,8.035176
2010-09-01,15.09,15.1,15.01,15.07,496900,8.09967
2010-09-02,15.1,15.16,15.06,15.16,896300,8.148045
2010-09-03,15.22,15.22,15.16,15.19,416600,8.164168
2010-09-07,15.17,15.17,15.08,15.13,454800,8.131923
2010-09-08,15.2,15.2,15.12,15.12,412700,8.126543
2010-09-09,15.24,15.24,15.16,15.17,829500,8.153421
2010-09-10,15.25,15.26,15.16,15.18,512200,8.158792
2010-09-13,15.21,15.25,15.2,15.25,571700,8.196417
2010-09-14,15.28,15.29,15.2,15.23,493700,8.185666
2010-09-15,15.26,15.26,15.15,15.19,649500,8.164168
2010-09-16,15.23,15.23,15.15,15.19,670100,8.164168
2010-09-17,15.23,15.23,15.15,15.2,637000,8.169542
2010-09-20,15.26,15.29,15.2,15.26,486300,8.201791
2010-09-21,15.29,15.31,15.25,15.29,509400,8.217913
2010-09-22,15.29,15.35,15.28,15.33,537500,8.239412
2010-09-23,15.25,15.32,15.23,15.26,550000,8.201791
2010-09-24,15.39,15.4,15.28,15.28,977600,8.212542
2010-09-27,15.35,15.35,15.29,15.32,393300,8.234039
2010-09-28,15.34,15.38,15.27,15.35,423900,8.250165
2010-09-29,15.36,15.42,15.34,15.41,600000,8.282413
2010-09-30,15.48,15.48,15.38,15.45,1284000,8.303911
2010-10-01,15.51,15.54,15.45,15.53,563700,8.346906
2010-10-04,15.58,15.58,15.47,15.54,658100,8.352282
2010-10-05,15.63,15.63,15.55,15.58,747700,8.373781
2010-10-06,15.59,15.63,15.57,15.62,503500,8.39528
2010-10-07,15.67,15.74,15.58,15.71,791000,8.443655
2010-10-08,15.74,15.75,15.67,15.72,448000,8.449027
2010-10-11,15.78,15.8,15.72,15.78,413000,8.481275
2010-10-12,15.77,15.8,15.7,15.79,542600,8.48665
2010-10-13,15.91,15.91,15.82,15.85,806000,8.518898
2010-10-14,15.85,15.86,15.76,15.8,782600,8.492023
2010-10-15,15.85,15.85,15.73,15.79,394100,8.48665
2010-10-18,15.8,15.8,15.75,15.79,510400,8.48665
2010-10-19,15.7,15.78,15.69,15.72,368200,8.449027
2010-10-20,15.78,15.81,15.75,15.8,251400,8.492023
2010-10-21,15.82,15.88,15.75,15.79,379000,8.48665
2010-10-22,15.81,15.83,15.77,15.79,328800,8.48665
2010-10-25,15.85,15.89,15.78,15.8,292200,8.492023
2010-10-26,15.78,15.85,15.78,15.84,783600,8.513522
2010-10-27,15.84,15.89,15.78,15.85,503700,8.518898
2010-10-28,15.93,15.93,15.8,15.85,636400,8.518898
2010-10-29,15.85,15.94,15.85,15.94,306200,8.567268
2010-11-01,15.99,15.99,15.91,15.96,473500,8.578021
2010-11-02,16.07,16.07,15.96,16.040001,608300,8.62102
2010-11-03,16.09,16.110001,16,16.040001,347800,8.62102
2010-11-04,16.17,16.309999,16.09,16.110001,490800,8.658641
2010-11-05,16.01,16.07,15.86,16,757900,8.733969
2010-11-08,15.98,15.99,15.9,15.95,1351500,8.706676
2010-11-09,16.07,16.08,15.96,16.07,1164000,8.772183
2010-11-10,16.15,16.15,15.97,16.049999,453800,8.7612660000000009
2010-11-11,15.99,16.030001,15.98,16.02,273000,8.744886
2010-11-12,16.049999,16.049999,15.92,15.96,383000,8.712136
2010-11-15,16.120001,16.120001,15.98,16.02,505500,8.744886
2010-11-16,16.040001,16.040001,15.7,15.79,648600,8.619338
2010-11-17,15.78,15.84,15.75,15.8,374300,8.624795
2010-11-18,15.92,15.92,15.83,15.85,363400,8.652089
2010-11-19,15.88,15.9,15.8,15.89,531300,8.673925
2010-11-22,15.95,15.95,15.85,15.91,590600,8.684843
2010-11-23,15.91,15.91,15.8,15.9,621000,8.679383
2010-11-24,16.01,16.01,15.88,15.89,359500,8.673925
2010-11-26,15.85,15.9,15.85,15.85,140900,8.652089
2010-11-29,15.93,15.93,15.8,15.86,601200,8.657546
2010-11-30,15.8,15.87,15.79,15.86,914000,8.657546
2010-12-01,16.01,16.01,15.83,15.85,966900,8.652089
2010-12-02,15.89,15.9,15.8,15.86,1240900,8.657546
2010-12-03,15.87,15.87,15.84,15.86,488200,8.657546
