date,open,high,low,close,volume,adjusted
2012-04-11,25.15,25.15,25.129999,25.15,1100,16.162287
2012-04-12,25.15,25.299999,25.139999,25.299999,12500,16.258682
2012-04-13,25.25,25.33,25.25,25.32,5300,16.271526
2012-04-16,25.4,25.4,25.360001,25.379999,10600,16.310091
2012-04-17,25.5,25.549999,25.5,25.549999,1600,16.419342
2012-04-18,25.549999,28.290001,25.52,25.52,17300,16.400057
2012-04-19,25.700001,25.700001,25.5,25.6,4800,16.451468
2012-04-20,25.629999,25.65,25.530001,25.559999,2900,16.425766
2012-04-23,25.540001,25.549999,25.280001,25.48,2300,16.374357
2012-04-24,25.549999,25.549999,25.48,25.52,1600,16.400057
2012-04-25,25.129999,25.549999,25.129999,25.549999,500,16.419342
2012-04-26,25.549999,25.549999,25.440001,25.459999,7200,16.36149
2012-04-27,25.530001,25.549999,25.42,25.459999,65000,16.36149
2012-04-30,25.5,25.59,25.43,25.549999,25000,16.419342
2012-05-01,25.23,25.52,25.23,25.440001,121700,16.348648
2012-05-02,25.57,25.57,25.4,25.459999,98700,16.36149
2012-05-03,25.559999,25.559999,25.450001,25.469999,74000,16.367926
2012-05-04,25.51,25.51,25.43,25.450001,45500,16.355076
2012-05-07,25.43,25.450001,25.4,25.42,12000,16.335793
2012-05-08,25.5,25.540001,25.459999,25.51,15100,16.393629
2012-05-09,25.549999,25.549999,25.440001,25.440001,12200,16.348648
2012-05-10,26.120001,26.120001,25.389999,25.42,11600,16.335793
2012-05-11,25.42,25.450001,25.370001,25.4,35000,16.32295
2012-05-14,25.43,25.450001,25.280001,25.379999,58300,16.310091
2012-05-15,25.43,25.43,25.33,25.360001,58000,16.297247
2012-05-16,25.4,25.51,25.200001,25.209999,46600,16.200844
2012-05-17,25.02,25.299999,25.02,25.1,3800,16.130146
2012-05-18,25.09,25.120001,24.83,24.83,11000,15.956635
2012-05-21,24.889999,24.969999,24.889999,24.91,29300,16.008062
2012-05-22,24.91,24.98,24.91,24.950001,11500,16.033762
2012-05-23,25.059999,25.09,24.799999,24.83,17000,15.956635
2012-05-24,24.83,25.049999,24.83,25,50900,16.065893
2012-05-25,25,25.059999,25,25.02,2700,16.078739
2012-05-29,25.08,25.08,24.99,25.040001,19800,16.091591
2012-05-30,25.08,25.09,24.889999,24.889999,31000,15.995193
2012-05-31,25.030001,25.139999,25.030001,25.139999,800,16.155863
2012-06-01,25,25.15,24.940001,25.15,11800,16.267107
2012-06-04,24.92,24.92,24.92,24.92,500,16.118343
2012-06-05,24.809999,24.809999,24.809999,24.809999,300,16.047192
2012-06-06,24.719999,24.799999,24.719999,24.790001,3000,16.034258
2012-06-07,25.139999,25.139999,24.809999,24.809999,1400,16.047192
2012-06-08,25.459999,25.459999,24.93,24.93,1700,16.124807
2012-06-11,25.43,25.43,24.889999,24.889999,2200,16.098934
2012-06-12,25.049999,25.049999,25.02,25.049999,900,16.202423
2012-06-13,25.040001,25.15,24.91,25.15,7700,16.267107
2012-06-14,25.02,25.200001,25.02,25.15,1100,16.267107
2012-06-15,25.07,25.07,25.01,25.07,1200,16.215364
2012-06-18,25.190001,25.190001,25.17,25.17,800,16.280045
2012-06-19,25.200001,25.200001,25.200001,25.200001,700,16.299442
2012-06-20,25.35,25.35,25.33,25.33,4400,16.383535
2012-06-21,25.450001,25.450001,25.450001,25.450001,800,16.461145
2012-06-22,25.4,25.4,25.35,25.35,3800,16.396471
2012-06-25,25.450001,25.450001,25.41,25.41,1700,16.435276000000002
2012-06-26,25.379999,25.379999,25.299999,25.35,1500,16.396471
2012-06-27,25.35,25.370001,25.35,25.35,12800,16.396471
2012-06-28,25.299999,25.4,25.280001,25.4,10500,16.42881
2012-06-29,25.450001,25.450001,25.450001,25.450001,1000,16.461145
2012-07-02,25.450001,25.450001,25.450001,25.450001,400,16.545668
2012-07-03,25.450001,25.450001,25.450001,25.450001,0,16.545668
2012-07-05,25.5,25.5,25.5,25.5,400,16.578163
2012-07-06,25.5,25.5,25.5,25.5,1200,16.578163
2012-07-09,25.49,25.49,25.49,25.49,3000,16.571671
