date,open,high,low,close,volume,adjusted
2008-11-19,23.110001,23.110001,23.110001,23.110001,200,17.732819
2008-11-20,23.9,23.9,23,23,1900,17.648415
2008-11-21,22,22,22,22,100,16.881084
2008-11-24,22,22,22,22,0,16.881084
2008-11-25,23.629999,23.84,23.5,23.5,9600,18.032078
2008-11-26,23.389999,24.799999,23.389999,24.35,565400,18.684301
2008-11-28,26.200001,27.799999,26.200001,27.799999,400,21.331558
2008-12-01,26.99,26.99,23.190001,23.290001,20600,17.870945
2008-12-02,23.1,26.799999,23.049999,23.790001,43400,18.254599
2008-12-03,23.969999,24.85,23.26,23.780001,62200,18.246927
2008-12-04,23.99,25.5,23.26,23.299999,34800,17.878609
2008-12-05,23.139999,24.4,23,24.25,28700,18.607569
2008-12-08,24.49,28,24.1,24.5,250400,18.799397
2008-12-09,24.4,25.049999,24.25,24.610001,56500,18.883804
2008-12-10,24.469999,25.370001,24.309999,24.620001,6500,18.891483
2008-12-11,24.440001,24.48,24.07,24.120001,16100,18.507807
2008-12-12,23.799999,24,23.799999,24,600,18.41573
2008-12-15,24.040001,24.040001,24.040001,24.040001,100,18.446426
2008-12-16,24.110001,25.5,24.09,25.379999,13100,19.47464
2008-12-17,24.959999,25.23,24.959999,25.08,5600,19.244448
2008-12-18,25.9,26.1,24.59,25,20400,19.18306
2008-12-19,24.860001,24.860001,24.860001,24.860001,3300,19.075636
2008-12-22,26,26,24.049999,24.049999,3200,18.454102
2008-12-23,24.32,24.459999,24.32,24.43,600,18.74568
2008-12-24,25.889999,25.889999,24.41,24.52,11300,18.814737
2008-12-26,24.360001,25.299999,24.34,24.389999,14300,18.844877
2008-12-29,24.450001,25.049999,24.290001,24.959999,6400,19.28528
2008-12-30,25.139999,25.15,24.110001,24.59,3900,18.999409
2008-12-31,24.719999,24.969999,24.719999,24.870001,6500,19.21575
2009-01-02,24.950001,25.200001,24.950001,25.200001,1200,19.470722
2009-01-05,27.450001,27.450001,24.85,25.139999,453900,19.424364
2009-01-06,25.120001,25.17,24.110001,25.1,2400,19.393457
