date,open,high,low,close,volume,adjusted
2018-06-18,24.74,24.74,24.74,24.74,100,23.912882
2018-06-19,24.74,24.74,24.74,24.74,0,23.912882
2018-06-20,24.629999,24.659,24.629999,24.629999,500,23.806559
2018-06-21,24.42,24.42,24.42,24.42,395000,23.60358
2018-06-22,24.42,24.42,24.42,24.42,0,23.60358
2018-06-25,24.462999,24.462999,24.462999,24.462999,400,23.64514
2018-06-26,24.360001,24.360001,24.360001,24.360001,300,23.545586
2018-06-27,24.360001,24.360001,24.360001,24.360001,0,23.545586
2018-06-28,24.120001,24.120001,24.120001,24.120001,0,23.31361
2018-06-29,24.57,24.57,24.57,24.57,400,23.748564
2018-07-02,24.26,24.26,24.26,24.26,300,23.448931
2018-07-03,24.26,24.26,24.26,24.26,0,23.448931
2018-07-05,24.26,24.26,24.26,24.26,0,23.448931
2018-07-06,24.26,24.26,24.26,24.26,0,23.448931
2018-07-09,24.26,24.26,24.26,24.26,0,23.448931
2018-07-10,25.09,25.16,25.09,25.120001,2436600,24.280176
2018-07-11,24.709999,24.75,24.52,24.559999,2830100,23.738899
2018-07-12,24.719999,24.870001,24.719999,24.83,607200,23.999872
2018-07-13,24.74,24.940001,24.719999,24.860001,1405300,24.028872
2018-07-16,24.809999,24.889999,24.799999,24.855,1954300,24.024038
2018-07-17,24.73,24.889999,24.700001,24.700001,919300,23.874222
2018-07-18,24.83,24.9,24.790001,24.870001,2712800,24.038536
2018-07-19,24.67,24.82,24.639999,24.709999,1286800,23.883884
2018-07-20,24.799999,24.969999,24.799999,24.92,164400,24.086863
2018-07-23,24.85,24.93,24.85,24.9,59600,24.067532
2018-07-24,24.99,25.15,24.959999,25.040001,132800,24.20285
2018-07-25,24.973,25.24,24.879999,25.200001,134700,24.357504
2018-07-26,25.07,25.149,25.030001,25.049999,82600,24.212517
2018-07-27,25.15,25.204,25.049999,25.09,74000,24.251181
2018-07-30,25.219999,25.25,25.129999,25.18,62000,24.338171
2018-07-31,25.35,25.35,25.18,25.24,54200,24.396166
2018-08-01,25.129999,25.129999,24.98,25.049999,58700,24.212517
2018-08-02,24.74,24.85,24.709999,24.85,110300,24.019203
