date,open,high,low,close,volume,adjusted
2018-06-18,24.700001,24.700001,24.700001,24.700001,100,24.536205
2018-06-19,24.700001,24.700001,24.700001,24.700001,0,24.536205
2018-06-20,24.52,24.52,24.52,24.52,100,24.357397
2018-06-21,24.309999,24.309999,24.309999,24.309999,395000,24.148788
2018-06-22,24.309999,24.309999,24.309999,24.309999,0,24.148788
2018-06-25,24.25,24.25,24.25,24.25,200,24.089188
2018-06-26,24.25,24.25,24.25,24.25,0,24.089188
2018-06-27,24.25,24.25,24.25,24.25,0,24.089188
2018-06-28,24.25,24.25,24.25,24.25,0,24.089188
2018-06-29,24.25,24.25,24.25,24.25,0,24.089188
2018-07-02,24.25,24.25,24.25,24.25,100,24.089188
2018-07-03,24.25,24.25,24.25,24.25,0,24.089188
2018-07-05,24.25,24.25,24.25,24.25,0,24.089188
2018-07-06,24.25,24.25,24.25,24.25,0,24.089188
2018-07-09,24.25,24.25,24.25,24.25,100,24.089188
2018-07-10,23.99,24,23.969999,23.969999,560700,23.811045
2018-07-11,23.73,23.83,23.57,23.58,8945700,23.42363
2018-07-12,23.58,23.690001,23.549999,23.68,23138400,23.522968
2018-07-13,23.83,23.93,23.785,23.91,1806500,23.751442
2018-07-16,23.940001,23.985001,23.790001,23.860001,5550600,23.701775
2018-07-17,24.02,24.093,23.940001,24.02,1944200,23.860714
2018-07-18,24.030001,24.139999,24.030001,24.049999,5781400,23.890512
2018-07-19,23.934999,24.07,23.92,23.99,14907600,23.830912
2018-07-20,23.92,24.129999,23.92,24.059999,946900,23.900448
2018-07-23,24.26,24.26,24.190001,24.26,227100,24.099121
2018-07-24,24.42,24.469999,24.309999,24.379999,161900,24.218325
2018-07-25,24.379999,24.625,24.360001,24.559999,1440100,24.397131
2018-07-26,24.639999,24.65,24.530001,24.530001,5098200,24.367332
2018-07-27,24.75,24.76,24.59,24.629999,353800,24.466667
2018-07-30,24.629999,24.629999,24.41,24.450001,284300,24.287863
2018-07-31,24.360001,24.370001,24.200001,24.280001,267800,24.11899
2018-08-01,24.440001,24.459999,24.360001,24.389999,1162200,24.228258
2018-08-02,24.18,24.26,24.17,24.26,352200,24.099121
2018-08-03,24.08,24.26,24.08,24.26,318500,24.099121
2018-08-06,24.02,24.08,23.99,24.059999,132800,23.900448
