date,open,high,low,close,volume,adjusted
2007-04-10,74.82,74.949997,74.82,74.949997,7800,41.921021
2007-04-11,74.849998,74.940002,74.809998,74.839996,25900,41.859493
2007-04-12,74.919998,74.93,74.839996,74.93,1900,41.909821
2007-04-13,74.900002,74.900002,74.730003,74.779999,16400,41.825939
2007-04-16,75.029999,75.029999,75.029999,75.029999,300,41.965736
2007-04-17,75.360001,75.43,75.309998,75.410004,17900,42.17831
2007-04-18,75.599998,75.760002,75.599998,75.650002,12000,42.312538
2007-04-19,75.760002,75.760002,75.550003,75.610001,11800,42.290192
2007-04-20,75.699997,75.699997,75.480003,75.559998,6800,42.262188
2007-04-23,75.510002,75.75,75.510002,75.720001,3800,42.351707
2007-04-24,75.809998,75.989998,75.809998,75.970001,25300,42.491516
2007-04-25,75.849998,75.919998,75.730003,75.82,34300,42.4076
2007-04-26,75.669998,75.669998,75.400002,75.440002,37100,42.195087
2007-04-27,75.470001,75.489998,75.300003,75.330002,8000,42.133553
2007-04-30,75.559998,75.919998,75.559998,75.919998,13000,42.463547
2007-05-01,75.739998,75.870003,75.220001,75.599998,28700,42.452309
2007-05-02,75.57,75.68,75.57,75.669998,7800,42.491615
2007-05-03,75.580002,75.580002,75.32,75.389999,10800,42.334389
2007-05-04,75.529999,75.75,75.529999,75.720001,11200,42.519711
2007-05-07,75.800003,75.870003,75.769997,75.830002,15400,42.581497
2007-05-08,75.830002,75.919998,75.800003,75.809998,4600,42.570255
2007-05-09,75.699997,75.739998,75.5,75.540001,5900,42.418617
2007-05-10,75.580002,75.660004,75.519997,75.580002,39800,42.441105
2007-05-11,75.75,75.75,75.419998,75.419998,5700,42.351246
2007-05-14,75.5,75.5,75.32,75.32,7600,42.295101
2007-05-15,75.43,75.43,75.099998,75.239998,5500,42.250164
2007-05-16,75.230003,75.279999,75.230003,75.230003,2200,42.24456
2007-05-17,75.040001,75.080002,74.93,74.940002,3900,42.081734
2007-05-18,74.839996,74.949997,74.550003,74.610001,19800,41.896397
2007-05-21,74.57,74.699997,74.529999,74.699997,6200,41.946964
2007-05-22,74.730003,74.779999,74.449997,74.480003,35200,41.823402
2007-05-23,74.459999,74.480003,74.129997,74.199997,26800,41.666153
2007-05-24,74.199997,74.309998,73.93,74.309998,6700,41.727955
2007-05-25,74.199997,74.260002,74.139999,74.190002,80500,41.660553
2007-05-29,74.32,74.32,74.190002,74.190002,42500,41.660553
2007-05-30,74.480003,74.480003,74.279999,74.279999,21600,41.711109
2007-05-31,74.290001,74.290001,74.029999,74.260002,24000,41.699863
2007-06-01,73.849998,73.849998,73.559998,73.580002,21500,41.460369
2007-06-04,73.769997,73.879997,73.709999,73.879997,11400,41.629417
2007-06-05,73.760002,73.82,73.529999,73.559998,11100,41.44912
2007-06-06,73.459999,73.57,73.459999,73.529999,10400,41.43222
2007-06-07,73.080002,73.089996,72.339996,72.489998,58500,40.846195
2007-06-08,72.290001,72.470001,72.029999,72.410004,43200,40.801147
2007-06-11,72.120003,72.300003,72.099998,72.139999,17100,40.648994
2007-06-12,71.699997,71.709999,71.269997,71.330002,24500,40.19257
2007-06-13,71.489998,71.830002,71.480003,71.730003,26700,40.41798
2007-06-14,72.029999,72.029999,71.709999,71.709999,13000,40.406685
2007-06-15,72.150002,72.279999,72.110001,72.279999,1000,40.727898
2007-06-18,72.110001,72.269997,71.980003,72.269997,9100,40.722218
2007-06-19,72.32,72.699997,72.32,72.699997,10600,40.964535
2007-06-20,72.480003,72.5,72.32,72.339996,28100,40.761673
2007-06-21,72.290001,72.290001,71.980003,71.980003,18800,40.558842
2007-06-22,71.970001,72.220001,71.690002,72.220001,12200,40.694065
2007-06-25,72.550003,72.620003,72.440002,72.580002,6900,40.896912
2007-06-26,72.699997,72.699997,72.449997,72.559998,6800,40.885654
2007-06-27,72.849998,72.919998,72.629997,72.629997,11100,40.925087
2007-06-28,72.739998,72.739998,72.629997,72.629997,5500,40.925087
2007-06-29,72.889999,73.18,72.849998,73.150002,99100,41.218098
2007-07-02,72.860001,73.220001,72.849998,73.190002,11300,41.373558
2007-07-03,72.959999,72.959999,72.839996,72.839996,3300,41.175701
2007-07-05,72.510002,72.510002,72.129997,72.220001,9000,40.825211
2007-07-06,72,72.019997,71.839996,71.940002,14200,40.66695
2007-07-09,72.269997,72.269997,72.139999,72.150002,2500,40.785637
2007-07-10,72.709999,72.779999,72.580002,72.769997,11300,41.136116
2007-07-11,72.870003,72.93,72.550003,72.550003,3200,41.011765
2007-07-12,72.599998,72.599998,72.129997,72.269997,10000,40.853458
2007-07-13,72.550003,72.589996,72.099998,72.489998,13100,40.977825
2007-07-16,72.519997,72.970001,72.480003,72.970001,12800,41.24918
2007-07-17,72.690002,72.849998,72.57,72.809998,8600,41.158745
2007-07-18,72.900002,73.18,72.900002,72.989998,7000,41.260494
2007-07-19,72.699997,72.970001,72.699997,72.959999,313900,41.243542
2007-07-20,73.169998,73.57,73.160004,73.440002,42400,41.514893
2007-07-23,73.239998,73.449997,73.209999,73.379997,8600,41.480942
2007-07-24,73.550003,73.550003,73.169998,73.480003,16600,41.537479
2007-07-25,73.529999,73.699997,73.519997,73.629997,21800,41.622272
