date,open,high,low,close,volume,adjusted
2018-09-06,75.089996,75.150002,75.089996,75.129997,33100,72.838181
2018-09-07,75.050003,75.050003,74.940002,74.959999,60400,72.673386
2018-09-10,75,75.040001,74.949997,75,57200,72.712166
2018-09-11,74.989998,74.989998,74.879997,74.93,99700,72.644295
2018-09-12,74.970001,75,74.970001,74.980003,33600,72.692772
2018-09-13,75.07,75.07,74.970001,74.970001,24300,72.683075
2018-09-14,74.93,74.93,74.870003,74.879997,33000,72.595818
2018-09-17,74.889999,74.93,74.849998,74.900002,26900,72.615211
2018-09-18,74.910004,74.910004,74.790001,74.800003,17400,72.518272
2018-09-19,74.779999,74.779999,74.669998,74.699997,24600,72.42131
2018-09-20,74.699997,74.769997,74.669998,74.739998,18800,72.460075
2018-09-21,74.809998,74.809998,74.75,74.769997,23100,72.489166
2018-09-24,74.720001,74.720001,74.650002,74.650002,28100,72.372841
2018-09-25,74.639999,74.639999,74.57,74.599998,19100,72.324364
2018-09-26,74.75,74.769997,74.669998,74.760002,10900,72.479477
2018-09-27,74.800003,74.809998,74.730003,74.809998,14500,72.527962
2018-09-28,74.860001,74.860001,74.779999,74.779999,12200,72.498878
2018-10-01,74.599998,74.599998,74.550003,74.550003,11700,72.390114
2018-10-02,74.57,74.650002,74.57,74.650002,8300,72.487221
2018-10-03,74.620003,74.620003,74.349998,74.379997,14500,72.225044
2018-10-04,74.32,74.32,74.199997,74.220001,14900,72.069679
2018-10-05,74.18,74.18,74.019997,74.050003,11500,71.904602
2018-10-08,74.18,74.18,74.050003,74.089996,6000,71.943436
2018-10-09,74.099998,74.139999,74.080002,74.139999,4600,71.991997
2018-10-10,74.080002,74.120003,74.029999,74.120003,13300,71.972572
2018-10-11,74.25,74.290001,74.18,74.269997,12700,72.118225
2018-10-12,74.290001,74.349998,74.220001,74.300003,7900,72.147362
2018-10-15,74.360001,74.360001,74.279999,74.290001,6000,72.13765
2018-10-16,74.349998,74.360001,74.300003,74.349998,7800,72.195915
2018-10-17,74.419998,74.419998,74.32,74.32,9700,72.166771
2018-10-18,74.309998,74.360001,74.190002,74.330002,5500,72.176483
2018-10-19,74.300003,74.300003,74.279999,74.290001,5200,72.13765
2018-10-22,74.290001,74.32,74.269997,74.290001,9700,72.13765
2018-10-23,74.349998,74.440002,74.349998,74.440002,6400,72.28331
2018-10-24,74.480003,74.510002,74.480003,74.510002,6500,72.35128
2018-10-25,74.449997,74.510002,74.440002,74.5,3300,72.34156
2018-10-26,74.660004,74.720001,74.629997,74.669998,19300,72.506638
2018-10-29,74.519997,74.639999,74.519997,74.639999,8300,72.477516
2018-10-30,74.580002,74.580002,74.459999,74.459999,2100,72.302719
2018-10-31,74.480003,74.480003,74.419998,74.43,17500,72.27359
2018-11-01,74.330002,74.330002,74.300003,74.309998,1200,72.279427
2018-11-02,74.290001,74.290001,74.18,74.18,5800,72.152992
2018-11-05,74.199997,74.260002,74.190002,74.220001,2100,72.191895
2018-11-06,74.279999,74.279999,74.209999,74.209999,6700,72.182167
2018-11-07,74.260002,74.260002,74.209999,74.220001,2100,72.191895
2018-11-08,74.269997,74.269997,74.169998,74.169998,2000,72.143265
2018-11-09,74.099998,74.300003,74.099998,74.279999,7700,72.250244
2018-11-12,74.440002,74.440002,74.349998,74.349998,4000,72.318336
2018-11-13,74.379997,74.379997,74.32,74.330002,8900,72.298889
2018-11-14,74.330002,74.349998,74.279999,74.349998,13400,72.318336
2018-11-15,74.389999,74.440002,74.379997,74.379997,3400,72.347519
2018-11-16,74.470001,74.489998,74.459999,74.470001,48200,72.435066
2018-11-19,74.5,74.5,74.459999,74.489998,96700,72.454514
2018-11-20,74.489998,74.5,74.459999,74.480003,24100,72.444786
2018-11-21,74.510002,74.529999,74.480003,74.529999,163400,72.493416
2018-11-23,74.529999,74.599998,74.529999,74.580002,4500,72.542046
2018-11-26,74.57,74.57,74.519997,74.540001,20100,72.503151
2018-11-27,74.599998,74.629997,74.559998,74.599998,11500,72.561508
2018-11-28,74.589996,74.660004,74.550003,74.599998,15200,72.561508
2018-11-29,74.720001,74.720001,74.620003,74.669998,14900,72.629578
2018-11-30,74.730003,74.730003,74.690002,74.699997,27400,72.658768
2018-12-03,74.610001,74.699997,74.610001,74.660004,28000,72.741585
2018-12-04,74.800003,74.919998,74.779999,74.860001,12500,72.936455
2018-12-06,75.050003,75.059998,74.940002,74.940002,15500,73.014397
2018-12-07,74.970001,75.07,74.919998,75.07,9800,73.141052
2018-12-10,75.099998,75.139999,74.989998,75.120003,20600,73.189774
2018-12-11,75.010002,75.18,75.010002,75.110001,11800,73.180031
2018-12-12,75.019997,75.080002,75.019997,75.040001,21500,73.111816
2018-12-13,75,75.110001,75,75.089996,7100,73.160553
2018-12-14,75.150002,75.209999,75.110001,75.169998,42700,73.23848
2018-12-17,75.089996,75.25,75.089996,75.25,23500,73.316414
2018-12-18,75.239998,75.389999,75.230003,75.379997,64400,73.443085
2018-12-19,75.370003,75.529999,75.370003,75.480003,30900,73.540512
2018-12-20,75.510002,75.559998,75.400002,75.470001,43800,73.530777
2018-12-21,75.459999,75.459999,75.330002,75.349998,45000,73.413864
2018-12-24,74.620003,74.620003,74.510002,74.540001,20700,73.478928
2018-12-26,74.629997,74.629997,74.449997,74.470001,10900,73.409912
2018-12-27,74.529999,74.75,74.529999,74.650002,17000,73.587357
2018-12-28,74.610001,74.690002,74.550003,74.610001,32300,73.547928
2018-12-31,74.650002,74.849998,74.629997,74.790001,33300,73.725372
2019-01-02,74.879997,74.959999,74.879997,74.959999,52600,73.892929
2019-01-03,74.949997,75.139999,74.900002,75.050003,10000,73.981667
2019-01-04,74.900002,74.970001,74.849998,74.910004,13800,73.843658
2019-01-07,74.949997,74.949997,74.730003,74.730003,11500,73.666222
2019-01-08,74.730003,74.75,74.620003,74.620003,15000,73.557785
2019-01-09,74.760002,74.830002,74.709999,74.830002,6900,73.764793
2019-01-10,74.82,74.830002,74.68,74.720001,8000,73.656372
2019-01-11,74.860001,74.910004,74.800003,74.830002,43100,73.764793
2019-01-14,74.800003,74.860001,74.779999,74.779999,10900,73.7155
2019-01-15,74.959999,74.959999,74.830002,74.889999,8800,73.823936
2019-01-16,74.849998,74.959999,74.839996,74.889999,15800,73.823936
2019-01-17,74.970001,74.970001,74.919998,74.93,7700,73.863365
2019-01-18,74.919998,74.919998,74.849998,74.889999,14600,73.823936
2019-01-22,74.910004,75.050003,74.910004,75.019997,24100,73.95208
2019-01-23,75.010002,75.120003,75.010002,75.07,16300,74.001373
2019-01-24,75.25,75.269997,75.230003,75.239998,2100,74.168938
2019-01-25,75.160004,75.239998,75.160004,75.239998,28500,74.168938
2019-01-28,75.199997,75.239998,75.139999,75.139999,26300,74.070389
2019-01-29,75.279999,75.330002,75.230003,75.300003,8900,74.228104
2019-01-30,75.300003,75.410004,75.260002,75.410004,8200,74.33654
2019-01-31,75.550003,75.620003,75.550003,75.589996,24500,74.513985
2019-02-01,75.43,75.43,75.32,75.370003,5900,74.421165
2019-02-04,75.339996,75.349998,75.230003,75.300003,37400,74.352043
2019-02-05,75.360001,75.470001,75.360001,75.419998,5600,74.470528
2019-02-06,75.470001,75.480003,75.400002,75.440002,8100,74.49028
2019-02-07,75.510002,75.519997,75.459999,75.510002,3500,74.559402
2019-02-08,75.57,75.629997,75.550003,75.610001,10600,74.658142
2019-02-11,75.540001,75.610001,75.540001,75.57,10000,74.618645
2019-02-12,75.559998,75.580002,75.510002,75.510002,17600,74.559402
2019-02-13,75.410004,75.5,75.410004,75.459999,6200,74.510033
2019-02-14,75.669998,75.669998,75.550003,75.550003,9500,74.598892
2019-02-15,75.489998,75.629997,75.489998,75.599998,17400,74.64827
2019-02-19,75.559998,75.68,75.559998,75.660004,7400,74.707504
2019-02-20,75.589996,75.699997,75.589996,75.650002,31800,74.697632
2019-02-21,75.599998,75.620003,75.580002,75.589996,7100,74.638397
2019-02-22,75.709999,75.75,75.669998,75.75,4800,74.796379
2019-02-25,75.699997,75.720001,75.650002,75.660004,21200,74.707504
2019-02-26,75.779999,75.779999,75.699997,75.720001,4100,74.766747
2019-02-27,75.699997,75.699997,75.550003,75.620003,17800,74.668007
2019-02-28,75.580002,75.580002,75.480003,75.519997,4900,74.569267
2019-03-01,75.339996,75.339996,75.279999,75.279999,7800,74.446648
2019-03-04,75.360001,75.400002,75.32,75.400002,12100,74.565315
2019-03-05,75.400002,75.480003,75.389999,75.480003,9300,74.644432
2019-03-06,75.540001,75.610001,75.540001,75.599998,10200,74.763107
2019-03-07,75.739998,75.849998,75.720001,75.830002,26500,74.990555
2019-03-08,75.839996,75.910004,75.82,75.879997,6900,75.040009
2019-03-11,75.900002,75.900002,75.860001,75.870003,14100,75.030121
2019-03-12,75.870003,75.970001,75.870003,75.970001,5900,75.129013
2019-03-13,75.949997,75.970001,75.940002,75.970001,8200,75.129013
2019-03-14,75.959999,75.970001,75.910004,75.93,11800,75.089455
2019-03-15,76.040001,76.050003,76,76.019997,10000,75.178444
2019-03-18,75.940002,76.019997,75.940002,75.989998,6300,75.148781
2019-03-19,75.980003,76.050003,75.959999,76.040001,18300,75.198227
2019-03-20,76.019997,76.220001,76.019997,76.220001,6600,75.376236
2019-03-21,76.370003,76.370003,76.290001,76.309998,9400,75.46524
2019-03-22,76.610001,76.639999,76.599998,76.599998,3600,75.752029
2019-03-25,76.660004,76.830002,76.620003,76.75,15800,75.900375
2019-03-26,76.660004,76.739998,76.660004,76.709999,7300,75.860809
2019-03-27,76.82,76.910004,76.82,76.889999,22400,76.038818
2019-03-28,76.870003,76.910004,76.839996,76.870003,11800,76.019035
2019-03-29,76.75,76.849998,76.720001,76.839996,20300,75.989372
2019-04-01,76.599998,76.599998,76.440002,76.440002,22100,75.717957
2019-04-02,76.440002,76.550003,76.440002,76.519997,10000,75.797195
2019-04-03,76.519997,76.519997,76.339996,76.349998,11300,75.628822
2019-04-04,76.400002,76.470001,76.370003,76.459999,2400,75.73777
2019-04-05,76.43,76.480003,76.410004,76.480003,9900,75.757591
2019-04-08,76.480003,76.480003,76.43,76.440002,20000,75.717957
2019-04-09,76.449997,76.559998,76.449997,76.529999,13800,75.807106
2019-04-10,76.510002,76.620003,76.510002,76.610001,10900,75.88636
2019-04-11,76.599998,76.599998,76.510002,76.510002,7700,75.7873
2019-04-12,76.379997,76.459999,76.379997,76.410004,3700,75.688248
2019-04-15,76.360001,76.400002,76.360001,76.379997,9200,75.658524
2019-04-16,76.370003,76.370003,76.279999,76.279999,19800,75.559471
2019-04-17,76.25,76.309998,76.25,76.269997,6500,75.549568
2019-04-18,76.349998,76.440002,76.349998,76.419998,7200,75.698143
2019-04-22,76.410004,76.410004,76.349998,76.360001,13100,75.638733
2019-04-23,76.449997,76.480003,76.419998,76.480003,24400,75.757591
2019-04-24,76.580002,76.650002,76.580002,76.639999,12800,75.916084
2019-04-25,76.639999,76.660004,76.480003,76.599998,22900,75.87645
2019-04-26,76.739998,76.760002,76.720001,76.739998,3900,76.015129
2019-04-29,76.660004,76.68,76.639999,76.639999,11600,75.916084
2019-04-30,76.529999,76.730003,76.529999,76.709999,12400,75.985413
2019-05-01,76.580002,76.709999,76.580002,76.589996,10400,75.992355
2019-05-02,76.610001,76.610001,76.489998,76.510002,18700,75.912979000000007
2019-05-03,76.620003,76.629997,76.57,76.580002,7400,75.982445
2019-05-06,76.650002,76.660004,76.550003,76.610001,24400,76.012199
2019-05-07,76.610001,76.769997,76.610001,76.699997,10400,76.101501
2019-05-08,76.699997,76.82,76.699997,76.709999,4800,76.111427
2019-05-09,76.769997,76.790001,76.699997,76.739998,19300,76.141182
2019-05-10,76.739998,76.800003,76.68,76.699997,13800,76.101501
2019-05-13,76.809998,76.870003,76.760002,76.849998,5200,76.250336
2019-05-14,76.849998,76.900002,76.82,76.870003,16900,76.270172
2019-05-15,77.019997,77.019997,76.940002,77,5400,76.399147
2019-05-16,76.919998,77.010002,76.910004,76.910004,10700,76.30986
2019-05-17,77.029999,77.029999,76.93,76.980003,6600,76.379318
2019-05-20,77.029999,77.029999,76.910004,76.910004,5600,76.30986
2019-05-21,76.93,76.93,76.879997,76.879997,10300,76.28009
2019-05-22,76.940002,77.040001,76.940002,77.040001,2600,76.438843
2019-05-23,77.129997,77.260002,77.089996,77.220001,5000,76.617439
2019-05-24,77.209999,77.279999,77.190002,77.279999,8100,76.676971
2019-05-28,77.279999,77.389999,77.279999,77.389999,5600,76.78611
2019-05-29,77.480003,77.480003,77.43,77.449997,9600,76.845642
2019-05-30,77.470001,77.559998,77.43,77.559998,32600,76.954788
2019-05-31,77.690002,77.790001,77.660004,77.790001,21300,77.182991
2019-06-03,77.739998,77.809998,77.669998,77.809998,19500,77.326088
2019-06-04,77.860001,77.860001,77.739998,77.75,5200,77.266464
2019-06-05,77.879997,77.879997,77.809998,77.82,8700,77.336029
2019-06-06,77.879997,77.93,77.879997,77.900002,11300,77.415543
2019-06-07,78.029999,78.099998,78.010002,78.040001,12600,77.554665
2019-06-10,77.919998,77.949997,77.900002,77.910004,11900,77.425484
2019-06-11,77.93,77.949997,77.910004,77.93,8200,77.445358
2019-06-12,77.940002,78.019997,77.940002,78,4300,77.514915
2019-06-13,78.050003,78.150002,78.050003,78.120003,15300,77.634171
2019-06-14,78.110001,78.190002,78.110001,78.169998,9700,77.683853
2019-06-17,78.160004,78.199997,78.139999,78.18,21400,77.693794
2019-06-18,78.410004,78.510002,78.410004,78.43,11600,77.942245
2019-06-19,78.360001,78.589996,78.330002,78.580002,12100,78.091309
2019-06-20,78.75,78.809998,78.699997,78.720001,13000,78.230431
2019-06-21,78.589996,78.589996,78.480003,78.519997,12700,78.031685
2019-06-24,78.620003,78.68,78.620003,78.68,11600,78.190689
2019-06-25,78.769997,78.769997,78.650002,78.720001,22800,78.230431
2019-06-26,78.690002,78.690002,78.559998,78.559998,12500,78.071426
2019-06-27,78.620003,78.720001,78.559998,78.709999,13600,78.220497
2019-06-28,78.730003,78.790001,78.720001,78.779999,10800,78.29007
2019-07-01,78.68,78.730003,78.610001,78.669998,25900,78.299026
2019-07-02,78.690002,78.849998,78.690002,78.82,11400,78.448311
2019-07-03,79,79.080002,79,79.059998,7900,78.687187
2019-07-05,78.839996,78.839996,78.699997,78.830002,18300,78.458267
2019-07-08,78.879997,78.910004,78.82,78.830002,15900,78.458267
2019-07-09,78.809998,78.809998,78.760002,78.779999,14700,78.408501
2019-07-10,78.75,78.75,78.690002,78.709999,9800,78.338837
2019-07-11,78.639999,78.669998,78.480003,78.519997,21800,78.149727
2019-07-12,78.5,78.510002,78.43,78.489998,4300,78.119873
