date,open,high,low,close,volume,adjusted
2016-09-13,14.76,14.76,14.76,14.76,300,14.4313
2016-09-14,14.76,14.76,14.76,14.76,0,14.4313
2016-09-15,14.76,14.76,14.76,14.76,0,14.4313
2016-09-16,14.72,14.72,14.7,14.7,1500,14.372637
2016-09-19,14.82,14.85,14.816,14.84,700,14.509519
2016-09-20,14.97,14.97,14.97,14.97,300,14.636622
2016-09-21,14.97,14.97,14.97,14.97,0,14.636622
2016-09-22,15.38,15.39,15.29,15.32,4000,14.978827
2016-09-23,15.33,15.33,15.24,15.27,9500,14.929943
2016-09-26,15.15,15.15,15.031,15.031,2900,14.696265
2016-09-27,15.17,16.68,15.117,15.21,3600,14.87128
2016-09-28,15.29,15.31,15.21,15.31,3000,14.969052
2016-09-29,15.31,15.31,15.25,15.26,3900,14.920166
2016-09-30,15.28,15.31,15.2,15.31,4100,14.969052
2016-10-03,15.36,15.36,15.19,15.257,3600,14.917233
2016-10-04,15.39,15.39,15.25,15.25,10900,14.910388
2016-10-05,15.38,15.41,15.38,15.39,1500,15.04727
2016-10-06,15.4,15.4,15.305,15.34,3800,14.998384
2016-10-07,15.35,15.36,15.3,15.35,8800,15.008162
2016-10-10,15.44,15.45,15.416,15.422,11000,15.078558
2016-10-11,15.46,15.46,15.3,15.3,6200,14.959275
2016-10-12,15.31,15.31,15.188,15.24,5500,14.90061
2016-10-13,15.08,15.12,15,15.12,6400,14.783284
2016-10-14,15.17,15.18,15.12,15.12,3200,14.783284
2016-10-17,15.18,15.21,15.15,15.17,10700,14.83217
2016-10-18,15.37,15.37,15.281,15.29,3500,14.949497
2016-10-19,15.36,15.36,15.25,15.26,6300,14.920166
2016-10-20,15.26,15.3,15.25,15.3,8900,14.959275
2016-10-21,15.283,15.3,15.283,15.3,500,14.959275
2016-10-24,15.44,15.44,15.28,15.3,12500,14.959275
2016-10-25,15.25,15.25,15.15,15.17,15100,14.83217
2016-10-26,15.157,15.18,15.13,15.17,4100,14.83217
2016-10-27,15.1,15.1,15,15,22100,14.665956
2016-10-28,15.06,15.09,15.02,15.06,3600,14.724619
2016-10-31,15.1,15.1,15.02,15.02,2600,14.68551
2016-11-01,15.04,15.04,14.95,14.95,5700,14.617068
2016-11-02,14.91,14.91,14.81,14.81,10200,14.480186
2016-11-03,14.99,14.99,14.831,14.87,3200,14.53885
2016-11-04,14.89,14.89,14.74,14.82,7200,14.489964
2016-11-07,15.07,15.07,14.975,14.98,5800,14.646401
2016-11-08,14.99,15.06,14.97,15.05,3200,14.714843
2016-11-09,14.8,15.08,14.8,15.06,14800,14.724619
2016-11-10,15.2,15.25,15.08,15.19,2300,14.851724
2016-11-11,15.17,15.19,15.149,15.17,4900,14.83217
2016-11-14,15.16,15.23,15.15,15.23,5500,14.890833
2016-11-15,15.18,15.27,15.18,15.27,3100,14.929943
2016-11-16,15.166,15.166,15.086,15.094,2000,14.757862
2016-11-17,15.26,15.35,15.197,15.35,4500,15.008162
2016-11-18,15.26,15.26,15.124,15.13,7300,14.79306
2016-11-21,15.187,15.22,15.13,15.185,13400,14.846837
2016-11-22,15.22,15.22,15.136,15.159,2500,14.821415
2016-11-23,15.16,15.19,15.051,15.19,11100,14.851724
2016-11-25,15.2,15.21,15.15,15.2,5900,14.861502
2016-11-28,15.26,15.26,15.15,15.19,13600,14.851724
2016-11-29,15.15,15.224,15.14,15.2,9500,14.861502
2016-11-30,15.15,15.2,15.045,15.08,10200,14.744174
2016-12-01,15.11,15.11,14.897,14.9,8300,14.568182
2016-12-02,14.82,14.83,14.69,14.83,8500,14.499741
2016-12-05,14.94,15.03,14.94,14.997,8800,14.663022
2016-12-06,14.98,14.99,14.886,14.961,5900,14.627824
2016-12-07,15.01,15.17,14.951,15.13,8900,14.79306
2016-12-08,15.24,15.24,15.128,15.22,9100,14.881056
2016-12-09,15.24,15.24,15.13,15.2,9900,14.861502
2016-12-12,15.19,15.19,15.03,15.04,17300,14.705064
2016-12-13,15.16,15.179,15.126,15.15,10900,14.812614
2016-12-14,15.14,15.14,14.9,14.9,15200,14.568182
2016-12-15,14.9,14.93,14.89,14.93,5000,14.597515
2016-12-16,14.94,14.94,14.837,14.85,11900,14.519297
2016-12-19,14.85,14.97,14.85,14.95,6300,14.617068
2016-12-20,15.01,15.01,14.94,14.97,11100,14.636622
2016-12-21,15,15,14.91,14.95,10400,14.617068
2016-12-22,14.97,14.97,14.9,14.911,3700,14.578938
2016-12-23,15.07,15.089,14.9,14.948,7600,14.615113
2016-12-27,14.98,14.98,14.928,14.947,19600,14.614136
2016-12-28,15.07,15.08,14.941,14.99,21700,14.665008
2016-12-29,14.98,14.98,14.92,14.928,9300,14.604352
2016-12-30,14.9,15.06,14.9,15,7700,14.674792
2017-01-03,15.11,15.11,15.01,15.1,8000,14.772624
2017-01-04,15.27,15.32,15.2,15.32,17300,14.987854
2017-01-05,15.42,15.517,15.33,15.35,22800,15.017203
2017-01-06,15.39,15.4,15.33,15.37,28700,15.03677
2017-01-09,15.45,15.45,15.307,15.33,34200,14.997637
2017-01-10,15.41,15.41,15.35,15.39,14100,15.056337
2017-01-11,15.47,15.5,15.41,15.5,17900,15.163951
2017-01-12,15.59,15.59,15.45,15.54,12600,15.203084
2017-01-13,15.6,15.64,15.55,15.63,47700,15.291133
2017-01-17,15.69,15.69,15.5,15.52,36300,15.183518
2017-01-18,15.52,15.55,15.411,15.51,20800,15.173735
2017-01-19,15.66,15.71,15.5,15.58,21400,15.242216
2017-01-20,15.81,15.81,15.66,15.66,26500,15.320482
2017-01-23,15.79,15.79,15.69,15.779,32200,15.436902
2017-01-24,15.92,16,15.8,16,41400,15.653111000000001
2017-01-25,16.33,16.379999,16.245001,16.370001,76400,16.015091
2017-01-26,16.549999,16.549999,16.370001,16.389999,65800,16.034657
2017-01-27,16.450001,16.450001,16.302999,16.330999,50600,15.976933
2017-01-30,16.33,16.33,16.129999,16.27,26200,15.917257
2017-01-31,16.35,16.35,16.216999,16.315001,18300,15.961283
2017-02-01,16.540001,16.540001,16.389999,16.469999,40600,16.112919
2017-02-02,16.41,16.41,16.299999,16.389999,35200,16.034657
2017-02-03,16.469999,16.469999,16.4,16.440001,40400,16.083572
2017-02-06,16.41,16.41,16.24,16.35,59800,15.995523
2017-02-07,16.450001,16.450001,16.35,16.360001,96800,16.005306
2017-02-08,16.440001,16.440001,16.34,16.360001,40900,16.005306
2017-02-09,16.450001,16.450001,16.27,16.32,106700,15.966173
2017-02-10,16.530001,16.530001,16.4,16.43,64300,16.073788
2017-02-13,16.68,16.68,16.534,16.6,53800,16.240105
2017-02-14,16.59,16.620001,16.450001,16.620001,52800,16.25967
