date,open,high,low,close,volume,adjusted
2013-09-24,25.040001,25.049999,25.030001,25.030001,4600,19.024214
2013-09-25,25.040001,25.049999,25.030001,25.030001,10700,19.024214
2013-09-26,25.049999,25.049999,25.02,25.040001,3300,19.031818
2013-09-27,25.040001,25.07,25.030001,25.040001,31200,19.031818
2013-09-30,25.049999,25.049999,25,25,7800,19.00141
2013-10-01,25,25.030001,25,25.030001,9500,19.024214
2013-10-02,25.059999,25.059999,25.030001,25.049999,14300,19.03941
2013-10-03,25.1,25.1,25.08,25.1,15000,19.077414
2013-10-04,25.1,25.139999,25.09,25.120001,9100,19.092627
2013-10-07,25.110001,25.139999,25.110001,25.110001,14000,19.085012
2013-10-08,25.120001,25.15,25.1,25.1,28200,19.077414
2013-10-09,25.139999,25.16,25.120001,25.15,30200,19.115425
2013-10-10,25.190001,25.24,25.17,25.190001,7500,19.145819
2013-10-11,25.18,25.299999,25.18,25.26,9100,19.199028
2013-10-14,25.27,25.290001,25.25,25.27,7000,19.206629
2013-10-15,25.32,25.32,25.25,25.25,3300,19.191431
2013-10-16,25.35,25.360001,25.32,25.360001,2600,19.275038
2013-10-17,25.379999,25.43,25.379999,25.43,41400,19.328239
2013-10-18,25.459999,25.469999,25.459999,25.469999,3900,19.358641
2013-10-21,25.540001,25.540001,25.5,25.52,11600,19.396641
2013-10-22,25.58,25.620001,25.530001,25.6,37300,19.457447
2013-10-23,25.58,25.6,25.540001,25.59,17600,19.449842
2013-10-24,25.610001,25.620001,25.540001,25.6,10100,19.457447
2013-10-25,25.629999,25.639999,25.6,25.620001,10600,19.472639
2013-10-28,25.65,25.690001,25.610001,25.639999,23600,19.487843
2013-10-29,25.639999,25.66,25.639999,25.65,5500,19.495443
2013-10-30,25.68,25.68,25.639999,25.65,11900,19.495443
2013-10-31,25.66,25.700001,25.65,25.700001,3500,19.533445
2013-11-01,25.59,25.59,25.58,25.59,3700,19.499153
2013-11-04,25.629999,25.639999,25.620001,25.620001,3200,19.522017
2013-11-05,25.719999,25.719999,25.59,25.610001,11300,19.514402
2013-11-06,25.639999,25.639999,25.540001,25.629999,5000,19.529636
2013-11-07,25.67,25.67,25.620001,25.620001,6000,19.522017
2013-11-08,25.67,25.67,25.58,25.620001,19200,19.522017
2013-11-11,25.59,25.6,25.549999,25.6,16800,19.506779
2013-11-12,25.549999,25.549999,25.52,25.530001,6900,19.45344
2013-11-13,25.57,25.58,25.559999,25.57,6200,19.483923
2013-11-14,25.549999,25.559999,25.52,25.559999,8600,19.476301
2013-11-15,25.59,25.620001,25.57,25.620001,13500,19.522017
2013-11-18,25.620001,25.66,25.620001,25.639999,6500,19.537266
2013-11-19,25.68,25.68,25.620001,25.639999,10200,19.537266
2013-11-20,25.67,25.67,25.620001,25.629999,11900,19.529636
2013-11-21,25.74,25.74,25.65,25.68,17500,19.567743
2013-11-22,25.68,25.700001,25.58,25.700001,12500,19.582979
2013-11-25,25.709999,25.719999,25.690001,25.719999,7300,19.598228
2013-11-26,25.74,25.76,25.74,25.75,5700,19.621078
2013-11-27,25.76,25.790001,25.76,25.77,16000,19.63632
2013-11-29,25.84,25.84,25.84,25.84,4100,19.689663
2013-12-02,25.969999,25.969999,25.709999,25.73,5000,19.658323
2013-12-03,25.780001,25.780001,25.74,25.74,8600,19.665974
2013-12-04,25.73,25.73,25.68,25.73,4900,19.658323
2013-12-05,25.73,25.76,25.690001,25.74,10500,19.665974
2013-12-06,25.75,25.799999,25.74,25.799999,40100,19.711819
2013-12-09,25.809999,25.809999,25.75,25.77,12400,19.688896
2013-12-10,25.82,25.82,25.790001,25.809999,9400,19.719452
2013-12-11,25.76,25.76,25.690001,25.73,21900,19.658323
2013-12-12,25.780001,25.790001,25.719999,25.77,14800,19.688896
2013-12-13,25.77,25.799999,25.77,25.799999,4100,19.711819
2013-12-16,25.84,25.84,25.82,25.84,8500,19.74238
2013-12-17,25.809999,25.809999,25.780001,25.809999,19800,19.719452
2013-12-18,25.84,25.84,25.76,25.84,13100,19.74238
2013-12-19,27.07,27.07,25.790001,25.83,23300,19.734739
2013-12-20,25.959999,25.959999,25.799999,25.799999,18600,19.711819
2013-12-23,25.9,25.9,25.790001,25.83,4100,19.734739
2013-12-24,25.9,25.92,25.84,25.84,10900,19.74238
2013-12-26,25.85,25.93,25.85,25.85,33400,19.750027
2013-12-27,26,26,25.76,25.780001,5600,19.76535
2013-12-30,25.85,25.85,25.799999,25.83,10800,19.803686
2013-12-31,25.83,25.85,25.799999,25.84,19300,19.811354
2014-01-02,25.889999,25.889999,25.809999,25.860001,16900,19.826685
2014-01-03,25.91,25.91,25.809999,25.85,15300,19.819029
2014-01-06,25.92,25.93,25.879999,25.9,13000,19.857353
2014-01-07,25.969999,25.969999,25.879999,25.92,22200,19.872688
2014-01-08,26.01,26.01,25.940001,25.950001,38400,19.895689
2014-01-09,26.030001,26.030001,25.950001,25.959999,16000,19.903355
2014-01-10,26.030001,26.030001,25.9,25.98,51800,19.918694
2014-01-13,25.98,26.030001,25.9,25.969999,23900,19.911016
2014-01-14,26.02,26.02,25.98,26.02,5800,19.949352
2014-01-15,26.02,26.049999,26.02,26.049999,8700,19.972351
2014-01-16,26.040001,26.040001,25.99,26.030001,43400,19.957024
2014-01-17,26.040001,26.059999,26.02,26.049999,50800,19.972351
2014-01-21,26.110001,26.110001,26.02,26.059999,17700,19.980034
2014-01-22,26.059999,26.07,26.040001,26.049999,15500,19.972351
2014-01-23,26.120001,26.120001,26.02,26.040001,19300,19.964691
2014-01-24,26.030001,26.030001,25.91,25.91,25200,19.865017
2014-01-27,25.99,25.99,25.93,25.940001,13600,19.88802
2014-01-28,25.940001,25.99,25.940001,25.969999,10500,19.911016
2014-01-29,26.110001,26.110001,25.91,25.93,20500,19.880352
2014-01-30,25.950001,25.99,25.940001,25.99,85800,19.926348
2014-01-31,25.959999,25.969999,25.9,25.959999,6500,19.903355
2014-02-03,25.99,25.99,25.799999,25.860001,18900,19.894123
2014-02-04,25.870001,25.940001,25.860001,25.889999,21300,19.917204
2014-02-05,25.879999,25.879999,25.83,25.84,15700,19.878738
2014-02-06,25.860001,25.91,25.860001,25.9,33700,19.924891
2014-02-07,25.9,25.959999,25.860001,25.959999,48100,19.971054
2014-02-10,25.950001,25.99,25.93,25.969999,17000,19.978741
2014-02-11,26.02,26.02,25.98,26,14300,20.001822
2014-02-12,26,26.07,25.99,26.01,16200,20.009512
2014-02-13,26.059999,26.059999,26.049999,26.059999,6800,20.047989
2014-02-14,26.09,26.1,26.040001,26.07,10700,20.055677
2014-02-18,26.08,26.139999,26.059999,26.09,15300,20.071062
2014-02-19,26.16,26.16,26.08,26.1,12200,20.078751
