date,open,high,low,close,volume,adjusted
2010-01-22,25.780001,25.889999,24.950001,24.969999,83900,22.10318
2010-01-25,25.26,25.41,25.110001,25.15,9100,22.262514
2010-01-26,24.52,24.629999,24.17,24.32,37000,21.527805
2010-01-27,24.040001,24.129999,23.780001,24.08,26600,21.315361
2010-01-28,24.209999,24.459999,23.91,24.049999,32100,21.288805
2010-01-29,24.18,24.51,24,24.08,15700,21.315361
2010-02-01,24.43,24.620001,24.370001,24.540001,6000,21.722548
2010-02-02,24.690001,24.98,24.5,24.889999,24900,22.032362
2010-02-03,24.98,25.23,24.98,25.120001,14100,22.235958
2010-02-04,24.98,24.98,24.18,24.26,39200,21.474693
2010-02-05,23.76,23.93,23.360001,23.93,26700,21.182583
2010-02-08,23.9,24,23.709999,23.709999,13600,20.987839
2010-02-09,23.950001,24.15,23.709999,23.889999,30500,21.147173
2010-02-10,23.9,24.24,23.9,24.16,27500,21.386175
2010-02-11,24.41,24.719999,24.389999,24.639999,6700,21.811064
2010-02-12,24.5,24.66,24.4,24.66,14800,21.82877
2010-02-16,24.780001,25.059999,24.780001,24.969999,6500,22.10318
2010-02-17,25.23,25.25,25.040001,25.1,3000,22.21825
2010-02-18,24.98,25.360001,24.98,25.27,6900,22.368736
2010-02-19,24.92,25.18,24.85,25.040001,20500,22.165144
2010-02-22,25.49,25.5,25.290001,25.43,89400,22.510365
2010-02-23,25.41,25.51,25.040001,25.040001,14900,22.165144
2010-02-24,25.450001,25.59,25.41,25.59,6700,22.651995
2010-02-25,25.129999,25.42,24.91,25.41,8600,22.492662
2010-02-26,25.469999,25.83,25.469999,25.83,13100,22.864441
2010-03-01,25.889999,25.93,25.790001,25.93,19700,22.952963
2010-03-02,26.35,26.4,26.17,26.24,20500,23.227371
2010-03-03,26.290001,26.290001,26,26.1,54300,23.103443
2010-03-04,25.940001,25.98,25.719999,25.940001,6900,22.961813
2010-03-05,26.26,26.59,26.26,26.57,11900,23.519482
2010-03-08,26.83,26.99,26.83,26.950001,6600,23.855854
2010-03-09,26.879999,27.23,26.83,27,12600,23.900116
2010-03-10,27.219999,27.360001,27.190001,27.280001,20900,24.147968
2010-03-11,27.290001,27.459999,27.209999,27.459999,15800,24.307299
2010-03-12,27.49,27.49,27.16,27.16,7400,24.04174
2010-03-15,27.290001,27.379999,27.16,27.309999,17500,24.17452
2010-03-16,27.540001,27.59,27.42,27.59,17100,24.422377
2010-03-17,27.719999,27.809999,27.59,27.68,83000,24.502043
2010-03-18,27.709999,27.74,27.549999,27.709999,72300,24.528597
2010-03-19,27.34,27.620001,27.34,27.34,6100,24.201078
2010-03-22,27.299999,27.59,27.17,27.58,27400,24.413523
2010-03-23,27.34,27.34,27.18,27.32,20000,24.183374
2010-03-24,27.26,27.26,27,27.030001,21700,23.926672
2010-03-25,27.370001,27.52,27.139999,27.15,16700,24.032888
2010-03-26,27.48,27.5,27.200001,27.379999,10100,24.236485
2010-03-29,27.59,27.719999,27.51,27.65,14200,24.475487
2010-03-30,27.879999,27.92,27.690001,27.809999,24500,24.617115
2010-03-31,27.57,27.6,27.389999,27.48,27900,24.325006
2010-04-01,27.77,27.940001,27.75,27.889999,13400,24.687931
2010-04-05,29,29,27.98,28.23,20500,24.988894
2010-04-06,28.120001,28.33,28.059999,28.32,36900,25.068562
2010-04-07,28.139999,28.139999,27.83,27.92,31000,24.714487
2010-04-08,28.139999,28.290001,27.889999,28.290001,17700,25.042011
2010-04-09,28.389999,28.469999,28.25,28.459999,62900,25.192486
2010-04-12,28.440001,28.440001,28.25,28.25,155300,25.006599
2010-04-13,28.17,28.17,27.870001,28.08,17400,24.856117
2010-04-14,28.23,28.26,28.09,28.24,21800,24.997747
2010-04-15,28.25,28.290001,28.200001,28.200001,12400,24.962339
2010-04-16,28.030001,28.030001,27.43,27.549999,27400,24.386965
2010-04-19,27.290001,27.450001,27,27.35,19000,24.209929
2010-04-20,27.450001,27.75,27.450001,27.719999,15800,24.537449
2010-04-21,27.790001,27.790001,27.51,27.65,11100,24.475487
2010-04-22,27.51,27.65,27.23,27.65,16400,24.475487
2010-04-23,27.85,28.18,27.85,28.18,9900,24.944639
2010-04-26,28.299999,28.440001,28.25,28.25,7400,25.006599
2010-04-27,27.91,27.91,27.15,27.190001,29600,24.068304
2010-04-28,27.549999,27.559999,27.15,27.24,13200,24.112556
2010-04-29,27.200001,27.68,27.040001,27.629999,8600,24.457783
2010-04-30,27.5,27.719999,27.17,27.17,23700,24.050594
2010-05-03,27.42,27.59,27.379999,27.51,17200,24.351559
2010-05-04,27.23,27.23,26.610001,26.76,18800,23.687666
2010-05-05,26.309999,26.66,26.110001,26.32,55000,23.298183
2010-05-06,25.84,25.84,24.09,24.84,88900,21.988104
2010-05-07,25.02,25.540001,24.35,24.74,60700,21.899584
2010-05-10,25.74,26.139999,25.74,26.120001,35600,23.121149
2010-05-11,25.799999,26.219999,25.700001,25.98,15800,22.997219
2010-05-12,25.719999,26.299999,25.719999,26.26,9700,23.245075
2010-05-13,26.370001,26.790001,26.219999,26.24,21400,23.227371
2010-05-14,26.01,26.139999,25.719999,26.139999,19900,23.138849
2010-05-17,25.620001,25.690001,25,25.42,32000,22.501514
2010-05-18,25.549999,25.549999,24.889999,25.02,6800,22.147438
2010-05-19,24.450001,24.59,24.120001,24.51,31700,21.695992
2010-05-20,23.5,23.6,22.879999,23.15,32100,20.492132
2010-05-21,22.709999,23.74,22.709999,23.719999,26400,20.996695
2010-05-24,23.700001,24.049999,23.700001,23.809999,12500,21.076357
2010-05-25,22.969999,23.299999,22.6,23.27,16200,20.598358
2010-05-26,23.690001,23.92,23.4,23.4,20600,20.713427
2010-05-27,24.15,24.780001,24.110001,24.780001,18800,21.934994
2010-05-28,25,25.01,24.51,24.690001,15200,21.855324
2010-06-01,24.469999,24.639999,24.290001,24.290001,3300,21.501251
2010-06-02,24.6,24.799999,24.290001,24.76,34300,21.917288
2010-06-03,24.889999,25.09,24.780001,25.040001,12200,22.165144
2010-06-04,24.809999,24.969999,24.51,24.59,6600,21.766808
2010-06-07,24.32,24.610001,23.92,23.98,17000,21.226839
2010-06-08,23.91,24.059999,23.67,24.059999,22600,21.297655
2010-06-09,23.870001,24.17,23.540001,23.629999,19300,20.917027
2010-06-10,23.530001,23.799999,23.5,23.799999,63700,21.067509
2010-06-11,23.5,23.99,23.440001,23.99,10800,21.235691
2010-06-14,24.219999,24.440001,23.98,23.98,5500,21.226839
2010-06-15,24.209999,24.389999,24.18,24.389999,3700,21.589771
2010-06-16,24.120001,24.49,24.030001,24.370001,26000,21.572063
2010-06-17,24.389999,24.4,24.16,24.32,5300,21.527805
2010-06-18,24.370001,24.459999,24.370001,24.43,2000,21.625177
2010-06-21,25.040001,25.34,24.98,25.120001,7900,22.235958
2010-06-22,25.08,25.08,24.559999,24.559999,17600,21.74025
2010-06-23,24.809999,24.860001,24.49,24.629999,10600,21.802214
2010-06-24,24.5,24.790001,24.32,24.32,5900,21.527805
2010-06-25,24.559999,24.559999,24.299999,24.540001,5700,21.722548
2010-06-28,24.309999,24.379999,24.290001,24.33,3200,21.536655
2010-06-29,24.02,24.02,23.299999,23.370001,23400,20.686878
2010-06-30,23.280001,23.540001,23.25,23.280001,6200,20.60721
2010-07-01,23.09,23.41,22.93,23.389999,5000,20.70458
2010-07-02,23.34,23.41,23.16,23.190001,3100,20.527542
2010-07-06,23.58,23.719999,23.35,23.440001,4300,20.748842
2010-07-07,23.549999,24,23.49,23.969999,12900,21.217987
2010-07-08,23.77,23.959999,23.77,23.959999,3400,21.209137
2010-07-09,24.08,24.129999,24,24.129999,1700,21.359621
2010-07-12,24.120001,24.25,24.120001,24.16,3700,21.386175
2010-07-13,24.209999,24.51,24.200001,24.459999,19200,21.651731
2010-07-14,24.639999,24.639999,24.360001,24.52,4200,21.704845
2010-07-15,24.5,24.5,24.08,24.459999,4000,21.651731
2010-07-16,24.02,24.02,23.780001,23.84,10400,21.102917
2010-07-19,23.969999,23.969999,23.65,23.889999,10400,21.147173
2010-07-20,23.9,24.34,23.860001,24.34,9200,21.545511
2010-07-21,24.360001,24.48,24.16,24.18,10000,21.403879
2010-07-22,24.34,24.77,24.34,24.75,27300,21.90844
2010-07-23,24.59,24.950001,24.549999,24.950001,3400,22.085476
2010-07-26,24.99,25.200001,24.84,25.1,14700,22.21825
2010-07-27,25.32,25.32,24.91,25.07,9300,22.191694
2010-07-28,25.120001,25.299999,25.09,25.129999,5300,22.244808
2010-07-29,25.129999,25.200001,24.91,25.139999,1400,22.253662
2010-07-30,25.18,25.549999,25,25.51,7100,22.581184
2010-08-02,25.99,26.030001,25.82,26.030001,4200,23.041479
2010-08-03,25.860001,26.15,25.860001,26.09,1100,23.094589
2010-08-04,26.16,26.17,26.040001,26.17,2400,23.165405
2010-08-05,26.09,26.190001,26,26.190001,800,23.183109
2010-08-06,25.9,25.969999,25.65,25.969999,7200,22.988369
2010-08-09,26.24,26.24,26.049999,26.08,1900,23.085739
2010-08-10,26.08,26.08,25.690001,25.92,4600,22.944109
2010-08-11,25.49,25.49,25.139999,25.18,6800,22.28907
2010-08-12,24.75,24.83,24.530001,24.799999,4700,21.952694
2010-08-13,25.01,25.02,24.84,24.870001,5500,22.01466
2010-08-16,24.91,25.07,24.83,24.959999,7100,22.094328
2010-08-17,24.98,25.24,24.98,25.040001,5400,22.165144
2010-08-18,24.940001,25.120001,24.93,25.040001,3900,22.165144
2010-08-19,25.07,25.1,24.98,25.09,12000,22.209402
2010-08-20,25.08,25.17,25,25.15,4600,22.262514
2010-08-23,25.040001,25.040001,24.799999,24.799999,6000,21.952694
2010-08-24,24.719999,24.719999,24.41,24.450001,6700,21.642879
2010-08-25,24.08,24.379999,24.08,24.379999,4800,21.580917
2010-08-26,24.309999,24.52,24.280001,24.309999,3700,21.518955
2010-08-27,24.450001,24.66,24.41,24.66,1600,21.82877
2010-08-30,24.6,24.6,24.379999,24.389999,1500,21.589771
2010-08-31,24.549999,24.549999,24.290001,24.4,6000,21.598618
2010-09-01,24.51,24.91,24.51,24.860001,6900,22.00581
2010-09-02,24.809999,24.85,24.780001,24.84,2100,21.988104
2010-09-03,25.32,25.360001,25.18,25.24,5500,22.34218
2010-09-07,25.18,25.41,24.85,24.85,18100,21.996958
2010-09-08,25.09,25.18,25.059999,25.129999,7100,22.244808
2010-09-09,25.34,25.5,25.190001,25.190001,122100,22.297922
2010-09-10,25.33,25.33,25.01,25.17,23600,22.280216
2010-09-13,25.4,25.530001,25.4,25.5,8000,22.57233
2010-09-14,25.790001,25.790001,25.540001,25.67,16100,22.722813
2010-09-15,25.389999,25.57,25.389999,25.57,38200,22.634293
2010-09-16,25.6,25.65,25.48,25.639999,13400,22.696255
2010-09-17,25.77,25.870001,25.700001,25.76,7000,22.802475
2010-09-20,26.01,26.559999,26.01,26.549999,6900,23.501778
2010-09-21,26.57,26.809999,26.549999,26.76,9200,23.687666
2010-09-22,26.620001,26.809999,26.620001,26.639999,2100,23.581446
2010-09-23,26.610001,26.93,26.51,26.83,2700,23.749632
2010-09-24,27.02,27.290001,27.02,27.290001,14500,24.156822
2010-09-27,27.33,27.77,27.33,27.68,12200,24.502043
2010-09-28,27.799999,27.799999,27.379999,27.719999,16800,24.537449
2010-09-29,27.74,27.74,27.59,27.610001,17000,24.440079
2010-09-30,28,28.09,27.620001,27.84,10800,24.643673
2010-10-01,28.059999,28.07,27.799999,27.940001,6300,24.732191
2010-10-04,28.02,28.02,27.610001,27.790001,15300,24.599415
2010-10-05,27.93,28.26,27.92,28.25,9100,25.006599
2010-10-06,28.25,28.25,27.85,27.91,12900,24.705635
2010-10-07,28.049999,28.049999,27.690001,27.799999,6300,24.608267
2010-10-08,27.83,28.059999,27.75,28.030001,9500,24.811861
2010-10-11,28.040001,28.040001,27.870001,27.91,7800,24.705635
2010-10-12,28.18,28.18,27.76,28.059999,12600,24.838415
2010-10-13,28.43,28.540001,28.370001,28.43,12100,25.165936
2010-10-14,28.24,28.24,27.809999,27.940001,16700,24.732191
2010-10-15,28.07,28.200001,27.889999,28.18,34600,24.944639
2010-10-18,28.15,28.57,28.15,28.52,5300,25.245605
2010-10-19,28.280001,28.280001,27.77,27.799999,18200,24.608267
2010-10-20,28.08,28.32,28.049999,28.25,7800,25.006599
2010-10-21,28.629999,28.690001,28.25,28.559999,14700,25.281008
2010-10-22,28.74,28.879999,28.690001,28.84,38600,25.52886
2010-10-25,29.299999,29.65,29.120001,29.559999,23800,26.166197
2010-10-26,29.209999,29.4,28.98,29.32,11300,25.953751
2010-10-27,28.700001,28.74,28.370001,28.690001,9200,25.396086
2010-10-28,28.84,28.84,28.469999,28.59,10600,25.307566
2010-10-29,28.6,28.77,28.52,28.75,10700,25.449192
2010-11-01,29.07,29.07,28.57,28.620001,18000,25.33412
2010-11-02,29.09,29.309999,28.940001,29.23,268200,25.874084
2010-11-03,29.370001,29.370001,28.9,29.26,81100,25.900642
2010-11-04,29.41,29.67,29.41,29.67,119300,26.263569
2010-11-05,29.620001,29.620001,29.440001,29.58,89600,26.183903
2010-11-08,29.540001,29.84,29.370001,29.809999,43100,26.387497
2010-11-09,30.040001,30.040001,29.25,29.370001,34700,25.998011
2010-11-10,29.57,29.809999,29.200001,29.73,73400,26.316679
2010-11-11,29.620001,29.700001,29.290001,29.65,25200,26.245865
2010-11-12,29.120001,29.41,28.74,28.860001,30300,25.546564
2010-11-15,29.200001,29.200001,28.799999,28.84,8800,25.52886
2010-11-16,28.67,28.67,28,28.059999,23900,24.838415
2010-11-17,27.93,28.299999,27.700001,28.209999,11700,24.971193
2010-11-18,28.43,28.77,28.43,28.629999,18900,25.34297
2010-11-19,28.629999,28.629999,28.32,28.58,18300,25.298712
2010-11-22,28.709999,28.85,28.42,28.700001,29200,25.404938
2010-11-23,28.030001,28.23,27.91,27.959999,72200,24.749893
2010-11-24,28.17,28.389999,28.17,28.360001,8500,25.103971
2010-11-26,28.18,28.18,28.02,28.110001,2200,24.882677
2010-11-29,28.110001,28.41,28.09,28.360001,14000,25.103971
2010-11-30,28.02,28.26,28.02,28.16,12000,24.926933
2010-12-01,28.639999,28.889999,28.639999,28.860001,35100,25.546564
2010-12-02,28.860001,29.049999,28.790001,29.030001,22700,25.697048
2010-12-03,28.9,29.280001,28.620001,29.25,28600,25.891788
2010-12-06,29.209999,29.25,29.09,29.25,17900,25.891788
2010-12-07,29.42,29.57,29.200001,29.209999,33100,25.85638
2010-12-08,29,29.190001,28.75,28.9,40000,25.581974
2010-12-09,28.82,28.889999,28.719999,28.889999,59400,25.57312
2010-12-10,29.15,29.18,29.07,29.09,8100,25.750158
2010-12-13,29.25,29.26,28.969999,28.969999,17300,25.643936
2010-12-14,28.799999,29.030001,28.59,28.719999,18600,25.422642
2010-12-15,28.68,28.780001,28.219999,28.25,37800,25.006599
2010-12-16,28.02,28.02,27.690001,27.870001,32600,24.670227
2010-12-17,27.780001,28,27.780001,27.9,23200,24.696783
2010-12-20,28.030001,28.030001,27.49,27.77,94500,24.581711
2010-12-21,27.93,28.200001,27.84,28.16,17800,24.926933
2010-12-22,28.360001,28.4,28.16,28.27,14300,25.024303
2010-12-23,27.959999,28.27,27.959999,28.110001,20700,24.882677
2010-12-27,28.07,28.07,27.76,28.040001,8900,24.938707
2010-12-28,27.85,27.85,27.51,27.66,34400,24.600737
2010-12-29,27.889999,27.889999,27.690001,27.709999,54000,24.645205
2010-12-30,27.780001,27.780001,27.610001,27.67,17300,24.609629
2010-12-31,27.76,27.76,27.41,27.58,12700,24.529581
2011-01-03,28,28.209999,27.969999,28.02,24200,24.920918
2011-01-04,28.24,28.51,28.190001,28.469999,17000,25.321144
2011-01-05,28.469999,28.82,28.459999,28.74,45000,25.561285
2011-01-06,28.75,28.809999,28.639999,28.799999,20500,25.614649
2011-01-07,28.84,28.889999,28.549999,28.799999,54300,25.614649
2011-01-10,28.67,28.76,28.51,28.76,7500,25.579071
2011-01-11,28.92,29.09,28.9,29.07,20900,25.854786
2011-01-12,29.58,29.58,29.299999,29.32,14500,26.077133
2011-01-13,29.450001,29.889999,29.450001,29.709999,53000,26.424
2011-01-14,29.68,29.940001,29.68,29.9,40000,26.592985
2011-01-18,29.85,29.969999,29.85,29.92,13700,26.610771
2011-01-19,30,30,29.450001,29.52,16900,26.255013
2011-01-20,29.08,29.370001,28.700001,28.98,44300,25.774738
2011-01-21,29.07,29.23,28.809999,28.85,19700,25.659119
2011-01-24,28.790001,28.91,28.4,28.91,27200,25.712482
2011-01-25,29.09,29.110001,28.74,28.9,14400,25.703587
2011-01-26,29.030001,29.26,28.969999,29.07,40500,25.854786
2011-01-27,29.23,29.309999,29.08,29.200001,17900,25.970409
2011-01-28,29.26,29.280001,28.559999,28.66,52800,25.490131
2011-01-31,29.030001,29.23,28.799999,29.049999,17200,25.836998
2011-02-01,29.379999,29.91,29.379999,29.719999,63300,26.43289
2011-02-02,29.950001,30.02,29.85,29.92,14600,26.610771
2011-02-03,30.07,30.07,29.709999,29.889999,30200,26.584089
2011-02-04,30.08,30.08,29.74,29.959999,10700,26.646345
2011-02-07,30.07,30.24,30.059999,30.059999,9200,26.735287
2011-02-08,30.040001,30.059999,29.76,30,16100,26.681929
2011-02-09,29.65,29.82,29.23,29.549999,90100,26.281696
2011-02-10,29.280001,29.950001,29.25,29.93,43400,26.619667
2011-02-11,30.18,30.34,29.91,30.219999,38300,26.877594
2011-02-14,30.59,30.59,30.379999,30.41,36500,27.046577
2011-02-15,30.450001,30.5,30.190001,30.34,56800,26.98432
2011-02-16,30.23,30.48,30.23,30.42,27000,27.055473
2011-02-17,30.540001,30.59,30.41,30.469999,21500,27.099941
2011-02-18,30.33,30.51,30.16,30.27,16200,26.922062
2011-02-22,29.23,29.27,28.41,28.469999,46200,25.321144
2011-02-23,28.35,28.540001,27.969999,28.209999,38100,25.089905
2011-02-24,28.120001,28.57,28.120001,28.52,22800,25.36562
2011-02-25,28.59,28.969999,28.59,28.950001,22200,25.748056
2011-02-28,29.35,29.35,28.98,29.129999,19500,25.908146
2011-03-01,29.120001,29.17,28.700001,28.809999,32700,25.623541
2011-03-02,28.860001,29.120001,28.799999,28.940001,64100,25.739166
2011-03-03,29.370001,29.52,29.32,29.5,11800,26.237226
2011-03-04,29.629999,29.74,29.469999,29.74,12800,26.450682
2011-03-07,29.9,29.9,29.16,29.32,15300,26.077133
2011-03-08,29.389999,29.790001,29.280001,29.709999,18400,26.424
2011-03-09,29.790001,30,29.690001,29.950001,23200,26.637455
2011-03-10,29.639999,29.67,29.309999,29.59,44200,26.317272
2011-03-11,29.23,29.809999,29.23,29.799999,25800,26.504045
