date,open,high,low,close,volume,adjusted
2009-07-14,20,20.205,19.950001,20.084999,0,17.726343
2009-07-15,20.385,20.725,20.379999,20.725,0,18.291182
2009-07-16,20.625,20.93,20.575001,20.855,0,18.405918
2009-07-17,20.875,20.915001,20.75,20.855,0,18.405918
2009-07-20,20.995001,21.035,20.860001,21.035,0,18.564772
2009-07-21,21.120001,21.16,20.959999,21.16,0,18.675106
2009-07-22,21.055,21.264999,21.055,21.135,0,18.65304
2009-07-23,21.184999,21.700001,21.165001,21.639999,0,19.098734
2009-07-24,21.575001,21.725,21.424999,21.709999,0,19.160515
2009-07-27,21.700001,21.785,21.575001,21.75,0,19.195816
2009-07-28,21.74,21.77,21.5,21.75,0,19.195816
2009-07-29,21.66,21.76,21.549999,21.68,0,19.134037
2009-07-30,21.879999,22.145,21.084999,21.905001,0,19.332615
2009-07-31,21.299999,22.105,21.299999,21.9,0,19.328199
2009-08-03,22.190001,23.125,22.014999,22.23,0,19.61945
2009-08-04,22.205,22.295,22.08,22.264999,0,19.650343
2009-08-05,22.299999,22.344999,22.084999,22.280001,0,19.663578
2009-08-06,22.280001,22.280001,21.684999,22.120001,0,19.522369
2009-08-07,22.299999,22.514999,22.205,22.41,0,19.778311
2009-08-10,22.264999,22.370001,22.17,22.190001,0,19.58415
2009-08-11,22.26,22.26,22.02,22.084999,0,19.491472
2009-08-12,21.975,22.445,21.975,22.290001,0,19.6724
2009-08-13,22.549999,22.549999,22.205,22.434999,0,19.800375
2009-08-14,22.5,22.5,22.055,22.219999,0,19.610619
2009-08-17,21.934999,21.934999,21.695,21.780001,0,19.222288
2009-08-18,21.790001,21.99,21.299999,21.965,0,19.385569
2009-08-19,21.875,22.190001,21.870001,22.120001,0,19.522369
2009-08-20,22.16,22.33,22.16,22.33,0,19.707708
2009-08-21,22.5,22.825001,22.5,22.825001,0,20.144573
2009-08-24,22.955,22.98,22.715,22.745001,0,20.073973
2009-08-25,22.905001,23.059999,22.780001,22.809999,0,20.131334
2009-08-26,22.799999,22.940001,22.705,22.84,154600,20.157818
2009-08-27,22.76,22.934999,22.59,22.905001,94600,20.215176
2009-08-28,22.975,23.049999,22.709999,22.85,99000,20.166643
2009-08-31,22.67,22.67,22.549999,22.615,11600,19.959242
2009-09-01,22.610001,22.844999,22.219999,22.219999,187400,19.610619
2009-09-02,22.115,22.25,22.049999,22.105,198800,19.509123
2009-09-03,22.17,22.315001,22.17,22.315001,1000,19.694466
2009-09-04,22.299999,22.58,22.295,22.58,31600,19.928347
2009-09-08,22.834999,22.834999,22.709999,22.805,161200,20.126925
2009-09-09,22.815001,23.09,22.805,23.059999,92200,20.351973
2009-09-10,23.115,23.299999,22.934999,23.290001,48600,20.554974
2009-09-11,23.34,23.395,23.200001,23.280001,74400,20.546143
2009-09-14,23.120001,23.385,23.120001,23.385,69800,20.638815
2009-09-15,23.450001,23.535,23.355,23.485001,91600,20.727066
2009-09-16,23.6,23.790001,23.5,23.77,49400,20.978598
2009-09-17,23.82,23.91,23.635,23.709999,88600,20.925642
2009-09-18,23.75,23.875,23.715,23.795,12600,21.000668
2009-09-21,23.645,25.094999,23.525,23.705,70400,20.92123
2009-09-22,23.93,23.93,23.754999,23.85,103800,21.049208
2009-09-23,23.875,24.08,23.684999,23.690001,141800,20.907993
2009-09-24,23.684999,23.695,23.32,23.379999,91600,20.672798
2009-09-25,23.315001,23.469999,23.200001,23.280001,90400,20.584375
2009-09-28,23.66,23.745001,23.639999,23.719999,6200,20.973425
2009-09-29,23.785,23.91,23.690001,23.76,56400,21.008793
2009-09-30,23.799999,23.809999,23.465,23.690001,32400,20.946898
2009-10-01,23.625,23.625,23.065001,23.09,124600,20.416374
2009-10-02,22.834999,23.055,22.834999,22.934999,63200,20.279322
2009-10-05,23.02,23.334999,22.98,23.299999,35400,20.602058
2009-10-06,23.485001,23.76,23.485001,23.68,27600,20.938059
2009-10-07,23.639999,23.709999,23.6,23.700001,12000,20.955746
2009-10-08,23.844999,24,23.825001,23.889999,22400,21.123743
2009-10-09,23.84,24.02,23.84,24.02,45400,21.238686
2009-10-12,24.195,24.219999,24.08,24.18,2600,21.380163
2009-10-13,24.02,24.120001,23.955,24.105,34000,21.313843
2009-10-14,24.344999,24.48,24.245001,24.48,33800,21.645422
2009-10-15,24.424999,24.540001,24.309999,24.540001,45200,21.698477
2009-10-16,24.355,24.450001,24.23,24.35,52400,21.530483
2009-10-19,24.525,24.645,24.365,24.584999,34400,21.73827
2009-10-20,24.610001,24.610001,24.299999,24.405001,35000,21.579113
2009-10-21,24.42,24.575001,24.165001,24.17,34400,21.371319
2009-10-22,24.174999,24.549999,24.09,24.48,41000,21.645422
2009-10-23,24.525,24.565001,24.15,24.23,34600,21.424372
2009-10-26,24.23,24.455,23.940001,23.965,21200,21.19006
2009-10-27,24.030001,24.045,23.895,23.895,27600,21.128162
2009-10-28,23.775,23.775,23.385,23.385,46400,20.677217
2009-10-29,23.545,23.955,23.52,23.940001,15000,21.167955
2009-10-30,23.85,23.855,23.24,23.285,27800,20.588795
2009-11-02,23.360001,23.57,23.18,23.5,46800,20.778898
2009-11-03,23.219999,23.549999,23.219999,23.549999,33000,20.823112
2009-11-04,23.885,23.885,23.405001,23.52,48000,20.796579
2009-11-05,23.67,23.924999,23.67,23.924999,47800,21.154692
2009-11-06,23.844999,24.055,23.84,24.025,28200,21.243111
