date,open,high,low,close,volume,adjusted
2013-05-22,25.110001,25.280001,24.870001,24.9,90200,21.932308
2013-05-23,24.879999,24.879999,24.65,24.82,151800,21.861843
2013-05-24,24.68,24.870001,24.68,24.82,63100,21.861843
2013-05-28,25.110001,25.209999,24.969999,25.030001,36300,22.04682
2013-05-29,24.870001,24.91,24.74,24.84,59400,21.879465
2013-05-30,24.870001,24.969999,24.870001,24.9,50300,21.932308
2013-05-31,24.959999,24.959999,24.6,24.6,29700,21.668079
2013-06-03,24.59,24.77,24.440001,24.67,18100,21.729725
2013-06-04,24.76,24.84,24.51,24.639999,31900,21.703299
2013-06-05,24.559999,24.559999,24.290001,24.290001,17900,21.395016
2013-06-06,24.280001,24.42,24.15,24.42,68300,21.509518
2013-06-07,24.629999,24.790001,24.49,24.790001,39500,21.835417
2013-06-10,24.84,24.84,24.719999,24.74,37700,21.79138
2013-06-11,24.549999,24.709999,24.51,24.540001,34800,21.61521
2013-06-12,24.719999,24.719999,24.35,24.389999,25200,21.483103
2013-06-13,24.35,24.67,24.32,24.67,34900,21.729725
2013-06-14,24.620001,24.719999,24.48,24.540001,21900,21.61521
2013-06-17,24.73,24.82,24.549999,24.709999,37700,21.764952
2013-06-18,24.73,24.940001,24.73,24.879999,66200,21.914692
2013-06-19,24.91,24.98,24.57,24.57,76500,21.641644
2013-06-20,24.34,24.41,23.940001,24,81900,21.139576
2013-06-21,24.120001,24.299999,23.809999,24.08,66700,21.210039
2013-06-24,23.799999,23.950001,23.6,23.809999,45300,21.005375
2013-06-25,23.99,24,23.790001,23.950001,51400,21.128885
2013-06-26,23.85,24.219999,23.85,24.18,80200,21.331791
2013-06-27,24.309999,24.379999,24.24,24.309999,24700,21.446474
2013-06-28,24.209999,24.379999,24.15,24.17,41900,21.322971
2013-07-01,24.49,24.549999,24.370001,24.389999,47500,21.517056
2013-07-02,24.35,24.549999,24.190001,24.32,34500,21.455301
2013-07-03,24.139999,24.43,24.139999,24.34,18900,21.472942
2013-07-05,24.52,24.6,24.33,24.6,32900,21.702328
2013-07-08,24.700001,24.76,24.639999,24.690001,72200,21.781708
2013-07-09,24.9,24.950001,24.82,24.889999,41200,21.958153
2013-07-10,24.889999,24.959999,24.83,24.85,95000,21.922871
2013-07-11,25.219999,25.290001,25.15,25.27,32000,22.293392
2013-07-12,25.25,25.42,25.18,25.25,29700,22.275755
2013-07-15,25.309999,25.360001,25.24,25.32,42000,22.3375
2013-07-16,25.219999,25.26,25.16,25.209999,52800,22.240463
2013-07-17,25.309999,25.32,25.16,25.209999,123300,22.240463
2013-07-18,25.309999,25.389999,25.25,25.33,33000,22.346331
2013-07-19,25.469999,25.469999,25.16,25.27,10900,22.293392
2013-07-22,25.27,25.32,25.190001,25.200001,49000,22.265118
2013-07-23,25.299999,25.389999,25.17,25.24,42800,22.300461
2013-07-24,25.35,25.370001,25.110001,25.16,42600,22.229782
2013-07-25,25.129999,25.219999,25.049999,25.209999,46200,22.273952
2013-07-26,25.16,25.219999,24.98,25.209999,30700,22.273952
2013-07-29,25.190001,25.23,25.07,25.16,27800,22.229782
2013-07-30,25.27,25.379999,25.190001,25.26,66000,22.318129
2013-07-31,25.299999,25.41,25.219999,25.219999,68500,22.28281
2013-08-01,25.5,25.59,25.440001,25.559999,140800,22.583197
2013-08-02,25.51,25.610001,25.450001,25.59,38200,22.609697
2013-08-05,25.58,25.639999,25.549999,25.6,88400,22.618536
2013-08-06,25.959999,28.66,25.379999,25.440001,44600,22.477171
2013-08-07,25.4,25.43,25.26,25.4,38200,22.44183
2013-08-08,25.530001,25.59,25.379999,25.51,21100,22.539026
2013-08-09,25.52,25.540001,25.34,25.41,25300,22.450661
2013-08-12,25.41,25.48,25.34,25.450001,52500,22.48601
2013-08-13,25.49,25.549999,25.299999,25.51,46800,22.539026
2013-08-14,25.48,25.51,25.379999,25.4,57400,22.44183
2013-08-15,25.209999,25.219999,24.969999,25.030001,88300,22.11492
2013-08-16,25.030001,25.059999,24.9,24.959999,47200,22.053072
2013-08-19,24.98,25.049999,24.879999,24.879999,38200,21.982395
2013-08-20,24.9,25.040001,24.82,24.950001,40300,22.044243
