date,open,high,low,close,volume,adjusted
2006-06-16,50.52,50.52,50.41,50.450001,2700,32.477737
2006-06-19,50.599998,50.630001,50.400002,50.400002,800,32.445557
2006-06-20,50.509998,50.509998,50.32,50.32,1500,32.394058
2006-06-21,50.200001,50.810001,50.200001,50.779999,300,32.690178
2006-06-22,50.599998,50.599998,50.599998,50.599998,400,32.574303
2006-06-23,50.599998,50.599998,50.599998,50.599998,0,32.574303
2006-06-26,50.619999,50.619999,50.619999,50.619999,1000,32.587177
2006-06-27,50.529999,50.529999,50.360001,50.360001,1100,32.419804
2006-06-28,50.200001,50.299999,50.200001,50.299999,300,32.381184
2006-06-29,51.07,52.119999,51.07,52.119999,1600,33.552818
2006-06-30,52.939999,52.970001,52.939999,52.970001,400,34.099998
2006-07-03,53.049999,53.049999,53.049999,53.049999,100,34.151512
2006-07-05,52.810001,52.810001,52.779999,52.779999,2500,33.977707
2006-07-06,52.790001,52.790001,52.790001,52.790001,1300,33.98415
2006-07-07,52.98,53,52.799999,52.799999,1600,33.990589
2006-07-10,52.860001,52.869999,52.860001,52.869999,2100,34.035652
2006-07-11,52.700001,53.040001,52.509998,53.040001,3500,34.145077
2006-07-12,52.73,52.73,52.279999,52.380001,4700,33.7202
2006-07-13,52.16,52.169998,51.68,51.68,5100,33.269577
2006-07-14,51.48,51.48,51.290001,51.290001,1700,33.018505
2006-07-17,50.419998,50.48,50.419998,50.48,200,32.497051
2006-07-18,50.209999,50.209999,50.209999,50.209999,200,32.323231
2006-07-19,50.619999,51.5,50.619999,51.5,1400,33.153683
2006-07-20,51.799999,51.799999,51.380001,51.380001,12000,33.076439
2006-07-21,51.240002,51.310001,51.240002,51.310001,1500,33.031372
2006-07-24,51.82,52.060001,51.82,52.060001,2200,33.514191
2006-07-25,52.189999,52.189999,51.990002,52.07,1500,33.520634
2006-07-26,52.189999,52.700001,52,52.700001,4300,33.926201
2006-07-27,53.369999,53.369999,52.779999,52.779999,900,33.977707
2006-07-28,53.619999,53.669998,53.509998,53.669998,400,34.550652
2006-07-31,53.5,53.619999,53.470001,53.470001,5500,34.421898
