date,open,high,low,close,volume,adjusted
2013-03-12,25.23,25.290001,25.200001,25.290001,118700,16.306248
2013-03-13,25.34,25.379999,25.200001,25.360001,112500,16.351391
2013-03-14,25.450001,25.48,25.370001,25.4,118100,16.377184
2013-03-15,25.440001,25.5,25.360001,25.5,54300,16.441658
2013-03-18,25.4,25.440001,25.34,25.360001,84100,16.351391
2013-03-19,25.4,25.4,25.209999,25.32,58700,16.325596
2013-03-20,25.4,25.49,25.379999,25.48,71300,16.428761
2013-03-21,25.48,25.540001,25.469999,25.48,37000,16.428761
2013-03-22,25.57,25.629999,25.51,25.58,48400,16.493238
2013-03-25,25.700001,25.76,25.549999,25.58,84600,16.493238
2013-03-26,25.700001,25.780001,25.68,25.77,26600,16.615744
2013-03-27,25.700001,25.76,25.65,25.76,68900,16.609301
2013-03-28,25.85,25.889999,25.77,25.889999,25200,16.693121
2013-04-01,25.780001,25.799999,25.629999,25.67,42400,16.64772
2013-04-02,25.780001,25.889999,25.77,25.82,45600,16.745005
2013-04-03,25.860001,25.879999,25.66,25.74,42200,16.693123
2013-04-04,25.780001,25.940001,25.76,25.940001,45300,16.822824
2013-04-05,25.76,26.040001,25.700001,26.040001,50400,16.887676
2013-04-08,26.040001,26.18,26.02,26.18,38400,16.978472
2013-04-09,26.23,26.290001,26.139999,26.24,63800,17.017382
2013-04-10,26.290001,26.42,26.280001,26.4,49900,17.121145
2013-04-11,26.42,26.49,26.360001,26.469999,34000,17.166542
2013-04-12,26.440001,26.469999,26.32,26.469999,36700,17.166542
2013-04-15,26.4,26.4,25.85,25.889999,62000,16.790396
2013-04-16,25.959999,26.16,25.92,26.16,90600,16.965498
2013-04-17,26.07,26.07,25.700001,25.82,46300,16.745005
2013-04-18,25.83,25.92,25.790001,25.889999,18300,16.790396
2013-04-19,25.959999,26.1,25.959999,26.1,44100,16.926592
2013-04-22,26.120001,26.27,26.01,26.24,26300,17.017382
2013-04-23,26.379999,26.42,26.24,26.41,27900,17.127626
2013-04-24,26.4,26.469999,26.35,26.450001,19400,17.153578
2013-04-25,26.48,26.59,26.469999,26.49,15600,17.179508
2013-04-26,26.5,26.5,26.379999,26.459999,29400,17.160059
2013-04-29,26.51,26.690001,26.48,26.68,40600,17.302729
2013-04-30,26.68,26.780001,26.629999,26.780001,45600,17.367584
2013-05-01,26.620001,26.620001,26.25,26.25,46400,17.119753
2013-05-02,26.290001,26.309999,26.190001,26.309999,22000,17.158888
