date,open,high,low,close,volume,adjusted
2006-06-16,50.25,50.25,50.139999,50.189999,2100,30.645496
2006-06-19,50.189999,50.189999,50.189999,50.189999,0,30.645496
2006-06-20,50.049999,50.400002,50.049999,50.279999,1800,30.700449
2006-06-21,50.509998,50.939999,50.509998,50.939999,400,31.103441
2006-06-22,50.720001,50.720001,50.450001,50.450001,1600,30.804255
2006-06-23,50.360001,50.630001,50.360001,50.5,1000,30.834797
2006-06-26,50.5,50.5,50.5,50.5,0,30.834797
2006-06-27,50.59,50.59,50.27,50.27,1600,30.694347
2006-06-28,50.330002,50.419998,50.189999,50.34,800,30.737091
2006-06-29,50.34,50.34,50.34,50.34,0,30.737091
2006-06-30,52.77,52.77,52.77,52.77,300,32.220821
2006-07-03,52.93,52.93,52.93,52.93,100,32.318508
2006-07-05,52.52,52.52,52.310001,52.310001,700,31.939945
2006-07-06,52.82,52.82,52.66,52.66,500,32.153664
2006-07-07,53.099998,53.139999,52.919998,52.919998,5500,32.312408
2006-07-10,52.919998,52.939999,52.919998,52.939999,1100,32.324635
2006-07-11,52.720001,52.720001,52.59,52.610001,1300,32.123116
2006-07-12,52.650002,52.650002,52.110001,52.290001,2300,31.927738
2006-07-13,51.830002,51.830002,51.389999,51.389999,2200,31.378204
2006-07-14,51.200001,51.200001,51.189999,51.200001,1100,31.262194
2006-07-17,50.330002,50.34,50.330002,50.34,300,30.737091
2006-07-18,50.419998,50.490002,50.310001,50.330002,3900,30.730982
2006-07-19,50.18,51.790001,50.169998,51.790001,2600,31.622438
2006-07-20,51.959999,51.959999,51.52,51.52,3800,31.457582
2006-07-21,51.389999,51.389999,51.389999,51.389999,200,31.378204
2006-07-24,52.360001,52.450001,52.360001,52.450001,1100,32.025436
2006-07-25,52.450001,52.490002,52.16,52.16,1100,31.84837
2006-07-26,52.299999,52.919998,52.299999,52.919998,1100,32.312408
2006-07-27,53.310001,53.310001,52.860001,52.860001,800,32.275768
2006-07-28,53.52,53.98,53.470001,53.98,4300,32.959644
2006-07-31,53.5,53.57,53.459999,53.549999,1100,32.697083
2006-08-01,53.099998,53.099998,52.98,53,700,32.361267
2006-08-02,53.580002,54.200001,53.400002,54.110001,3900,33.039024
2006-08-03,53.77,54.09,53.689999,54.080002,1500,33.020687
2006-08-04,54.619999,54.709999,54.470001,54.470001,4400,33.258823
2006-08-07,54.049999,54.259998,53.950001,54.169998,7600,33.075657
2006-08-08,53.950001,54.150002,53.880001,53.880001,11200,32.898579
2006-08-09,54.299999,54.540001,54.299999,54.540001,900,33.301571
2006-08-10,54.200001,54.529999,54.169998,54.529999,5400,33.295464
2006-08-11,54.23,54.240002,54.209999,54.23,7100,33.112286
2006-08-14,54.43,54.759998,54.32,54.32,4200,33.167236
2006-08-15,55.25,55.48,55.200001,55.380001,8600,33.814465
2006-08-16,55.779999,56.009998,55.700001,56.009998,17300,34.199146
2006-08-17,55.849998,55.849998,55.82,55.82,5500,34.083111
2006-08-18,55.599998,55.779999,55.599998,55.779999,4600,34.058701
2006-08-21,55.860001,56.630001,55.779999,56.419998,6800,34.449467
2006-08-22,56.5,56.700001,56.5,56.5,11300,34.498318
2006-08-23,56.099998,56.099998,54.150002,54.48,115400,33.264927
2006-08-24,54.740002,54.740002,54.16,54.34,18100,33.179447
2006-08-25,54.299999,54.299999,54.18,54.299999,5900,33.155014
2006-08-28,54.220001,54.59,54.220001,54.560001,10500,33.313786
2006-08-29,54.860001,55.040001,54.43,55.029999,11900,33.600754
2006-08-30,55.25,55.27,54.919998,55.049999,21400,33.612972
2006-08-31,55.16,55.16,54.900002,55.060001,7400,33.619068
2006-09-01,55.130001,55.299999,55.07,55.25,4700,33.735088
2006-09-05,55.25,55.419998,55.07,55.41,7800,33.832787
2006-09-06,54.68,54.73,54.490002,54.639999,13800,33.362621
2006-09-07,53.950001,54.290001,53.830002,53.970001,5800,32.953533
2006-09-08,53.860001,54,53.720001,53.970001,23200,32.953533
2006-09-11,53.740002,53.900002,53.43,53.740002,5100,32.813095
2006-09-12,54.080002,54.509998,54.080002,54.369999,19800,33.197765
2006-09-13,54.200001,54.48,54.110001,54.450001,16400,33.246613
2006-09-14,54.459999,54.509998,54.299999,54.48,12100,33.264927
2006-09-15,54.419998,54.419998,54.150002,54.290001,18600,33.148914
2006-09-18,54.200001,54.66,54.200001,54.560001,8800,33.313786
2006-09-19,54.419998,54.419998,53.880001,54.07,1600,33.014591
2006-09-20,54.709999,54.759998,54.66,54.720001,6100,33.41148
2006-09-21,55.09,55.09,54.860001,54.860001,3200,33.496952
2006-09-22,55.099998,55.099998,54.540001,54.900002,2200,33.521378
2006-09-25,54.68,54.950001,54.450001,54.950001,2500,33.551914
2006-09-26,54.73,55,54.73,55,4300,33.582436
2006-09-27,55.400002,55.400002,55.130001,55.389999,4600,33.820557
2006-09-28,55.32,55.490002,55.18,55.470001,4700,33.869411
2006-09-29,55.25,55.279999,55.130001,55.16,20300,33.680138
2006-10-02,55.240002,55.490002,55.130001,55.310001,2900,33.771721
2006-10-03,55.150002,55.5,55.130001,55.490002,2100,33.881634
2006-10-04,55.259998,56,55.259998,55.98,1500,34.180813
2006-10-05,55.900002,56.060001,55.869999,56.060001,7200,34.229664
2006-10-06,55.450001,55.709999,55.439999,55.639999,10000,33.973217
2006-10-09,55.560001,55.68,55.5,55.639999,4100,33.973217
2006-10-10,55.529999,55.700001,55.450001,55.700001,5200,34.00985
2006-10-11,55.540001,56.009998,55.540001,55.779999,8800,34.058701
2006-10-12,56.07,56.470001,56.07,56.439999,14300,34.461678
2006-10-13,56.240002,56.470001,56.240002,56.400002,4800,34.43726
2006-10-16,56.5,56.689999,56.450001,56.68,9400,34.608231
2006-10-17,56.279999,56.34,56.060001,56.259998,3500,34.351776
2006-10-18,56.470001,56.470001,56.27,56.279999,3700,34.363979
2006-10-19,56.5,56.849998,56.5,56.799999,4400,34.681496
2006-10-20,56.900002,57.029999,56.75,56.98,10300,34.791393
2006-10-23,56.5,57.009998,56.490002,56.98,4400,34.791393
2006-10-24,56.700001,56.990002,56.700001,56.93,28600,34.760876
2006-10-25,57.099998,57.509998,57.099998,57.450001,35800,35.078381
2006-10-26,57.75,57.990002,57.549999,57.950001,6700,35.383678
2006-10-27,57.799999,57.849998,57.52,57.57,7400,35.151646
2006-10-30,57.470001,57.68,57.470001,57.549999,5300,35.139442
2006-10-31,57.580002,57.779999,57.490002,57.700001,8100,35.23103
2006-11-01,58.110001,58.130001,57.490002,57.580002,15600,35.157757
2006-11-02,57.669998,57.830002,57.599998,57.790001,6400,35.285995
2006-11-03,57.82,57.869999,57.580002,57.759998,5600,35.267651
2006-11-06,58.060001,58.580002,58.060001,58.560001,8300,35.75613
2006-11-07,58.919998,58.959999,58.720001,58.740002,4600,35.866043
2006-11-08,58.5,58.939999,58.279999,58.849998,4200,35.933201
2006-11-09,58.580002,58.82,58.470001,58.540001,5500,35.743923
2006-11-10,58.650002,58.759998,58.650002,58.759998,4900,35.878246
2006-11-13,58.709999,58.720001,58.52,58.52,5500,35.731709
2006-11-14,58.799999,59.060001,58.650002,59.02,12400,36.037003
2006-11-15,58.77,59.060001,58.77,59,9800,36.024796
2006-11-16,58.91,58.970001,58.900002,58.91,3600,35.969845
2006-11-17,58.369999,58.799999,58.299999,58.799999,16000,35.902676
2006-11-20,58.439999,58.639999,58.310001,58.48,19200,35.707287
2006-11-21,58.700001,59.080002,58.599998,59.080002,13400,36.073639
2006-11-22,59.110001,59.209999,58.919998,59.099998,19200,36.08585
2006-11-24,58.889999,59.25,58.889999,59.049999,11900,36.055336
2006-11-27,58.98,58.98,58.349998,58.41,8400,35.664543
2006-11-28,58.540001,58.869999,58.540001,58.869999,4700,35.945415
2006-11-29,59.299999,59.330002,59.130001,59.330002,5000,36.22628
2006-11-30,59.599998,59.650002,59.369999,59.529999,7700,36.348412
2006-12-01,59.549999,59.549999,58.970001,59.240002,6200,36.171341
