date,open,high,low,close,volume,adjusted
2006-06-16,50.200001,50.290001,49.650002,50.029999,15300,31.222296
2006-06-19,49.799999,49.959999,49.290001,49.669998,1800,30.997622
2006-06-20,49.849998,50.299999,49.82,50.150002,2400,31.297182
2006-06-21,50.25,50.970001,50.25,50.849998,1900,31.734022
2006-06-22,50.369999,50.369999,50.07,50.16,2900,31.303419
2006-06-23,50,50.48,50,50.48,2400,31.50312
2006-06-26,50.310001,50.560001,50.139999,50.560001,2300,31.553045
2006-06-27,50.07,50.07,49.459999,49.459999,900,30.866556
2006-06-28,50.099998,50.18,49.93,50.18,500,31.315895
2006-06-29,50.110001,50.700001,50.099998,50.700001,600,31.640429
2006-06-30,52.299999,52.549999,52.169998,52.529999,1900,32.782482
2006-07-03,52.599998,52.93,52.560001,52.93,1900,33.032097
2006-07-05,52.200001,52.200001,51.830002,52.169998,2000,32.557804
2006-07-06,52.740002,52.740002,52.740002,52.740002,200,32.913521
2006-07-07,52.720001,52.720001,52.560001,52.560001,1000,32.801189
2006-07-10,52.599998,52.75,52.549999,52.560001,4600,32.801189
2006-07-11,52.23,52.759998,52.23,52.759998,500,32.925999
2006-07-12,52.790001,52.790001,52.27,52.290001,1700,32.632687
2006-07-13,51.43,51.43,51.25,51.25,1000,31.983662
2006-07-14,50.959999,50.959999,50.549999,50.619999,700,31.590492
2006-07-17,49.900002,49.970001,49.799999,49.880001,800,31.128677
2006-07-18,49.830002,49.830002,49.560001,49.560001,1900,30.928989
2006-07-19,50.32,51.700001,50.209999,51.650002,3100,32.23328
2006-07-20,52.150002,52.150002,51.34,51.34,1600,32.039822
2006-07-21,51.09,51.09,51.09,51.09,600,31.883804
2006-07-24,52.049999,52.52,52.029999,52.52,2700,32.776234
2006-07-25,52.099998,52.099998,51.82,52.060001,1000,32.489155
2006-07-26,51.970001,52.220001,51.900002,52.220001,2600,32.588997
2006-07-27,53.099998,53.110001,52.720001,52.720001,700,32.901035
2006-07-28,53.119999,53.560001,53.09,53.549999,4100,33.419018
2006-07-31,53,53.299999,52.939999,53.130001,2700,33.156918
2006-08-01,52.77,53.119999,52.77,53.099998,2100,33.138191
2006-08-02,53.470001,53.720001,53.470001,53.689999,2000,33.506386
2006-08-03,53.279999,53.459999,53.279999,53.459999,800,33.36285
2006-08-04,54.07,54.07,53.68,53.68,800,33.500149
2006-08-07,53.450001,53.450001,53.349998,53.369999,2900,33.306694
2006-08-08,53.310001,53.560001,53.25,53.360001,3500,33.300457
2006-08-09,53.919998,53.919998,53.57,53.57,200,33.431507
2006-08-10,53.25,53.389999,53,53.369999,7100,33.306694
2006-08-11,53.099998,53.27,53.040001,53.110001,4900,33.144424
2006-08-14,53.34,53.509998,53.209999,53.220001,2600,33.213081
2006-08-15,53.790001,54,53.790001,53.98,5000,33.68737
2006-08-16,54.599998,54.630001,54.580002,54.610001,5700,34.080532
2006-08-17,54.560001,54.740002,54.459999,54.549999,4200,34.043098
2006-08-18,54.610001,54.650002,54.450001,54.630001,2400,34.093014
2006-08-21,54.75,55.27,54.75,55.139999,9200,34.411293
2006-08-22,54.25,54.490002,54.150002,54.380001,3500,33.937
2006-08-23,55.990002,56.099998,54.049999,54.68,5500,34.124222
2006-08-24,54.970001,55.16,54.880001,54.91,7500,34.267765
2006-08-25,54.599998,54.75,54.599998,54.720001,1600,34.149181
2006-08-28,54.970001,55.720001,54.970001,55.34,6600,34.53611
2006-08-29,55.099998,55.93,55.099998,55.93,4200,34.904308
2006-08-30,55.790001,56.5,55.790001,56.02,12300,34.960472
2006-08-31,56.139999,56.220001,55.279999,55.279999,6300,34.49868
2006-09-01,55.75,55.990002,55.689999,55.919998,3200,34.898071
2006-09-05,56.299999,56.310001,55.27,55.529999,29200,34.654682
2006-09-06,55.77,55.77,54.490002,54.490002,13200,34.005653
2006-09-07,54,54.18,53.75,54.040001,10900,33.724819
2006-09-08,54.02,54.07,54,54.07,2100,33.743549
2006-09-11,53.900002,53.900002,53.619999,53.860001,2000,33.612476
2006-09-12,54.080002,54.459999,54.080002,54.459999,10300,33.986931
2006-09-13,54.5,54.639999,54.349998,54.59,33400,34.06805
2006-09-14,54.529999,54.560001,54.43,54.450001,4600,33.980694
2006-09-15,54.529999,54.529999,54.32,54.389999,6000,33.943245
2006-09-18,54.389999,54.720001,54.389999,54.689999,16900,34.130459
2006-09-19,54.560001,54.580002,54.049999,54.18,1500,33.812191
2006-09-20,54.599998,54.849998,54.599998,54.77,21900,34.180389
2006-09-21,54.93,55.049999,54.869999,54.939999,5900,34.28648
2006-09-22,55.150002,55.150002,54.689999,54.98,4900,34.311451
2006-09-25,55.049999,55.380001,54.650002,55.380001,5900,34.561081
2006-09-26,55.07,55.650002,55.07,55.470001,22700,34.617233
2006-09-27,55.5,55.75,55.400002,55.75,7900,34.791969
2006-09-28,55.599998,55.75,55.57,55.75,1500,34.791969
2006-09-29,55.549999,55.720001,55.43,55.59,9300,34.692131
2006-10-02,55.380001,55.689999,55.259998,55.43,7400,34.592278
2006-10-03,55.299999,55.619999,55.25,55.48,15800,34.623482
2006-10-04,55.41,55.950001,55.41,55.950001,10500,34.916801
2006-10-05,56.049999,56.150002,55.950001,56.150002,16400,35.041599
2006-10-06,55.68,55.799999,55.419998,55.799999,4400,34.823181
2006-10-09,55.709999,55.830002,55.68,55.790001,34600,34.81694
2006-10-10,55.799999,55.939999,55.689999,55.860001,15700,34.860622
2006-10-11,56,56.09,55.93,55.93,1400,34.904308
2006-10-12,56.23,56.560001,56.23,56.560001,5000,35.297474
2006-10-13,56.439999,56.560001,56.349998,56.5,6800,35.26004
2006-10-16,56.689999,56.830002,56.689999,56.830002,4400,35.465981
2006-10-17,56.299999,56.450001,56.209999,56.369999,32100,35.178905
2006-10-18,56.700001,56.700001,56.48,56.560001,23800,35.297474
2006-10-19,56.799999,57.049999,56.720001,57.029999,15800,35.590786
2006-10-20,57.220001,57.23,57,57.220001,4400,35.70937
2006-10-23,56.779999,57.27,56.779999,57.139999,9100,35.659431
2006-10-24,56.849998,57.169998,56.849998,57.119999,17100,35.646954
2006-10-25,57.349998,57.720001,57.25,57.669998,13700,35.990189
2006-10-26,58,58.189999,57.790001,58.16,9000,36.295998
2006-10-27,57.880001,58.060001,57.68,57.700001,23500,36.008915
2006-10-30,57.610001,57.849998,57.599998,57.759998,6800,36.046364
2006-10-31,57.700001,58.049999,57.700001,57.950001,9100,36.164936
2006-11-01,58.400002,58.400002,57.77,57.77,10300,36.052593
2006-11-02,57.77,58.080002,57.77,58.080002,3500,36.246063
2006-11-03,58.09,58.09,57.860001,57.91,11900,36.13998
2006-11-06,58.349998,58.810001,58.349998,58.75,23700,36.664192
2006-11-07,59.049999,59.220001,58.860001,58.860001,9800,36.732853
2006-11-08,58.5,59.119999,58.5,59.02,6900,36.832691
2006-11-09,58.869999,59.080002,58.709999,58.77,12800,36.676674
2006-11-10,59.07,59.07,58.900002,58.990002,8900,36.813969
2006-11-13,58.849998,58.950001,58.700001,58.810001,10900,36.701641
2006-11-14,59.040001,59.200001,58.889999,59.049999,8200,36.851414
2006-11-15,58.950001,59.360001,58.939999,59.25,20700,36.976234
2006-11-16,59.279999,59.279999,59.119999,59.130001,16400,36.90134
2006-11-17,58.700001,59.07,58.580002,59.07,12700,36.863903
2006-11-20,58.68,58.849998,58.610001,58.709999,22200,36.63924
2006-11-21,59,59.060001,58.799999,59.060001,9600,36.857651
2006-11-22,59.450001,59.52,59.290001,59.450001,12000,37.10104
2006-11-24,59.400002,59.549999,59.299999,59.43,2800,37.088554
2006-11-27,59.400002,59.400002,58.77,58.830002,42600,36.714119
2006-11-28,58.799999,59.169998,58.709999,59.169998,12100,36.9263
2006-11-29,59.619999,59.810001,59.490002,59.77,17700,37.300755
2006-11-30,59.959999,60.240002,59.84,60.07,69100,37.487961
2006-12-01,60,60,59.450001,59.830002,8000,37.338192
2006-12-04,59.73,60.299999,59.73,60.220001,18400,37.581585
2006-12-05,60.220001,60.560001,60.220001,60.560001,15800,37.79377
2006-12-06,60.209999,60.52,60.200001,60.349998,9700,37.662704
2006-12-07,60.799999,60.919998,60.59,60.59,5200,37.812496
2006-12-08,60.75,60.779999,60.400002,60.41,27900,37.700142
2006-12-11,60.560001,60.98,60.48,60.799999,28300,37.943527
2006-12-12,60.900002,62.02,60.709999,61.07,82200,38.11203
2006-12-13,61.119999,61.27,61.040001,61.259998,20900,38.230614
2006-12-14,61.48,61.639999,61.43,61.48,36100,38.367905
2006-12-15,61.779999,61.779999,61.32,61.32,11600,38.268051
2006-12-18,61.599998,61.599998,61.27,61.330002,5600,38.274288
2006-12-19,61.23,61.779999,61.23,61.720001,22900,38.517685
2006-12-20,61.919998,61.98,61.450001,61.549999,17600,38.411598
2006-12-21,61.299999,61.459999,61.169998,61.330002,34200,38.419109
2006-12-22,61.450001,61.450001,60.799999,61.040001,55200,38.237442
2006-12-26,61.040001,61.099998,60.889999,61.029999,15100,38.231174
2006-12-27,61.549999,61.880001,61.5,61.880001,14300,38.763645
2006-12-28,62.029999,62.029999,61.75,61.93,18100,38.794971
2006-12-29,61.82,61.93,61.75,61.75,7500,38.682209
2007-01-03,62.619999,62.619999,61.84,62.080002,23500,38.888924
2007-01-04,61.84,62.119999,61.709999,61.950001,17900,38.807503
2007-01-05,61.43,61.43,60.919998,61.099998,29400,38.275024
2007-01-08,61.150002,61.209999,60.93,61.169998,9600,38.318871
2007-01-09,61.220001,61.419998,60.939999,61.16,44500,38.312618
2007-01-10,60.52,60.720001,60.43,60.68,7800,38.011929
2007-01-11,60.59,61.290001,60.59,61.130001,15500,38.293835
2007-01-12,61.439999,61.82,61.439999,61.810001,13100,38.719803
2007-01-16,61.98,61.98,61.650002,61.810001,48700,38.719803
2007-01-17,61.599998,61.950001,61.599998,61.779999,24500,38.701
2007-01-18,62.119999,62.119999,61.630001,61.779999,8300,38.701
2007-01-19,61.919998,62.389999,61.919998,62.259998,10500,39.001686
2007-01-22,62.540001,62.540001,62.07,62.139999,7100,38.926514
2007-01-23,62.419998,62.669998,62.419998,62.549999,7800,39.18335
2007-01-24,62.599998,62.880001,62.599998,62.849998,24000,39.371281
2007-01-25,62.689999,62.689999,61.77,61.77,28900,38.694733
2007-01-26,62.099998,62.099998,61.689999,62,32400,38.838821
2007-01-29,61.959999,62.16,61.900002,62,13800,38.838821
2007-01-30,62.349998,62.459999,62.259998,62.459999,6600,39.126972
2007-01-31,62,62.700001,61.990002,62.689999,11500,39.271049
2007-02-01,63.110001,63.189999,62.880001,63.150002,15300,39.559227
2007-02-02,63.099998,63.119999,62.900002,63.049999,15000,39.496567
2007-02-05,62.790001,62.93,62.650002,62.73,13000,39.296116
2007-02-06,63.369999,63.43,63.200001,63.43,15400,39.734619
2007-02-07,63.529999,63.720001,63.5,63.529999,43300,39.797264
2007-02-08,63.240002,63.52,63.16,63.52,25400,39.790997
2007-02-09,63.439999,63.52,62.91,63.099998,29400,39.527882
2007-02-12,63.060001,63.060001,62.810001,62.889999,10000,39.396351
2007-02-13,63.259998,63.529999,63.240002,63.529999,14200,39.797264
2007-02-14,63.990002,64.410004,63.880001,64.370003,26600,40.323463
2007-02-15,64.419998,64.440002,64.300003,64.410004,8000,40.348522
2007-02-16,64.169998,64.330002,64.129997,64.32,13600,40.292145
2007-02-20,64.290001,64.470001,64.099998,64.470001,24500,40.386116
2007-02-21,63.959999,64.150002,63.830002,64.07,22400,40.13554
2007-02-22,64.260002,64.480003,64.230003,64.480003,15000,40.392372
2007-02-23,64.5,64.690002,64.449997,64.540001,21400,40.429962
2007-02-26,64.970001,64.970001,64.620003,64.860001,35400,40.630421
2007-02-27,63.75,63.759998,61.490002,62.049999,42200,38.870144
2007-02-28,62.400002,62.639999,61.990002,62.220001,18300,38.976639
2007-03-01,61.27,61.66,60.82,61.349998,62400,38.431641
2007-03-02,61.91,62.049999,60.869999,60.869999,46900,38.130955
2007-03-05,59.669998,60.360001,59.669998,59.799999,76800,37.460663
2007-03-06,60.830002,61.459999,60.77,61.290001,38400,38.394054
2007-03-07,61.169998,61.560001,61.169998,61.209999,29200,38.343929
2007-03-08,61.860001,62.349998,61.860001,62.009998,25800,38.845074
2007-03-09,62.139999,62.220001,61.950001,62.200001,21600,38.964108
2007-03-12,62.049999,62.580002,62.049999,62.470001,34000,39.13324
2007-03-13,61.990002,62.18,60.970001,60.970001,21200,38.193592
2007-03-14,60.549999,60.98,59.900002,60.939999,44900,38.174793
2007-03-15,61.330002,61.560001,61.150002,61.5,9900,38.5256
