date,open,high,low,close,volume,adjusted
2011-10-20,49,49,48.299999,48.630001,1100,40.015694
2011-10-21,49.27,49.450001,49.27,49.450001,2200,40.690426
2011-10-24,49.450001,49.450001,49.450001,49.450001,0,40.690426
2011-10-25,50.73,50.900002,50.73,50.810001,2800,41.809528
2011-10-26,50.950001,51.07,50.950001,51.009998,300,41.974091
2011-10-27,52.5,53.32,52.5,53.049999,1400,43.652733
2011-10-28,53.009998,53.099998,52.970001,53.099998,2200,43.693867
2011-10-31,52,53.049999,52,52.93,400,43.553989
2011-11-01,50.5,50.599998,50.34,50.34,6000,41.422775
2011-11-02,50.34,50.34,50.34,50.34,0,41.422775
2011-11-03,52.049999,52.049999,51.860001,51.98,2300,42.772263
2011-11-04,51.5,51.5,51.220001,51.439999,500,42.327923
2011-11-07,51.900002,51.900002,51.900002,51.900002,100,42.706444
2011-11-08,52.380001,52.84,52.259998,52.84,15400,43.479935
2011-11-09,52.84,52.84,52.84,52.84,0,43.479935
2011-11-10,50.799999,51.099998,50.759998,51.099998,77500,42.048149
2011-11-11,51.639999,52.240002,51.52,52.23,198300,42.977978
2011-11-14,51.939999,51.939999,51.299999,51.439999,1300,42.327923
2011-11-15,51.439999,51.439999,51.439999,51.439999,0,42.327923
2011-11-16,51.599998,51.599998,51.599998,51.599998,3200,42.459576
2011-11-17,50.82,50.82,49.970001,49.970001,2000,41.11832
2011-11-18,50.349998,50.509998,50.299999,50.299999,8000,41.389862
2011-11-21,48.759998,49.259998,48.759998,49.150002,2500,40.443569
2011-11-22,49.66,49.66,49.349998,49.349998,1300,40.608147
2011-11-23,48.560001,48.560001,48.27,48.27,1200,39.719463
2011-11-25,48.740002,48.740002,48.599998,48.66,13700,40.040371
2011-11-28,49.84,49.860001,49.82,49.860001,13700,41.027805
2011-11-29,51.119999,51.119999,49.57,49.57,8200,40.789177
2011-11-30,51.77,52.110001,51.77,52.110001,1400,42.879238
2011-12-01,51.84,52.290001,51.77,52.02,3400,42.805176
2011-12-02,51.619999,51.630001,51.619999,51.630001,1100,42.484276
2011-12-05,52.080002,52.130001,51.700001,51.700001,1100,42.54187
2011-12-06,51.5,51.669998,51.279999,51.490002,4800,42.369068
2011-12-07,51.369999,51.689999,51.369999,51.689999,1500,42.533638
2011-12-08,50.93,51.060001,50.240002,50.279999,54600,41.373402
2011-12-09,50.98,51.330002,50.98,51.279999,2700,42.196262
2011-12-12,50.220001,50.259998,49.509998,49.75,7400,40.93729
2011-12-13,50.360001,50.360001,50,50,3100,41.143002
2011-12-14,49.599998,50.799999,49.18,49.540001,164300,40.764484
2011-12-15,50.07,50.07,49.5,49.5,5000,40.731571
2011-12-16,49.970001,49.970001,49.889999,49.93,8200,41.085403
2011-12-19,49.650002,49.650002,49.18,49.23,12300,40.509399
2011-12-20,49.830002,50,49.799999,49.91,7500,41.672493
2011-12-21,49.599998,50.02,49.599998,50,15400,41.747639
2011-12-22,50.52,50.689999,50.450001,50.689999,21200,42.323753
2011-12-23,50.43,50.700001,50.369999,50.700001,9700,42.332108
2011-12-27,50.400002,50.459999,50.34,50.400002,4300,42.081619
2011-12-28,49.720001,49.799999,49.220001,49.5,16500,41.330158
2011-12-29,49.970001,50.18,49.970001,50.119999,35900,41.847828
2011-12-30,50.130001,50.259998,50.099998,50.099998,2600,41.831127
2012-01-03,51.110001,51.169998,50.98,51.099998,5900,42.66608
2012-01-04,50.669998,50.669998,50.650002,50.650002,1000,42.290359
2012-01-05,50.5,50.810001,50.5,50.799999,1200,42.415592
2012-01-06,51.189999,51.189999,50.200001,50.330002,17200,42.023178
