date,open,high,low,close,volume,adjusted
2001-10-26,16.73333,16.73333,16.73333,16.73333,3000,8.726991
2001-10-29,16.616671,16.616671,16.616671,16.616671,6000,8.66615
2001-10-30,16.566669,16.566669,16.566669,16.566669,600,8.640074
2001-10-31,16.566669,16.566669,16.566669,16.566669,0,8.640074
2001-11-01,16.700001,16.73333,16.700001,16.73333,5100,8.726991
2001-11-02,16.73333,16.73333,16.73333,16.73333,0,8.726991
2001-11-05,16.633329,16.66667,16.633329,16.66667,2400,8.692225
2001-11-06,16.91667,16.91667,16.91667,16.91667,300,8.822609
2001-11-07,16.91667,16.91667,16.91667,16.91667,0,8.822609
2001-11-08,16.91667,16.91667,16.91667,16.91667,0,8.822609
2001-11-09,16.91667,16.91667,16.91667,16.91667,0,8.822609
2001-11-12,17.133329,17.133329,17.133329,17.133329,600,8.935605
2001-11-13,17.41667,17.41667,17.4,17.4,3600,9.074682
2001-11-14,17.566669,17.610001,17.566669,17.610001,900,9.184206
2001-11-15,17.75667,17.76667,17.75,17.75,28800,9.257221
2001-11-16,17.806669,17.806669,17.65,17.65,1500,9.205063
2001-11-19,17.799999,17.82667,17.799999,17.82667,1500,9.297206
2001-11-20,17.82667,17.82667,17.82667,17.82667,0,9.297206
2001-11-21,17.66667,17.700001,17.620001,17.620001,12000,9.18942
2001-11-23,17.620001,17.620001,17.620001,17.620001,0,9.18942
2001-11-26,17.85,17.876671,17.799999,17.876671,7800,9.323282
2001-11-27,17.966669,17.966669,17.9,17.92333,9900,9.347616
2001-11-28,17.796671,17.796671,17.783331,17.783331,4200,9.274603
2001-11-29,17.58333,17.59333,17.58333,17.59333,92700,9.175512
2001-11-30,17.806669,17.806669,17.806669,17.806669,2100,9.286772
2001-12-03,17.73333,17.73333,17.73333,17.73333,1500,9.248527
2001-12-04,17.84333,17.84333,17.84333,17.84333,18900,9.305895
2001-12-05,18.16667,18.450001,18.16667,18.450001,12600,9.622292
2001-12-06,18.23333,18.23333,18.15,18.190001,121200,9.486694
2001-12-07,18.23333,18.23333,18.15,18.15,5400,9.465831
2001-12-10,18.196671,18.196671,18.196671,18.196671,900,9.490173
2001-12-11,18.183331,18.196671,18.183331,18.196671,12600,9.490173
2001-12-12,18.196671,18.196671,18.196671,18.196671,0,9.490173
2001-12-13,17.84333,17.860001,17.84333,17.860001,5400,9.31459
