date,open,high,low,close,volume,adjusted
2000-01-03,14.375,14.5625,14.0625,14.25,106600,8.212948
2000-01-04,14,14.0625,13.6875,13.75,85200,7.924773
2000-01-05,12.9375,13.4375,12.9375,13.375,170200,7.708645
2000-01-06,12.6875,12.75,12.3125,12.5625,208900,7.240362
2000-01-07,12.875,13.3125,12.875,13.3125,121200,7.672622
2000-01-10,13.3125,13.375,13.1875,13.1875,71100,7.60058
2000-01-11,13.125,13.1875,12.8125,12.875,124600,7.420469
2000-01-12,13.125,13.25,12.9375,13.125,56800,7.564557
2000-01-13,13.1875,13.3125,13,13.125,85100,7.564557
2000-01-14,13.4375,13.4375,13.25,13.375,70100,7.708645
2000-01-18,13.0625,13.1875,13,13,94700,7.492514
2000-01-19,12.75,12.9375,12.625,12.75,146200,7.348427
2000-01-20,12.9375,12.9375,12.75,12.8125,45400,7.384449
2000-01-21,12.8125,12.9375,12.75,12.75,82100,7.348427
2000-01-24,12.9375,13,12.375,12.375,93800,7.132297
2000-01-25,12.75,12.8125,12.625,12.6875,28400,7.312406
2000-01-26,12.9375,13.125,12.9375,13.125,57000,7.564557
2000-01-27,13.25,13.4375,13.125,13.375,132300,7.708645
2000-01-28,13.3125,13.375,12.875,13.125,71700,7.564557
2000-01-31,12.8125,13,12.625,13,55000,7.492514
2000-02-01,13.125,13.1875,12.9375,13.1875,64400,7.60058
2000-02-02,13.1875,13.375,12.9375,13.125,288200,7.564557
2000-02-03,13.25,13.3125,13.0625,13.25,167400,7.6366
2000-02-04,13.25,13.3125,13.0625,13.25,116700,7.6366
2000-02-07,13.3125,13.3125,13.0625,13.3125,48500,7.672622
2000-02-08,13.25,13.3125,13.1875,13.3125,84900,7.672622
2000-02-09,13.4375,13.5,13.3125,13.3125,69900,7.672622
2000-02-10,13.4375,13.5625,13.375,13.4375,57800,7.744666
2000-02-11,13.875,13.9375,13.5,13.875,79400,7.996818
2000-02-14,13.875,13.875,13.6875,13.6875,38300,7.888753
2000-02-15,13.5,13.5,13.3125,13.5,98800,7.780686
2000-02-16,13.8125,13.8125,13.5625,13.6875,36700,7.888753
2000-02-17,13.875,13.875,13.625,13.75,62300,7.924773
2000-02-18,13.5,13.6875,13.125,13.25,21100,7.6366
2000-02-22,13.1875,13.25,12.8125,13,36300,7.492514
2000-02-23,13.1875,13.5,13.0625,13.5,23300,7.780686
2000-02-24,13.5625,13.6875,13.1875,13.5625,105800,7.81671
2000-02-25,13.5,13.75,13.4375,13.6875,74800,7.888753
2000-02-28,13.1875,13.4375,13.125,13.4375,55200,7.744666
2000-02-29,13.4375,13.5,13.25,13.3125,117400,7.672622
2000-03-01,13.125,13.1875,13,13.125,34000,7.564557
2000-03-02,13,13.125,12.9375,13.125,71600,7.564557
2000-03-03,13.3125,13.625,13.3125,13.5625,168700,7.81671
2000-03-06,13.75,13.75,13.5625,13.625,162400,7.852731
2000-03-07,13.875,13.9375,13.4375,13.5,72000,7.780686
2000-03-08,14,14.125,13.875,14.0625,68900,8.104883
2000-03-09,14,14,13.75,14,58200,8.06886
2000-03-10,14.0625,14.125,13.9375,14,101200,8.06886
2000-03-13,13.4375,13.6875,13.375,13.4375,130800,7.744666
2000-03-14,13.625,13.625,13.1875,13.25,35700,7.6366
2000-03-15,13.25,13.5,13.1875,13.4375,54100,7.744666
2000-03-16,13.125,13.5625,13.125,13.375,37700,7.708645
2000-03-17,13.625,13.625,13.5,13.5625,12700,7.81671
2000-03-20,13.5,13.5,13.25,13.25,24600,7.6366
2000-03-21,13.25,13.4375,13.25,13.4375,20700,7.744666
2000-03-22,13.4375,13.625,13.4375,13.5,32900,7.780686
2000-03-23,13.5625,13.75,13.5625,13.75,69200,7.924773
2000-03-24,13.9375,13.9375,13.75,13.8125,59800,7.960795
2000-03-27,14.0625,14.125,13.9375,14.0625,50100,8.104883
2000-03-28,14.125,14.125,13.875,13.875,52000,7.996818
2000-03-29,14,14,13.8125,13.8125,50100,7.960795
2000-03-30,13.5625,13.75,13.375,13.5,63900,7.780686
2000-03-31,13.5625,13.6875,13.5,13.6875,24500,7.888753
2000-04-03,13.375,13.375,13.125,13.25,58800,7.6366
2000-04-04,13.25,13.3125,12.5,13.1875,192700,7.60058
2000-04-05,12.875,13.1875,12.875,13.0625,41200,7.528536
2000-04-06,13.125,13.25,13.125,13.25,65800,7.6366
2000-04-07,13.375,13.5,13.375,13.5,42800,7.780686
2000-04-10,13.4375,13.4375,13.25,13.3125,55100,7.672622
2000-04-11,13.25,13.25,12.9375,12.9375,63700,7.456493
2000-04-12,13.375,13.5,13.125,13.125,77900,7.564557
2000-04-13,13.0625,13.0625,12.9375,13,30500,7.492514
2000-04-14,12.75,13,12,12.0625,163400,6.952188
2000-04-17,12,12.125,11.625,12.125,114800,6.98821
2000-04-18,12.375,12.6875,12.25,12.5625,48400,7.240362
2000-04-19,12.5625,12.5625,12.375,12.4375,14100,7.16832
2000-04-20,12.375,12.5,12.1875,12.25,45800,7.060253
2000-04-24,12.1875,12.3125,12,12,105200,6.916166
