date,open,high,low,close,volume,adjusted
2000-06-23,38.75,38.75,38.75,38.75,400,24.857441
2000-06-26,38,38,38,38,200,24.376331
2000-06-27,37.625,37.875,37.5,37.875,2200,24.296144
2000-06-28,37.75,37.75,37.75,37.75,500,24.215963
2000-06-29,37.75,37.75,37.75,37.75,0,24.215963
2000-06-30,37.5,37.5,37.5,37.5,12100,24.055588
2000-07-03,37.5,37.5,37.5,37.5,0,24.055588
2000-07-05,38.625,38.75,38.625,38.75,16100,24.857441
2000-07-06,37.875,38.375,37.875,38.375,25300,24.61689
2000-07-07,37.5,37.75,37.5,37.625,18000,24.135771
2000-07-10,37.25,37.25,37.25,37.25,100,23.895218
2000-07-11,37.375,37.375,36.875,36.875,300,23.654657
2000-07-12,36.75,36.75,36.75,36.75,100,23.574478
2000-07-13,36.75,37.375,36.75,37.375,700,23.975401
2000-07-14,38,38.125,38,38.125,1800,24.45652
2000-07-17,38.75,38.875,38.75,38.875,4500,24.937628
2000-07-18,37.25,37.25,37.25,37.25,800,23.895218
2000-07-19,37.25,37.25,36.625,36.625,800,23.494289
2000-07-20,36.25,36.75,36.25,36.75,5600,23.574478
2000-07-21,35.75,35.75,35.75,35.75,200,22.932993
2000-07-24,35.75,35.75,35.75,35.75,0,22.932993
2000-07-25,35.75,35.75,35.75,35.75,0,22.932993
2000-07-26,35.75,35.75,35.75,35.75,0,22.932993
2000-07-27,35.75,35.75,35.75,35.75,0,22.932993
2000-07-28,36.125,36.125,36.125,36.125,200,23.173552
2000-07-31,36.125,36.125,36.125,36.125,0,23.173552
2000-08-01,36.125,36.125,36.125,36.125,0,23.173552
2000-08-02,36.125,36.125,36.125,36.125,0,23.173552
2000-08-03,36.125,36.125,36.125,36.125,0,23.173552
2000-08-04,36.125,36.125,35.875,36,13900,23.093365
2000-08-07,35.75,35.75,35.75,35.75,139800,22.932993
2000-08-08,35.75,35.875,35.75,35.875,900,23.013186
2000-08-09,36,36.75,36,36.625,25400,23.494289
2000-08-10,36.875,36.875,36.75,36.875,950800,23.654657
2000-08-11,36.75,36.75,36.75,36.75,100,23.574478
2000-08-14,35.625,35.625,35.125,35.625,900,22.85281
2000-08-15,35.75,35.75,35.75,35.75,200,22.932993
2000-08-16,36.5,36.875,36.375,36.5,22400,23.414104
2000-08-17,37,37.125,37,37.125,500,23.815033
2000-08-18,37.25,37.25,37.25,37.25,5000,23.895218
2000-08-21,37.25,37.625,37.125,37.25,1200,23.895218
2000-08-22,37.5,37.5,37.5,37.5,16400,24.055588
2000-08-23,37.5,37.5,37.5,37.5,0,24.055588
2000-08-24,34.5,35.375,34.5,35.375,9000,23.780642
2000-08-25,35,35,35,35,900,23.528551
2000-08-28,33.25,34.25,33.25,33.75,15400,22.688242
2000-08-29,34.375,34.375,33.875,34.25,200,23.024364
2000-08-30,33.5,33.5,33.375,33.375,500,22.43615
2000-08-31,33.75,33.75,33.75,33.75,2400,22.688242
2000-09-01,33,33,32.75,32.75,1900,22.016001
2000-09-05,33.5,33.5,33.5,33.5,700,22.520184
2000-09-06,33.5,33.5,33.5,33.5,100,22.520184
2000-09-07,33,33,32.125,32.25,84000,21.679876
2000-09-08,32.25,32.25,32,32,200,21.511814
2000-09-11,32.75,32.75,32.125,32.25,8500,21.679876
2000-09-12,32.25,32.25,32.25,32.25,800,21.679876
2000-09-13,32,32,32,32,300,21.511814
2000-09-14,31.125,31.25,31.125,31.25,200,21.007637
2000-09-15,31,31.125,30.875,30.875,750200,20.755543
2000-09-18,29.875,30.25,29.875,30.25,200,20.335392
2000-09-19,29.5,29.5,29.5,29.5,100,19.831202
2000-09-20,29.875,29.875,29.5,29.5,12100,19.831202
2000-09-21,29.5,29.5,29.5,29.5,0,19.831202
2000-09-22,28.875,29.375,28.5,29.375,800,19.747171
2000-09-25,29.75,29.75,29.75,29.75,0,19.999268
2000-09-26,30,30,30,30,200,20.167334
2000-09-27,29.25,29.375,29.25,29.375,10200,19.747171
2000-09-28,27.75,29.5,27.75,28.625,8000,19.24299
2000-09-29,29.125,29.125,28.25,28.25,14800,18.9909
2000-10-02,28.25,28.25,26.375,26.5,272900,17.814474
2000-10-03,27,27,27,27,0,18.150595
2000-10-04,26.75,27,26.125,26.125,21500,17.562382
2000-10-05,27,27,26.875,26.875,26400,18.066565
2000-10-06,28,28.25,27.5,27.5,61000,18.486717
2000-10-09,27.375,27.625,27.375,27.625,15100,18.570747
