date,open,high,low,close,volume,adjusted
2014-10-09,50.25,50.34,50.23,50.299999,13400,43.559959
2014-10-10,50.279999,50.369999,50.240002,50.240002,6000,43.507996
2014-10-13,50.290001,50.349998,50.259998,50.330002,4900,43.585941
2014-10-14,50.400002,50.400002,50.348999,50.400002,5800,43.646557
2014-10-15,50.669998,50.759998,50.41,50.41,21600,43.65522
2014-10-16,50.560001,50.560001,50.419998,50.459999,7900,43.698532
2014-10-17,50.650002,50.650002,50.428001,50.470001,18000,43.707169
2014-10-20,50.529999,50.529999,50.470001,50.507999,14300,43.740086
2014-10-21,50.650002,50.650002,50.490002,50.527,16600,43.756542
2014-10-22,50.619999,50.619999,50.43,50.5,12100,43.733162
2014-10-23,50.75,50.75,50.450001,50.459999,17100,43.698532
2014-10-24,50.439999,50.459999,50.349998,50.360001,12100,43.611919
2014-10-27,50.59,50.59,50.43,50.5,62600,43.733162
2014-10-28,50.459999,50.459999,50.299999,50.34,7600,43.662899
2014-10-29,50.509998,50.509998,50.240002,50.240002,12800,43.57618
2014-10-30,50.450001,50.450001,50.200001,50.293999,9700,43.623009
2014-10-31,50.389999,50.389999,50.18,50.18,19900,43.524132
2014-11-03,50.349998,50.380001,47.790001,50.209999,38200,43.55014
2014-11-04,50.32,50.32,50.27,50.290001,11400,43.619545
2014-11-05,50.299999,50.299999,50.223999,50.223999,5700,43.562279
2014-11-06,50.09,50.220001,50.029999,50.09,16400,43.446068
2014-11-07,50.27,50.27,50.139999,50.139999,8400,43.489429
2014-11-10,50.330002,50.330002,50.09,50.099998,7000,43.454742
2014-11-11,50.220001,50.220001,50.009998,50.200001,17400,43.541481
2014-11-12,50.25,50.259998,50.200001,50.213001,3800,43.552738
2014-11-13,50.099998,50.189999,50.099998,50.105999,1500,43.459953
2014-11-14,50.200001,50.200001,50.099998,50.18,2100,43.524132
2014-11-17,50.279999,50.279999,50.110001,50.110001,4000,43.463406
2014-11-18,50.200001,50.220001,50.164001,50.200001,11700,43.541481
2014-11-19,50.169998,50.200001,50.150002,50.200001,3700,43.541481
2014-11-20,50.099998,50.279999,50.09,50.209999,6000,43.55014
2014-11-21,50.299999,50.299999,50.183998,50.240002,7400,43.57618
2014-11-24,50.202,50.299999,50.202,50.290001,9500,43.619545
2014-11-25,50.32,50.34,50.290001,50.330002,12100,43.654228
2014-11-26,50.32,50.330002,50.27,50.310001,6300,43.741165
2014-11-28,50.380001,50.389,50.25,50.380001,1700,43.802052
2014-12-01,50.459999,50.459999,50.369999,50.419998,35100,43.836823
2014-12-02,50.290001,50.34,50.060001,50.060001,4300,43.523808
2014-12-03,50.009998,50.220001,50.009998,50.209999,6100,43.654224
2014-12-04,50.040001,50.220001,50.029999,50.220001,13100,43.662918
2014-12-05,50.23,50.23,50.049999,50.09,7700,43.549877
2014-12-08,50.169998,50.169998,49.970001,50.130001,33100,43.584679
2014-12-09,50.130001,50.130001,50.040001,50.099998,4400,43.558582
2014-12-10,50.060001,50.07,50,50.060001,3900,43.523808
2014-12-11,50.02,50.060001,49.957001,50.048,13500,43.513386
2014-12-12,50.07,50.07,49.98,49.983002,4600,43.456879
2014-12-15,49.98,50,49.933998,50,16500,43.471657
2014-12-16,50.049999,50.049999,49.740002,49.919998,9400,43.4021
2014-12-17,49.900002,49.959999,49.773998,49.806,20400,43.302975000000004
2014-12-18,50.009998,50.009998,49.84,49.860001,8600,43.349934
2014-12-19,49.860001,49.98,49.84,49.91,14400,43.393406
2014-12-22,49.84,50.119999,49.84,50.080002,5900,43.541206
2014-12-23,50.139999,50.139999,49.966,50,19100,43.471657
2014-12-24,50.150002,50.150002,49.98,49.98,4900,43.45425
2014-12-26,50.049999,50.049999,49.84,50.049999,3200,43.515121
2014-12-29,50.029999,50.029999,49.790001,49.950001,8800,43.54039
2014-12-30,50,50,49.900002,49.959999,14400,43.549126
2014-12-31,50.049,50.049999,49.98,50.029999,8100,43.610119
2015-01-02,50.139999,50.150002,50.02,50.125,4600,43.692955
2015-01-05,50.259998,50.259998,50.080002,50.240002,14900,43.793179
2015-01-06,50.349998,50.349998,50.275002,50.299999,16700,43.845482
2015-01-07,50.369999,50.369999,50.110001,50.310001,47400,43.854195
2015-01-08,50.299999,50.369999,50.18,50.299999,18800,43.845482
2015-01-09,50.380001,50.418999,50.257999,50.360001,17700,43.897781
2015-01-12,50.560001,50.57,50.349998,50.459999,53900,43.984955
2015-01-13,50.560001,50.560001,50.48,50.514999,12600,44.032879
2015-01-14,50.57,50.75,50.540001,50.639999,45800,44.14185
2015-01-15,50.73,50.73,50.59,50.66,31400,44.159283
2015-01-16,50.720001,50.720001,50.450001,50.459999,15200,43.984955
2015-01-20,50.630001,50.630001,50.5,50.549999,30800,44.063408
2015-01-21,50.650002,50.650002,50.509998,50.639999,24800,44.14185
2015-01-22,50.779999,50.779999,50.57,50.610001,10200,44.115711
2015-01-23,50.75,50.75,50.599998,50.73,14700,44.22031
2015-01-26,50.830002,50.830002,50.768002,50.799999,6700,44.281319
2015-01-27,50.900002,50.91,50.77,50.775002,16100,44.259521
2015-01-28,50.700001,50.886002,50.630001,50.860001,40900,44.440407
2015-01-29,50.799999,50.880001,50.77,50.793999,26200,44.38274
2015-01-30,50.880001,50.900002,50.75,50.880001,6100,44.45789
2015-02-02,50.900002,50.900002,50.75,50.860001,6900,44.440407
2015-02-03,51.009998,51.009998,50.84,50.849998,12300,44.431679
2015-02-04,50.82,50.848,50.700001,50.841999,16300,44.424702
2015-02-05,50.959999,50.959999,50.700001,50.889999,34100,44.466625
2015-02-06,50.779999,50.799999,50.5,50.544998,32300,44.165154
2015-02-09,50.549999,50.73,50.41,50.41,11600,44.047199
2015-02-10,50.630001,50.66,50.5,50.66,39000,44.265648
2015-02-11,50.799999,50.799999,50.5,50.509998,9600,44.134583
2015-02-12,50.709999,50.720001,50.450001,50.580002,197700,44.195755
2015-02-13,50.43,50.580002,50.43,50.52,5900,44.143322
2015-02-17,50.380001,50.560001,50.310001,50.403999,23500,44.041962
2015-02-18,50.380001,50.619999,50.259998,50.369999,17700,44.012257
2015-02-19,50.349998,50.619999,50.330002,50.57,14200,44.187008
2015-02-20,50.66,50.66,50.333,50.57,9400,44.187008
2015-02-23,50.580002,50.689999,50.450001,50.669998,22600,44.274391
2015-02-24,50.639999,50.860001,50.48,50.860001,11500,44.440407
2015-02-25,50.790001,50.797001,50.5,50.797001,8900,44.48069
2015-02-26,50.740002,50.765999,50.610001,50.689999,36400,44.386986
2015-02-27,50.759998,50.810001,50.529999,50.57,114000,44.28191
2015-03-02,50.810001,50.810001,50.540001,50.580002,9100,44.290676
2015-03-03,50.720001,50.720001,50.389999,50.529999,57200,44.246887
2015-03-04,50.529999,50.610001,50.41,50.560001,23300,44.273155
2015-03-05,50.59,50.629002,50.52,50.619999,12600,44.325706
2015-03-06,50.560001,50.560001,50.299999,50.485001,21200,44.207489
2015-03-09,50.439999,50.630001,50.439999,50.59,52800,44.299427
2015-03-10,50.639999,50.639999,50.549999,50.599998,22500,44.308163
2015-03-11,50.59,50.59,50.470001,50.509998,31900,44.229374
2015-03-12,50.630001,50.68,50.52,50.549999,19000,44.2644
2015-03-13,50.630001,50.630001,50.52,50.52,10000,44.238136
2015-03-16,50.580002,50.580002,50.459999,50.529999,18700,44.246887
2015-03-17,50.540001,50.540001,50.400002,50.470001,15600,44.194355
2015-03-18,50.299999,50.740002,50.299999,50.613998,32200,44.320442
2015-03-19,50.740002,50.740002,50.549999,50.582001,5800,44.292427000000004
2015-03-20,50.75,50.810001,50.639999,50.810001,25300,44.492069
2015-03-23,50.900002,50.900002,50.720001,50.860001,24500,44.535847
2015-03-24,50.830002,50.970001,50.790001,50.970001,16400,44.632187
2015-03-25,51.049999,51.049999,50.869999,50.880001,11600,44.553371
2015-03-26,50.860001,50.880001,50.650002,50.66,12500,44.360729
2015-03-27,50.529999,50.73,50.529999,50.669998,9200,44.474827
2015-03-30,50.810001,50.810001,50.630001,50.630001,23700,44.43972
2015-03-31,50.790001,50.790001,50.650002,50.73,18700,44.527485
2015-04-01,51.189999,51.189999,50.77,50.860001,12700,44.641594
2015-04-02,50.77,50.919998,50.77,50.869999,13000,44.650375
2015-04-06,51.02,51.02,50.869999,50.93,9400,44.70303
2015-04-07,50.950001,51.02,50.880001,51,13500,44.764473
2015-04-08,51.060001,51.07,50.945999,51.07,99400,44.825916
2015-04-09,51.110001,51.110001,50.880001,50.880001,12400,44.659157
2015-04-10,50.869999,51.060001,50.869999,50.970001,113300,44.738163
2015-04-13,51,51.049,50.919998,50.959999,8100,44.729382
2015-04-14,51.02,51.16,51.006001,51.014,68300,44.776768
2015-04-15,51.07,51.139999,51.009998,51.119999,15600,44.869804
2015-04-16,51.169998,51.18,51,51.060001,20100,44.81715
2015-04-17,51.110001,51.189999,51.049999,51.189999,12000,44.931263
2015-04-20,51.189999,51.189999,50.950001,50.970001,215800,44.738163
2015-04-21,51.09,51.09,51,51.029999,12100,44.790813
2015-04-22,51.139999,51.139999,50.91,50.93,15800,44.70303
2015-04-23,50.939999,51.09,50.939999,50.959999,31300,44.729382
2015-04-24,51.099998,51.150002,51.036999,51.099998,6300,44.852249
2015-04-27,51.200001,51.200001,51.049999,51.145,25300,44.891762
2015-04-28,51.060001,51.069,50.830002,50.84,20000,44.739521
2015-04-29,50.759998,50.779999,50.611,50.73,29800,44.642708
2015-04-30,50.75,50.75,50.529999,50.644001,17500,44.567028
2015-05-01,50.619999,50.630001,50.549999,50.580002,8500,44.510708
2015-05-04,50.68,50.68,50.52,50.549999,180000,44.484322
2015-05-05,50.619999,50.630001,50.462002,50.560001,279100,44.493107
2015-05-06,50.470001,50.560001,50.369999,50.450001,194300,44.396305
2015-05-07,50.400002,50.560001,50.400002,50.555,56400,44.488712
2015-05-08,50.68,50.75,50.630001,50.695,67400,44.611916
2015-05-11,50.59,50.59,50.402,50.41,15400,44.361107
2015-05-12,50.360001,50.540001,50.360001,50.411999,29300,44.362869
2015-05-13,50.599998,50.599998,50.353001,50.362,32200,44.318863
2015-05-14,50.459999,50.509998,50.389999,50.5,12700,44.440319
2015-05-15,50.509998,50.740002,50.509998,50.740002,11900,44.651512
2015-05-18,50.650002,50.650002,50.450001,50.450001,18600,44.396305
2015-05-19,50.419998,50.490002,50.360001,50.400002,15600,44.352306
2015-05-20,50.330002,50.437,50.32,50.419998,13100,44.369904
2015-05-21,50.400002,50.57,50.400002,50.549999,17500,44.484322
2015-05-22,50.610001,50.610001,50.419998,50.509998,8400,44.449104
2015-05-26,50.43,50.619999,50.43,50.619999,17100,44.54591
2015-05-27,50.529999,50.529999,50.419998,50.450001,8600,44.496525
